,Leading_edge,cellular_tumor,Pseudopalisading_cells,Microvascular_prolif,infiltrating_tumor
PDK1,0,0,1,0,0
C5orf62,0,0,1,0,0
TRIB3,0,0,1,0,0
SLN,0,0,1,0,0
HMOX1,0,0,1,0,0
PDPN,0,0,1,0,0
NRN1,0,0,1,0,0
PTGS2,0,0,1,0,0
ARL4C,0,0,1,0,0
IGFBP3,0,0,1,0,0
BCL2A1,0,0,1,0,0
AKAP12,0,0,1,0,0
NAMPT,0,0,1,0,0
GBE1,0,0,1,0,0
LOC154761,0,0,1,0,0
AK4,0,0,1,0,0
PFKFB4,0,0,1,0,0
GPRC5A,0,0,1,0,0
BNIP3,0,0,1,0,0
PYGL,0,0,1,0,0
INSIG2,0,0,1,0,0
MIR210HG,0,0,1,0,0
EPHA1-AS1,0,0,1,0,0
SLC6A6,0,0,1,0,0
CEBPD,0,0,1,0,0
LOC100652805,0,0,1,0,0
ENO2,0,0,1,0,0
MAFF,0,0,1,0,0
PCOLCE2,0,0,1,0,0
HSPA6,0,0,1,0,0
WEE1,0,0,1,0,0
DOK5,0,0,1,0,0
RDH10,0,0,1,0,0
IGFBP2,0,0,1,0,0
SNHG12,0,0,1,0,0
P4HA1,0,0,1,0,0
ABCA1,0,0,1,0,0
PPP1R15A,0,0,1,0,0
PLA2G2A,0,0,1,0,0
SLC16A1,0,0,1,0,0
MT1G,0,0,1,0,0
S100A10,0,0,1,0,0
METTL21B,0,0,1,0,0
PI3,0,0,1,0,0
NNMT,0,0,1,0,0
SPINK1,0,0,1,0,0
PGK1,0,0,1,0,0
NUPR1,0,0,1,0,0
IL1RAP,0,0,1,0,0
ICAM1,0,0,1,0,0
RGS1,0,0,1,0,0
LOC100507165,0,0,1,0,0
IL6,0,0,1,0,0
NOL3,0,0,1,0,0
EFCAB3,0,0,1,0,0
LIPG,0,0,1,0,0
ESM1,0,0,0,1,0
COL3A1,0,0,0,1,0
IBSP,0,0,0,1,0
LOC100506027,0,0,0,1,0
CRIP1,0,0,0,1,0
COL4A1,0,0,0,1,0
ITGA1,0,0,0,1,0
MMP9,0,0,0,1,0
LUM,0,0,0,1,0
OR51E1,0,0,0,1,0
CD36,0,0,0,1,0
HIGD1B,0,0,0,1,0
RGS5,0,0,0,1,0
DNAPTP3,0,0,0,1,0
ENPEP,0,0,0,1,0
UACA,0,0,0,1,0
CD93,0,0,0,1,0
SPINK8,0,0,0,1,0
ACTA2,0,0,0,1,0
EDNRA,0,0,0,1,0
ECSCR,0,0,0,1,0
DCN,0,0,0,1,0
ELTD1,0,0,0,1,0
FN1,0,0,0,1,0
NID2,0,0,0,1,0
COX4I2,0,0,0,1,0
ANGPT2,0,0,0,1,0
ACTG2,0,0,0,1,0
MPZL2,0,0,0,1,0
COL1A1,0,0,0,1,0
MSMP,0,0,0,1,0
TM4SF18,0,0,0,1,0
COL1A2,0,0,0,1,0
MYO1B,0,0,0,1,0
LOC100287562,0,0,0,1,0
LXN,0,0,0,1,0
C4orf32,0,0,0,1,0
PLVAP,0,0,0,1,0
LOC100130938,0,0,0,1,0
PECAM1,0,0,0,1,0
NID1,0,0,0,1,0
ITM2A,0,0,0,1,0
GJA4,0,0,0,1,0
SLC38A11,0,0,0,1,0
S1PR3,0,0,0,1,0
NODAL,0,0,0,1,0
CLEC14A,0,0,0,1,0
GPR116,0,0,0,1,0
MYCT1,0,0,0,1,0
TDO2,0,0,0,1,0
FLT1,0,0,0,1,0
CCDC102B,0,0,0,1,0
CSAG1,0,0,0,1,0
CYYR1,0,0,0,1,0
LOC541471,0,0,0,1,0
PDGFRB,0,0,0,1,0
CD248,0,0,0,1,0
ESAM,0,0,0,1,0
FHL5,0,0,0,1,0
PLEK2,0,0,0,1,0
FCN3,0,0,0,1,0
TPM2,0,0,0,1,0
COL5A2,0,0,0,1,0
TAGLN,0,0,0,1,0
COL4A2,0,0,0,1,0
GNG11,0,0,0,1,0
MCAM,0,0,0,1,0
EBF1,0,0,0,1,0
PXDN,0,0,0,1,0
NOX4,0,0,0,1,0
KCNE3,0,0,0,1,0
ITGA4,0,0,0,1,0
PDLIM1,0,0,0,1,0
TES,0,0,0,1,0
HEYL,0,0,0,1,0
CTSK,0,0,0,1,0
FOXF2,0,0,0,1,0
FSTL1,0,0,0,1,0
ITGB1,0,0,0,1,0
FAM162B,0,0,0,1,0
LRRC32,0,0,0,1,0
TRPC6,0,0,0,1,0
MYL9,0,0,0,1,0
MMRN1,0,0,0,1,0
SNAI2,0,0,0,1,0
IGFBP4,0,0,0,1,0
PLAC9,0,0,0,1,0
FRZB,0,0,0,1,0
LOC100505813,0,0,0,1,0
KDR,0,0,0,1,0
MGP,0,0,0,1,0
NOSTRIN,0,0,0,1,0
EMCN,0,0,0,1,0
CTHRC1,0,0,0,1,0
GUCY1A3,0,0,0,1,0
OLFML2A,0,0,0,1,0
IGFBP7,0,0,0,1,0
LAMB1,0,0,0,1,0
FILIP1L,0,0,0,1,0
SNAP25,0,0,0,0,1
VSNL1,0,0,0,0,1
CCK,0,0,0,0,1
TAC1,0,0,0,0,1
GNG3,0,0,0,0,1
GABRA1,0,0,0,0,1
SYT1,0,0,0,0,1
CRYM,0,0,0,0,1
STMN2,0,0,0,0,1
MBP,0,0,0,0,1
SLC17A7,0,0,0,0,1
NEFL,0,0,0,0,1
SYN2,0,0,0,0,1
SYNPR,0,0,0,0,1
KCNK1,0,0,0,0,1
GABRG2,0,0,0,0,1
TAGLN3,0,0,0,0,1
SPOCK3,0,0,0,0,1
AGXT2L1,0,0,0,0,1
NEFM,0,0,0,0,1
CREG2,0,0,0,0,1
BCYRN1,0,0,0,0,1
AQP1,0,0,0,0,1
NNAT,0,0,0,0,1
CDR1,0,0,0,0,1
SH3GL2,0,0,0,0,1
SNAP91,0,0,0,0,1
NAP1L2,0,0,0,0,1
GABRB2,0,0,0,0,1
PVALB,0,0,0,0,1
PCP4,0,0,0,0,1
RGS4,0,0,0,0,1
NPY,0,0,0,0,1
FGF13,0,0,0,0,1
RTN1,0,0,0,0,1
PTGDS,0,0,0,0,1
KRT222,0,0,0,0,1
NAPB,0,0,0,0,1
KCNC2,0,0,0,0,1
SULT4A1,0,0,0,0,1
AK5,0,0,0,0,1
CELF4,0,0,0,0,1
ARHGDIG,0,0,0,0,1
SLC39A12,0,0,0,0,1
SNCA,0,0,0,0,1
CAMK2A,0,0,0,0,1
RBFOX1,0,0,0,0,1
GDA,0,0,0,0,1
TF,0,0,0,0,1
OLFM1,0,0,0,0,1
PLP1,0,0,0,0,1
HMP19,0,0,0,0,1
FAM107A,0,0,0,0,1
HPCA,0,0,0,0,1
S100A1,0,0,0,0,1
SYT4,0,0,0,0,1
SNCG,0,0,0,0,1
TRNG,0,0,0,0,1
CAPN3,0,0,0,0,1
MAL2,0,0,0,0,1
MAP7D2,0,0,0,0,1
ATP1A3,0,0,0,0,1
TPD52L1,0,0,0,0,1
SERPINI1,0,0,0,0,1
CA11,0,0,0,0,1
TUBB4A,0,0,0,0,1
ATP1B1,0,0,0,0,1
SST,0,0,0,0,1
ERMN,0,0,0,0,1
GNAO1,0,0,0,0,1
CNDP1,0,0,0,0,1
SNCB,0,0,0,0,1
MOBP,0,0,0,0,1
TMEM130,0,0,0,0,1
TRNK,0,0,0,0,1
DIRAS2,0,0,0,0,1
CHGB,0,0,0,0,1
HTR2A,0,0,0,0,1
ELAVL4,0,0,0,0,1
ELAVL2,0,0,0,0,1
GABRA5,0,0,0,0,1
RAB3A,0,0,0,0,1
FBXO2,0,0,0,0,1
SH3GL3,0,0,0,0,1
TRNL1,0,0,0,0,1
SERPINA3,0,0,0,0,1
MGST1,0,0,0,0,1
PLEKHB1,0,0,0,0,1
TRNM,0,0,0,0,1
C10orf116,0,0,0,0,1
RUNDC3A,0,0,0,0,1
INA,0,0,0,0,1
PHYHIP,0,0,0,0,1
GABBR2,0,0,0,0,1
TRNH,0,0,0,0,1
NEGR1,0,0,0,0,1
GABRA2,0,0,0,0,1
ATP6V1G2,0,0,0,0,1
TRNF,0,0,0,0,1
CHN1,0,0,0,0,1
