,liver,brain,lung
1367609_at,10.39769475,10.90755127,9.248070081
1367610_at,11.7975201,12.27501653,12.70075047
1367611_at,5.136399592,5.538771087,4.947742976
1367612_at,13.42260559,8.523578866,11.6034813
1367613_at,12.05053516,10.14332564,11.20011659
1367614_at,7.379766034,6.088961589,12.32029067
1367615_at,3.152053418,3.11918372,3.18626836
1367616_at,4.577741633,4.104391584,4.044001145
1367617_at,8.949291288,12.34413039,10.95282062
1367618_a_at,10.69838456,10.59908561,11.54801188
1367619_at,11.84458119,10.71720767,11.04432989
1367620_at,12.03306159,12.31264664,11.39193546
1367621_at,8.10965198,7.743349206,7.956886557
1367622_at,11.45840714,11.32887941,10.88319466
1367623_at,11.37720399,10.99308879,12.09852865
1367624_at,10.16925931,10.11961429,10.44286071
1367625_at,12.35694164,11.85182311,12.79394348
1367626_at,6.375271794,4.159338292,6.845660112
1367627_at,7.32253066,9.82296912,8.214087329
1367628_at,6.267892424,7.98279833,10.38771852
1367629_at,11.85348839,12.33525868,11.55237748
1367630_at,11.78577955,12.25987747,12.87739175
1367631_at,6.245915317,7.779792584,10.27048975
1367632_at,10.5481558,11.45721983,9.286250501
1367633_at,10.07505865,10.55737458,8.438102158
1367634_at,11.83710308,12.37053935,12.80709579
1367635_at,11.69391628,8.934347492,10.75582909
1367636_at,7.679670323,6.944396621,8.810892515
1367637_a_at,10.34810665,11.38324419,11.20835952
1367638_at,9.211574588,6.983874156,7.091750619
1367639_a_at,11.93673316,11.39073585,12.36459609
1367640_at,11.74406402,11.5467858,12.74309791
1367641_at,12.61358637,11.46182053,11.27357405
1367642_at,10.65810861,10.05753354,9.543414579
1367643_at,10.55386682,10.99565252,11.11928348
1367644_at,7.908671786,6.990421003,7.754396508
1367645_at,12.0153457,12.1660202,13.00292852
1367646_at,10.97405584,11.03867139,11.52760847
1367647_at,13.46953059,6.723121232,6.963321458
1367648_at,8.103182562,8.595816426,7.404196473
1367649_at,6.066367479,7.152137797,6.248482963
1367650_at,6.385866984,4.771788704,7.273316995
1367651_at,9.507382259,9.416590183,10.92124918
1367652_at,9.076368689,5.371316246,7.70352378
1367653_a_at,11.93734574,12.67879414,10.49500984
1367654_at,9.030266848,9.318073689,9.997645165
1367655_at,7.271702356,8.941939788,9.703727784
1367656_at,9.983772815,9.941477163,9.43571906
1367657_at,11.47360685,10.92643967,12.13690486
1367658_at,6.349683008,8.42876707,8.191029642
1367659_s_at,10.7101086,7.497865627,8.919878681
1367660_at,6.121865502,8.499254808,6.550855368
1367661_at,6.004352731,5.496785748,12.46932453
1367662_at,10.69635045,8.630519501,9.267176525
1367663_at,10.70743446,8.390447067,10.79874765
1367664_at,3.831761911,3.256028433,8.671720002
1367665_at,4.413598783,3.588859549,8.029026067
1367666_at,10.02132088,11.25885437,11.60526335
1367667_at,11.78966652,9.484494453,9.735202753
1367668_a_at,8.873726549,12.54174827,11.94902917
1367669_a_at,9.638179659,9.145854804,8.805196671
1367670_at,10.24717744,9.073507179,8.251683622
1367671_at,9.123536271,9.500069929,10.29621547
1367672_at,11.22343189,8.408773027,9.074009738
1367673_at,10.67303547,5.864457257,10.30800774
1367674_at,8.912019752,8.543205937,8.850498515
1367675_at,8.522758621,6.736246247,8.921832749
1367676_at,7.040117582,7.317793354,9.851113828
1367677_at,10.35247507,9.955351526,9.864235191
1367678_at,10.43929469,10.32568661,9.641356289
1367679_at,9.375619969,6.295121269,12.2371133
1367680_at,11.51225846,9.126691573,9.314246659
1367681_at,9.154056037,8.78799085,10.71525348
1367682_at,6.584542098,8.232765318,7.329752973
1367683_at,9.329118452,6.884449366,8.327187831
1367684_at,3.383425489,2.886465186,2.960148399
1367685_at,11.66522603,11.97798751,12.33337316
1367686_at,11.2870315,9.771372956,10.67261437
1367687_a_at,8.55531738,9.494647266,10.07225369
1367688_at,7.609623504,6.848390913,7.253450803
1367689_a_at,11.21859811,3.617647886,10.20447834
1367690_at,10.43001478,8.880871718,9.860687161
1367691_at,10.62821575,8.049937359,10.08553403
1367692_at,3.105349425,2.888074405,2.906464345
1367693_at,9.361039916,12.78198161,10.57544907
1367694_at,10.72900057,9.716272005,10.10280056
1367695_at,11.23717647,11.24306562,8.047244661
1367696_at,7.928041019,6.789016289,10.3388691
1367697_at,9.619578999,8.29898815,9.030504213
1367698_a_at,8.008984199,7.036734492,8.522920377
1367699_at,6.501356978,6.707173993,7.422230406
1367700_at,5.309366333,6.732473448,8.742707208
1367701_at,6.534839262,7.569217802,11.18124052
1367702_at,11.59485209,8.098238181,9.548777694
1367703_at,3.488841466,2.856106826,2.909595056
1367704_at,8.133253355,9.728648132,9.010082142
1367705_at,8.870295721,8.490263975,7.755510559
1367706_at,10.28607213,10.74486418,9.347271462
1367707_at,8.775049406,6.880403079,8.732661571
1367708_a_at,10.36333938,9.164995263,10.40247543
1367709_at,9.934737505,9.83735984,10.96718805
1367710_at,9.76535843,7.889850143,9.531463061
1367711_at,10.84858356,11.18814005,10.80464409
1367712_at,6.18206884,5.069187223,8.42553125
1367713_at,9.026514184,8.891440351,9.07323568
1367714_at,7.206272455,7.445425988,7.742167695
1367715_at,9.173264275,5.797037795,8.892322676
1367716_at,8.232645121,10.08305723,8.281413492
1367717_at,11.74069408,11.60704826,12.64392958
1367718_at,8.098609477,7.629831711,7.760296515
1367719_at,9.376638817,9.693527056,9.756175869
1367720_at,10.92494609,7.351744559,8.806675258
1367721_at,9.805919485,8.314200296,9.915073477
1367722_at,6.92420518,8.089899616,8.229394753
1367723_a_at,7.773568523,7.020546207,9.227820882
1367724_a_at,9.509259721,8.106568337,10.31569831
1367725_at,7.923323364,7.392238094,7.699038364
1367726_at,6.441653459,8.518560063,7.485062927
1367727_at,7.67320476,8.393541239,8.275317243
1367728_at,7.630164655,7.791216689,7.537322734
1367729_at,11.88652743,9.374881288,10.09226885
1367730_at,9.88881724,8.880729404,8.933333112
1367731_at,8.120022368,9.988926623,9.884902758
1367732_at,7.832104469,8.266487984,9.509475343
1367733_at,8.450885591,10.76510586,9.687912102
1367734_at,7.583669839,9.120750118,9.847555698
1367735_at,11.09693685,7.600371157,8.700803669
1367736_at,9.459217157,10.51753347,9.701231681
1367737_at,10.14274626,8.787263725,9.448037022
1367738_at,6.533917432,7.377484878,7.854709617
1367739_at,6.14650374,4.77268815,8.028035386
1367740_at,6.91421749,11.43554326,8.522865178
1367741_at,9.746199877,8.088735093,8.562983725
1367742_at,5.252439622,5.577335495,5.281490598
1367743_at,5.6430938,6.294040986,5.837826382
1367744_at,6.553245788,7.967203324,8.332085567
1367745_at,7.741364261,9.050425614,7.82931795
1367746_a_at,7.015600254,7.4418041,8.055481583
1367747_at,7.90062212,10.07007635,8.444844405
1367748_at,8.822418643,8.228735262,8.026373472
1367749_at,5.803869736,5.948568721,8.534534532
1367750_at,8.495992559,7.782091348,8.030042557
1367751_at,7.688517757,7.566775432,7.06173923
1367752_at,7.985976898,7.216048977,7.466846274
1367753_at,7.008397016,5.73033319,6.623661175
1367754_s_at,10.55186572,5.929664916,6.540436799
1367755_at,12.74027479,9.452144531,9.823157086
1367756_at,9.1218097,7.458972281,7.173542716
1367757_at,11.71279822,12.14037142,11.25345279
1367758_at,7.933736907,3.093571063,3.367977724
1367759_at,7.66737946,8.40043624,9.270854712
1367760_at,8.265058843,10.11176366,8.978417752
1367761_at,7.589713802,7.97547244,7.501050672
1367762_at,4.602009937,9.076271946,4.079050803
1367763_at,10.6596962,8.805778357,9.404197502
1367764_at,8.874549139,9.697021621,9.26183614
1367765_at,9.794601785,7.813433094,9.613878626
1367766_at,10.0879345,9.561003369,9.397242618
1367767_at,9.999773516,6.836014837,7.675083336
1367768_at,4.543799912,8.549655152,8.894598595
1367769_at,8.546055868,9.203532315,9.30194158
1367770_at,9.655902102,9.924833683,10.36697216
1367771_at,8.991295504,9.345126299,9.656584001
1367772_at,8.151590445,8.978452112,8.599661817
1367773_at,9.358808321,7.27292786,7.857768994
1367774_at,12.33541879,9.713467323,10.18290841
1367775_at,11.77018775,8.004221971,7.149700878
1367776_at,3.656451857,3.248953556,6.27759838
1367777_at,11.12058969,8.129620558,8.68611173
1367778_at,7.561204148,4.943918888,6.188266088
1367779_at,6.170362166,9.09441911,7.658068974
1367780_at,5.153291116,4.912559436,6.053580954
1367781_at,3.254138709,2.894491992,2.952849453
1367782_at,5.48114869,5.913032231,7.325246088
1367783_at,10.7070237,11.06735637,10.34737012
1367784_a_at,11.96709033,11.93186887,10.81074385
1367785_at,4.350901343,3.750851569,7.464419136
1367786_at,10.16417295,4.802723021,9.59073192
1367787_at,5.135582206,7.475591427,6.802423334
1367788_at,7.505248418,7.593919328,7.696287154
1367789_at,7.431814007,9.036856295,7.680972591
1367790_at,9.105961231,7.884405947,8.609995755
1367791_at,7.095700123,8.21436899,7.257980176
1367792_at,3.389448321,3.214110365,3.210701726
1367793_at,12.02189501,9.535038987,9.691474466
1367794_at,7.374207305,7.643075091,4.211917352
1367795_at,8.73430727,8.274841048,8.68499815
1367796_at,8.151041099,5.927106867,7.361354671
1367797_at,6.171049295,5.774407913,5.531912638
1367798_at,11.24245552,7.578542255,7.795290845
1367799_at,6.232270044,10.50997687,5.360865381
1367800_at,5.978052806,8.855580488,9.337672738
1367801_at,8.404824765,6.745133911,9.136416844
1367802_at,7.669023316,9.752937846,9.449036798
1367803_at,7.067311491,6.936080909,7.400652229
1367804_at,12.2105961,4.901760922,3.90244964
1367805_at,5.441254698,10.03394109,7.198641977
1367806_at,4.576853871,8.459711192,5.767279982
1367807_at,8.782651043,7.155435399,8.270645649
1367808_at,9.797165147,10.9551927,9.411382218
1367809_at,4.117167271,3.665614117,3.573680236
1367810_at,5.537809595,7.42586974,6.324021009
1367811_at,4.253208366,8.223612369,5.243958487
1367812_at,6.357892037,9.330156255,4.354076555
1367813_at,6.853812041,8.018892663,9.264908176
1367814_at,8.962401742,12.72080323,9.634575007
1367815_at,8.194200733,8.096730694,7.576521721
1367816_at,5.446591081,9.186144508,12.6782924
1367817_at,7.935811821,7.556051336,8.280226678
1367818_at,8.938926148,8.251275218,7.009631286
1367819_at,11.15269894,10.51090149,9.35111011
1367820_at,8.571051608,8.469908388,8.728100311
1367821_a_at,4.418105382,6.082849284,4.277823035
1367822_at,3.513860399,3.403309175,3.380668439
1367823_at,5.633511566,7.035471522,7.576378835
1367824_at,8.962084813,9.179198229,8.940468031
1367825_at,6.142615057,7.154999162,7.231363513
1367826_at,10.01773935,7.588318688,9.786244974
1367827_at,9.292344118,11.15703966,10.81969998
1367828_at,8.865863931,5.941238297,6.470997503
1367829_at,10.18486682,7.771419159,8.04915385
1367830_a_at,6.679660023,6.610900065,6.452604351
1367831_at,7.538726399,5.916625575,7.629637253
1367832_at,10.3238376,8.268924043,9.320817262
1367833_at,9.486337813,10.35404861,8.974626001
1367834_at,7.797358842,6.92464812,6.519946849
1367835_at,5.23608666,10.38772543,5.655367927
1367836_at,8.754893135,6.136234274,6.420698286
1367837_at,9.895520506,9.268555349,9.362709996
1367838_at,12.31213124,5.488349526,6.084238317
1367839_at,10.03814012,8.417910561,7.557231501
1367840_at,8.586268763,9.177323182,8.988960087
1367841_a_at,2.96421608,2.825765845,2.936764393
1367842_at,5.964561074,9.477206287,6.747714829
1367843_at,9.295559073,6.664240013,6.447084714
1367844_at,7.331533373,8.09726534,9.389377586
1367845_at,3.843715591,11.12428894,3.071510534
1367846_at,6.299668146,5.810882626,11.2244742
1367847_at,9.555867584,5.710095408,8.299492006
1367848_at,7.193179158,10.20397102,8.779984695
1367849_at,9.393799875,5.54990613,9.514239934
1367850_at,7.536521135,6.421595448,10.53673523
1367851_at,3.92206641,12.89998282,4.25796462
1367852_s_at,5.675686503,8.998261758,6.543291426
1367853_at,7.932721957,10.58758577,10.20460584
1367854_at,10.5708491,9.626833717,10.24528475
1367855_at,8.250371312,6.284326693,7.334270174
1367856_at,7.622349682,8.992118732,9.111112405
1367857_at,10.99721744,9.894348235,10.17466199
1367858_at,3.657320276,3.677323081,5.492467838
1367859_at,4.859685421,4.949605665,6.843150592
1367860_a_at,10.00871984,7.423041255,9.313525814
1367861_at,4.945903596,9.285396513,8.633478636
1367862_at,4.225312162,4.280447681,6.136009766
1367863_at,7.847260528,7.51447287,7.38293846
1367864_at,5.274641804,10.16284679,6.67133607
1367865_at,8.104641294,8.762617672,8.383303813
1367866_at,5.388796738,4.576002389,8.341402392
1367867_at,8.558428606,6.466991279,6.815250834
1367868_at,6.64102379,5.715149706,5.715742672
1367869_at,9.493030482,11.00472288,9.879479587
1367870_at,10.04258445,10.35564934,9.877987784
1367871_at,13.17274877,6.32501508,7.619190534
1367872_at,7.654412592,7.978222865,7.144138139
1367873_at,9.013951358,10.5708835,9.695112074
1367874_at,6.660159441,8.024595386,7.788619325
1367875_at,8.413666574,8.007697527,8.296370404
1367876_at,6.644909414,7.716229625,6.886608513
1367877_at,7.619290893,7.689326612,7.618690022
1367878_at,8.686788518,7.838492186,8.62293733
1367879_at,7.357192404,6.454338859,6.855092614
1367880_at,5.660426997,6.569839714,9.783735929
1367881_at,7.342898965,9.247365987,8.952756715
1367882_at,6.231616069,9.007942244,5.875987862
1367883_at,6.883624629,6.976343377,7.237638337
1367884_at,9.567182583,9.746804999,9.527153444
1367885_at,11.51068161,7.202471678,6.071184636
1367886_at,7.860880126,6.992782535,7.466346188
1367887_at,11.73836456,7.520664864,6.134933643
1367888_at,3.653590364,5.284993216,4.204474427
1367889_at,8.175631622,8.047391164,8.161282567
1367890_at,6.86802659,7.041488851,8.853448272
1367891_a_at,5.142243148,4.893614709,6.359731327
1367892_at,9.697439743,8.895012674,7.007345814
1367893_a_at,7.246291731,7.319146725,7.332623276
1367894_at,9.819619199,8.114772608,8.797654082
1367895_at,10.2266653,10.78365206,11.16564425
1367896_at,11.67595306,5.797630401,9.385528811
1367897_at,10.07231547,7.67749591,7.938671969
1367898_at,9.299564194,10.37729688,10.87504791
1367899_at,6.784528112,8.192761605,11.33208149
1367900_at,7.968567415,8.982881209,10.56915794
1367901_at,9.003479786,6.319026624,8.267991746
1367902_at,7.880436829,7.232468767,9.973961496
1367903_at,8.904633616,8.617057243,7.561516772
1367904_at,9.020111032,10.40972202,3.711760663
1367905_at,10.49501109,4.830834744,8.577649476
1367906_at,9.111730407,7.685191607,7.765590894
1367907_a_at,7.978154619,8.923241239,8.028508771
1367908_at,11.29149391,8.889572736,7.549661484
1367909_at,10.27669151,5.800424462,6.750966986
1367910_at,7.511743507,6.61617147,8.098639879
1367911_at,6.8892574,9.239403653,7.355478287
1367912_at,5.985519371,4.574725594,8.77242047
1367913_at,6.171019622,7.097263712,6.845166702
1367914_at,6.405523331,5.543398627,8.987300855
1367915_at,8.560940378,7.554478393,7.427458708
1367916_at,5.732978345,5.897228102,6.832359803
1367917_at,12.81342887,5.151461917,3.524029198
1367918_at,5.695245632,11.09678701,4.60035837
1367919_at,5.752402622,5.927093088,7.475022804
1367920_at,3.718081962,3.531853504,5.020288105
1367921_at,7.692007264,7.621826823,7.920087171
1367922_at,7.682243195,6.985906256,9.97814877
1367923_at,5.728018689,9.078652228,5.284017776
1367924_at,6.640968438,7.40248854,7.229109973
1367925_at,7.848467277,6.026666885,9.02369812
1367926_at,8.057977533,7.141695193,7.034500708
1367927_at,9.910444517,9.230867409,8.989420911
1367928_at,3.525977158,2.727940322,2.891708938
1367929_at,9.913778841,10.37060582,11.83586624
1367930_at,3.697199103,10.97198781,3.371080008
1367931_a_at,8.675020809,6.814175207,9.31071375
1367932_at,11.91614885,10.84974094,9.430887502
1367933_at,8.854654913,9.585299916,8.115997051
1367934_at,6.177116774,5.893094672,6.690254492
1367935_at,8.585780375,8.072949199,8.684387369
1367936_at,7.376653016,6.090007851,8.746888326
1367937_at,8.212215475,4.524874926,4.246215395
1367938_at,10.68416677,7.998845111,8.298437912
1367939_at,11.25503047,6.028355228,8.634587889
1367940_at,5.477013957,6.466413318,9.324691596
1367941_at,8.820362252,7.877423143,8.037607355
1367942_at,7.596789584,4.114577307,8.468100503
1367943_at,7.245874403,6.405643268,6.420045718
1367944_at,5.628395707,8.166795529,5.039041986
1367945_at,10.05111603,7.874179317,8.085264969
1367946_at,8.290703158,5.852337818,8.910469659
1367947_at,8.213793772,8.683360559,8.433338244
1367948_a_at,9.983559567,7.10283403,11.68013072
1367949_at,5.075181638,9.990894638,4.660323479
1367950_at,8.565619089,6.455160181,7.480240185
1367951_at,5.09338314,3.981472817,5.644715749
1367952_at,5.514283827,4.759575133,8.322489625
1367953_at,3.620765878,8.729373869,4.496572376
1367954_at,5.357191392,5.355137498,4.525990142
1367955_at,6.66382171,7.444331795,6.839018078
1367956_at,4.577502649,10.24513297,5.944056974
1367957_at,8.648971425,8.140026881,8.726459893
1367958_at,8.322026014,9.280545251,9.424829983
1367959_a_at,5.96708102,8.648890875,4.548857712
1367960_at,7.888335424,7.874750933,7.95251674
1367961_at,4.078746845,3.556234963,3.369823108
1367962_at,5.562385495,4.122805485,5.351332419
1367963_at,6.880061923,7.31325229,6.735379532
1367964_at,6.786092156,5.196421092,7.328683375
1367965_at,6.242688866,6.602221983,6.262211296
1367966_at,8.636881646,7.439890364,7.74318494
1367967_at,6.793400037,5.357083219,6.139812965
1367968_at,3.151811878,2.933557715,3.3220642
1367969_at,10.05114602,9.393241554,10.92470473
1367970_at,4.5573517,9.881620714,5.524352383
1367971_at,9.576613388,9.539363352,10.74725095
1367972_at,9.397284388,9.359241283,9.457553213
1367973_at,4.114735484,3.55314595,6.54758612
1367974_at,8.23237729,8.184257552,10.13959299
1367975_at,5.40959131,4.722026314,6.226623797
1367976_at,7.706212461,7.74069514,7.681710159
1367977_at,4.319091152,10.53829385,4.191500919
1367978_at,5.557404808,9.095583419,7.803114172
1367979_s_at,11.29719735,9.762829451,8.732330733
1367980_at,7.980880196,9.084153808,7.874466019
1367981_at,7.328956659,8.293329384,7.094159573
1367982_at,10.51900569,7.8155243,8.65231651
1367983_at,6.111418986,6.369503558,5.982357635
1367984_at,5.575565315,5.927653738,5.468623066
1367985_at,7.6485272,5.21970413,8.38933793
1367986_at,6.0026596,6.433786254,8.376219913
1367987_at,8.449994187,8.931695807,8.752072965
1367988_at,12.43279602,5.095100578,6.944202237
1367989_at,3.643908585,3.370400786,3.759416441
1367990_at,4.590506472,4.038263089,3.839138476
1367991_at,8.694929332,6.453779593,7.403571836
1367992_at,3.719163531,11.97097015,4.915629765
1367993_at,6.564204976,7.500108268,7.906072968
1367994_at,10.46251093,4.495660343,6.65776816
1367995_at,12.26126892,8.977113189,10.86460174
1367996_a_at,6.510322,7.962211405,6.421795546
1367997_at,7.589807595,7.425509947,6.813424985
1367998_at,8.505549674,4.6243507,9.114855341
1367999_at,11.16280206,7.854309244,10.34029169
1368000_at,13.56657292,6.923357971,10.192924
1368001_at,4.322256525,6.701854291,4.750306856
1368002_at,7.130283754,6.940772753,7.170142117
1368003_at,5.284529836,6.258309431,7.913950812
1368004_at,8.897209648,8.253230143,8.661493117
1368005_at,4.947387367,4.580181731,6.040820035
1368006_at,6.985753216,6.458424188,9.832989081
1368007_at,6.834032864,4.085111176,5.614784717
1368008_at,8.032029266,7.276115722,10.05177396
1368009_at,9.13021585,6.890136519,6.81928591
1368010_at,7.547863969,4.642762374,8.648816621
1368011_at,7.518668737,6.381344215,6.387672727
1368012_at,7.05385833,5.961760408,8.11501116
1368013_at,4.777127932,4.851577966,4.69221021
1368014_at,3.533414074,3.980109449,3.546158234
1368015_at,5.29823708,4.675340448,4.507691811
1368016_at,11.62607865,7.70684403,8.582718791
1368017_at,4.746349579,4.144111395,5.3584459
1368018_at,8.873524206,7.423320215,8.355288935
1368019_at,7.470884084,7.782295098,7.130605945
1368020_at,7.336962142,5.837670995,5.064563241
1368021_at,13.25028161,6.647908348,8.481104317
1368022_at,6.802561135,6.702227181,7.814042278
1368023_at,6.601761383,5.559218855,6.787441501
1368024_at,6.521350635,5.522269079,6.646856163
1368025_at,5.45542811,8.729834024,7.43930886
1368026_at,6.738584576,7.29486129,7.107806454
1368027_at,5.949689771,4.924143133,6.969140553
1368028_at,4.722677038,5.782651574,5.013175815
1368029_at,10.0113044,8.468596222,10.05385163
1368030_at,8.677214265,6.843466284,8.224045135
