,brain,muscle,lung,liver,heart
NM_004402,1.13478,0.0206123,0.555288,0.482653,0.368138
NM_207356,5.85602,5.12312,4.04653,5.3169,2.78626
NM_018836,2.14817,0.0747345,0.173656,0.0616154,8.08E-06
NM_015102,0.574805,0.209003,0.94505,0.330775,0.282727
NM_001199861,2.34672,0.0384954,0.453909,0.0611858,0.0872448
NM_003636,1.6906,0.0506175,0.532475,0.107462,0.202048
NM_172130,2.06641,0.0618638,0.539822,0.131334,0.246927
NM_001199860,1.22601,0.0357177,0.276104,0.0470262,0.0809493
NM_001199862,1.4769,0.0515259,0.184857,0.422051,0.11264
NM_001199863,15.3944,0.606395,2.17564,1.19209,1.32561
NM_015557,4.80054,0.027451,0.0492468,0.00184444,0.00860895
NM_000983,69.8152,92.8127,141.613,50.964,49.0432
NM_207396,0.327757,0.26562,0.356664,0.362549,3.68825
NM_012405,7.89394,25.4789,10.5575,9.03625,16.2289
NM_207370,0.756595,0.282866,5.1683,5.17832,1.15754
NM_181864,2.42238,0.0195391,0.734193,0.0861396,0.0250763
NM_181865,10.1801,0.251915,1.12073,1.11057,0.323303
NM_181866,12.7475,0.315492,1.87359,1.39084,0.404897
NM_019089,0,0,0.513852,0.00836754,0
NM_031475,0.00579244,0,0.584002,4.53269,0.00942376
NM_148965,0.087884,4.02E-05,0.72324,0.0218285,0.129892
NM_001039664,0.851923,0,0.958867,0.208149,0.312781
NM_001042663,0.493694,0.0192606,0.20524,0.0170323,0.164531
NM_001042664,0.471958,0.0233883,0.197001,0.0206825,0.199788
NM_001042665,0.507315,0.0251404,0.211761,0.0222319,0.214757
NM_020631,0.934093,0.031817,0.267996,0.0281361,0.271792
NM_024654,3.47081,6.62544,1.18401,2.02074,2.44905
NM_005341,1.26848,1.99549,3.44658,1.15871,0.697387
NM_014851,5.31042,62.2227,8.94756,4.22235,12.5181
NM_153812,6.32542,6.16487,12.5819,1.60746,2.03551
NM_001195752,2.26602,3.62019,4.56385,1.25134,1.16004
NM_138350,0.145252,0.0674478,0.404277,0.798213,0.221781
NM_018198,5.54,5.53698,2.20188,6.35065,8.7915
NM_001195563,4.4595,22.5115,23.9961,12.4007,29.0248
NM_015215,18.3394,0.389763,2.51847,0.0605668,0.508365
NM_004781,60.877,30.0465,61.9533,12.7468,29.5479
NM_016831,6.39345,4.11029,5.25763,1.44238,5.05326
NM_006786,0.126748,0.193389,1.8577,0,0
NM_021995,0.0150887,0.0230221,0.881819,0,0
NM_001561,0,0,0.312325,0.00297395,0.0277618
NM_001123377,60.2084,41.1449,45.3232,53.2662,33.9871
NM_007262,17.3408,11.8501,13.0536,15.3416,9.78756
NM_018948,16.3416,42.6416,30.9086,103.782,9.48596
NM_001080397,2.19779,0.0454912,0.198197,0.0371155,0.270249
NM_001042681,1.75777,1.9104,0.699074,0.162286,1.11483
NM_001042682,13.1305,44.5062,14.7641,4.15853,30.8934
NM_012102,1.34752,1.21061,0.442769,0.102792,0.738781
NM_001428,176.064,63.0082,159.779,165.904,29.7494
NM_003039,4.29263,1.86931,0.0985776,0.049447,0.380203
NR_024180,5.77396,0.943151,0.280018,0.140458,0.224953
NM_024980,0.0886952,3.19378,1.18314,0.386445,1.09667
NM_004285,2.19004,19.1248,9.26684,30.4973,7.0621
NM_025106,4.5342,13.9465,17.8064,7.00449,2.65284
NM_032315,9.43559,13.1471,2.80116,15.2488,5.38645
NM_001010866,1.82043,6.84071,0.300201,0.442366,2.15479
NM_001130924,0.394289,1.99345,0.531459,0.134309,0.198655
NM_005026,1.06816,0.241592,4.70033,0.424862,0.580251
NM_001009566,39.4953,6.43277,9.34873,1.00563,5.00119
NM_014944,44.3849,7.2327,10.5113,1.12924,5.62304
NM_001012329,4.96349,0.715274,4.45786,1.87412,5.60971
NM_020248,3.95016,0.569259,3.54777,1.49154,4.46432
NM_032368,10.9316,4.34724,3.47236,3.49617,7.28415
NM_022787,1.75807,2.24499,1.1621,1.90909,4.43113
NM_052960,10.1485,1.42933,5.83639,4.35367,23.1403
NM_001105562,2.00195,10.7772,1.27131,0.828837,5.76153
NM_006048,6.40376,8.60136,2.36786,2.92588,5.1171
NM_015074,41.1099,11.9547,3.63239,3.06978,1.62301
NM_183416,1.77242,61.5602,3.54548,2.20822,16.3893
NM_002631,18.9009,8.6516,27.8431,23.454,5.68618
NR_036462,3.45461,0.488349,2.52851,2.57527,1.45683
NM_001302,1.36077,0,0.302279,0.181801,5.12E-11
NM_004401,2.7452,4.71474,2.76937,1.4124,2.22446
NM_213566,1.02754,0.345819,1.18368,1.23702,0.934212
NM_004565,4.67257,3.07047,3.44262,4.06243,2.04731
NM_001079843,0.069354,4.76474,2.09934,0.184616,2.10428
NM_017766,0.0515398,0.274828,1.18868,0.0883121,0.459514
NM_001170754,0.0148157,1.49197,0.0172355,0.0129104,0.138597
NM_007375,26.5061,18.2972,35.302,17.8947,17.6753
NM_006610,2.71983,0.27453,0.356969,30.5515,0.707985
NM_139208,0,0,0,25.823,6.40E-31
NM_003132,7.64782,20.1264,8.16172,12.2226,5.92055
NM_001001998,2.05601,2.25034,1.83849,1.07945,1.54883
NM_004958,5.05174,13.5558,2.23437,3.74229,4.424
NM_021146,0.0731121,1.74302,0.531582,0.00796374,0.62447
NM_013319,3.14017,6.431,2.60466,3.70212,2.31306
NM_020780,0.521723,0,0.00304227,0,0
NM_012168,35.6028,0.258967,3.40765,3.596,0.470556
NM_183412,1.96848,0.0886272,0.57036,0.170287,0.180611
NM_001014765,1.34347,0.00375487,0.577569,0.0526796,0.236937
NM_033182,2.60318,0.0404396,0.667072,0.140631,0.152549
NM_183413,3.92414,0.0961918,0.649965,0.334515,0.27345
NM_018438,1.37322,3.12271,5.61174,2.38175,1.67558
NM_001127325,0.767355,2.45073,2.19357,2.10833,0.722883
NM_006341,1.75066,6.06654,7.26773,3.77046,1.29276
NM_198545,0.346076,0,0.0178933,0,0
NM_001040194,0.426275,1.36421,3.17962,0.647524,0.495078
NM_001040195,0.649646,2.51506,5.86236,0.822096,0.91268
NM_001040196,0.617351,1.62204,3.34078,0.218932,0.252009
NM_001040197,0.443448,1.16515,2.39989,0.157262,0.181021
NM_020350,0.297932,0.953501,2.22255,0.452574,0.346018
NM_005957,1.65055,1.83314,4.0133,1.97173,4.249
NM_001286,10.1215,2.1177,3.62553,1.33892,2.54694
NM_006172,0.359247,0.274066,0.297188,0.187829,180.579
NM_002521,0,0,0,0,12.3471
NM_138346,5.08705,14.3565,7.40923,11.006,6.81859
NM_000302,4.19411,6.77329,10.846,23.3347,7.59328
NM_001127660,10.5158,27.221,7.48953,7.83882,36.4327
NM_014874,10.9017,31.7427,5.29827,6.77449,46.3959
NM_021933,1.39102,5.19789,2.707,1.27947,1.29916
NM_152942,1.48E-08,0.429565,0.349289,0.0679254,0.133862
NM_001066,3.30589,4.53881,36.0842,6.61507,3.59011
NM_015378,2.95047,3.17825,1.41096,0.900374,4.557
NM_018156,3.23242,3.48226,1.54653,0.964058,4.92975
NM_004753,6.62518,14.9901,35.0975,60.2878,12.2341
NM_152290,0.0401435,0,3.06663,0,0
NM_001146181,3.84068,1.53283,7.33625,1.45646,0.867837
NM_001013631,0.514002,0.20514,0.981844,0.194921,0.116144
NM_001010847,0.600301,8.97119,0,0.00934112,0.0348798
NM_006474,1.03444,4.08231,3.88224,0.0140512,1.25135
NM_198389,1.07959,4.26048,4.05186,0.0146644,1.30594
NM_001006624,1.38416,0.886549,1.70754,0.0511812,0.318789
NM_001006625,1.44865,0.927771,1.78694,0.0535678,0.333664
NM_001135610,4.41742,3.07809,4.08786,0.610463,0.514348
NM_012231,2.27488,0.357518,0.0725497,0.0022245,0.486344
NM_001007257,6.75457,6.86774,4.17357,1.79165,4.89373
NM_015209,1.47472,0.0148499,0.300641,0.0750518,0.0649597
NM_201628,1.89423,0.058564,0.512699,0.114778,0.116182
NM_001018000,1.83759,0.0205588,1.44023,0.170859,0.211082
NM_001018001,6.12086,0.0595609,1.27852,0.301023,0.260545
NM_001017999,5.03897,0.0563833,0.90254,0.28496,0.246642
NR_027136,0.226537,0.0503348,0.177371,2.15E-05,0.0375604
NM_001136216,0.146939,0.0447374,0.815781,0.0909839,0.151871
NM_001136217,0.307248,0.0935461,1.70577,0.190249,0.317564
NM_001136218,0.0689507,0.0609918,1.5662,0.12404,0.0924597
NM_018022,0.145879,0.12904,3.31344,0.262433,0.195616
NM_052929,0.321463,0.0214586,0.894402,0,0.00653739
NM_024329,18.872,1.09657,28.1379,3.98601,2.75804
NM_032996,1.94287,1.28865,3.31648,1.60544,1.84473
NM_015291,4.27394,6.58325,2.19046,5.34834,3.19774
NM_024758,0.633338,0.41922,0.158913,18.0988,0.106069
NM_032341,1.1182,6.75285,1.57281,0.963271,1.54084
NM_006511,4.38498,20.8306,5.93144,6.58656,4.95177
NM_015164,14.0969,29.3105,11.2214,2.27001,9.16241
NM_207348,0.453033,4.04573,0.0620028,0.447023,3.27876
NM_001013641,0,0,0,1.53605,0
NM_017556,0.242864,0.0436242,5.505,0.0482295,3.26671
NM_001024216,0.980582,0.868601,16.7884,0.653766,10.2266
NM_001089591,59.3444,39.2408,43.4299,27.43,143.059
NR_024279,2.13738,1.32504,1.19826,0.54147,0.862407
NM_015001,6.45109,10.795,8.33223,2.38765,3.36289
NM_003443,1.64309,4.58292,3.33854,1.41883,1.35472
NM_178840,2.3762,0,0.017223,0,0.614202
NM_182623,3.03009,0.073385,0.0466267,0.0523893,1.16395
NM_004431,1.09386,1.15334,11.4526,0.764351,1.4984
NM_153213,0.047267,0.139087,0.738395,0.564871,0.313089
NM_018994,3.91056,11.3933,5.28746,2.52131,6.91558
NM_001114600,3.73979,10.7707,13.561,7.60679,8.74279
NM_015609,4.93372,14.1953,17.8551,10.0304,11.5289
NM_001145277,2.7192,0.529148,11.7765,3.13151,1.31881
NM_001145278,2.29864,1.03421,12.4012,3.40972,2.23442
NM_018090,1.42841,0.481718,6.11779,1.70028,1.10388
NR_023386,0.670594,0.11627,0.333914,0.149409,0.176667
NM_017940,2.21548,0.668875,1.06383,1.23639,1.06981
NR_026752,5.4812,2.74056,5.28447,9.28,2.04554
NR_027504,0.17846,0,0.349021,12.0825,0.0441819
NR_002729,0.111664,0.0248463,0.552081,4.77601,0.0302778
NM_014675,0.408693,0.487609,1.39892,0.149952,0.302457
NM_001141973,2.78307,1.05998,1.0042,0.189537,0.242952
NM_001141974,2.69615,0.945288,0.405069,0.0928658,0.251069
NM_022089,2.58149,0.98312,0.931438,0.175804,0.225346
NM_003000,16.4161,37.1622,18.2175,52.3945,65.33
NM_007365,44.5252,85.5742,1.54152,0.102125,0.0381335
NM_012387,0.00903007,0,1.65277,0.110163,0.0220366
NM_001136204,2.88855,1.72586,9.61316,1.76129,1.70189
NM_018715,1.37457,1.43372,4.83201,0.873504,1.22321
NM_018125,0.686452,2.1025,0.700759,1.87099,1.05685
NM_001011722,1.61365,5.95219,1.59505,5.42606,2.75485
NM_032880,5.6709,0,0.465101,0.0825132,0.213962
NM_152375,0.00808903,0.00617105,0.100375,0.281951,0
NM_001135254,0.293973,0.252626,0.00786175,0,0.00274866
NM_001161504,3.48681,4.73892,1.14175,47.9537,2.22802
NM_003748,2.09833,2.37567,0.490311,30.3547,1.43908
NM_001136265,4.87229,1.10709,5.0129,1.65858,0.687176
NM_020765,3.71921,17.7128,5.38235,2.88968,4.70992
NM_015047,10.0383,5.44171,5.19888,5.56386,4.7581
NM_016183,6.19082,3.33625,4.08249,5.81027,1.94704
NM_001145289,0.241814,3.63E-07,1.29E-09,1.06314,3.47E-22
NM_201252,0.627303,0.134861,0.0891146,1.59219,0.07909
NM_012067,0.412029,0,0.140601,18.1388,0.0268133
NM_003689,7.47845,12.98,11.7279,15.0748,7.2805
NM_001040126,0.992742,0.24116,0.404365,1.81005,0.354749
NM_017765,0.272642,1.68453,0.739606,1.42776,0.529374
NM_004930,34.3158,53.6268,92.5028,32.102,39.4439
NM_001032363,3.68605,3.13954,3.9205,2.33497,6.59643
NR_033757,3.34633,1.19094,2.20501,1.02314,2.62887
NR_033758,2.70425,2.06347,2.57626,1.53459,5.0004
NM_182744,6.70331,1.83152,64.9816,0.514672,2.24233
NM_005380,9.26839,4.35371,112.064,0.711561,4.07647
NM_181719,0.371374,0.64009,1.85612,1.19858,0.637758
NM_015207,4.8668,1.42046,2.36694,0.451454,0.988451
NM_000300,0.00610416,0.519679,1.44965,46.6876,3.4288
NM_001161727,0.0114591,0.975596,2.72127,87.4955,6.43602
NM_000929,0.604738,0.337774,1.44051,0.781044,13.5895
NM_012400,0,0,0.863136,0.0135638,0.0253237
NM_152376,2.80095,0.0210007,8.97197,0.437775,0.834122
NM_024544,5.86633,9.04596,4.66579,6.0183,9.8215
NM_207334,1.49715,0.0302159,0.184304,0.00690273,0.360848
NM_001785,1.00239,0.423035,4.49903,11.6899,1.64815
NM_032409,50.6637,80.8331,18.8262,28.999,54.9793
NM_005216,11.9005,14.6861,24.868,35.411,13.5152
NM_001122819,0.477652,0.17491,0.829792,0.0832453,0.255332
NM_020816,0.470131,0.172156,0.816727,0.0819346,0.251311
NM_001103160,3.53068,0,0.0140658,0,0.00590131
NM_001103161,2.04014,0,0.00709392,0,0.00297625
NM_016287,30.5414,18.7632,32.8413,12.3683,21.2712
NM_001198801,2.3866,2.24036,1.31298,0.674471,1.18858
NM_001198802,2.92131,2.4737,1.49819,0.73017,1.18264
NM_003760,9.12969,7.61437,3.89595,2.01304,3.23244
NM_001198803,0.322234,0.000484258,0.665168,0.0642208,0.0470546
NM_001113347,1.40713,1.35969,6.71145,2.43196,1.81043
NM_001113348,2.3614,1.98606,11.6654,3.26704,2.86615
NM_001113349,2.67041,2.12157,11.7513,3.63233,2.79829
NM_001397,2.57771,2.04818,11.2815,3.50655,2.70105
NM_032264,0.673443,0.0497191,0.855036,0.246094,0.344593
NM_000478,1.19148,0.0782993,4.11663,7.6415,1.13261
NM_001127501,1.23087,0.0762783,3.59781,4.96129,0.53304
NM_001177520,1.80653,0.202806,6.02903,5.96084,1.02336
NM_001145657,2.75097,0.00766202,0.303072,0.379516,0.0750143
NM_001145658,4.95134,0.0240091,0.949674,1.18921,0.235058
NM_002885,3.72878,0.0196777,0.77834,0.974667,0.192652
NM_032236,6.06873,2.4003,3.5249,1.72794,3.98232
NM_001032730,3.65015,0.946455,1.97303,1.25032,2.15572
NM_001013693,0.224533,1.63608,7.85963,1.63198,0.706685
NM_005529,0.316297,2.84308,5.19658,1.29185,7.68817
NR_023919,1.38557,2.54226,3.0272,2.30559,5.67333
NM_001039802,14.7396,12.8489,37.7824,11.2346,13.036
NM_001791,41.3194,34.4182,107.763,33.7632,36.1947
NM_044472,34.9194,0.461561,1.1873,0.211805,0.928775
NM_030761,0.277597,0.599366,0.288407,0.00912822,0.0170424
NM_001083621,0.303419,0.880286,0.597881,0.390707,0.660789
NM_014870,0.581837,1.68818,1.14645,0.749197,1.26706
NM_015991,14.6413,9.43599,170.817,41.2783,24.8201
NM_001114101,6.6978,2.81452,29.6106,13.8422,10.8326
NM_172369,9.89358,4.15698,43.4009,20.4481,16.0047
NM_000491,26.2521,13.9744,157.12,58.5047,33.9287
NM_004442,0.720415,0.0223013,0.320637,0.0236538,0.0585682
NM_017449,0.729269,0.0225778,0.324614,0.0239471,0.0592944
NM_001009999,3.33083,4.9295,3.28472,1.74021,1.9611
NM_015013,4.25247,7.87824,5.25068,2.78137,3.13441
NM_001142546,4.52405,0.351261,6.81201,0.697889,2.50969
NM_033631,4.00853,0.300468,5.82509,0.596952,2.1461
NM_000864,0.505015,0,0.0783328,0,0
NM_001102397,15.3008,6.30742,14.8638,5.95806,5.66905
NM_001102398,5.7213,2.80163,5.57656,2.38277,3.05351
NM_001102399,14.2684,5.88151,13.8625,5.55579,5.28582
NM_005826,6.112,2.99236,5.9539,2.54471,3.26133
NM_001077195,3.71558,0.997963,1.1267,0.551124,1.71248
NM_030634,4.97776,1.11679,1.11077,0.953861,1.66527
NR_033690,0.750882,0.547726,0.0812785,0.0256539,0.168879
NR_033691,2.02087,0.0487442,0.733845,0.0773893,0.253715
NM_003196,1.74096,97.389,4.86073,14.5639,12.5464
NM_001143778,1.24363,11.9745,1.88136,1.33614,2.27707
NM_017707,1.27594,10.5097,1.64994,1.17186,1.99696
NM_004091,0.00393859,0,0.678115,0.00343209,0.0544656
NM_002167,6.14546,8.32267,28.2025,7.27859,14.2479
NM_003198,6.1529,6.46489,10.9814,15.6847,7.25689
NM_020362,95.2797,24.3288,18.4833,14.9769,14.5144
NM_007260,2.204,6.72564,9.66981,10.7332,3.12468
NM_000403,0.246958,0.110773,1.03399,1.93413,0.23724
NM_001008216,0.557015,0.249849,1.35973,3.57251,0.202622
NM_001127621,0.746579,0.149003,1.58372,2.1306,0.120839
NM_000191,1.41248,2.09812,2.50295,26.0794,2.98419
NM_001166059,4.20721,6.64158,4.91536,25.3997,4.31247
NM_000147,6.1253,3.75162,11.7188,21.2915,4.32249
NM_017761,20.8344,14.0328,81.4804,12.5218,29.5398
NM_001191006,0.9437,0.769815,2.57957,1.74759,1.68967
NM_001191007,0.407492,0.819736,2.55397,3.16098,1.36523
NM_001191009,0.641021,1.23542,3.34285,4.9952,2.2461
NM_006625,0.395296,0.795217,2.47762,3.06638,1.32437
NR_034035.1,4.18848,0.90813,1.99493,1.15532,1.64132
NM_001191005,5.25498,3.41834,5.78132,3.1935,3.5501
NM_054016,5.15331,3.35219,5.66943,3.13171,3.48141
NM_152372,0.0211584,20.2819,0.0246141,0.0215103,37.2798
NM_021258,0.0146198,0.0223066,0.113384,1.08288,0.0178388
NM_173064,0.0514939,0.353305,0.433139,0.427152,0.136288
NM_021180,0.423047,0,0.0763745,0.0396063,0.00616209
NM_001199012,0.517829,0.0561416,0.403657,0.0642542,0.118387
NM_001199013,0.891127,0.10623,0.763774,0.121581,0.224012
NM_001199014,1.02562,0.371558,0.271795,0.0432654,0.079716
NM_178122,1.37241,0.260258,1.64834,0.181322,0.434206
NM_020448,32.4249,0.454359,5.69479,1.1168,8.68678
NM_013441,2.69658,0.192863,2.44611,0.304216,1.17511
NM_001010980,0.199918,0.250282,0.791132,0.183142,0.112586
NM_005839,13.6891,9.45174,18.7696,7.26687,6.63561
NM_001031680,0.0658421,0.0806732,2.44834,0.448477,0.111988
NM_004350,0.091147,0.111678,5.75865,0.128528,0.155028
NM_015484,10.5677,12.1817,12.5989,4.2601,7.17335
NM_207170,1.83163,6.10218,4.39632,3.7055,2.1449
NM_020317,2.91788,5.03785,33.8795,4.79331,3.91808
NM_016124,0.0818355,0.00381298,0.587574,0.106949,0.0944125
NM_014313,33.0717,13.4717,45.2586,12.6276,16.2378
NM_018202,9.01121,28.0372,4.52348,17.6192,4.14463
NM_015627,3.65856,3.18981,6.96648,6.35793,1.65526
NM_020379,6.05095,0.658067,5.15367,8.54673,3.49282
NM_020451,3.68906,9.24153,7.86579,2.09994,5.52853
NM_206926,5.67491,8.00532,12.5617,3.38168,7.8371
NM_001099625,2.73705,7.86396,3.20047,3.84812,14.9316
NM_001099627,6.05412,10.5064,3.92627,5.63041,24.4416
NR_024498,1.56364,0.19544,0.341735,0.255444,1.55026
NM_019557,1.32323,4.00673,1.49026,1.58219,8.07238
NM_001099626,4.49578,4.71135,2.55167,3.45786,13.2066
NM_024037,0.912996,0.257408,0.223197,0.172953,0.452066
NM_178422,3.07169,1.10974,3.74653,0.837197,0.698969
NM_001145454,6.06033,5.80E-13,0.167614,1.54E-11,3.21E-13
NM_005563,171.111,2.11444,11.009,0.882561,5.09846
NM_203401,16.7521,0.207039,1.15553,0.0864214,0.499224
NM_000437,1.15945,1.81699,1.44848,4.89743,1.66795
NM_004455,2.65473,0.108844,0.051373,0,0.509824
NM_001004434,0.0137716,0.923505,0,0.00171437,0.176531
NM_032513,0.0469108,0.574455,0,0.00583973,0.305863
NR_026685,1.66874,0.776214,0.30735,0.594284,0.404672
NM_152835,2.60693,1.35534,0.536663,1.03769,0.70661
NR_026686,1.05782,0.549873,0.217738,0.485653,0.286692
NM_024869,0.952868,1.17743,2.59169,0.327454,1.75765
NM_015871,2.17452,16.1565,5.69482,7.99145,1.84578
NM_006314,0.0895152,3.79014,0.977717,0.0195009,0.0576464
NR_023345,0.104874,4.4404,1.14547,0.0228469,0.0675374
NM_022778,3.58124,13.2084,1.51569,0.856041,11.4963
NM_031286,23.333,12.2449,153.488,33.296,16.0557
NM_001077262,0.165202,0.133066,1.49078,0.505105,0.33534
NM_145345,0.891199,0.101037,1.46727,0.21148,0.196682
NM_183008,0.995085,0.0957217,1.09164,0.0604146,0.133656
NM_001803,0.659185,0,137.797,3.45946,1.7361
NM_001039775,0,0,0.178433,0,0
NM_001114759,0,0,0.292348,0,0.00494572
NM_173574,0,0,0.303162,0,0.00512871
NM_005517,16.4227,28.4889,36.9129,9.01552,8.90609
NM_002953,0.645418,0.0707539,5.68157,0.435253,0.292944
