,reads.1.RPKM,reads.2.RPKM,reads.3.RPKM,reads.4.RPKM,reads.5.RPKM,reads.6.RPKM,reads.7.RPKM,reads.8.RPKM,reads.9.RPKM,reads.10.RPKM
NM_199121,2.21467,8.73332,3.0282,3.88766,6.78955,6.51074,3.34114,3.94974,4.88916,5.05106
NM_001039211,0.445863,0.443799,0.711116,0.959481,0.491619,0.585501,0.601023,0.700302,0.850224,0.544069
NM_031921,1.65684,2.75532,2.55793,2.65294,1.65949,2.72544,1.92686,2.30229,2.43147,1.76604
NM_001170535,2.11555,2.76372,3.89444,2.09462,2.07384,2.856,2.6622,3.31164,1.83792,2.47972
NM_018188,0.954518,1.15338,1.27173,0.930289,0.677209,1.18733,1.1203,1.34278,0.600168,0.809758
NM_001170536,1.28489,2.56655,2.3428,2.44738,1.8252,2.45509,2.60182,2.36114,2.27146,2.22052
NM_001114748,1.18828,0.613293,0.833543,0.627126,4.13722,1.14331,1.06029,1.27568,1.6912,3.1036
NM_014188,29.1638,33.0469,46.6718,30.0675,38.4904,35.2838,35.2214,41.5184,33.4214,40.7704
NM_001170686,1.58977,1.47572,5.26082,2.4866,2.17753,2.71422,2.75032,3.83331,2.55915,3.40043
NM_001170687,1.79034,1.76888,6.18766,3.06811,2.50012,3.02306,3.2613,4.37255,2.95689,4.07571
NM_001170688,0.239052,0.370188,0.659277,0.260854,0.278846,0.309896,0.331474,0.530634,0.196887,0.435978
NM_080875,1.47926,1.37314,4.89492,2.38176,2.02622,2.5256,2.62481,3.56717,2.3813,3.16406
NR_033183,0.917093,0.968771,3.00579,1.69375,1.87289,1.94845,1.52963,2.70288,2.40151,2.49972
NM_001170689,2.201,1.855,6.80322,2.73824,1.88054,2.15953,3.73814,5.44341,2.92284,4.17589
NM_006983,1.33163,0.54209,0.443327,1.99183,0.278838,0.589712,1.17499,0.593389,1.53696,0.148048
NR_002946.1,1.70437,0.122208,0.637259,0.642722,0.101596,0.656683,0.951835,0.923335,0.420459,0.336304
NM_033486,1.76496,1.96076,4.50069,2.88997,1.93532,2.5184,2.95479,3.45742,2.75988,3.16879
NM_033487,1.90235,2.46347,3.45331,1.48196,4.54776,3.16884,2.02249,3.92722,2.3574,2.90723
NM_033488,1.71435,1.8328,4.35408,2.28923,2.08405,2.3292,2.63688,3.41936,2.52753,2.9436
NM_033489,1.36128,1.49525,3.3901,1.97722,1.59771,1.87678,2.02151,2.66925,2.04846,2.32286
NM_033492,1.78911,1.93435,4.65371,2.69393,2.03242,2.51598,3.10321,3.5654,2.74104,3.23257
NM_033493,2.23362,2.41495,5.80989,3.36315,2.53739,3.14116,3.87415,4.45131,3.42199,4.03566
NM_001110781,2.2684,2.31496,2.27753,4.01752,4.10035,2.92109,2.74566,2.69293,4.16547,3.22098
NR_002946,2.9843,0.810132,0.703141,2.31953,0.322153,1.03008,1.79744,1.24738,1.97533,0.808395
NM_024011,2.80046,3.10741,6.03323,4.62739,3.15345,3.82595,4.73127,5.27516,4.67161,4.7033
NM_033529,3.52361,3.90976,7.5909,5.45924,3.96768,4.8138,5.95287,6.6372,5.70447,5.76274
NM_001199787,0.201092,0.120725,0.168607,0.747414,0.0436836,0.294838,0.385447,0.302098,0.319159,0.226631
NM_182838,1.52441,1.80114,1.54606,2.56589,2.98379,2.03721,1.85148,1.81689,2.6471,2.33495
NM_001198993,1.99734,7.46039,2.98946,4.15044,2.14046,5.12452,3.59018,2.22658,2.91557,2.30799
NM_001198994,0.404055,1.16713,0.687355,2.44159,0.122385,1.30842,1.78115,0.601751,1.62819,0.431302
NM_001198995,0.327905,2.44498,1.01251,2.47257,1.15868,1.9331,0.980249,1.88517,1.92881,0.479942
NM_023018,3.39093,6.36598,2.81836,3.82792,2.50184,3.96613,3.47289,3.45729,3.19924,3.15928
NM_002074,38.2684,38.279,33.9954,54.0187,109.078,48.9143,43.8262,45.4914,68.7995,78.8601
NM_138705,0,0.177773,0.178033,0.181783,0.17673,0.17845,0.134463,0.357026,0.045152,0.0443479
NM_178545,1.3855,6.18035,16.2152,2.76815,3.40211,6.87043,5.61473,10.4631,3.06162,9.17419
NM_001080484,0.0313118,0.0207779,0.072829,0.169973,0.165249,0.114714,0.136204,0.104322,0.15832,0.165867
NM_000815,2.043,2.23689,2.72383,2.36532,23.1475,4.56738,3.05059,4.36479,8.80619,14.9905
NM_002744,1.81298,1.71599,1.43137,5.66093,1.67129,2.55763,2.8061,2.08657,4.87135,2.13324
NM_001033581,2.81065,2.05207,4.29005,4.34309,23.9695,5.39879,4.15668,4.90507,9.26652,14.6811
NM_001033582,3.16987,2.88137,1.73084,4.95101,14.6653,3.71921,4.35952,4.16314,7.75294,10.1917
NM_001146310,0.419882,0.476923,0.41521,0.456899,0.382725,0.362834,0.318471,0.581394,0.571135,0.455808
NR_024445,0.283079,0.562424,0.649867,0.755766,0.277087,0.556712,0.768933,0.532242,0.692648,0.392071
NM_182533,5.32821,6.03277,5.13277,9.05182,5.0917,6.59581,6.12492,5.96984,8.65041,5.43867
NM_003036,5.14251,4.66427,6.75763,10.6524,9.97279,6.66159,6.98669,7.28384,10.4355,8.4872
NM_024848,0.479314,0.715642,0.955584,1.76848,0.889306,0.808164,0.902154,1.01805,1.42382,1.13067
NR_024489,3.19275,1.65428,1.6567,1.73611,6.21047,2.33793,2.45861,2.20761,3.00751,4.38749
NM_007033,11.0308,27.697,17.7163,15.3131,14.4374,22.309,16.4,15.6758,13.003,15.5985
NM_002617,2.33607,1.69587,2.72043,1.72277,3.63672,2.54694,2.12591,2.47809,2.2778,2.93517
NM_153818,1.29866,1.30375,1.51237,0.957722,2.02174,1.4159,1.18183,1.37763,1.26629,1.63174
NM_014638,0.294734,0.313602,0.334322,0.734449,2.25274,0.710831,0.52031,0.518074,1.2333,1.51417
NM_018216,5.99144,4.55612,9.36669,4.56419,6.72046,6.41403,6.05174,8.07151,5.26853,7.7251
NR_026927,0.222542,0.155058,0.177469,1.20049,0.220213,0.378005,0.826559,0.200191,0.877674,0.198933
NM_003820,6.08011,5.9946,7.03744,26.6896,3.93495,9.06935,12.6118,8.43891,21.4177,4.60795
NR_036637,0.210609,0.231124,0.102616,0.212725,1.3919,0.519364,0.469718,0.172237,0.292273,0.804611
NR_036638,0.15939,0.163618,0.130155,0.241437,1.51896,0.371598,0.327445,0.177261,0.370707,0.83424
NM_001195736,0.505787,0.398307,0.290813,1.21972,1.40146,0.881959,0.864498,0.618732,1.4802,1.20818
NM_001195737,0.505497,0.371147,0.466285,1.77378,1.55537,0.829704,0.795706,0.822335,1.89932,1.21766
NM_001195738,0.584545,0.429187,0.539206,2.05119,1.79852,0.95948,0.920149,0.950938,2.19632,1.40811
NM_001195740,0.704434,0.752835,0.945832,2.0543,2.36774,1.01622,1.02729,0.959092,2.33006,1.9428
NM_001195741,0.720463,0.769979,0.96736,2.10105,2.42175,1.03937,1.05067,0.980915,2.38314,1.98708
NM_152371,0.74365,0.58563,0.427578,1.79336,1.6496,1.29672,1.27108,0.909709,1.74158,1.35244
NM_033467,0.0736929,0.0177466,0.129707,0.213672,0.0360926,0.0552007,0.0934079,0.0556327,0.226266,0.054644
NR_015440,0.611292,0.196415,0.267112,0.228039,1.29921,0.206064,0.273291,0.494524,0.600468,0.840217
NR_024371,0.705012,0.324841,0.457487,0.492341,2.35119,0.985858,0.912526,0.846489,1.05932,1.35398
NM_022114,0.682907,0.147298,0.305548,0.632058,0.496829,0.325077,0.516839,0.41347,0.582556,0.401576
NM_199454,0.549249,0.167934,0.235293,0.720625,0.566434,0.256584,0.47059,0.354924,0.664166,0.457834
NM_014448,0.220067,0.673994,0.438737,1.01656,0.251266,0.642734,0.577764,0.558361,0.855929,0.453971
NM_001409,1.32167,0.756443,1.38335,3.85407,0.575449,1.41961,2.01663,1.69753,3.07403,0.958294
NM_182752,14.1179,18.8913,19.343,13.751,23.7713,17.9919,15.9003,18.6866,16.2635,21.9088
NM_017818,1.53352,1.52642,1.78824,1.8848,1.23116,1.87916,1.62653,1.5617,1.98966,1.60937
NM_005427,0.125536,0.0157217,2.53E-05,0.121879,0.00893116,0.146155,0.00253101,0.0269005,0.229496,0.0254499
NR_033708,0.0400779,0.0498755,0.0288032,0.0799064,0.218712,0.184493,0.0805992,0.0236412,0.0842689,0.106999
NR_033710,0.345012,0.0393002,0.0648781,0.459963,0.0798349,0.145169,0.110232,0.148024,0.320797,0.0753985
NR_033711,1.32576,0.819727,1.22703,1.7056,1.37837,1.13867,1.42868,1.35134,1.78441,1.33311
NM_001163724,2.34093,1.61314,1.2565,1.74117,1.06912,1.61929,1.80761,1.43988,1.72992,0.804842
NM_020710,11.5473,14.0809,28.5916,13.586,20.0238,17.8815,17.145,23.1205,15.8636,23.215
NM_014704,2.00962,1.65935,2.79999,2.1849,2.62885,1.9547,2.33825,2.42711,2.34783,2.69161
NM_004402,0.29223,0.193918,0.161835,0.677497,0.273106,0.162214,0.342241,0.275861,0.67312,0.258003
NM_207356,2.65568,4.3469,3.50025,4.29478,3.59144,4.06863,3.1694,3.86362,3.84928,3.92727
NM_018836,0.333926,0.330317,0.569584,0.418368,2.85422,0.748269,0.421843,0.530073,1.12707,1.73601
NM_015102,0.678131,0.557602,0.568214,1.2904,0.962787,0.697203,0.838578,0.658156,1.32182,0.790682
NM_001199861,1.53407,2.09512,1.82324,2.60458,15.046,4.72151,3.32006,3.28374,6.94108,10.3326
NM_003636,0.920184,1.09113,0.724164,2.37984,4.13018,1.64152,1.40115,1.52417,2.50156,2.97238
NM_172130,1.05238,1.18134,0.885045,2.73133,4.81011,2.00631,1.71247,1.79526,2.94233,3.48294
NM_001199860,0.480809,0.363005,0.647845,1.12628,2.8084,0.713493,0.885112,0.757795,1.47368,1.93732
NM_001199862,0.362055,0.501417,0.665263,1.38988,2.31495,0.676405,0.945774,0.689792,1.64046,1.44731
NM_001199863,4.26081,3.16418,4.85266,8.94127,25.7846,6.56027,5.51358,6.6706,13.4086,17.0344
NM_015557,0.641013,0.835536,0.948325,1.08739,8.71916,1.85026,1.13884,1.81024,3.1485,5.7503
NM_000983,29.7787,37.714,43.0573,29.3734,36.0463,36.9861,34.7447,38.2953,29.4698,38.0781
NM_207396,1.98956,0.537177,0.47446,0.897345,0.383419,0.627378,1.02623,0.750886,0.909035,0.422292
NM_012405,9.18144,7.60561,13.2971,7.39658,8.58437,8.94924,9.57665,11.3203,7.98481,10.6239
NM_207370,2.55312,6.24536,2.22089,5.614,2.24039,4.81317,3.84434,2.60003,4.21374,2.03346
NM_007274,0.282034,1.15199,1.0326,1.07152,1.14627,1.35046,1.05599,0.887724,0.872861,0.832852
NM_181864,0.12681,0.561695,0.586054,0.545542,2.96816,0.724849,0.403545,0.380258,0.874648,1.65228
NM_181865,1.63493,2.09373,1.68983,2.45727,10.2477,3.10579,2.18886,2.07394,3.23336,6.15133
NM_181866,2.04754,1.78787,2.88404,7.76367,12.8345,3.88964,3.54779,4.77652,10.6072,9.36031
NM_019089,0.0807787,0.0344592,0.0920254,0.692982,0.0342571,0.230603,0.254848,0.149945,0.478452,0.0573088
NM_031475,0.904949,7.76039,1.44332,1.44538,0.730158,4.53487,1.98453,1.55854,0.506838,0.815859
NM_003790,0.0290619,0.153194,0.040025,0.276231,0.0847956,0.145725,0.0866784,0.0673464,0.128885,0.0227893
NM_148965,0.316126,0.110115,0.347342,1.5462,0.424632,0.104746,0.407731,0.362761,1.53881,0.509712
NM_148967,0.0751591,0.0675395,0.110151,1.07324,0.202695,0.294655,0.350235,0.382924,0.516175,0.129577
NM_001039664,0.520494,0.237959,0.563051,3.45719,1.03813,0.89454,1.39951,0.876258,2.34462,0.952059
NM_001042663,0.681621,0.207957,0.269728,0.458236,0.942735,0.467695,0.29671,0.344328,0.397155,0.712174
NM_001042664,0.308644,0.104242,0.124322,0.393666,0.577525,0.264796,0.360297,0.260577,0.482262,0.411478
NM_001042665,0.331763,0.112051,0.133636,0.423159,0.620792,0.284635,0.387287,0.2801,0.518387,0.4423
NM_020631,0.419872,0.141809,0.169126,0.535539,0.785646,0.360229,0.49014,0.354486,0.656068,0.559761
NM_198681,0.0720395,0.0328747,0.0938231,0.0724396,0.249823,0.0739353,0.046905,0.0544331,0.0627825,0.112584
NM_024654,1.17186,1.63301,2.52611,2.81041,2.26121,2.12222,1.94833,2.41579,2.68115,2.19693
NM_005341,1.53492,2.26033,3.29066,4.55842,2.16385,2.52105,3.48263,3.34157,4.03993,2.58963
NM_014851,10.4849,10.7744,34.1616,8.51955,12.7928,15.8401,16.211,25.2742,11.2897,21.0782
NM_153812,2.02264,2.14661,4.27279,2.5086,4.33431,2.79721,3.11954,3.54795,3.16967,4.23079
NM_001195753,0.411269,0.341705,0.558982,0.547912,0.651202,1.1173,0.874111,0.568007,0.86855,0.638752
NM_001195752,1.65319,1.37356,2.24696,2.20245,2.61765,1.19885,1.69902,2.28324,1.68697,2.56763
NM_018198,11.8083,9.01602,8.40716,6.36581,9.51319,8.39731,9.30489,8.87778,7.6685,9.23735
NM_001195563,20.0166,14.535,15.7609,8.84946,9.07596,12.8158,13.4469,15.3677,8.23006,12.1595
NM_015215,0.832218,0.785572,0.914423,1.1646,7.65869,1.83239,1.09599,1.6064,3.18981,5.376
NM_004781,10.6345,9.18723,12.6231,14.4547,19.9875,11.8062,11.9509,13.4148,15.9846,17.3386
NM_016831,1.96543,1.19115,2.10929,2.6619,3.3643,1.83709,2.42642,2.27341,3.02137,2.75503
NM_021995,0.155077,0,0.154585,1.37843,0.230182,0.540265,0.389178,0.387506,0.791811,0.0090052
NM_001561,0.11484,0.0408243,0.212597,0.993533,0.137989,0.245879,0.444649,0.229568,0.812917,0.114063
NM_001123377,45.6569,77.1902,45.0539,33.8683,47.0965,59.8466,45.1488,40.17,34.6535,40.2977
NM_007262,41.913,49.8261,48.0745,29.8222,44.3295,46.1426,43.4855,48.8688,32.7727,48.7127
NM_018948,11.5476,47.9937,25.9661,18.9333,12.7326,33.3107,22.5369,21.7962,15.0456,17.4304
NM_001080397,0.778036,0.611395,0.673518,0.771062,4.59909,1.14562,1.02765,1.33021,1.73921,3.13176
NM_001042681,1.36319,0.865871,1.85695,2.32377,2.38826,1.6607,1.6628,1.69334,2.35682,2.23917
NM_001042682,27.0576,15.0753,47.1467,18.059,25.3171,24.511,28.6404,38.3821,22.9998,34.3213
NM_012102,0.863596,0.548403,1.27493,1.61429,1.7038,1.05163,1.10952,1.12399,1.6925,1.47605
NM_001428,83.7504,208.96,122.996,179.847,183.171,176.089,139.574,132.005,173.033,158.149
NM_003039,0.609356,0.497985,1.67969,1.28213,1.51859,0.662554,1.13266,1.29173,1.61751,1.43913
NR_024180,0.420211,0.236529,0.768443,2.281,2.16906,1.17347,1.15177,1.18709,2.4336,2.03612
NM_024980,2.55818,2.37658,7.65016,5.4679,1.94074,4.13225,4.49395,5.96618,5.17388,4.44652
NM_004285,6.15371,19.4171,12.7253,10.3694,5.04862,14.4472,10.817,11.4066,7.88635,8.01374
NM_025106,3.58012,7.81782,10.8163,8.73256,5.47784,8.13125,7.64678,8.98537,7.86275,7.89504
NM_032315,2.18711,7.06684,4.52805,2.32883,4.02878,5.6145,3.479,3.80037,2.82418,3.84333
NM_001010866,3.20757,3.02454,8.40118,2.4315,5.23439,4.2451,4.37304,6.45731,3.5565,6.37186
NM_001130924,0.332783,0.565335,1.60529,0.898065,0.992501,0.99886,1.02201,1.29539,1.09035,1.14261
NM_005026,1.0216,0.547286,0.962632,4.29062,1.25152,1.34648,1.7948,1.40798,3.80925,1.27607
NR_027045,0.0539326,0.0536829,0.107523,0.411703,0.0800522,0.161662,0.0812087,0.161719,0.299965,0.0535678
NM_001009566,9.93784,8.39151,14.1622,14.8497,65.0873,17.8173,13.6045,18.1511,29.0808,44.8067
NM_014944,11.1611,9.42324,15.9219,16.4694,73.1828,20.0329,15.2943,20.4081,32.4855,50.3794
NM_001012329,4.37824,2.63675,1.73184,3.90391,4.04116,2.84899,3.26436,2.5802,3.85078,3.3985
NM_020248,3.48447,2.09849,1.67471,3.10697,3.21621,2.2674,2.90204,2.35447,3.06469,2.70474
NM_032368,2.62045,2.43443,2.15936,1.45804,3.94139,2.26915,2.31482,2.0255,2.40259,2.94975
NM_022787,2.00227,1.44945,1.21828,1.16454,1.49242,1.29909,1.47482,1.49448,1.41998,1.51091
NM_052960,14.8605,5.82702,4.48887,3.43756,8.31793,5.9992,7.60936,5.85128,3.71894,7.75269
NM_001105562,4.14371,2.25447,8.24538,2.76573,4.62573,4.5199,4.72145,6.64032,3.29704,6.11183
NM_006048,3.36073,3.35123,3.60312,2.37821,4.82692,2.95153,3.03272,3.42215,3.7392,4.25944
NM_015074,2.64464,4.19494,7.18013,5.10322,24.0339,7.19915,5.28414,8.23571,10.1785,17.7806
NM_183416,4.34105,3.60667,14.8829,3.08695,3.67608,5.99331,6.83807,10.3061,3.9475,7.98838
NM_002631,10.4816,18.7947,14.0661,27.6914,15.5202,18.0295,16.8654,15.3724,23.9194,13.9146
NR_036462,1.04711,2.25434,0.880641,1.43154,1.23805,1.67886,0.900869,1.08569,0.902718,0.674266
NR_037186,0.286122,0.194243,0.288224,0.357783,0.87081,0.541494,0.500242,0.260939,0.867805,0.846019
NR_037187,0.470714,0.319559,0.25666,0.405883,1.0774,0.648658,0.822975,0.142054,0.999891,0.908144
NM_001302,0.143283,0.269073,0.401393,0.693667,2.86125,0.320259,0.215138,0.763817,0.758421,1.71226
NM_004401,3.16871,2.1305,3.52912,3.92052,4.471,2.98262,3.602,3.88952,4.40822,4.83498
NM_213566,0.762613,1.95073,1.23091,1.7005,1.04209,1.30644,1.31248,0.98003,1.54252,1.08205
NM_004565,7.55516,12.9825,11.3731,12.6778,11.6435,12.0373,10.9662,11.3528,12.1829,11.6617
NM_001079843,1.89009,0.816774,3.74862,3.18365,0.965913,1.86696,2.94452,3.14757,2.85753,2.075
NM_017766,1.23864,0.717398,0.624661,0.525256,0.435979,0.440145,0.769007,0.533457,0.541667,0.619316
NM_001170754,0.160245,0.177226,0.976166,0.217468,0.299517,0.462542,0.446829,0.747447,0.324094,0.442114
NM_007375,8.10195,7.63511,8.81994,8.2226,9.81668,8.22329,8.35531,8.80878,8.53492,9.51763
NM_006610,1.98728,14.9317,2.99778,2.96004,2.37643,7.69517,4.08722,2.63579,1.01354,1.97483
NM_139208,6.49106,72.3611,13.0147,9.5364,6.04551,37.1361,17.2188,10.7605,2.35612,5.63112
NM_003132,16.335,31.8269,37.2242,19.6527,26.0612,30.5592,24.3832,30.4155,21.5173,29.5724
NM_001001998,2.01253,2.01631,3.47421,3.09837,2.36095,2.50932,3.12745,2.65526,3.76001,2.92324
NM_002685,2.95256,2.96125,3.60516,2.95199,3.07617,3.31889,2.63907,3.56668,2.86941,3.1267
NM_004958,4.37225,5.51852,10.8678,4.88027,7.40408,6.65421,6.43643,8.21651,5.38432,8.62378
NM_021146,0.351454,0.240506,0.766365,0.58129,0.282567,0.329212,0.374849,0.592791,0.488683,0.610884
NM_013319,1.76243,3.12018,4.34514,2.56066,2.84894,3.10519,2.55247,3.67106,2.57133,3.19367
NM_020780,0.0377135,0.0563084,0.0657892,0.10556,0.690398,0.150728,0.0662514,0.160205,0.247894,0.383949
NM_012168,4.25114,8.02279,5.3579,7.54386,37.0685,10.6969,6.53523,9.14246,14.3818,24.2461
NM_183412,0.383752,0.32032,0.316998,0.666721,2.4638,0.941115,0.684492,0.643223,1.20105,1.79021
NM_001014765,0.454164,0.348629,0.368403,0.673993,1.21808,0.468602,0.468603,0.701719,0.72765,0.989576
NM_033182,0.926509,0.96135,1.09526,0.971765,4.90318,1.20195,1.1339,1.16575,2.30427,2.76404
NM_183413,1.39374,1.06394,1.01078,1.92037,5.97344,2.00902,1.84635,1.99189,2.8969,4.03909
NM_018438,2.0946,2.21126,2.91048,5.74974,2.44952,3.01243,3.59994,2.82317,5.03863,2.17499
NM_001127325,1.79759,3.59812,2.29084,2.12265,2.41599,2.86107,2.26971,1.94443,1.29219,2.83315
NM_006341,6.97968,12.6502,16.6474,8.99341,10.1196,12.9445,10.4524,13.762,9.06533,11.6572
NM_198545,0.0554536,0,0.0552775,0.141105,0.137183,0.0554071,0,0.110853,0.168231,0.0550785
NM_001040194,1.82791,1.22923,2.45018,5.28586,1.44298,2.34263,2.84342,3.04126,4.50094,2.18039
NM_001040195,1.54177,1.75705,2.63797,5.24087,1.68705,2.86138,3.64561,3.43443,5.21427,2.40955
NM_001040196,0.625175,0.484515,0.987283,1.58147,0.534126,0.958112,0.818823,0.611874,1.40855,0.438681
NM_001040197,0.449072,0.348036,0.709183,1.13596,0.383671,0.688225,0.58817,0.439523,1.01177,0.315112
NM_020350,1.27756,0.859124,1.71248,3.69437,1.00853,1.63731,1.9873,2.12562,3.14575,1.52393
NM_005957,3.2521,2.04625,2.19317,3.69494,1.98662,2.34257,2.98848,2.63203,3.386,2.13746
NM_001286,2.78722,2.40152,3.16908,3.71454,10.9805,4.10771,3.12937,3.96103,5.89251,7.9677
NM_006172,443.3,60.0477,51.9874,11.2492,49.8412,56.3079,163.645,102.299,29.6295,52.3719
NM_002521,19.2976,2.2433,2.10617,0.430106,1.88169,3.02592,7.63548,4.43489,1.49564,2.16854
NM_138346,8.97058,11.752,13.9681,11.5895,9.68743,12.1537,11.7676,12.5989,10.3674,11.2052
NM_000302,15.8738,31.8775,17.422,19.5212,12.6956,23.3983,18.6451,16.8311,15.5889,13.8159
NM_001127660,8.01096,6.20884,7.81935,4.83993,6.03874,6.44927,6.57025,7.01112,5.55128,7.08721
NM_014874,52.5687,18.5703,39.4588,13.0263,27.5561,24.6899,32.0196,36.2715,18.4939,31.6123
