,GSM495209,GSM495210,GSM495211,GSM495212,GSM495213,GSM495214,GSM495215,GSM495216,GSM495217
16,1387082_at,1367641_at,1370964_at,1387016_a_at,1386903_at,1386857_at,1375219_a_at,1367717_at,1370980_at
17,1370065_at,1368360_at,1368720_at,1373479_at,1386864_at,1371507_at,1398871_at,1367596_at,1371700_at
18,1398577_at,1368442_at,1368048_at,1398350_at,1386998_at,1371642_at,1367816_at,1387960_at,1371419_at
19,1393139_at,1368731_at,1392090_at,1388307_at,1370218_at,1370434_a_at,1398789_at,1388372_at,1398333_at
20,1371762_at,1368077_at,1368380_at,1380828_at,1382882_x_at,1371694_at,1371377_at,1371319_at,1377640_at
21,1387006_at,1371691_at,1371083_at,1371407_at,1388311_at,1388318_at,1398852_at,1398762_at,1375170_at
22,1383169_at,1368205_at,1387665_at,1398827_at,1369897_s_at,1398767_at,1388310_at,1371295_at,1371299_at
23,1373178_at,1388569_at,1367774_at,1398626_s_at,1398755_at,1381996_at,1371307_at,1371414_at,1368168_at
24,1368569_at,1385756_at,1370283_at,1368145_at,1368098_a_at,1374307_at,1367597_at,1367639_a_at,1398885_at
25,1384334_at,1387034_at,1387994_at,1369976_at,1368097_a_at,1388575_at,1388033_at,AFFX_Rat_beta-actin_M_at,1390019_at
26,1368266_at,1391417_at,1370708_a_at,1398800_at,1367629_at,1368277_at,1371300_at,1398775_at,1371318_at
27,1371050_at,1371475_at,1367995_at,1371835_at,1388850_at,1388995_at,1367661_at,1398315_at,1367560_at
28,1370939_at,1387234_at,1370789_a_at,1370918_a_at,1398880_at,1369939_at,1371761_at,1367614_at,1398872_at
29,1370333_a_at,1386886_at,1380104_at,1371702_at,1371387_at,1374513_at,1389488_at,1368423_at,1398760_at
30,1367988_at,1368060_at,1367613_at,1374426_at,1395335_at,AFFX-r2-Ec-bioD-3_at,1367563_at,1398882_at,1398774_at
31,1372264_at,1370019_at,1398855_at,1389904_at,1370124_at,1369008_a_at,1367561_at,1370883_at,1375707_at
32,1387825_at,1370150_a_at,1387344_at,1388325_at,1369936_at,1399079_at,1375181_at,1367679_at,1387315_at
33,1367838_at,1371100_at,1370244_at,1373363_at,1372002_at,1367607_at,1371305_at,1367657_at,1371340_at
34,1392172_at,1369502_a_at,1390326_at,1370869_at,1367757_at,1388375_at,1367685_at,1390024_at,1370363_at
35,1387243_at,1370387_at,1387878_at,1370838_s_at,1370275_at,1369085_s_at,1371304_a_at,1371076_at,1389123_at
36,1371030_at,1369764_at,1396933_s_at,1372190_at,1387774_at,1368151_at,1398892_at,1383145_at,1371837_at
37,1371031_at,1387672_at,1387893_at,1375305_at,1393263_at,1372707_at,1367588_a_at,1367567_at,1387888_at
38,1367804_at,1398260_a_at,1368943_at,1370168_at,1373896_at,1384302_at,1371330_at,1388906_at,1367582_at
39,1368397_at,1387325_at,1367729_at,1371701_at,1398357_at,1389511_s_at,1398751_at,1371732_at,1372241_at
40,1367586_at,1370310_at,1369206_at,1368292_at,1388112_at,1388152_at,1375632_at,1368052_at,1371313_at
41,1368826_at,1372254_at,1368335_at,1383444_at,1367992_at,1386004_s_at,1386858_at,1369959_at,1370866_at
42,1379744_at,1370151_at,1387949_at,1371841_at,1370277_at,1378292_at,1388296_at,1398841_at,1370243_a_at
43,1398326_at,1369954_at,1391884_at,1371358_at,1387927_a_at,1372542_at,1371375_at,1372947_at,1398830_at
44,1368609_at,1390795_at,1382554_at,1368344_at,1376711_at,1398625_at,1370190_at,1393281_at,1367574_at
45,1371699_at,1368336_at,1386867_at,1398843_at,1370886_a_at,1373571_at,1367623_at,1371440_at,1369952_at
46,1388331_at,1386898_at,1387240_at,1371572_at,1367603_at,1371884_at,1373470_at,1388114_at,1367584_at
47,1367793_at,1383904_at,1370892_at,1368842_at,1372437_at,1398893_at,1387902_a_at,1388224_at,1372107_at
48,1387963_a_at,1368150_at,1367896_at,1388997_at,1398842_at,1368565_at,1371316_at,1398759_at,1398749_at
49,1367784_a_at,1368741_at,1371266_at,1370050_at,1398851_at,1375705_at,1398854_at,1371703_at,1387770_at
50,1367932_at,1388153_at,1370234_at,1388365_at,1372612_at,1370888_at,1398888_at,1388297_at,1388481_at
51,1369435_at,1369630_at,1368180_s_at,1387071_a_at,1386937_at,1368888_a_at,1388314_at,1367948_a_at,1368141_at
52,1373686_at,1393123_at,1368092_at,1368536_at,1388163_at,1386866_at,1375881_at,1389332_at,1383695_at
53,1387508_at,1369493_at,1367599_at,1367549_a_at,1374702_at,1371371_at,1371499_at,1398797_at,1386879_at
54,1371124_a_at,1372372_at,1387101_at,1370059_at,1371323_at,1389957_at,1370213_at,1386953_at,1367580_at
55,1368224_at,1388236_x_at,1393245_at,1367827_at,1386891_at,1375843_at,1372474_at,1373911_at,1367569_at
56,1389470_at,1367635_at,1370167_at,1387903_at,1375246_at,1372257_at,1386862_at,1387159_at,1386913_at
57,1387029_at,1373093_at,1370384_a_at,1383542_at,1370238_at,1368853_at,1386874_at,1367666_at,1370253_at
58,1384417_at,1384499_at,1371688_at,1377747_at,1389600_at,1367632_at,1367469_at,1372110_at,1370428_x_at
59,1373803_a_at,1374440_at,1388469_at,1376893_at,1371393_at,1398258_at,1386899_at,1372079_at,1381190_at
60,1367619_at,1367887_at,1373337_at,1373013_at,1371335_at,1397579_x_at,1367929_at,1371131_a_at,1368284_at
61,1369225_at,1387396_at,1376845_at,1374742_at,1399057_at,1398765_at,1370247_a_at,AFFX_Rat_beta-actin_5_at,1398364_at
62,1367559_at,1369275_s_at,1384544_at,1398828_at,1370041_at,1373041_at,1388244_s_at,1371511_at,1367460_at
63,1367667_at,1386894_at,1387323_at,1377114_at,1371334_at,1368157_at,1371595_at,1374104_at,1398754_at
64,1368467_at,1393887_at,1369011_at,1367783_at,1375335_at,1386902_at,1373617_at,1371575_at,1389301_at
65,1367775_at,1379326_at,1367622_at,1398870_at,1388113_at,1383173_at,1371406_at,1390116_at,1398986_at
66,1370359_at,1369671_at,1388526_at,1378065_at,1398829_at,1382098_at,1388335_at,1373067_at,1398753_at
67,1387314_at,1370007_at,1370881_at,1370069_at,1369628_at,1371422_at,1369926_at,1375296_at,1386868_at
68,1368304_at,1368016_at,1388358_at,1388670_at,1370378_at,AFFX-r2-Ec-bioD-5_at,1371921_at,1373152_at,1389586_at
69,1370836_at,1387271_at,1368520_at,1373145_at,1369933_at,1373773_at,1372473_at,1388076_at,1367512_at
70,1369657_at,1368435_at,1369852_at,1367808_at,1392681_at,1367637_a_at,1367459_at,1389467_at,1388449_at
71,1368627_at,1387896_at,1388118_at,1398389_at,1370861_at,1373977_at,1370401_at,1368819_at,1398757_at
72,1371312_at,1371237_a_at,1394844_s_at,1375424_at,1373374_at,1391039_at,1388332_at,1371435_at,1370825_a_at
73,1371381_at,1369074_at,1387877_at,1370341_at,1375861_at,1370585_a_at,1367646_at,1368042_a_at,1373843_at
74,1388229_a_at,1369286_at,1388884_at,1383147_at,1375421_a_at,1371870_at,1367618_a_at,1375638_at,1375119_at
75,1368706_at,1379240_at,1388948_at,1396040_at,1398790_at,AFFX-BioDn-3_at,1367604_at,1371541_at,1389732_at
76,1398788_at,1370235_at,1367686_at,1370815_at,1388822_at,1373951_at,1371427_at,1377232_at,1372889_at
77,1370010_at,1398378_at,1388327_at,1367578_at,1367740_at,1387015_at,1398764_at,1367899_at,1388557_at
78,1367702_at,1368245_at,1367798_at,1377743_at,1369929_at,1371686_at,1398849_at,1393182_at,1388748_at
79,1370563_at,1367680_at,1370276_at,1375687_at,1374431_at,1370517_at,1390022_at,1395381_at,1370751_at
