	GSM495209	GSM495212	GSM495215
1367919_at	5.779522824	5.875291223	7.377625059
1367920_at	3.572305879	3.372786892	5.278627886
1367921_at	7.675698532	7.49729478	7.929241029
1367922_at	7.634283675	7.06703883	10.00200597
1367923_at	5.605238339	9.073387953	5.535891162
1367924_at	6.715473009	7.409525021	7.237042795
1367925_at	7.783265228	6.001296559	9.079836059
1367926_at	7.995373753	7.168881773	7.096897774
1367927_at	9.85301974	9.184760483	8.988932027
1367928_at	3.561197083	2.696558101	2.881099494
1367929_at	9.932960893	10.37523379	11.89357878
1367930_at	3.769530459	10.98700268	3.299076418
1367931_a_at	8.651166217	6.814651361	9.35991845
1367932_at	11.97169515	10.80280916	9.40027803
1367933_at	8.958591799	9.525129519	8.098181568
1367934_at	5.992840698	6.026039962	6.6921568
1367935_at	8.561671951	7.925030232	8.763425125
1367936_at	7.257749289	6.080796978	8.679556575
1367937_at	8.330871532	4.439004785	4.686851995
1367938_at	10.6825051	7.998203205	8.253162988
1367939_at	11.27644423	5.955142628	8.705864897
1367940_at	5.386502311	6.36197797	9.35483504
1367941_at	8.776584149	7.809205731	8.065353496
1367942_at	7.544995218	4.070612188	8.509802695
1367943_at	7.369613362	6.309211104	6.449483352
1367944_at	5.462614017	8.184930863	5.100188044
1367945_at	10.06201767	7.771358487	8.131300093
1367946_at	8.227581674	5.625731402	8.869085361
1367947_at	8.169226115	8.674619128	8.504783353
1367948_a_at	9.952750998	7.055214021	11.55545165
1367949_at	5.360318163	9.967177996	4.138540097
1367950_at	8.427016727	6.500448289	7.460223583
1367951_at	4.862523549	3.927860311	5.625721207
1367952_at	5.408022447	4.675656372	8.397798639
1367953_at	3.14922895	8.616129222	4.638807301
1367954_at	5.348769042	5.338966257	4.3329033
1367955_at	6.64247477	7.381090397	6.85919535
1367956_at	4.44911299	10.24244699	6.065760999
1367957_at	8.723418145	8.083796204	8.79350537
1367958_at	8.344157818	9.218269886	9.446656354
1367959_a_at	5.951596543	8.670494208	4.671073042
1367960_at	7.846634837	7.806321676	7.953597444
1367961_at	4.36322432	3.730133109	3.416365692
1367962_at	5.475761217	4.07145525	5.280934806
1367963_at	7.042982252	7.408304142	6.775439734
1367964_at	6.438605249	5.23871127	7.412594768
1367965_at	6.224197251	6.591985324	6.192096044
1367966_at	8.598018721	7.568091842	7.718179024
1367967_at	6.771542753	5.536465821	6.364699278
1367968_at	3.52406561	2.8157621	3.302250859
1367969_at	10.08280442	9.35357851	10.9587726
1367970_at	4.311946786	9.7853586	5.285936305
1367971_at	9.608964805	9.476702112	10.70844915
1367972_at	9.381497762	9.374697246	9.479407017
1367973_at	3.91664995	3.540328461	6.603601846
1367974_at	8.269220955	8.221527908	10.20711325
1367975_at	5.439705142	4.554463353	6.24244914
1367976_at	7.698435173	7.725917124	7.758949038
1367977_at	4.402858298	10.45362427	4.263290186
1367978_at	5.484182313	9.081700759	7.753235914
1367979_s_at	11.24289095	9.735455309	8.642291192
1367980_at	8.041753789	9.060616882	7.892883838
1367981_at	7.317290359	8.190283294	7.066756671
1367982_at	10.5507692	7.799734132	8.573693561
1367983_at	6.073071512	6.32158474	6.071711039
1367984_at	5.693883536	5.907100915	5.59250973
1367985_at	7.636405845	5.250992595	8.409502893
1367986_at	5.849766733	6.342848813	8.472740479
1367987_at	8.443021962	8.908725786	8.705152438
1367988_at	12.45551286	4.891902829	6.928108311
1367989_at	3.641994937	3.628812381	3.737756099
1367990_at	4.637239033	4.253597325	3.871267997
1367991_at	8.680816549	6.416663097	7.43197538
1367992_at	3.505153707	11.95752845	5.081922926
1367993_at	6.461983718	7.484440263	7.884851951
1367994_at	10.45829863	4.544456415	6.573947036
1367995_at	12.26362907	8.869278785	10.82937333
1367996_a_at	6.570336523	7.899933641	6.318190745
1367997_at	7.547826768	7.461467385	6.77856213
1367998_at	8.554994191	4.476455298	9.095168462
1367999_at	11.22270977	7.726245343	10.36719257
1368000_at	13.57027398	6.843104843	10.19873975
1368001_at	4.273034151	6.598310322	4.827798911
1368002_at	7.143931329	7.015819179	7.072082771
1368003_at	4.966167556	6.253206747	7.985806903
1368004_at	8.922202883	8.151458499	8.696177507
1368005_at	4.669225144	4.635510016	5.972552984
1368006_at	7.166815763	6.498255913	9.860643077
1368007_at	6.773000745	4.141933368	5.641851777
1368008_at	8.043217839	7.316018943	10.08326859
1368009_at	9.083610839	6.895915696	6.846408967
1368010_at	7.541389995	4.753405695	8.64364811
1368011_at	7.610317599	6.286157586	6.469738595
1368012_at	7.124162898	5.969855116	8.080196011
1368013_at	4.852457768	4.985656143	4.891361441
1368014_at	3.683930173	3.916033257	3.579869889
1368015_at	5.448959184	4.846900228	4.450227292
1368016_at	11.60212552	7.661515753	8.611365306
1368017_at	4.403543162	4.003298898	5.580627647
1368018_at	8.848824556	7.398769003	8.324612114
1368019_at	7.503874344	7.791782006	7.131022091
1368020_at	7.366170063	5.803951024	5.285585627
1368021_at	13.27586232	6.695887286	8.50869041
1368022_at	6.805317218	6.746407299	7.832232601
1368023_at	6.777114598	5.577938612	6.797609129
1368024_at	6.540193708	5.44122895	6.677695147
1368025_at	5.224247694	8.610781031	7.518726489
1368026_at	6.716824776	7.325589673	7.071680642
1368027_at	5.830590379	4.964918959	6.974252218
1368028_at	4.666283247	5.699861452	5.057252108
1368029_at	9.978013008	8.372562159	10.03781699
