	GSM495218	GSM495221	GSM495224	GSM495227	GSM495230	GSM495233	GSM495236	GSM495239	GSM495242	GSM495245	GSM495248
1367493_at	8.796876059	8.747388054	8.800999129	8.842100807	8.927465966	8.852517833	8.86095411	8.722777123	8.819386654	8.746958324	8.8037585
1367494_at	9.293929558	9.503798029	9.070911367	9.316723988	9.218273694	9.33947301	9.304015912	9.277371793	9.190384664	9.188149279	9.198375433
1367495_at	7.884053339	7.396957704	7.851017412	7.735649035	7.801699708	7.650115133	7.690450374	7.567371143	7.584755802	7.536515582	7.561936293
1367496_at	10.6710398	10.63780958	10.26238885	10.51606435	10.359943	10.54048943	10.54411	10.58246495	10.42836452	10.47573449	10.46519777
1367497_at	8.494860451	8.098330721	8.576056809	8.314735187	8.653351114	8.319373573	8.33363744	8.321706856	8.315456671	8.364559625	8.229969823
1367498_at	8.510291147	8.329247502	8.355883511	8.361257445	8.331216661	8.408577938	8.385574142	8.236379996	8.236115284	8.215824451	8.230370085
1367499_at	7.120057195	7.127711337	6.877122196	7.029386215	7.034229636	7.155339396	6.947900376	6.968276523	7.0379789	7.006792011	6.95615546
1367500_at	9.870754249	9.859619195	9.602485722	9.642481767	9.726025452	9.731970592	9.689967543	9.658640049	9.594824517	9.606562835	9.639606899
1367501_at	7.826015583	7.975999071	7.971330804	8.037322393	7.931612263	8.067976813	7.899496965	7.954726296	7.96990008	7.947074984	8.11424852
1367502_at	7.637396896	7.933959434	7.785085247	7.933959434	7.874454447	7.909975508	7.835979744	7.840156198	7.812590763	7.821480457	7.942438764
1367503_at	9.83862292	10.0795482	9.701002902	10.00934319	9.866695362	10.01905471	9.951565543	9.944652054	9.887153418	9.839258282	9.938618459
1367504_at	7.802564775	7.695847902	7.823937257	7.842157661	7.900586295	7.77458357	7.766195957	7.653584924	7.716965188	7.791769377	7.763909708
1367505_at	8.217978492	8.230943127	8.360688493	8.321418058	8.204463678	8.264515811	8.214639088	8.170713977	8.192115457	8.125487149	8.07236385
1367506_at	8.11325981	8.812832602	8.4281168	8.77160245	8.645561571	8.700302126	8.536061669	8.563451817	8.555898228	8.708832198	8.708948327
1367507_at	6.106238452	6.412134505	5.615373521	6.309273529	6.156717491	6.142774859	6.07177995	6.079394927	5.947234888	5.871577449	6.13676384
1367508_at	7.638772449	8.007437895	7.903614155	8.110751669	8.02682963	8.005224193	7.932933722	7.993346447	7.898064892	7.88912304	7.985381482
1367509_at	9.289993067	9.274688872	9.436598874	9.289131135	9.287641723	9.252935496	9.244283246	9.324519266	9.386106187	9.31466832	9.386989447
1367510_at	8.978655505	9.070716887	9.132186684	9.225444674	9.084431159	9.113118645	9.172391162	9.046762887	9.063947162	9.072649111	9.153373923
1367511_at	8.205345257	8.08497352	7.451015721	7.759867355	7.771953143	7.9455739	7.719068133	7.855854415	7.66662472	7.645224865	7.738009408
1367512_at	11.40310179	11.01468916	11.30065056	10.98461741	11.20580594	11.13304477	11.21010999	11.1183627	11.15121939	11.10504201	11.0064206
1367513_at	7.756944047	7.645268175	7.419770186	7.582593831	7.288791404	7.616450948	7.558915046	7.568599137	7.381353753	7.419430814	7.431595419
1367514_at	7.083787921	7.294637619	7.028537902	7.102396992	7.016483154	7.029679308	6.995790677	6.994085479	6.940546981	6.937112042	7.084229668
1367515_at	8.662175306	8.182426939	8.843904674	8.422348882	8.508297096	8.411126164	8.34248303	8.446035332	8.563722802	8.556604321	8.576770645
1367516_at	7.710678652	7.947690842	8.135029393	8.066977007	8.121885867	7.815618713	8.000961451	7.965794879	7.904888419	7.980603923	8.001592582
1367517_at	8.032995971	7.757075806	7.316515447	7.466309979	7.673929432	7.57240874	7.489878672	7.475547428	7.402520205	7.23772049	7.241578742
1367518_at	8.354187693	8.032761986	8.725991312	8.341734864	8.637224518	8.295285545	8.414236294	8.460421268	8.560612802	8.541192051	8.520934136
1367519_at	8.520697134	8.313060761	8.607534494	8.449604554	8.579884878	8.40940848	8.462254065	8.47501703	8.45684739	8.411896634	8.398100199
1367520_at	8.876855515	9.018101091	8.915433364	9.024081179	8.97731942	8.927105341	8.987955526	8.956052802	8.813787077	8.939583451	8.911644475
1367521_at	6.650955602	6.441321269	6.289158159	6.404806395	6.433946959	6.320283968	6.424533392	6.338379432	6.365399627	6.152303843	6.159965352
1367522_at	7.985948558	8.166205346	7.987009336	8.10109509	8.089390719	8.138281201	7.971603186	7.878573127	8.003294731	8.053415702	8.026146262
1367523_at	8.749536818	8.418109024	8.759448099	8.622317615	8.797667478	8.517318383	8.632636833	8.521452594	8.523143035	8.576786213	8.518943252
1367524_at	6.633797238	6.737646146	6.456005322	6.595363004	6.518472512	6.53718542	6.546470098	6.31346034	6.511306733	6.524174126	6.538083884
1367525_at	9.299539623	8.996901178	8.819381791	8.874090224	8.856418942	9.044242644	9.022396049	8.936940655	8.930276042	8.802981802	8.787995835
1367526_at	8.469032085	8.67631719	8.557546845	8.66417865	8.787648456	8.589525452	8.525712018	8.487545493	8.628238923	8.614804225	8.62155909
1367527_at	7.518468389	7.576907699	7.71526026	7.82034051	7.759769473	7.604013855	7.639951805	7.614830165	7.644175787	7.468907841	7.700374365
1367528_at	8.351838191	8.309309569	7.955103541	8.132842932	8.057305809	8.205853084	8.236129058	8.040317053	8.071144638	7.975004834	8.111027289
1367529_at	7.986401866	8.439615926	7.99695904	8.32341158	8.099881946	8.280195593	8.201306062	8.222595062	8.085493367	8.116693868	8.286436226
1367530_at	8.701824544	8.255571044	8.996445431	8.610966182	8.843612973	8.502128737	8.652354653	8.667668921	8.76734546	8.729021712	8.732630849
1367531_at	10.23721927	9.842479058	10.13486944	9.968173652	10.11946197	10.04112957	10.12281524	10.031474	10.06828525	9.955572653	9.979145608
1367532_at	11.21598489	10.87033729	10.58098393	10.63228513	10.65217388	10.87117947	10.81038717	10.77413746	10.72852838	10.56864037	10.56708884
1367533_at	8.937874304	8.7066668	9.295477039	8.983884659	9.117676228	8.85039314	9.030975459	8.937906471	9.083738416	8.931068477	8.977014271
1367534_at	8.907961424	8.387729629	8.71724089	8.275987338	8.745155651	8.511258316	8.642245921	8.446791634	8.455153719	8.387307258	8.342689309
1367535_at	7.065248134	7.443646021	7.524781408	7.356407921	7.552058461	7.313789013	7.26788555	7.380219252	7.641132414	7.477522145	7.610988491
1367536_at	7.009281337	7.451536234	6.793810237	7.324499091	6.950256734	7.188326688	7.223706908	7.138276444	7.075230126	6.980928463	7.134417163
1367537_at	7.552508982	7.2424178	7.429554228	7.373469651	7.407219014	7.513304808	7.440356997	7.460423314	7.280579131	7.276053351	7.300014426
1367538_at	9.262220356	8.63139069	8.991219811	8.726329197	8.88185161	8.803930169	8.8104764	8.785084088	8.790069953	8.612531957	8.598394504
1367539_at	8.898217547	8.692910755	8.52220718	8.542252499	8.528355659	8.590624123	8.569184503	8.467265835	8.484248837	8.437204074	8.364453497
1367540_at	7.34462147	7.167479711	6.683834842	7.19556597	7.091924463	7.24827037	7.066153367	7.067401974	6.891539991	6.556008191	6.84581306
1367541_at	7.826046951	7.890822169	7.973792859	8.156066187	7.973177528	7.987101978	7.961046984	7.878713678	7.922848202	7.931138793	8.030423382
1367542_at	7.988154443	7.858741834	7.420730385	7.786842598	7.57167111	7.824115509	7.685153185	7.733943931	7.551905442	7.548580423	7.600055009
1367543_at	7.852801029	8.121512834	7.662994275	7.918773237	8.001064601	7.862879081	7.893125814	7.794958599	7.782547005	7.680176456	7.753000899
1367544_at	7.263673967	6.983136975	6.991899479	6.97078015	6.964427785	6.966978225	7.041518321	7.063925837	6.86449037	6.786101855	6.93958653
1367545_at	8.261084467	7.808811951	8.174581652	7.891661051	7.992409286	7.882165577	7.825958665	7.986312914	7.874334021	7.923713017	7.861553054
1367546_at	9.228610216	9.477437944	9.08992153	9.301719978	9.437754074	9.357292665	9.304939658	9.239101155	9.232702052	9.275713096	9.202682243
1367547_at	9.015820482	8.430815797	8.984071342	8.565237269	8.806545443	8.666497151	8.771579538	8.697289682	8.784749143	8.535930478	8.657859599
1367548_at	7.361124387	7.497572333	7.462076725	7.524655378	7.530439991	7.627616921	7.510010617	7.481501269	7.598966066	7.48429478	7.560293581
1367549_a_at	10.80408799	10.35549733	10.99852138	10.62026823	10.90105956	10.60959897	10.70000774	10.68019101	10.760559	10.66219348	10.67385934
1367550_a_at	8.337502027	8.245449948	8.252343518	8.202522407	8.395216756	8.183943779	8.200595347	8.125298694	8.174687361	8.232336459	8.019857802
1367551_a_at	8.920454249	9.022165888	8.618175731	8.879424104	8.700189095	8.925633942	8.875172828	8.805795598	8.663684932	8.697101195	8.733770761
