	GSM495209	GSM495210	GSM495211	GSM495212	GSM495213	GSM495214	GSM495215	GSM495216	GSM495217
1367527_at	8.220550711	8.233223437	8.084565985	7.668413391	7.685363013	7.831681992	7.51980666	7.527411193	7.601223595
1367528_at	8.299118904	8.428467566	8.438939794	8.051459776	7.987245614	8.052489892	8.53529591	8.5931856	8.572676444
1367529_at	8.717127532	8.790670147	8.643652947	7.927953829	8.004768746	7.976664851	8.14913013	8.128731517	8.142830143
1367530_at	8.278026463	8.13701872	8.375719761	9.137041575	9.132965662	9.167892003	8.531474249	8.415089186	8.355883511
1367531_at	9.64754516	9.72745621	9.679286447	10.36415891	10.36849228	10.32882022	10.27275308	10.24936892	10.20455938
1367532_at	10.58776137	10.66915971	10.60330105	10.44080025	10.57214003	10.51865859	11.33825623	11.3582776	11.36693498
1367533_at	8.824297818	8.706277186	8.640860285	9.469348953	9.517409351	9.534424002	8.605746906	8.650452252	8.621834299
1367534_at	8.180839125	8.122228687	8.042501303	8.951093996	8.928795817	8.908003776	9.134102922	9.0960553	9.013813684
1367535_at	7.874826691	7.687236713	7.848711745	7.489578312	7.357672875	7.470155383	7.208633559	7.448108233	7.272287205
1367536_at	7.899984218	7.83418488	7.781307397	6.9066378	7.004575001	6.906476348	7.296446136	7.315991792	7.379777069
1367537_at	7.212267808	7.573240036	7.536191797	7.479611613	7.532743473	7.584759285	7.772103422	7.666369171	7.607913456
1367538_at	8.159472302	8.179858998	8.156477052	9.199297082	9.221138869	9.191591638	9.273593089	9.347003224	9.342335661
1367539_at	8.32340523	8.546789585	8.569939987	8.67045836	8.541007225	8.53572705	9.080172069	9.115652724	9.093507246
1367540_at	7.466149128	7.592393892	7.561040407	6.984466714	6.833365264	6.78777132	7.567923739	7.440256994	7.563362283
1367541_at	8.343039597	8.279532244	8.352837514	8.116675775	8.014935804	8.158724631	7.684718342	7.675307209	7.763065181
1367542_at	8.043668182	8.040850664	8.143296012	7.389092982	7.465606467	7.492972585	8.408291021	8.407462623	8.442937928
1367543_at	8.437100942	8.369345696	8.356198016	7.821225494	7.768865434	7.633714506	8.06007362	8.084257679	8.14212833
1367544_at	6.985537094	6.994583478	6.914264733	7.248340151	7.194381978	7.368331206	7.46205933	7.480215863	7.499575045
1367545_at	7.669435889	7.343315093	7.439296143	8.363610895	8.207781341	8.274083793	8.391469124	8.311810701	8.349771973
1367546_at	9.652544175	9.699727608	9.73895988	9.242125556	8.999356995	9.07653375	9.402431724	9.42235869	9.263347924
1367547_at	8.154224651	8.228318207	8.200095012	9.149536795	9.132789661	9.082914239	8.982717193	8.999041975	8.952305708
1367548_at	7.79851029	7.870078804	7.865929637	7.520461806	7.593617868	7.74612672	7.419359181	7.390895841	7.444538852
1367549_a_at	10.21775639	10.31398736	10.20128919	11.24264333	11.17608543	11.23730836	10.60400329	10.64090366	10.71366426
1367550_a_at	8.27393279	8.262998301	8.324950447	8.401612625	8.41241138	8.420909922	8.465127863	8.460201803	8.501681299
1367551_a_at	9.354918069	9.268197796	9.26099909	8.650021839	8.628224347	8.670992962	9.168365835	9.126410374	9.153784282
