gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
S100A4	2.78E-103	-0.845455116	0.793	0.827	3.82E-99	0	S100A4
SERPINA1	3.92E-102	-1.233995264	0.075	0.37	5.37E-98	0	SERPINA1
HLA-DQB1	4.91E-102	-1.450288736	0.062	0.37	6.73E-98	0	HLA-DQB1
CEBPD	5.82E-102	-1.185259775	0.045	0.355	7.99E-98	0	CEBPD
LY86	7.10E-102	-1.041251379	0.025	0.311	9.74E-98	0	LY86
FGR	9.56E-102	-1.015243446	0.038	0.343	1.31E-97	0	FGR
CD79B	2.17E-101	-1.416136977	0.103	0.345	2.98E-97	0	CD79B
RPL10A	3.55E-101	0.398146817	0.993	0.977	4.87E-97	0	RPL10A
RPS19	1.03E-100	0.252776243	0.999	0.989	1.41E-96	0	RPS19
NPM1	5.44E-100	0.58603523	0.923	0.744	7.46E-96	0	NPM1
CLIC1	4.67E-99	-0.78368036	0.473	0.765	6.40E-95	0	CLIC1
RPL19	9.62E-99	0.29235354	0.999	0.991	1.32E-94	0	RPL19
JUNB	2.19E-98	0.666635656	0.936	0.875	3.00E-94	0	JUNB
TMEM66	1.06E-97	0.675094064	0.875	0.624	1.45E-93	0	TMEM66
MT-CO1	3.21E-94	-0.405249943	0.994	0.995	4.40E-90	0	MT-CO1
RPS2	7.37E-94	0.253516046	1	0.994	1.01E-89	0	RPS2
RPS15	1.19E-91	0.284495916	0.999	0.986	1.63E-87	0	RPS15
RPS16	4.96E-91	0.375304044	0.997	0.975	6.80E-87	0	RPS16
CCR7	3.44E-90	0.904925003	0.371	0.062	4.71E-86	0	CCR7
CD27	1.14E-88	0.662101555	0.419	0.102	1.57E-84	0	CD27
RPLP1	4.75E-88	0.266226035	0.999	0.995	6.52E-84	0	RPLP1
SH3BGRL3	1.12E-87	-0.599532858	0.814	0.889	1.53E-83	0	SH3BGRL3
RPL36A	4.66E-87	0.473863728	0.967	0.858	6.39E-83	0	RPL36A
RPS5	4.79E-87	0.347141443	0.993	0.962	6.58E-83	0	RPS5
MAL	4.43E-86	0.919525245	0.275	0.025	6.08E-82	0	MAL
LEF1	8.33E-86	0.856984869	0.32	0.045	1.14E-81	0	LEF1
AP2S1	9.70E-85	-0.831959529	0.222	0.446	1.33E-80	0	AP2S1
RPS8	3.32E-84	0.317089648	0.997	0.98	4.56E-80	0	RPS8
RPL18	1.36E-83	0.328515629	0.997	0.972	1.87E-79	0	RPL18
TKT	9.90E-83	-0.913692297	0.206	0.455	1.36E-78	0	TKT
NGFRAP1	1.30E-82	0.363393521	0.18	0.021	1.78E-78	0	NGFRAP1
CFP	4.15E-82	-1.054928206	0.058	0.318	5.69E-78	0	CFP
MS4A6A	7.50E-82	-1.214700692	0.023	0.257	1.03E-77	0	MS4A6A
FCGR3A	3.58E-80	-1.44368516	0.047	0.285	4.91E-76	0	FCGR3A
RPL17	6.01E-80	0.368471961	0.981	0.941	8.24E-76	0	RPL17
AP1S2	6.07E-80	-1.009147658	0.139	0.412	8.32E-76	0	AP1S2
RPS26	1.21E-79	0.380324126	0.974	0.864	1.65E-75	0	RPS26
NCF2	3.16E-79	-0.944807493	0.033	0.278	4.33E-75	0	NCF2
CTSW	5.17E-79	-0.895793399	0.269	0.321	7.09E-75	0	CTSW
CD79A	5.21E-79	-1.6314533	0.047	0.239	7.15E-75	0	CD79A
CD7	7.91E-79	0.46104559	0.556	0.225	1.09E-74	0	CD7
HLA-DMB	1.14E-78	-0.956180404	0.03	0.287	1.56E-74	0	HLA-DMB
CD2	1.08E-76	0.728040154	0.511	0.173	1.49E-72	0	CD2
MYL6	3.56E-76	-0.549110348	0.824	0.868	4.88E-72	0	MYL6
ACTB	9.29E-76	-0.535648954	0.99	0.992	1.27E-71	0	ACTB
CST7	1.09E-75	-1.443991156	0.075	0.289	1.49E-71	0	CST7
FAM26F	4.64E-75	-0.924408121	0.071	0.341	6.36E-71	0	FAM26F
CD14	1.48E-74	-1.108614891	0.018	0.237	2.03E-70	0	CD14
AQP3	2.13E-74	0.894510261	0.317	0.053	2.92E-70	0	AQP3
CDA	3.90E-73	-0.924910221	0.018	0.241	5.35E-69	0	CDA
CD37	7.62E-73	-0.593861034	0.732	0.787	1.05E-68	0	CD37
RAC1	1.30E-72	-0.819776712	0.286	0.545	1.79E-68	0	RAC1
TRAT1	1.45E-72	0.711623242	0.32	0.058	1.98E-68	0	TRAT1
ARPC1B	5.45E-72	-0.640903973	0.674	0.792	7.48E-68	0	ARPC1B
PRKCQ-AS1	6.18E-72	0.768905302	0.317	0.056	8.48E-68	0	PRKCQ-AS1
PRELID1	1.28E-71	-0.759187565	0.328	0.566	1.76E-67	0	PRELID1
PIK3IP1	3.55E-71	0.770789543	0.42	0.12	4.86E-67	0	PIK3IP1
RPL4	9.73E-71	0.37639366	0.988	0.94	1.33E-66	0	RPL4
AES	7.54E-70	0.639126894	0.683	0.342	1.03E-65	0	AES
LGALS3	8.62E-70	-1.069971238	0.089	0.36	1.18E-65	0	LGALS3
NEAT1	8.65E-70	-0.591767218	0.588	0.673	1.19E-65	0	NEAT1
MS4A1	6.99E-69	-1.178933943	0.047	0.238	9.58E-65	0	MS4A1
RPL7	9.42E-69	0.379480894	0.983	0.958	1.29E-64	0	RPL7
ARPC2	3.33E-68	-0.493660767	0.755	0.827	4.57E-64	0	ARPC2
GAPDH	6.35E-68	-0.52704559	0.834	0.848	8.71E-64	0	GAPDH
ANXA2	1.81E-67	-0.811912194	0.292	0.539	2.49E-63	0	ANXA2
BRI3	4.40E-67	-0.84579806	0.068	0.304	6.04E-63	0	BRI3
RPL35	4.51E-67	0.296043957	0.991	0.953	6.18E-63	0	RPL35
HLA-DQA2	5.09E-67	-0.888819792	0.011	0.206	6.98E-63	0	HLA-DQA2
CD3G	5.86E-67	0.556956995	0.371	0.105	8.04E-63	0	CD3G
HCK	2.56E-66	-0.77623783	0.025	0.24	3.51E-62	0	HCK
CCL3	4.15E-66	-1.320751697	0.035	0.215	5.69E-62	0	CCL3
LILRA5	5.50E-66	-0.728428558	0.009	0.201	7.54E-62	0	LILRA5
SLC7A7	5.98E-66	-0.775007371	0.019	0.222	8.21E-62	0	SLC7A7
PRF1	7.51E-66	-1.328786711	0.065	0.226	1.03E-61	0	PRF1
ATP6V0B	2.31E-65	-0.788995129	0.203	0.435	3.17E-61	0	ATP6V0B
SERF2	2.54E-65	-0.471995797	0.827	0.876	3.48E-61	0	SERF2
RGS2	3.89E-65	-0.888478256	0.138	0.379	5.34E-61	0	RGS2
RPS21	5.09E-65	0.398020681	0.946	0.797	6.98E-61	0	RPS21
PLEK	8.92E-65	-0.77967619	0.041	0.263	1.22E-60	0	PLEK
GZMA	2.40E-64	-1.33367422	0.081	0.288	3.29E-60	0	GZMA
GZMB	4.17E-64	-1.856421829	0.03	0.186	5.71E-60	0	GZMB
LCK	5.38E-64	0.615979707	0.543	0.223	7.37E-60	0	LCK
PFN1	8.81E-64	-0.455577403	0.945	0.94	1.21E-59	0	PFN1
STXBP2	5.28E-63	-0.833514645	0.116	0.336	7.24E-59	0	STXBP2
RPSAP58	9.39E-63	0.485645248	0.852	0.638	1.29E-58	0	RPSAP58
RPL38	1.95E-62	0.399888725	0.958	0.84	2.67E-58	0	RPL38
CTSH	2.00E-62	-0.759878774	0.047	0.272	2.75E-58	0	CTSH
TSPO	5.25E-62	-0.661464417	0.384	0.54	7.20E-58	0	TSPO
ITGB2	1.09E-60	-0.66914272	0.359	0.548	1.49E-56	0	ITGB2
RPL37A	1.45E-60	0.298091626	0.987	0.926	1.99E-56	0	RPL37A
APOBEC3A	1.39E-59	-0.928621754	0.021	0.201	1.90E-55	0	APOBEC3A
RNF130	1.91E-59	-0.765695047	0.053	0.27	2.62E-55	0	RNF130
MNDA	4.11E-59	-0.711709606	0.02	0.204	5.64E-55	0	MNDA
BTG1	8.26E-59	0.441412061	0.945	0.825	1.13E-54	0	BTG1
FGFBP2	1.20E-58	-1.425436134	0.024	0.171	1.64E-54	0	FGFBP2
IGSF6	2.52E-58	-0.701515965	0.009	0.18	3.46E-54	0	IGSF6
C19orf38	4.66E-58	-0.611570376	0.006	0.174	6.39E-54	0	C19orf38
RPL22	4.86E-58	0.441996964	0.905	0.734	6.66E-54	0	RPL22
GZMM	1.06E-57	-0.36672259	0.266	0.23	1.46E-53	0	GZMM
RPL24	1.31E-57	0.311324288	0.983	0.924	1.80E-53	0	RPL24
FKBP1A	2.89E-57	-0.596939679	0.376	0.524	3.97E-53	0	FKBP1A
EEF1B2	4.87E-57	0.379180598	0.945	0.836	6.69E-53	0	EEF1B2
RPL27	5.39E-57	0.285982351	0.979	0.938	7.39E-53	0	RPL27
CPVL	8.66E-57	-0.699043839	0.014	0.19	1.19E-52	0	CPVL
EFHD2	1.35E-56	-0.752938777	0.065	0.288	1.85E-52	0	EFHD2
RGCC	1.66E-56	0.65874964	0.378	0.118	2.28E-52	0	RGCC
PILRA	1.99E-56	-0.641588808	0.014	0.191	2.73E-52	0	PILRA
NUP214	8.52E-56	-0.735719899	0.035	0.224	1.17E-51	0	NUP214
GLTSCR2	1.73E-55	0.399697777	0.92	0.761	2.38E-51	0	GLTSCR2
TNFSF13B	2.47E-55	-0.821497933	0.044	0.247	3.39E-51	0	TNFSF13B
FCGRT	4.19E-55	-0.82363193	0.099	0.329	5.75E-51	0	FCGRT
GZMH	6.07E-55	-1.340472848	0.017	0.16	8.32E-51	0	GZMH
STX11	7.48E-55	-0.72628047	0.023	0.213	1.03E-50	0	STX11
FLT3LG	9.14E-55	0.593103406	0.299	0.077	1.25E-50	0	FLT3LG
CD40LG	2.71E-54	0.602881704	0.208	0.026	3.72E-50	0	CD40LG
TCF7	3.67E-54	0.687595812	0.375	0.124	5.03E-50	0	TCF7
LYN	7.83E-54	-0.70765704	0.042	0.237	1.07E-49	0	LYN
CTSZ	1.01E-53	-0.637395615	0.014	0.184	1.38E-49	0	CTSZ
CCL5	1.61E-53	-1.350764959	0.211	0.398	2.21E-49	0	CCL5
CEBPB	5.42E-53	-0.812301685	0.211	0.406	7.43E-49	0	CEBPB
RP11-290F20.3	5.66E-53	-0.710924509	0.017	0.186	7.76E-49	0	RP11-290F20.3
RPL37	6.97E-53	0.32035746	0.985	0.925	9.55E-49	0	RPL37
LRRC25	2.23E-52	-0.591913771	0.011	0.168	3.06E-48	0	LRRC25
ALDH2	3.09E-52	-0.764110661	0.014	0.181	4.24E-48	0	ALDH2
APLP2	4.64E-52	-0.66893172	0.051	0.25	6.36E-48	0	APLP2
GIMAP5	1.47E-51	0.616947113	0.433	0.17	2.01E-47	0	GIMAP5
MS4A7	3.16E-51	-0.799813484	0.021	0.188	4.34E-47	0	MS4A7
HINT1	3.42E-51	0.466791305	0.777	0.535	4.70E-47	0	HINT1
CD63	6.24E-51	-0.722210032	0.212	0.441	8.56E-47	0	CD63
MAFB	7.43E-50	-0.607346797	0.01	0.16	1.02E-45	0	MAFB
GIMAP7	7.66E-50	0.44806781	0.688	0.421	1.05E-45	0	GIMAP7
ASAH1	7.90E-50	-0.697463259	0.14	0.32	1.08E-45	0	ASAH1
CCL4	8.48E-50	-1.282073427	0.026	0.179	1.16E-45	0	CCL4
PLBD1	1.30E-49	-0.62269634	0.009	0.146	1.79E-45	0	PLBD1
PRDX2	2.12E-49	0.561040889	0.438	0.174	2.90E-45	0	PRDX2
LDLRAP1	2.25E-49	0.760902125	0.233	0.045	3.09E-45	0	LDLRAP1
ASGR1	3.51E-49	-0.602038104	0.002	0.136	4.82E-45	0	ASGR1
BLVRB	1.68E-48	-0.712083748	0.051	0.242	2.31E-44	0	BLVRB
EVL	1.99E-48	0.501233702	0.686	0.413	2.73E-44	0	EVL
TCL1A	2.01E-48	-1.273296319	0.022	0.157	2.76E-44	0	TCL1A
RHOC	1.28E-47	-0.754467189	0.079	0.265	1.75E-43	0	RHOC
TALDO1	2.69E-47	-0.735969422	0.252	0.448	3.69E-43	0	TALDO1
RAB32	2.70E-47	-0.533035946	0.007	0.143	3.70E-43	0	RAB32
YBX1	5.94E-47	-0.42019433	0.796	0.823	8.15E-43	0	YBX1
HVCN1	9.11E-47	-0.743469519	0.033	0.189	1.25E-42	0	HVCN1
CTSD	1.31E-46	-0.673396	0.127	0.325	1.80E-42	0	CTSD
MPEG1	2.10E-46	-0.567797023	0.017	0.175	2.88E-42	0	MPEG1
C1orf162	3.34E-46	-0.681596167	0.276	0.462	4.59E-42	0	C1orf162
RPL7A	4.29E-46	0.262943662	0.991	0.964	5.89E-42	0	RPL7A
LINC00176	4.92E-46	0.478491831	0.134	0.006	6.75E-42	0	LINC00176
RNASE6	1.21E-45	-0.616827923	0.014	0.167	1.65E-41	0	RNASE6
IFITM2	1.29E-45	-0.484012821	0.68	0.721	1.77E-41	0	IFITM2
FPR1	1.61E-45	-0.684111687	0.017	0.174	2.20E-41	0	FPR1
LEPROTL1	1.88E-45	0.637073541	0.397	0.154	2.58E-41	0	LEPROTL1
IRF8	2.35E-45	-0.675395271	0.023	0.174	3.22E-41	0	IRF8
TMEM123	4.18E-45	0.477992292	0.57	0.315	5.73E-41	0	TMEM123
SPOCK2	4.45E-45	0.568554832	0.341	0.113	6.10E-41	0	SPOCK2
C20orf24	5.90E-45	-0.563918128	0.198	0.386	8.09E-41	0	C20orf24
IGFBP7	7.42E-45	-0.730009792	0.009	0.141	1.02E-40	0	IGFBP7
FGL2	1.21E-44	-0.686915046	0.029	0.197	1.66E-40	0	FGL2
CSF3R	1.99E-44	-0.656088508	0.029	0.18	2.73E-40	0	CSF3R
CD33	2.21E-44	-0.471696182	0.003	0.124	3.03E-40	0	CD33
ABI3	6.15E-44	-0.697567196	0.069	0.257	8.44E-40	0	ABI3
CNPY3	2.18E-43	-0.636678191	0.166	0.359	2.99E-39	0	CNPY3
LINC00926	2.37E-43	-0.877060761	0.01	0.134	3.25E-39	0	LINC00926
SMCO4	2.90E-43	-0.569804245	0.018	0.168	3.97E-39	0	SMCO4
NCF1	5.11E-43	-0.674195014	0.08	0.227	7.00E-39	0	NCF1
PLAC8	5.29E-43	-0.561557551	0.385	0.501	7.25E-39	0	PLAC8
H3F3A	6.43E-43	-0.573628871	0.265	0.468	8.82E-39	0	H3F3A
PLAUR	1.86E-42	-0.567999301	0.028	0.189	2.55E-38	0	PLAUR
KLF4	2.19E-42	-0.599511199	0.028	0.186	3.00E-38	0	KLF4
CTSB	3.00E-42	-0.643590953	0.092	0.278	4.12E-38	0	CTSB
TGFBI	3.12E-42	-0.50923281	0.019	0.17	4.27E-38	0	TGFBI
EIF4A1	4.49E-42	-0.424326614	0.648	0.701	6.15E-38	0	EIF4A1
TIMP1	5.41E-42	-0.681437427	0.251	0.382	7.43E-38	0	TIMP1
LAT	4.62E-41	0.522105576	0.345	0.124	6.34E-37	0	LAT
CYBB	1.07E-40	-0.525105594	0.023	0.168	1.46E-36	0	CYBB
TRABD2A	1.38E-40	0.568926028	0.183	0.03	1.89E-36	0	TRABD2A
CARD16	1.57E-40	-0.612338754	0.17	0.372	2.16E-36	0	CARD16
SCPEP1	1.58E-40	-0.652190018	0.042	0.203	2.16E-36	0	SCPEP1
SNX3	3.55E-40	-0.512333475	0.359	0.536	4.86E-36	0	SNX3
RBP7	5.72E-40	-0.61069717	0.003	0.116	7.84E-36	0	RBP7
ODF3B	8.43E-40	-0.572189122	0.03	0.186	1.16E-35	0	ODF3B
C5AR1	9.62E-40	-0.58533194	0.02	0.156	1.32E-35	0	C5AR1
RP11-664D1.1	2.33E-39	0.40655374	0.122	0.007	3.20E-35	0	RP11-664D1.1
MYO1F	2.43E-39	-0.580724431	0.131	0.315	3.34E-35	0	MYO1F
FHIT	3.87E-39	0.548040971	0.16	0.023	5.31E-35	0	FHIT
RHOG	4.49E-39	-0.566725527	0.286	0.464	6.16E-35	0	RHOG
POU2F2	5.01E-39	-0.580944146	0.064	0.226	6.87E-35	0	POU2F2
LYL1	5.18E-39	-0.5476255	0.029	0.18	7.10E-35	0	LYL1
RPS4Y1	5.27E-39	0.323746089	0.937	0.842	7.23E-35	0	RPS4Y1
SUSD3	5.94E-39	0.576751489	0.24	0.066	8.14E-35	0	SUSD3
ACAP1	1.55E-38	0.494567178	0.439	0.201	2.12E-34	0	ACAP1
FCGR2A	1.67E-38	-0.542107544	0.01	0.138	2.29E-34	0	FCGR2A
TBXAS1	1.67E-38	-0.506980703	0.029	0.179	2.30E-34	0	TBXAS1
ZFP36L2	5.86E-38	0.463543192	0.768	0.56	8.04E-34	0	ZFP36L2
SLC31A2	6.96E-38	-0.467964025	0.016	0.142	9.54E-34	0	SLC31A2
VCAN	1.76E-37	-0.507546498	0.023	0.15	2.41E-33	0	VCAN
JUN	1.81E-37	0.415490248	0.822	0.675	2.48E-33	0	JUN
VPREB3	1.95E-37	-0.696902936	0.005	0.116	2.67E-33	0	VPREB3
HSPA8	2.50E-37	0.393033046	0.795	0.574	3.42E-33	0	HSPA8
BID	2.58E-37	-0.571107046	0.108	0.275	3.54E-33	0	BID
IFNGR2	4.34E-37	-0.582003374	0.065	0.222	5.95E-33	0	IFNGR2
CAPG	8.45E-37	-0.59134879	0.126	0.305	1.16E-32	0	CAPG
AGTRAP	1.06E-36	-0.549689961	0.057	0.221	1.46E-32	0	AGTRAP
LYST	1.54E-36	-0.526285271	0.036	0.189	2.11E-32	0	LYST
RHOA	1.75E-36	-0.467142049	0.486	0.616	2.40E-32	0	RHOA
LINC00936	1.79E-36	-0.600368038	0.197	0.337	2.45E-32	0	LINC00936
SUPT4H1	1.95E-36	-0.553505814	0.19	0.36	2.67E-32	0	SUPT4H1
EIF4EBP1	2.29E-36	-0.505611795	0.036	0.186	3.14E-32	0	EIF4EBP1
RHOH	2.56E-36	0.508112562	0.374	0.156	3.51E-32	0	RHOH
RPL34	2.62E-36	0.450153262	0.932	0.892	3.59E-32	0	RPL34
OCIAD2	2.91E-36	0.435122581	0.341	0.137	3.99E-32	0	OCIAD2
ATP6V0D1	3.51E-36	-0.520192826	0.081	0.241	4.81E-32	0	ATP6V0D1
STX7	3.88E-36	-0.505576647	0.046	0.179	5.32E-32	0	STX7
C6orf48	4.97E-36	0.505506837	0.664	0.446	6.81E-32	0	C6orf48
TOMM7	8.40E-36	0.363230409	0.862	0.708	1.15E-31	0	TOMM7
BRK1	1.10E-35	-0.456645683	0.47	0.604	1.51E-31	0	BRK1
PTPN6	1.14E-35	-0.540780837	0.193	0.364	1.56E-31	0	PTPN6
BST2	1.78E-35	-0.527163316	0.332	0.529	2.45E-31	0	BST2
LAMTOR4	2.00E-35	-0.4350225	0.463	0.561	2.75E-31	0	LAMTOR4
SLC11A1	2.59E-35	-0.47078895	0.018	0.142	3.55E-31	0	SLC11A1
ATP5G2	2.99E-35	-0.334280603	0.815	0.818	4.10E-31	0	ATP5G2
LAT2	4.19E-35	-0.583364661	0.018	0.146	5.74E-31	0	LAT2
CPPED1	4.92E-35	-0.480242136	0.023	0.16	6.75E-31	0	CPPED1
IL8	5.38E-35	-0.733064545	0.024	0.113	7.37E-31	0	IL8
VSTM1	1.42E-34	-0.421149716	0.003	0.102	1.95E-30	0	VSTM1
ITM2A	2.28E-34	0.561453393	0.218	0.056	3.13E-30	0	ITM2A
GPBAR1	2.36E-34	-0.416666449	0.006	0.108	3.24E-30	0	GPBAR1
ARRB2	2.50E-34	-0.554726066	0.169	0.318	3.43E-30	0	ARRB2
TMEM176B	4.77E-34	-0.435210347	0.005	0.108	6.54E-30	0	TMEM176B
CTSC	5.20E-34	-0.568608896	0.157	0.349	7.13E-30	0	CTSC
LGALS9	5.21E-34	-0.519235586	0.08	0.242	7.14E-30	0	LGALS9
RHOB	6.51E-34	-0.5284608	0.052	0.185	8.93E-30	0	RHOB
LY6E	6.61E-34	-0.4197945	0.613	0.701	9.06E-30	0	LY6E
BLVRA	8.56E-34	-0.613688001	0.095	0.248	1.17E-29	0	BLVRA
HHEX	1.18E-33	-0.444600681	0.013	0.123	1.61E-29	0	HHEX
BTK	1.73E-33	-0.481632557	0.014	0.131	2.38E-29	0	BTK
EPHX2	2.46E-33	0.380528263	0.112	0.009	3.38E-29	0	EPHX2
BST1	3.33E-33	-0.430407969	0.011	0.12	4.57E-29	0	BST1
EAF2	3.41E-33	-0.528029367	0.026	0.143	4.67E-29	0	EAF2
