,cell1,cell2,cell3,cell4,cell5
C1orf174,0.202874921,0.198461686,0.223017723,0.244496407,0.260141552
NPHP4,0.009398111,0.048553841,0,0,0.043224226
KCNAB2,0.37267598,0.542733394,0.289224519,0.417875763,0.674717731
RPL22,11.72209625,6.536070734,10.01738304,7.242623649,4.741593007
RNF207,0.033036306,0.006091154,0,0,0.029647638
ICMT,0.078649267,0.081509247,0.103981286,0.200143527,0.067565396
GPR153,0,0,0,0.043729099,0.023500492
ACOT7,0.014995975,0.013690941,0,0.135857811,0
RP1-202O8.3,0.007122336,0,0,0.027932134,0
ESPN,0.014621346,0,0,0.014773449,0
TNFRSF25,0.622037966,0.037082007,0.004630266,0.428971606,0.090927859
PLEKHG5,0.029336109,0.016687457,0,0.01598092,0
NOL9,0.080127928,0.048142098,0.109880516,0.0938666,0.14294566
ZBTB48,0.08570615,0.132727464,0.097172364,0.088605601,0.129261134
KLHL21,0.058489692,0.069078836,0.053875021,0.094009096,0.076794546
PHF13,0.033995778,0.01991793,0.012781529,0.080374324,0.040951222
THAP3,0.128827258,0.077590267,0.069382758,0.219463392,0.066226307
DNAJC11,0.067515231,0.044446992,0.049025358,0.070903014,0.15721251
RP11-312B8.1,0,0.015729862,0,0,0
CAMTA1,0.412304695,0.444487972,0.479795555,0.377025676,0.391048877
VAMP3,0.202504132,0.53880944,0.186232772,0.211829605,0.68357439
PER3,0.049809269,0.004247746,0.026968194,0.089816184,0.05248406
UTS2,0.016837571,0,0.007541035,0.072344954,0
TNFRSF9,0.007520457,0.030485791,0,0.141863327,0
PARK7,2.629461548,3.84910832,2.203315348,3.233539161,3.402754962
SLC45A1,0.003234196,0,0.007872348,0,0
RERE,0.188643187,0.306114533,0.340084443,0.13575447,0.161118255
RP5-1115A15.1,0.007883659,0.006253733,0.018620934,0,0
ENO1,4.083962583,5.118640935,2.644233316,4.538218281,5.747906696
ENO1-AS1,0.030492929,0.004247746,0.060065612,0,0
CA6,0.02253196,0,0,0,0
SLC2A5,0,0.013371308,0.048061057,0,0
GPR157,0.008835928,0.00640925,0,0,0
H6PD,0.076196325,0.149491187,0.068982311,0.067081765,0.133393964
SPSB1,0.01447852,0,0.012010973,0.027763769,0.030942096
SLC25A33,0.136290161,0.25278432,0.177350068,0.12771791,0.149069961
TMEM201,0.016926193,0,0,0.028355824,0.013621009
PIK3CD,0.375025296,0.510313034,0.228314528,0.382204909,0.348678862
C1orf200,0.007915401,0.00968462,0.032795034,0,0
RP11-558F24.4,0.013964574,0.006334426,0,0,0
CLSTN1,0.24931605,0.173792186,0.235592452,0.227546652,0.197205778
CTNNBIP1,0.142531648,0.592990086,0.103800409,0.924692626,0.293943237
LZIC,0.199298337,0.213923558,0.288550323,0.228261359,0.336781612
NMNAT1,0.030451851,0.056177019,0.040871947,0.051275024,0.108270358
RBP7,0.015893989,2.473177087,0.052239715,0,0.799497422
UBE4B,0.101187923,0.151359088,0.156118528,0.092139432,0.087261882
KIF1B,0.014733367,0.070840775,0.073434222,0,0.093622593
PGD,0.258116552,1.8570114,0.265291653,0.155408684,0.738102322
APITD1,0.070233384,0.012495257,0.079391713,0.073107395,0.029116595
DFFA,0.146764357,0.228190093,0.197507111,0.200198252,0.287732453
PEX14,0.094158349,0.046337048,0.105474947,0.058579455,0.047895803
CASZ1,0,0,0.033458561,0.027244266,0
TARDBP,0.341589951,0.171217102,0.445650714,0.38969653,0.130595815
RP4-635E18.8,0.011663221,0.011316442,0.024721965,0,0
SRM,0.755257547,0.601316093,0.603826707,0.815395198,0.270601332
EXOSC10,0.158130539,0.133726439,0.207696573,0.171163637,0.182316646
MTOR,0.044552371,0.064309065,0.020360499,0.054230444,0.045447518
UBIAD1,0.356257968,0.072933789,0.163734771,0.156488562,0.056564559
FBXO2,0.035002366,0,0.015542842,0.023612853,0
FBXO44,0.150179281,0.018155101,0.18369946,0.290784057,0
FBXO6,0.056046445,0.280241379,0.20137595,0.30289833,0.344392523
MAD2L2,0.285405972,0.3903215,0.282024754,0.39066554,0.419216178
DRAXIN,0.020706772,0.018327769,0.026877385,0,0
AGTRAP,0.248057393,2.456794564,0.196430834,0.316332279,1.680058914
MTHFR,0.047914882,0.194703782,0.126296011,0.057654146,0.103645184
CLCN6,0.024409251,0.016154098,0.109797263,0.069149,0.061622053
NPPA-AS1,0,0,0.016196719,0,0
KIAA2013,0.040428833,0.256700045,0.06957993,0.074246071,0.088231355
PLOD1,0.009324641,0.09287181,0,0,0.122356576
MFN2,0.09754195,0.226561047,0.0881858,0.096843743,0.087353855
MIIP,0.193182515,0.410927361,0.180964925,0.251570535,0.50069759
TNFRSF8,0.006650155,0.095191761,0.010262979,0,0.370188731
TNFRSF1B,0.340354738,1.86300286,0.257746198,0.477386886,2.293245605
VPS13D,0.097928913,0.111887166,0.049731566,0.088022535,0.032445031
DHRS3,0.147173582,0.020293686,0,0.088509895,0.079342376
PRDM2,0.310193746,0.268036105,0.413609919,0.490960303,0.209015391
TMEM51,0,0.039794889,0,0,0.019087831
RP3-467K16.4,0.005129625,0,0,0.032667868,0
EFHD2,0.289766806,2.326543884,0.40123943,0.978638177,2.580650913
CASP9,0.034536105,0.04258009,0.140470255,0.040280683,0.105229269
DNAJC16,0.067469144,0.009623553,0.028442916,0.013608219,0.015657122
AGMAT,0.117639012,0.005995509,0.062652865,0.031650563,0.013796491
DDI2,0.164167287,0.03016535,0.086555097,0.064463296,0.073682244
PLEKHM2,0.023235704,0.178172821,0.021952365,0.02026207,0.096681836
FBLIM1,0.035849782,0.024111681,0.051186764,0.046736496,0.063908756
RP11-169K16.9,0.281743359,0.282246149,0.368922145,0.169176955,0.221367047
SPEN,0.118769705,0.16671305,0.133567242,0.083275839,0.130099114
ZBTB17,0.058856432,0.090270247,0.115338959,0.095888507,0.100829328
ARHGEF19,0.035582692,0,0.039544412,0.01420162,0
RSG1,0.019764324,0,0.005810734,0,0.01990125
FBXO42,0.064265839,0.156609382,0.072769901,0.083630541,0.170348132
SZRD1,0.377970149,0.438673669,0.235081794,0.497683427,0.718809155
SPATA21,0.005542871,0.006668356,0,0,0
NECAP2,1.087192724,0.706705382,0.811928603,0.849799252,0.898915537
RP4-798A10.2,0.006562043,0.040889518,0,0.013211261,0
RP4-798A10.7,0.008639946,0,0,0,0
RP4-798A10.4,0.002578732,0,0.021976323,0,0.018019089
NBPF1,0.077392521,0.058388218,0.051099854,0.037081823,0.065732845
CROCCP2,0.191731168,0.184276855,0.371630696,0.268257973,0.096052882
CROCC,0.058161337,0.047007015,0.008409099,0.020810067,0.029970194
RP11-108M9.4,0.167846571,0.339321453,0.284323279,0.079383189,0.17623052
RP11-108M9.6,0.085097637,0.005689447,0,0.031536473,0.029662082
ATP13A2,0.096296591,0.087934611,0.050676892,0.159593768,0.121416268
SDHB,1.085565743,2.728000131,1.033284108,0.662131463,1.512588881
PADI2,0,0.027309514,0,0,0
PADI4,0.085830191,0.222947926,0.107023356,0.030463642,0.054965625
RCC2,0.065273606,0.310703901,0.069709498,0.118944363,0.12874791
ARHGEF10L,0.005806091,0.199322107,0,0,0.090143133
ALDH4A1,0.005289923,0.00708785,0,0,0
IFFO2,0.028350475,0.017973449,0,0.033745566,0.01217401
UBR4,0.146217073,0.659661833,0.128749197,0.241869071,0.16466471
RP1-43E13.2,0.032260959,0.021590097,0,0,0
EMC1,0.025541276,0.036350703,0.090769473,0.034036835,0.094215349
MRTO4,0.265999487,0.110492893,0.241102579,0.168859918,0.104962879
AKR7A2,0.53702068,0.806086784,0.580788541,0.745500834,0.450606532
PQLC2,0.021788381,0.040194818,0.051510104,0.029110606,0.05522581
CAPZB,4.092358473,4.041956262,2.834614361,4.152032141,6.263182837
MINOS1-NBL1,0.006479448,0,0,0,0.027499043
MINOS1,1.494894034,1.36623718,1.204313507,1.425212493,1.567736222
NBL1,0.022138809,0,0,0.03193209,0
TMCO4,0.034749217,0.015091666,0.081430624,0.065723265,0.057467727
OTUD3,0.01874455,0.052474083,0.039735047,0.026802018,0
UBXN10-AS1,0.00884107,0,0,0.026169455,0
UBXN10,0,0,0,0.008959971,0
CAMK2N1,0.065892215,0,0,0.025522112,0
MUL1,0.098516007,0.139231783,0.138863276,0.108021973,0.14701897
CDA,0.077742424,4.154513108,0.03590995,0.035329113,3.006411278
PINK1,0.049849717,0.22644873,0.022531165,0.071753152,0.399503397
PINK1-AS,0.029770249,0.036252121,0.036180335,0,0.027982675
DDOST,0.811637088,0.927605181,0.774366882,1.208666016,0.637764789
HP1BP3,0.683026976,0.353572917,0.547111376,0.892890508,0.597099663
RP5-930J4.4,0.007859458,0,0,0.013103756,0
EIF4G3,0.023101532,0.028443294,0.068702304,0.101265593,0.024566929
ECE1,0.15598528,0.197798407,0.134921579,0.145528009,0.177544862
RP3-329E20.2,0,0,0,0.014313831,0
NBPF3,0.020484105,0.006246155,0.026150112,0.009106348,0
ALPL,0.00302826,0,0.027114216,0,0
USP48,0.21854949,0.213928789,0.319831794,0.232086232,0.175629619
HSPG2,0.010127922,0,0.031208075,0,0
RP1-224A6.3,0.009619239,0.008976298,0,0,0
LINC00339,0.039583612,0.016565811,0.125195707,0.073721869,0.06848539
CDC42,1.93604857,1.921854223,1.928536369,2.650843222,2.530271961
ZBTB40,0.083566636,0.027819954,0.037268851,0.056382124,0.086269374
C1QA,0.007897659,0.040636731,0,0.015320036,1.409157459
C1QC,0.006508019,0,0,0.012580515,0.1870423
C1QB,0.004641717,0.008139975,0,0.015320036,0.996124487
EPHB2,0.007741196,0.014660319,0,0.006748663,0.03097424
KDM1A,0.0935674,0.079829681,0.112226919,0.067974304,0.116596921
LUZP1,0.122672847,0.06693149,0.080675478,0.141950769,0.109810184
RP5-1057J7.6,0.008080993,0.00362875,0,0.0187124,0
HNRNPR,1.044512291,0.552438674,1.252290154,1.521915449,0.71695635
ZNF436,0.001694882,0.015052439,0.005492583,0.012148159,0
C1orf213,0,0.018278862,0.012154449,0,0.034610692
TCEA3,0.391137296,0.051500988,0.004510771,0.078035929,0.037297889
E2F2,0.013804439,0.063825142,0.028210188,0,0.232554334
ID3,0.502222972,0.064763605,0.678425252,0.104721465,0.036867395
MDS2,0.227062791,0,0.111508974,0.017013836,0.01217401
RPL11,98.31084028,68.46453879,91.393355,70.58112226,51.87511798
TCEB3,0.113150184,0.06228968,0.173343808,0.084096986,0.191690257
RP5-886K2.3,0.057873808,0.032795636,0.015090057,0.067369241,0.056980352
PITHD1,0.900293887,0.377931598,0.703695202,0.682965337,0.548057891
LYPLA2,0.422731795,0.312427693,0.443259705,0.469608139,0.229929157
GALE,0.062027902,0.028894858,0.011487915,0.057791834,0.097866024
HMGCL,0.219349615,0.142470294,0.288099089,0.761074417,0.31589177
FUCA1,0.076731516,0.325837906,0.189369981,0.145917517,0.285936037
CNR2,0.003583047,0,0.274621319,0.025307624,0
PNRC2,0.257436801,0.142101473,0.205344156,0.222943678,0.210450394
SRSF10,0.235723577,0.091979675,0.248127113,0.353679793,0.126930737
IFNLR1,0.004138478,0,0.036424106,0.043610487,0
STPG1,0.052089618,0.009639344,0.055104096,0.09271358,0.014749893
NIPAL3,0.412696682,0.069046473,0.248267034,0.327472469,0.072398608
RCAN3,0.912342942,0.163187774,0.341771542,0.31721091,0.136475454
RP4-594I10.3,0.066555047,0,0.018123428,0.012819773,0
SRRM1,0.900090896,0.703457565,0.852081335,1.28486895,0.641365047
CLIC4,0.003176358,0.096417755,0.281270345,0.015287715,0.028815649
RUNX3,0.279218849,0.2668888,0.219311522,0.859991555,0.415524999
SYF2,2.133521392,2.151214038,2.528491473,1.819774664,2.41898153
C1orf63,0.949055241,0.524897269,1.282871009,1.011378486,1.633419061
RP3-465N24.6,0.009838966,0.019310349,0.016651098,0,0
TMEM50A,1.229250293,1.197074367,0.827775772,3.279481448,1.181942808
TMEM57,0.103430948,0.044422165,0.201851078,0.15754969,0.063413673
LDLRAP1,1.570943184,0.106393383,0.132958573,0.388773643,0.073106614
RP11-70P17.1,0.088128833,0.012716368,0,0.107753886,0
MAN1C1,0.080721601,0.019433135,0,0,0
RP1-187B23.1,0.073364387,0.026213886,0,0.006097078,0
SEPN1,0.064882149,0.082904432,0,0.038670955,0.102952032
RP1-317E23.3,0.002878049,0,0,0.035587357,0
MTFR1L,0.152787578,0.386069623,0.18408598,0.201191508,0.281635075
AL020996.1,0.004371281,0.005995509,0,0.015136035,0
PAQR7,0.005662472,0.019898794,0,0,0
STMN1,0.355504503,0.054276502,0.615255334,1.089484862,0.074299629
PAFAH2,0.030971863,0.0477481,0.041750457,0.110304282,0
PDIK1L,0.058448357,0.008032161,0.555502488,0.075754529,0
ZNF593,0.273192318,0.410891917,0.154422742,0.258510296,0.732457684
CNKSR1,0.012994397,0,0,0,0
CEP85,0.023472622,0.031873504,0.03244878,0.016422384,0.081672983
SH3BGRL3,10.24211136,25.17105352,7.788706131,17.20604667,23.55222031
UBXN11,0.214732727,0.84049931,0.168490026,0.266767107,0.610138799
CD52,17.06134987,14.03605772,23.27629613,16.23206196,19.79875876
AIM1L,0.035110022,0,0,0.025810781,0
ZNF683,0.058273862,0.004618852,0.005728942,0.234831729,0
DHDDS,0.066665865,0.091991556,0.137038837,0.045221855,0.048075027
HMGN2,0.383774373,0.551951573,0.351509755,0.381495475,0.614856733
RPS6KA1,0.290884528,0.330668455,0.407030503,0.50410497,0.580024405
ARID1A,0.269557326,0.422891593,0.240271177,0.226116432,0.315802861
PIGV,0.081509273,0.081327785,0.028698107,0.061552426,0.043965563
ZDHHC18,0.061281396,0.056499876,0.005131489,0.077375046,0.142221012
GPN2,0.091064637,0.116152633,0.173999914,0.235118354,0.114944911
GPATCH3,0.088853912,0.066175793,0.084728044,0.069147662,0.05836747
NUDC,1.128438108,0.782466989,1.036143265,1.218797977,0.861393761
C1orf172,0.028197552,0,0.019082404,0,0
TRNP1,0,0.00490918,0,0,0.032679626
SLC9A1,0.030814728,0.079126925,0.054905608,0.026773093,0.084031996
WDTC1,0.111530721,0.138509927,0.113886664,0.055919591,0.077718743
TMEM222,0.356096106,0.167062985,0.386806129,0.407579786,0.154014173
SYTL1,0.832007541,0.297681175,0.718893013,1.151929292,1.356334955
MAP3K6,0.057461599,0.047586129,0,0.159048652,0.090988111
WASF2,0.731967331,1.38069279,0.990742106,0.631083324,1.458891914
RP1-159A19.4,0.013878071,0,0,0,0.066992363
AHDC1,0.029073416,0.032586735,0.060099264,0.087491039,0
FGR,0.153222327,3.135884966,0.787559582,0.563357093,5.005113394
IFI6,2.458830784,9.49692899,1.13881156,2.226874956,5.800129979
FAM76A,0.065889602,0.01077919,0.093724205,0.074066673,0.01824671
STX12,0.219985684,0.406261078,0.41147878,0.321775083,0.45498973
PPP1R8,0.276111772,0.144896195,0.421623404,0.349463178,0.299440043
THEMIS2,0.199301042,1.443645113,0.125672382,0.277219639,1.762368166
RPA2,1.12054875,0.261180176,0.843573788,1.431911039,0.361083607
XKR8,0.133536398,0.118473082,0.084110032,0.154075291,0.050394211
EYA3,0.04975507,0.048223726,0.084248123,0.044404992,0.049717311
PTAFR,0.017859143,0.603992513,0.041222208,0.033862142,0.234669408
DNAJC8,1.098021781,0.778616821,1.416929967,1.020051706,0.904680096
AL353354.2,0.016510846,0.011768583,0.012010973,0.01769567,0
ATPIF1,1.845530129,1.159587891,1.721959983,2.132687426,1.33675147
RP5-1092A3.4,0.025323245,0,0.131469974,0,0.014984753
SESN2,0.024793444,0.051462171,0.029541964,0.066648964,0
MED18,0.017156116,0.020928584,0.071602381,0.024558931,0.048124744
PHACTR4,0.235964302,0.178712605,0.18835386,0.729293786,0.066034444
RCC1,0.06682979,0.070915058,0.164549487,0.053542669,0.042639419
TRNAU1AP,0.211224696,0.162689458,0.148500725,0.332857332,0.241586318
SNHG12,0.365459433,0.104256227,0.306996254,0.23763907,0.082554561
TAF12,0.816931503,0.823928136,0.385145136,0.87991419,0.632887285
RP11-442N24__B.1,0.009927251,0.010472374,0,0,0
RNU11,0.006488602,0.005053568,0,0.012287201,0
GMEB1,0.132272986,0.090934604,0.102914204,0.12936291,0.234741111
YTHDF2,0.728781997,0.322433774,0.615727401,1.050065527,0.256215536
EPB41,0.360474,0.160529214,0.294611831,0.382544875,0.0566054
TMEM200B,0.003282995,0,0.01510606,0,0
SRSF4,0.605230565,0.675581276,0.542691238,0.717665432,0.378657918
MECR,0.058000181,0.069518094,0.19602004,0.038103611,0.089398373
MATN1,0.00560926,0.007179163,0,0,0
MATN1-AS1,0.073866999,0,0.086443523,0.052178097,0
LAPTM5,7.028133792,8.782691302,16.1892655,7.360637223,8.995988147
PUM1,0.106984147,0.367856187,0.097037915,0.194519996,0.229571832
SNRNP40,0.518917037,0.299351036,0.55413775,0.750657285,0.455705556
ZCCHC17,0.327818471,0.307946306,0.27933863,0.370190905,0.246391413
SERINC2,0.003499485,0.094707275,0,0.016366746,0.061269892
PEF1,0.437673641,0.367120177,0.638422889,0.466919865,0.418163493
SPOCD1,0,0,0,0,0
PTP4A2,0.955451636,1.301938141,1.009794492,1.773398416,2.825560473
KHDRBS1,1.474788484,1.160463957,0.867130772,1.480443178,0.99294648
TMEM39B,0.112900376,0.149742703,0.151434401,0.044975065,0.120066165
KPNA6,0.188069234,0.188378711,0.237134624,0.123736796,0.196102115
TXLNA,0.040967124,0.09457157,0.039662189,0.060065516,0.057766657
CCDC28B,0.142679369,0.126466027,0.162404141,0.182487567,0.054270786
TMEM234,0.073046414,0.151304001,0.053085961,0.10384734,0.264763369
EIF3I,1.653650728,1.465328478,2.033786268,1.582927353,2.092499352
FAM167B,0.006999287,0,0,0,0
LCK,3.642689581,0.299357488,0.493155367,4.347534041,0.120482692
HDAC1,1.163061454,0.397752316,0.735994098,1.14016089,0.377631035
MARCKSL1,0.781071939,1.211783239,2.086854756,0.544125342,2.257394804
FAM229A,0.021142172,0.026833095,0,0.017925484,0.08918096
BSDC1,0.338900287,0.12840575,0.60700347,0.367890579,0.682680572
ZBTB8A,0.010133697,0,0,0,0
ZBTB8OS,0.3429572,0.274292163,0.359972581,0.702690005,0.317812829
RBBP4,0.501774532,0.403343678,0.601979135,0.588792816,0.382816449
SYNC,0.051534156,0.052774862,0.097129947,0.08122072,0.014869955
YARS,0.226643142,0.106351191,0.09294412,0.367239802,0.112823556
S100PBP,0.163234303,0.019730358,0.2611402,0.118060152,0.069743344
RNF19B,0.030715506,0.150799036,0.018416308,0.064156075,0.047408778
AK2,0.372863493,0.676148266,0.391878322,0.507609881,0.332347631
ADC,0.02802786,0.008818887,0.011811786,0.055943535,0
TRIM62,0.039737355,0.00527194,0.020826044,0.037491989,0
ZNF362,0.072719163,0.04100177,0.038126644,0.070350887,0.049453257
PHC2,0.015742075,0.209977718,0.010646498,0.025928404,0.147619331
SMIM12,0.611250964,0.684520639,0.327989201,0.697454582,0.542815102
DLGAP3,0.034629898,0.019588477,0.016621954,0.021515969,0
RP11-244H3.4,0.141263428,0.049136104,0.033054931,0.160215536,0.138978154
ZMYM6NB,0.009331541,0.006091154,0.009978994,0.011506752,0
ZMYM6,0.034315533,0.046709658,0.12347104,0.100135861,0.026263346
ZMYM1,0.023537078,0.017696173,0.100655103,0.070583358,0
SFPQ,0.870545803,0.836786246,0.787176352,0.823640616,0.622475082
ZMYM4,0.085083066,0.049301542,0.024082864,0.052515409,0.050423092
KIAA0319L,0.133887548,0.343532772,0.073725964,0.214861741,0.15041394
NCDN,0.06194333,0.020085266,0.044293342,0.081598172,0.028655269
RP4-728D4.2,0.090228841,0.164109159,0.074727311,0.223920559,0.036456761
TFAP2E,0,0.021652819,0.02787674,0,0
PSMB2,0.827420051,1.244231927,0.815498788,1.321015141,1.450808412
C1orf216,0.074469571,0.053522007,0.00995111,0.098191779,0.026821427
CLSPN,0,0.00899588,0.015227166,0.012232989,0.030722276
AGO4,0.027341265,0.12757416,0.014124952,0.055128637,0
AGO1,0.058786021,0.08089013,0.08062938,0.114961312,0.076732482
RP4-789D17.5,0.007463592,0.006891229,0,0.013724199,0
AGO3,0.104853925,0.084516991,0.158169127,0.142234643,0.143603357
ADPRHL2,0.201097051,0.271112831,0.148875594,0.26405653,0.223594235
TRAPPC3,0.924929025,0.904021866,0.623054017,1.084132366,0.750948936
MAP7D1,0.423818271,0.279630164,0.155764081,0.497114851,0.230386202
THRAP3,0.469904878,0.573318525,0.706378634,0.581490465,0.511452676
SH3D21,0,0,0.028807845,0,0
EVA1B,0.006818107,0.266318154,0.017828553,0.061815075,0.025424397
STK40,0.064257813,0.216944671,0.201615882,0.117105147,0.311502119
LSM10,0.698455761,1.287368376,1.800295262,1.023466511,1.49171432
OSCP1,0.011937894,0,0.013631593,0.028755464,0
MRPS15,0.829744943,0.788008412,0.647117016,1.046672992,0.634326982
CSF3R,0.123531615,3.325174735,0.067866559,0.033539585,0.596243976
LINC01137,0.055157509,0,0,0.054375995,0.045661559
ZC3H12A,0.134968336,0.104200887,0.161083113,0.11616976,0.014539279
MEAF6,1.370276756,1.163116158,1.565686489,1.703670648,1.066176534
SNIP1,0.016093663,0,0,0,0.01523842
GNL2,0.166641495,0.214874184,0.239903482,0.245238749,0.243994502
C1orf109,0.120282246,0.0248716,0.144515605,0.112565337,0.010940955
CDCA8,0,0,0,0.017386239,0
YRDC,0.260615012,0.1160615,0.172016294,0.262618261,0.105163164
C1orf122,0.258687135,0.331302298,0.318915157,0.36627754,0.466474962
MTF1,0.082228788,0.218624298,0.083708538,0.048752307,0.203263309
INPP5B,0.049669901,0.048908702,0.086932356,0.035696437,0.076024182
SF3A3,0.499637011,0.373948335,0.335870755,0.320575599,0.381794232
FHL3,0.04404054,0.573878668,0.073059321,0.213639437,0.085898832
UTP11L,0.165684366,0.152444996,0.183322327,0.184412947,0.248869495
RRAGC,0.223342361,0.222632071,0.24889485,0.820852679,0.36871875
RP5-864K19.4,0.018158714,0.035401625,0,0.027323289,0
MYCBP,0.24156911,0.203123286,0.190098457,0.281791789,0.320665439
AKIRIN1,0.724288896,0.247126239,0.458298055,0.682642763,0.378672795
NDUFS5,2.796242676,2.320518042,1.227649379,2.3708749,1.832649395
MACF1,0.505420319,0.209319899,0.365198289,0.547697206,0.277725541
KIAA0754,0.032803438,0.005146919,0,0.013062419,0.043465276
RP11-69E11.4,0.00683087,0,0.012273637,0,0.032996604
PABPC4,0.702726867,0.534707928,0.60547653,0.37800316,0.799446881
HPCAL4,0.060072995,0.008139975,0,0.012261213,0
PPIE,0.723151343,0.604413715,0.458764955,0.668651676,0.419973519
TRIT1,0.145079967,0.009226486,0.084173241,0.036849697,0.042475175
MYCL,0.019284832,0.334803514,0,0,0.04782592
MFSD2A,0.005385656,0.024263415,0.019341499,0,0
CAP1,2.627807818,2.449060175,2.320277777,3.682369528,4.345232245
PPT1,0.834900872,2.014275013,0.520814385,0.466355822,2.109592031
RLF,0.05673203,0.089815258,0.099495926,0.087524527,0.050113648
RP1-39G22.7,0.150642477,0.097854905,0.110092047,0.090869546,0.060293377
ZMPSTE24,0.147595322,0.030236657,0.150599791,0.194560196,0.132978526
COL9A2,0.004397787,0.089036681,0.040961689,0,0.014984753
SMAP2,0.585076559,1.095000998,1.817333202,0.551127832,1.142524583
ZFP69B,0.013459111,0,0,0.006081726,0
