platform_id,gse,id,cell.type
GPL10739,GSE60674,GSM1484413,monocytic.lineage
GPL10739,GSE23321,GSM572410,CD8.T.cells
GPL10739,GSE46197,GSM1126120,fibroblasts
GPL10739,GSE60674,GSM1484401,monocytic.lineage
GPL10739,GSE33631,GSM831854,fibroblasts
GPL10739,GSE61912,GSM1517169,B.cells
GPL10739,GSE60674,GSM1484427,monocytic.lineage
GPL10739,GSE26747,GSM658294,myeloid.dendritic.cells
GPL10739,GSE60674,GSM1484406,monocytic.lineage
GPL10739,GSE61912,GSM1517162,B.cells
GPL10739,GSE62246,GSM1517170,B.cells
GPL10739,GSE61912,GSM1517163,B.cells
GPL10739,GSE60674,GSM1484434,monocytic.lineage
GPL10739,GSE23321,GSM572412,CD8.T.cells
GPL10739,GSE60674,GSM1484412,monocytic.lineage
GPL10739,GSE26747,GSM658292,myeloid.dendritic.cells
GPL10739,GSE61912,GSM1517170,B.cells
GPL10739,GSE62246,GSM1517165,B.cells
GPL10739,GSE62246,GSM1517163,B.cells
GPL10739,GSE60674,GSM1484414,monocytic.lineage
GPL10739,GSE60674,GSM1484415,monocytic.lineage
GPL10739,GSE60674,GSM1484426,monocytic.lineage
GPL10739,GSE60674,GSM1484428,monocytic.lineage
GPL10739,GSE26747,GSM658296,myeloid.dendritic.cells
GPL10739,GSE61000,GSM1495435,endothelial
GPL10739,GSE61912,GSM1517165,B.cells
GPL10739,GSE61912,GSM1517166,B.cells
GPL10739,GSE60674,GSM1484435,monocytic.lineage
GPL10739,GSE61912,GSM1517167,B.cells
GPL10739,GSE26747,GSM658290,myeloid.dendritic.cells
GPL10739,GSE26747,GSM658287,myeloid.dendritic.cells
GPL10739,GSE62246,GSM1517159,B.cells
GPL10739,GSE62246,GSM1517160,B.cells
GPL10739,GSE44727,GSM1089649,fibroblasts
GPL10739,GSE60674,GSM1484425,monocytic.lineage
GPL10739,GSE61000,GSM1495433,endothelial
GPL10739,GSE60674,GSM1484430,monocytic.lineage
GPL10739,GSE62246,GSM1517169,B.cells
GPL10739,GSE60674,GSM1484431,monocytic.lineage
GPL10739,GSE60674,GSM1484433,monocytic.lineage
GPL10739,GSE60674,GSM1484420,monocytic.lineage
GPL10739,GSE60674,GSM1484436,monocytic.lineage
GPL10739,GSE61912,GSM1517157,B.cells
GPL10739,GSE62246,GSM1517162,B.cells
GPL10739,GSE26747,GSM658289,myeloid.dendritic.cells
GPL10739,GSE62246,GSM1517157,B.cells
GPL10739,GSE44727,GSM1089647,fibroblasts
GPL10739,GSE44727,GSM1089648,fibroblasts
GPL10739,GSE62246,GSM1517168,B.cells
GPL10739,GSE60674,GSM1484423,monocytic.lineage
GPL10739,GSE60674,GSM1484416,monocytic.lineage
GPL10739,GSE26747,GSM658295,myeloid.dendritic.cells
GPL10739,GSE60674,GSM1484419,monocytic.lineage
GPL10739,GSE62246,GSM1517172,B.cells
GPL10739,GSE46197,GSM1126124,fibroblasts
GPL10739,GSE61912,GSM1517156,B.cells
GPL10739,GSE26747,GSM658291,myeloid.dendritic.cells
GPL10739,GSE62246,GSM1517156,B.cells
GPL10739,GSE26747,GSM658288,myeloid.dendritic.cells
GPL10739,GSE62246,GSM1517158,B.cells
GPL10739,GSE62246,GSM1517164,B.cells
GPL10739,GSE62246,GSM1517167,B.cells
GPL10739,GSE62246,GSM1517166,B.cells
GPL10739,GSE60674,GSM1484422,monocytic.lineage
GPL10739,GSE61000,GSM1495434,endothelial
GPL10739,GSE46199,GSM1126123,fibroblasts
GPL10739,GSE60674,GSM1484418,monocytic.lineage
GPL10739,GSE61912,GSM1517155,B.cells
GPL10739,GSE60674,GSM1484432,monocytic.lineage
GPL10739,GSE60674,GSM1484421,monocytic.lineage
GPL10739,GSE60674,GSM1484424,monocytic.lineage
GPL10739,GSE62246,GSM1517155,B.cells
GPL10739,GSE46199,GSM1126125,fibroblasts
GPL10739,GSE46199,GSM1126122,fibroblasts
GPL10739,GSE62246,GSM1517174,B.cells
GPL10739,GSE60674,GSM1484417,monocytic.lineage
GPL10739,GSE46199,GSM1126124,fibroblasts
GPL10739,GSE62246,GSM1517161,B.cells
GPL10739,GSE62246,GSM1517173,B.cells
GPL11532,GSE50838,GSM1231009,NK.cells
GPL11532,GSE106475,GSM2838567,CD8.T.cells
GPL11532,GSE101602,GSM2710784,endothelial
GPL11532,GSE53232,GSM1288292,PBMC
GPL11532,GSE53232,GSM1288218,PBMC
GPL11532,GSE53232,GSM1288219,PBMC
GPL11532,GSE50838,GSM1231002,NK.cells
GPL11532,GSE45593,GSM1110239,PBMC
GPL11532,GSE53232,GSM1288220,PBMC
GPL11532,GSE58684,GSM1416919,memory.CD4.T.cells
GPL11532,GSE58684,GSM1416926,memory.CD4.T.cells
GPL11532,GSE106475,GSM2838565,CD8.T.cells
GPL11532,GSE106475,GSM2838560,CD8.T.cells
GPL11532,GSE50838,GSM1231004,NK.cells
GPL11532,GSE59860,GSM1416927,memory.CD4.T.cells
GPL11532,GSE53232,GSM1288212,PBMC
GPL11532,GSE54627,GSM1320144,Th17 cells
GPL11532,GSE106475,GSM2838559,CD8.T.cells
GPL11532,GSE50838,GSM1231005,NK.cells
GPL11532,GSE106475,GSM2838568,CD8.T.cells
GPL11532,GSE104617,GSM2804183,fibroblasts
GPL11532,GSE54058,GSM1306556,fibroblasts
GPL11532,GSE50838,GSM1231008,NK.cells
GPL11532,GSE106475,GSM2838563,CD8.T.cells
GPL11532,GSE101602,GSM2710783,endothelial
GPL11532,GSE50838,GSM1231003,NK.cells
GPL11532,GSE54627,GSM1320145,Th17 cells
GPL11532,GSE50838,GSM1231006,NK.cells
GPL11532,GSE50838,GSM1231007,NK.cells
GPL11532,GSE54627,GSM1320112,Th17 cells
GPL11532,GSE59860,GSM1416913,naive.CD4.T.cells
GPL11532,GSE104619,GSM2804178,fibroblasts
GPL11532,GSE106475,GSM2838561,CD8.T.cells
GPL11532,GSE62333,GSM1525430,fibroblasts
GPL11532,GSE53232,GSM1288288,PBMC
GPL11532,GSE53232,GSM1288290,PBMC
GPL11532,GSE53232,GSM1288293,PBMC
GPL11532,GSE106475,GSM2838566,CD8.T.cells
GPL11532,GSE45593,GSM1110238,PBMC
GPL11532,GSE53232,GSM1288215,PBMC
GPL11532,GSE53232,GSM1288289,PBMC
GPL11532,GSE53232,GSM1288217,PBMC
GPL11532,GSE54627,GSM1320104,Th17 cells
GPL11532,GSE104619,GSM2804179,fibroblasts
GPL11532,GSE54627,GSM1320105,Th17 cells
GPL11532,GSE49058,GSM1193122,PBMC
GPL11532,GSE106475,GSM2838564,CD8.T.cells
GPL11532,GSE53232,GSM1288222,PBMC
GPL11532,GSE53232,GSM1288216,PBMC
GPL11532,GSE54627,GSM1320137,Th17 cells
GPL11532,GSE50838,GSM1231010,NK.cells
GPL11532,GSE54627,GSM1320136,Th17 cells
GPL11532,GSE53232,GSM1288214,PBMC
GPL11532,GSE104617,GSM2804180,fibroblasts
GPL11532,GSE53232,GSM1288207,PBMC
GPL11532,GSE53232,GSM1288202,PBMC
GPL11532,GSE59860,GSM1416921,naive.CD4.T.cells
GPL11532,GSE53232,GSM1288226,PBMC
GPL11532,GSE57199,GSM1377014,fibroblasts
GPL11532,GSE45593,GSM1110237,PBMC
GPL11532,GSE45593,GSM1110240,PBMC
GPL11532,GSE106475,GSM2838569,CD8.T.cells
GPL11532,GSE54058,GSM1306555,fibroblasts
GPL11532,GSE104617,GSM2804181,fibroblasts
GPL11532,GSE53232,GSM1288213,PBMC
GPL11532,GSE104617,GSM2804179,fibroblasts
GPL11532,GSE53232,GSM1288208,PBMC
GPL11532,GSE45593,GSM1110232,PBMC
GPL11532,GSE53232,GSM1288186,PBMC
GPL11532,GSE104617,GSM2804174,fibroblasts
GPL11532,GSE54627,GSM1320141,Th1 cells
GPL11532,GSE104619,GSM2804180,fibroblasts
GPL11532,GSE104619,GSM2804181,fibroblasts
GPL11532,GSE106475,GSM2838562,CD8.T.cells
GPL11532,GSE104619,GSM2804184,fibroblasts
GPL11532,GSE54627,GSM1320113,Th17 cells
GPL11532,GSE54058,GSM1306551,fibroblasts
GPL11532,GSE45593,GSM1110233,PBMC
GPL11532,GSE53232,GSM1288206,PBMC
GPL11532,GSE104617,GSM2804176,fibroblasts
GPL11532,GSE59860,GSM1416922,naive.CD4.T.cells
GPL11532,GSE104617,GSM2804173,fibroblasts
GPL11532,GSE58684,GSM1416913,naive.CD4.T.cells
GPL11532,GSE59860,GSM1416912,naive.CD4.T.cells
GPL11532,GSE59860,GSM1416911,naive.CD4.T.cells
GPL11532,GSE106475,GSM2838552,CD8.T.cells
GPL11532,GSE53232,GSM1288183,PBMC
GPL11532,GSE104619,GSM2804182,fibroblasts
GPL11532,GSE55681,GSM1341616,fibroblasts
GPL11532,GSE59860,GSM1416926,memory.CD4.T.cells
GPL11532,GSE59860,GSM1416925,memory.CD4.T.cells
GPL11532,GSE53232,GSM1288291,PBMC
GPL11532,GSE104617,GSM2804182,fibroblasts
GPL11532,GSE53232,GSM1288201,PBMC
GPL11532,GSE53232,GSM1288188,PBMC
GPL11532,GSE53232,GSM1288204,PBMC
GPL11532,GSE53232,GSM1288203,PBMC
GPL11532,GSE106475,GSM2838555,CD8.T.cells
GPL11532,GSE78699,GSM2072816,monocytic.lineage
GPL11532,GSE106475,GSM2838549,CD8.T.cells
GPL11532,GSE104616,GSM2804155,fibroblasts
GPL11532,GSE104619,GSM2804183,fibroblasts
GPL11532,GSE104619,GSM2804185,fibroblasts
GPL11532,GSE58684,GSM1416918,memory.CD4.T.cells
GPL11532,GSE58684,GSM1416917,memory.CD4.T.cells
GPL11532,GSE45593,GSM1110236,PBMC
GPL11532,GSE54627,GSM1320120,Th17 cells
GPL11532,GSE54058,GSM1306553,fibroblasts
GPL11532,GSE53232,GSM1288187,PBMC
GPL11532,GSE78699,GSM2072813,monocytic.lineage
GPL11532,GSE78699,GSM2072815,monocytic.lineage
GPL11532,GSE106475,GSM2838553,CD8.T.cells
GPL11532,GSE53232,GSM1288189,PBMC
GPL11532,GSE104619,GSM2804173,fibroblasts
GPL11532,GSE53232,GSM1288272,PBMC
GPL11532,GSE104619,GSM2804186,fibroblasts
GPL11532,GSE78699,GSM2072812,monocytic.lineage
GPL11532,GSE59860,GSM1416916,memory.CD4.T.cells
GPL11532,GSE59860,GSM1416915,memory.CD4.T.cells
GPL11532,GSE54058,GSM1306554,fibroblasts
GPL11532,GSE58684,GSM1416912,naive.CD4.T.cells
GPL11532,GSE45593,GSM1110234,PBMC
GPL11532,GSE104617,GSM2804177,fibroblasts
GPL11532,GSE45593,GSM1110227,PBMC
GPL11532,GSE78699,GSM2072814,monocytic.lineage
GPL11532,GSE106475,GSM2838547,CD8.T.cells
GPL11532,GSE57199,GSM1377013,fibroblasts
GPL11532,GSE53232,GSM1288248,PBMC
GPL11532,GSE53232,GSM1288274,PBMC
GPL11532,GSE53232,GSM1288294,PBMC
GPL11532,GSE78699,GSM2072810,monocytic.lineage
GPL11532,GSE58684,GSM1416920,memory.CD4.T.cells
GPL11532,GSE78699,GSM2072811,monocytic.lineage
GPL11532,GSE45593,GSM1110235,PBMC
GPL11532,GSE50838,GSM1231011,NK.cells
GPL11532,GSE53232,GSM1288223,PBMC
GPL11532,GSE58684,GSM1416922,naive.CD4.T.cells
GPL11532,GSE106475,GSM2838554,CD8.T.cells
GPL11532,GSE59860,GSM1416910,naive.CD4.T.cells
GPL11532,GSE50840,GSM1231007,NK.cells
GPL11532,GSE53232,GSM1288182,PBMC
GPL11532,GSE53232,GSM1288249,PBMC
GPL11532,GSE104617,GSM2804185,fibroblasts
GPL11532,GSE53232,GSM1288250,PBMC
GPL11532,GSE50840,GSM1231017,NK.cells
GPL11532,GSE54627,GSM1320128,Th17 cells
GPL11532,GSE53232,GSM1288221,PBMC
GPL11532,GSE54627,GSM1320121,Th17 cells
GPL11532,GSE53232,GSM1288211,PBMC
GPL11532,GSE106475,GSM2838558,CD8.T.cells
GPL11532,GSE53232,GSM1288185,PBMC
GPL11532,GSE40484,GSM994860,monocytic.lineage
GPL11532,GSE53232,GSM1288225,PBMC
GPL11532,GSE41505,GSM1018424,PBMC
GPL11532,GSE54627,GSM1320134,Th2 cells
GPL11532,GSE57199,GSM1377015,fibroblasts
GPL11532,GSE53232,GSM1288273,PBMC
GPL11532,GSE54627,GSM1320135,Th2 cells
GPL11532,GSE54627,GSM1320102,Th2 cells
GPL11532,GSE106475,GSM2838557,CD8.T.cells
GPL11532,GSE53232,GSM1288295,PBMC
GPL11532,GSE58684,GSM1416927,memory.CD4.T.cells
GPL11532,GSE58684,GSM1416921,naive.CD4.T.cells
GPL11532,GSE106475,GSM2838551,CD8.T.cells
GPL11532,GSE58684,GSM1416928,memory.CD4.T.cells
GPL11532,GSE106475,GSM2838550,CD8.T.cells
GPL11532,GSE106475,GSM2838572,CD8.T.cells
GPL11532,GSE106475,GSM2838548,CD8.T.cells
GPL11532,GSE49058,GSM1193123,PBMC
GPL11532,GSE102046,GSM2722392,monocytic.lineage
GPL11532,GSE59860,GSM1416917,memory.CD4.T.cells
GPL11532,GSE29770,GSM738122,fibroblasts
GPL11532,GSE102046,GSM2722393,monocytic.lineage
GPL11532,GSE62333,GSM1525426,fibroblasts
GPL11532,GSE54058,GSM1306545,fibroblasts
GPL11532,GSE62333,GSM1525424,fibroblasts
GPL11532,GSE78699,GSM2072809,monocytic.lineage
GPL11532,GSE49058,GSM1193121,PBMC
GPL11532,GSE50838,GSM1231012,NK.cells
GPL11532,GSE40484,GSM994857,monocytic.lineage
GPL11532,GSE53232,GSM1288271,PBMC
GPL11532,GSE78699,GSM2072817,monocytic.lineage
GPL11532,GSE104616,GSM2804156,fibroblasts
GPL11532,GSE41505,GSM1018425,PBMC
GPL11532,GSE62333,GSM1525429,fibroblasts
GPL11532,GSE58684,GSM1416923,naive.CD4.T.cells
GPL11532,GSE40484,GSM994858,myeloid.dendritic.cells
GPL11532,GSE104617,GSM2804186,fibroblasts
GPL11532,GSE62333,GSM1525431,fibroblasts
GPL11532,GSE53232,GSM1288247,PBMC
GPL11532,GSE78699,GSM2072808,monocytic.lineage
GPL11532,GSE104617,GSM2804172,fibroblasts
GPL11532,GSE53232,GSM1288308,PBMC
GPL11532,GSE104619,GSM2804170,fibroblasts
GPL11532,GSE59860,GSM1416919,memory.CD4.T.cells
GPL11532,GSE62333,GSM1525454,fibroblasts
GPL11532,GSE54627,GSM1320127,Th2 cells
GPL11532,GSE41505,GSM1018423,PBMC
GPL11532,GSE45593,GSM1110246,PBMC
GPL11532,GSE59860,GSM1416918,memory.CD4.T.cells
GPL11532,GSE40484,GSM994840,monocytic.lineage
GPL11532,GSE104617,GSM2804178,fibroblasts
GPL11532,GSE62333,GSM1525432,fibroblasts
GPL11532,GSE50840,GSM1231016,NK.cells
GPL11532,GSE58684,GSM1416911,naive.CD4.T.cells
GPL11532,GSE50840,GSM1231008,NK.cells
GPL11532,GSE59860,GSM1416909,naive.CD4.T.cells
GPL11532,GSE104619,GSM2804171,fibroblasts
GPL11532,GSE58315,GSM1406387,endothelial
GPL11532,GSE59860,GSM1416920,memory.CD4.T.cells
GPL11532,GSE53232,GSM1288227,PBMC
GPL11532,GSE54058,GSM1306550,fibroblasts
GPL11532,GSE58315,GSM1406386,endothelial
GPL11532,GSE54058,GSM1306552,fibroblasts
GPL11532,GSE53232,GSM1288251,PBMC
GPL11532,GSE106475,GSM2838556,CD8.T.cells
GPL11532,GSE58684,GSM1416910,naive.CD4.T.cells
GPL11532,GSE54627,GSM1320140,Th1 cells
GPL11532,GSE58684,GSM1416908,naive.CD4.T.cells
GPL11532,GSE104619,GSM2804172,fibroblasts
GPL11532,GSE59860,GSM1416908,naive.CD4.T.cells
GPL11532,GSE58684,GSM1416915,memory.CD4.T.cells
GPL11532,GSE62333,GSM1525453,fibroblasts
GPL11532,GSE58684,GSM1416914,memory.CD4.T.cells
GPL11532,GSE102046,GSM2722407,monocytic.lineage
GPL11532,GSE68255,GSM1666331,monocytic.lineage
GPL11532,GSE45593,GSM1110247,PBMC
GPL11532,GSE45593,GSM1110248,PBMC
GPL11532,GSE104617,GSM2804184,fibroblasts
GPL11532,GSE53232,GSM1288284,PBMC
GPL11532,GSE58684,GSM1416925,memory.CD4.T.cells
GPL11532,GSE45593,GSM1110268,PBMC
GPL11532,GSE53232,GSM1288224,PBMC
GPL11532,GSE50840,GSM1231009,NK.cells
GPL11532,GSE104619,GSM2804167,fibroblasts
GPL11532,GSE53232,GSM1288300,PBMC
GPL11532,GSE104619,GSM2804166,fibroblasts
GPL11532,GSE54627,GSM1320129,Th17 cells
GPL11532,GSE54627,GSM1320119,Th2 cells
GPL11532,GSE59860,GSM1416914,memory.CD4.T.cells
GPL11532,GSE60037,GSM1464074,endothelial
GPL11532,GSE53232,GSM1288210,PBMC
GPL11532,GSE53232,GSM1288265,PBMC
GPL11532,GSE54058,GSM1306548,fibroblasts
GPL11532,GSE58684,GSM1416909,naive.CD4.T.cells
GPL11532,GSE53232,GSM1288280,PBMC
GPL11532,GSE106475,GSM2838571,CD8.T.cells
GPL11532,GSE40484,GSM994854,myeloid.dendritic.cells
GPL11532,GSE53232,GSM1288198,PBMC
GPL11532,GSE102046,GSM2722408,monocytic.lineage
GPL11532,GSE50840,GSM1231006,NK.cells
GPL11532,GSE106475,GSM2838545,CD8.T.cells
GPL11532,GSE45593,GSM1110245,PBMC
GPL11532,GSE104616,GSM2804154,fibroblasts
GPL11532,GSE102046,GSM2722391,monocytic.lineage
GPL11532,GSE104617,GSM2804175,fibroblasts
GPL11532,GSE102046,GSM2722394,monocytic.lineage
GPL11532,GSE53232,GSM1288200,PBMC
GPL11532,GSE53232,GSM1288297,PBMC
GPL11532,GSE49058,GSM1193118,PBMC
GPL11532,GSE53232,GSM1288281,PBMC
GPL11532,GSE102046,GSM2722383,monocytic.lineage
GPL11532,GSE104619,GSM2804175,fibroblasts
GPL11532,GSE53232,GSM1288304,PBMC
GPL11532,GSE40484,GSM994841,monocytic.lineage
GPL11532,GSE62333,GSM1525428,fibroblasts
GPL11532,GSE53232,GSM1288209,PBMC
GPL11532,GSE29770,GSM738125,fibroblasts
GPL11532,GSE53232,GSM1288252,PBMC
GPL11532,GSE78699,GSM2072822,monocytic.lineage
GPL11532,GSE104619,GSM2804147,fibroblasts
GPL11532,GSE49058,GSM1193119,PBMC
GPL11532,GSE53232,GSM1288307,PBMC
GPL11532,GSE53232,GSM1288184,PBMC
GPL11532,GSE53232,GSM1288305,PBMC
GPL11532,GSE40484,GSM994844,monocytic.lineage
GPL11532,GSE54627,GSM1320123,CD4.T.cells
GPL11532,GSE102046,GSM2722409,monocytic.lineage
GPL11532,GSE41505,GSM1018407,PBMC
GPL11532,GSE102046,GSM2722404,monocytic.lineage
GPL11532,GSE54058,GSM1306549,fibroblasts
GPL11532,GSE53232,GSM1288287,PBMC
GPL11532,GSE53232,GSM1288205,PBMC
GPL11532,GSE50840,GSM1231015,NK.cells
GPL11532,GSE53232,GSM1288299,PBMC
GPL11532,GSE45593,GSM1110267,PBMC
GPL11532,GSE45593,GSM1110225,PBMC
GPL11532,GSE58684,GSM1416916,memory.CD4.T.cells
GPL11532,GSE59860,GSM1416928,memory.CD4.T.cells
GPL11532,GSE102046,GSM2722382,monocytic.lineage
GPL11532,GSE57199,GSM1377019,fibroblasts
GPL11532,GSE54627,GSM1320138,CD4.T.cells
GPL11532,GSE53232,GSM1288199,PBMC
GPL11532,GSE104619,GSM2804151,fibroblasts
GPL11532,GSE104619,GSM2804153,fibroblasts
GPL11532,GSE40484,GSM994861,myeloid.dendritic.cells
GPL11532,GSE53232,GSM1288275,PBMC
GPL11532,GSE50840,GSM1231014,NK.cells
GPL11532,GSE53232,GSM1288296,PBMC
GPL11532,GSE58684,GSM1416929,memory.CD4.T.cells
GPL11532,GSE104619,GSM2804165,fibroblasts
GPL11532,GSE53232,GSM1288197,PBMC
GPL11532,GSE55681,GSM1341617,fibroblasts
GPL11532,GSE60037,GSM1464064,endothelial
GPL11532,GSE41505,GSM1018426,PBMC
GPL11532,GSE53232,GSM1288303,PBMC
GPL11532,GSE62333,GSM1525427,fibroblasts
GPL11532,GSE60037,GSM1464072,endothelial
GPL11532,GSE54058,GSM1306546,fibroblasts
GPL11532,GSE62333,GSM1525425,fibroblasts
GPL11532,GSE40484,GSM994848,macrophages
GPL11532,GSE45593,GSM1110226,PBMC
GPL11532,GSE50840,GSM1231013,NK.cells
GPL11532,GSE106475,GSM2838570,CD8.T.cells
GPL11532,GSE102046,GSM2722384,monocytic.lineage
GPL11532,GSE53232,GSM1288196,PBMC
GPL11532,GSE53232,GSM1288269,PBMC
GPL11532,GSE59860,GSM1416929,memory.CD4.T.cells
GPL11532,GSE54627,GSM1320122,CD4.T.cells
GPL11532,GSE53232,GSM1288302,PBMC
GPL11532,GSE102046,GSM2722405,monocytic.lineage
GPL11532,GSE53232,GSM1288228,PBMC
GPL11532,GSE104619,GSM2804154,fibroblasts
GPL11532,GSE45593,GSM1110228,PBMC
GPL11532,GSE40484,GSM994851,macrophages
GPL11532,GSE53232,GSM1288267,PBMC
GPL11532,GSE104619,GSM2804168,fibroblasts
GPL11532,GSE106475,GSM2838535,CD8.T.cells
GPL11532,GSE53232,GSM1288279,PBMC
GPL11532,GSE62333,GSM1525416,fibroblasts
GPL11532,GSE62333,GSM1525415,fibroblasts
GPL11532,GSE53232,GSM1288301,PBMC
GPL11532,GSE54627,GSM1320139,CD4.T.cells
GPL11532,GSE68255,GSM1666332,monocytic.lineage
GPL11532,GSE60037,GSM1464073,endothelial
GPL11532,GSE60037,GSM1464071,endothelial
GPL11532,GSE59860,GSM1416923,naive.CD4.T.cells
GPL11532,GSE53232,GSM1288283,PBMC
GPL11532,GSE57199,GSM1377028,fibroblasts
GPL11532,GSE54627,GSM1320103,Th2 cells
GPL11532,GSE50840,GSM1231011,NK.cells
GPL11532,GSE53232,GSM1288298,PBMC
GPL11532,GSE41505,GSM1018427,PBMC
GPL11532,GSE49065,GSM1193136,PBMC
GPL11532,GSE57199,GSM1377022,fibroblasts
GPL11532,GSE58315,GSM1406385,endothelial
GPL11532,GSE58315,GSM1406381,endothelial
GPL11532,GSE104619,GSM2804150,fibroblasts
GPL11532,GSE41505,GSM1018409,PBMC
GPL11532,GSE54058,GSM1306547,fibroblasts
GPL11532,GSE53232,GSM1288262,PBMC
GPL11532,GSE53232,GSM1288264,PBMC
GPL11532,GSE53232,GSM1288282,PBMC
GPL11532,GSE45593,GSM1110241,PBMC
GPL11532,GSE104617,GSM2804171,fibroblasts
GPL11532,GSE40484,GSM994847,myeloid.dendritic.cells
GPL11532,GSE53232,GSM1288257,PBMC
GPL11532,GSE53232,GSM1288256,PBMC
GPL11532,GSE62333,GSM1525417,fibroblasts
GPL11532,GSE106475,GSM2838543,CD8.T.cells
GPL11532,GSE68255,GSM1666330,monocytic.lineage
GPL11532,GSE60037,GSM1464066,endothelial
GPL11532,GSE41505,GSM1018410,PBMC
GPL11532,GSE106475,GSM2838546,CD8.T.cells
GPL11532,GSE45593,GSM1110266,PBMC
GPL11532,GSE40484,GSM994845,myeloid.dendritic.cells
GPL11532,GSE104619,GSM2804169,fibroblasts
GPL11532,GSE53232,GSM1288266,PBMC
GPL11532,GSE50840,GSM1231005,NK.cells
GPL11532,GSE57199,GSM1377023,fibroblasts
GPL11532,GSE68255,GSM1666321,monocytic.lineage
GPL11532,GSE54627,GSM1320110,Th2 cells
GPL11532,GSE53232,GSM1288306,PBMC
GPL11532,GSE106475,GSM2838534,CD8.T.cells
GPL11532,GSE41505,GSM1018405,PBMC
GPL11532,GSE68255,GSM1666329,monocytic.lineage
GPL11532,GSE29770,GSM738128,fibroblasts
GPL11532,GSE53232,GSM1288232,PBMC
GPL11532,GSE49058,GSM1193120,PBMC
GPL11532,GSE40484,GSM994842,myeloid.dendritic.cells
GPL11532,GSE49058,GSM1193117,PBMC
GPL11532,GSE40484,GSM994846,macrophages
GPL11532,GSE53232,GSM1288259,PBMC
GPL11532,GSE40484,GSM994855,macrophages
GPL11532,GSE104616,GSM2804165,fibroblasts
