geneID,B.cells,CD4.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils
RP11-345P4.6,0,1.068562966,0,0,0,0
MMP23A,0,0,1.293571974,0,0,0
CDK11A,276.437188,328.0488306,129.3571974,127.2500099,377.0735374,1483.074399
RP1-283E3.8,404.177116,511.8416607,221.2008075,260.2320021,431.2078571,1664.960882
RP1-283E3.4,0,4.274251864,0,0,0,3.497816979
SLC35E2,347.2929293,412.4653049,226.3750954,672.9347368,197.8702721,759.0262844
NADK,456.0714618,230.8096007,840.8217828,1113.150987,1286.156769,16072.46902
GNB1,2338.239464,2218.336718,4634.868381,3643.24803,6682.788435,10395.51206
RP1-140A9.1,5.987809127,3.205688898,1.293571974,1.146396485,0,0
CALML6,1.995936376,0,0,17.19594728,0,0
TMEM52,0,0,1.293571974,3.439189455,0,0
CFAP74,0,0,0,0,0,0
RP11-547D24.1,0,0,6.467859868,0,0,0
GABRD,0,0,1.293571974,0,0,0
RP11-547D24.3,0,0,0,0,0,0
PRKCZ,141.7114827,143.1874375,9.055003815,16.04955079,28.0005102,972.3931201
RP5-892K4.1,0,1.068562966,0,0,3.73340136,153.9039471
RP11-181G12.2,1.995936376,0,2.587143947,0,1.86670068,6.995633957
FAAP20,85.82526415,81.21078542,192.7422241,447.0946292,97.06843536,185.3842999
RP11-181G12.4,0,0,0,0,0,0
SKI,196.599733,303.4718824,213.4393756,278.5743459,957.6174489,4879.454685
MORN1,102.7907233,48.08533347,53.03645092,53.8806348,31.73391156,45.47162072
RP4-713A8.1,0,0,0,0,0,0
RP4-740C4.5,23.95123651,16.02844449,1.293571974,8.024775396,5.60010204,3.497816979
RP4-740C4.7,21.95530013,3.205688898,0,1.146396485,0,3.497816979
RER1,883.2018462,1011.929129,1591.093527,2575.952902,1512.027551,2375.017728
PEX10,141.7114827,138.9131856,618.3274034,632.8108598,74.6680272,52.46725468
PLCH2,17.96342738,105.7877336,2.587143947,2.29279297,22.40040816,3.497816979
RP3-395M20.2,0,0,0,0,0,0
RP3-395M20.3,0,0,0,0,0,3.497816979
PANK4,242.5062696,348.3515269,354.4387208,222.4009181,317.3391156,1000.375656
HES5,0,0,9.055003815,0,0,0
RP3-395M20.12,1.995936376,11.75419263,40.10073118,0,7.46680272,209.8690187
RP3-395M20.8,46.90450482,105.7877336,32.33929934,3.439189455,52.26761904,493.192194
TNFRSF14,451.0816209,801.4222245,1193.966932,222.4009181,524.5428911,6491.948312
RP3-395M20.7,5.987809127,2.137125932,1.293571974,0,5.60010204,66.45852259
RP3-395M20.9,29.93904563,32.05688898,6.467859868,0,0,13.99126791
FAM213B,59.87809127,72.66228169,754.1524606,161.6419044,33.60061224,122.4235943
MMEL1,0,1.068562966,6.467859868,2.29279297,3.73340136,0
RP13-436F16.1,0,0,0,0,0,0
TTC34,21.95530013,20.30269636,6.467859868,0,11.20020408,3.497816979
ABC14-1188822O7.1,0,0,0,0,0,0
RP11-740P5.2,0,0,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0
RP5-907A6.1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
RP1-163G9.1,0,0,0,0,0,0
PRDM16,0,2.137125932,0,1.146396485,0,3.497816979
MIR4251,0,0,0,0,0,0
RP1-163G9.2,0,0,0,0,0,0
RP11-193J6.1,0,0,0,0,0,0
RP11-22L13.1,0,0,0,0,0,0
ARHGEF16,0,1.068562966,7.761431841,0,0,0
RP11-168F9.2,0,0,0,0,0,0
MEGF6,208.5753512,616.5608314,739.9231689,20.63513673,22.40040816,1003.873473
MIR551A,0,0,0,0,0,0
RP11-46F15.2,1.995936376,9.617066695,5.174287894,1.146396485,1.86670068,66.45852259
TPRG1L,398.1893069,580.2296906,1095.655462,1387.139747,477.8753741,2385.511179
WRAP73,200.5916057,243.6323563,381.6037322,202.9121779,263.2047959,804.4979051
TP73,0,1.068562966,1.293571974,0,0,3.497816979
RP5-1092A11.5,0,0,0,1.146396485,0,0
RP5-1092A11.2,0,0,0,0,0,0
TP73-AS1,320.3477883,268.2093045,300.1086979,426.4594925,162.4029592,59.46288864
RF02197,0,0,0,0,0,0
CCDC27,0,0,0,0,0,0
SMIM1,5.987809127,4.274251864,1.293571974,1.146396485,9.3335034,3.497816979
LRRC47,327.3335656,443.4536309,833.060351,733.6937505,350.9397278,549.1572656
RN7SL574P,3.991872751,2.137125932,0,0,0,0
RP1-286D6.5,0,1.068562966,0,0,1.86670068,0
CEP104,528.9231395,457.3449495,523.8966493,492.9504886,375.2068367,419.7380374
DFFB,124.7460235,144.2560004,111.2471897,63.05180668,95.20173468,132.9170452
C1orf174,365.2563567,331.2545195,341.503001,386.3356155,285.605204,454.7162072
RP13-15E13.1,15.967491,2.137125932,5.174287894,1.146396485,13.06690476,3.497816979
RP13-614K11.1,0,0,0,0,0,0
RP13-614K11.2,0,0,0,0,0,0
RP11-718D19.1,0,0,0,0,0,0
RP11-718D19.2,7.983745502,0,0,0,0,0
RP11-374C13.1,0,0,0,0,0,0
RP5-1166F10.1,0,0,0,0,0,0
RP5-1166F10.2,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0
RP1-37J18.2,0,0,0,0,0,0
AJAP1,0,3.205688898,7.761431841,0,0,3.497816979
RP4-603B14.2,0,0,0,0,0,0
RP4-603B14.1,0,0,0,0,0,0
RP11-542C10.1,0,0,0,0,0,0
RP4-703E10.1,0,0,0,0,0,0
RP1-58B11.2,0,0,0,0,0,0
RP1-58B11.3,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,0,0
RP3-491M17.1,0,0,0,0,0,0
RP11-154H17.1,0,11.75419263,0,0,1.86670068,0
MIR4417,0,0,0,0,0,0
MIR4689,0,1.068562966,0,0,0,0
NPHP4,84.82729596,92.96497805,98.31146999,126.1036134,218.4039796,437.2271223
KCNAB2,271.4473471,1095.27704,36.22001526,79.10135748,942.6838434,4533.170804
CHD5,0,3.205688898,6.467859868,3.439189455,0,3.497816979
RPL22,5733.327239,7571.837178,3784.991595,5650.588275,942.6838434,174.8908489
RP1-120G22.11,0,0,6.467859868,9.171171881,0,0
RNF207,9.979681878,55.56527424,80.20146236,67.63739262,16.80030612,3.497816979
ICMT,439.1060026,533.2129201,2006.330131,2001.608263,567.4770067,76.95197353
LINC00337,0,2.137125932,1.293571974,4.585585941,7.46680272,0
HES3,0,0,0,0,0,0
GPR153,0,4.274251864,1.293571974,590.3941899,35.46731292,6.995633957
ACOT7,9.979681878,17.09700746,574.3459563,370.2860647,5.60010204,0
RP1-202O8.3,7.983745502,8.548503729,7.761431841,9.171171881,0,0
HES2,0,0,24.5778675,11.46396485,0,0
ESPN,0,3.205688898,0,1.146396485,1.86670068,0
MIR4252,0,0,0,0,0,0
RP1-202O8.2,0,0,0,0,0,0
TNFRSF25,3.991872751,1445.765693,183.6872202,16.04955079,39.20071428,10.49345094
PLEKHG5,0,29.91976305,1257.351958,58.46622074,1.86670068,0
NOL9,1095.76907,1220.298907,880.922514,675.2275298,393.8738435,136.4148622
RNU6-731P,0,0,0,0,0,0
RP11-58A11.2,0,0,0,0,0,0
TAS1R1,0,0,1.293571974,20.63513673,0,0
ZBTB48,191.609892,240.4266674,267.7693985,193.741006,369.6067346,1483.074399
KLHL21,193.6058284,566.338372,495.4380659,1169.324415,744.8135713,8146.415743
PHF13,122.7500871,129.2961189,267.7693985,632.8108598,261.3380952,150.4061301
THAP3,143.707419,194.4784598,217.3200916,224.6937111,188.5367687,160.899581
DNAJC11,278.4331244,320.5688898,602.8045397,882.7252936,233.337585,31.48035281
RP11-242F24.1,0,0,0,0,0,0
RP11-242F24.2,0,0,0,0,0,0
RP11-312B8.1,23.95123651,20.30269636,5.174287894,9.171171881,13.06690476,6.995633957
CAMTA1,205.5814467,213.7125932,297.5215539,223.5473146,296.8054081,111.9301433
RP11-312B8.2,0,0,0,0,0,0
RP11-334N17.1,0,0,0,0,0,0
RNU1-8P,0,0,0,1.146396485,0,0
RP3-453P22.1,0,0,0,5.731982426,0,0
RP3-453P22.2,0,0,0,0,0,0
RP4-549F15.1,0,0,0,0,0,0
RP11-338N10.1,0,1.068562966,0,0,0,0
RP11-338N10.2,1.995936376,0,0,0,0,0
RP11-338N10.3,0,1.068562966,2.587143947,0,0,0
VAMP3,681.6122722,637.9320907,3731.955144,2953.117346,2708.582687,3382.389018
RP3-467L1.6,11.97561825,12.82275559,14.22929171,5.731982426,18.6670068,45.47162072
PER3,151.6911645,178.4500153,151.3479209,35.53829104,80.26812924,38.47598676
RP3-467L1.4,5.987809127,3.205688898,1.293571974,0,9.3335034,6.995633957
UTS2,0,8.548503729,0,0,0,0
TNFRSF9,17.96342738,35.26257788,6.467859868,0,425.607755,342.7860639
RP5-892F13.2,0,0,0,0,0,3.497816979
PARK7,655.6650994,667.8518538,2196.485211,3391.040803,586.1440135,297.3144432
RF00019,915.1368282,679.6060464,492.8509219,606.4437406,927.750238,2819.240485
CTA-215D11.6,21.95530013,12.82275559,3.880715921,4.585585941,14.93360544,13.99126791
CTA-215D11.5,0,0,0,0,0,0
ERRFI1,37.92279113,52.35958534,1085.306886,5792.741439,1241.355952,10.49345094
RP11-431K24.1,0,2.137125932,3.880715921,1.146396485,0,0
CTA-215D11.4,0,1.068562966,1.293571974,0,0,0
RP11-431K24.2,0,0,0,0,0,0
RP11-431K24.3,0,0,0,0,0,3.497816979
RNU1-7P,0,0,0,0,0,0
RP11-431K24.4,0,0,0,0,1.86670068,0
RNU6-991P,0,0,0,0,0,0
SLC45A1,1.995936376,6.411377796,6.467859868,38.97748049,9.3335034,0
RERE,638.6996402,333.3916454,322.0994214,186.8626271,476.0086734,2396.00463
RP5-1115A15.1,7.983745502,12.82275559,0,1.146396485,1.86670068,97.9388754
RF00599,1.995936376,0,0,0,0,0
RP5-1115A15.2,0,0,0,0,0,0
RP4-633I8.1,0,0,0,0,0,0
RP4-633I8.2,4.989840939,4.274251864,0,1.146396485,1.86670068,0
RP4-633I8.3,0,0,0,0,0,0
RP4-633I8.4,3.991872751,3.205688898,0,1.146396485,0,0
RP11-185B14.1,0,0,0,0,0,0
ENO1,2495.918438,3664.102411,23696.94498,21627.91609,10134.31799,3183.013451
MIR6728,5.987809127,14.95988152,194.035796,147.8851466,31.73391156,6.995633957
RP3-477M7.3,7.983745502,23.50838525,11.64214776,4.585585941,1.86670068,3.497816979
RNU6-304P,0,1.068562966,0,0,0,0
RP3-477M7.4,1.995936376,1.068562966,0,0,1.86670068,0
RP3-477M7.5,0,36.33114085,0,1.146396485,0,0
RP3-477M7.6,0,0,0,0,0,0
CA6,0,7.479940762,0,0,0,0
RN7SL451P,0,0,2.587143947,0,0,0
SLC2A7,0,1.068562966,0,0,0,0
SLC2A5,515.9495531,19.23413339,0,56.17342777,1.86670068,118.9257773
RF00424,0,0,0,0,0,0
GPR157,110.7744688,98.30779288,102.1921859,60.75901371,1123.753809,626.1092392
MIR34AHG,3.991872751,17.09700746,293.640838,580.0766215,261.3380952,0
MIR34A,0,0,6.467859868,13.75675782,3.73340136,0
RP3-510D11.2,0,0,36.22001526,72.22297856,28.0005102,0
H6PD,881.2059098,970.2551732,1507.011349,2632.12633,2346.442755,1399.126791
SPSB1,7.983745502,36.33114085,107.3664738,650.0068071,291.2053061,6.995633957
CTD-2510L9.2,0,0,0,3.439189455,0,0
CTD-2510L9.1,0,0,14.22929171,36.68468752,0,0
RNA5SP40,0,0,0,0,0,0
RP13-392I16.1,0,0,0,0,0,0
SLC25A33,139.7155463,119.6790522,197.916512,198.3265919,141.8692517,3.497816979
RP13-15M17.1,1.995936376,8.548503729,3.880715921,2.29279297,0,3.497816979
TMEM201,23.95123651,29.91976305,152.6414929,103.1756837,7.46680272,0
PIK3CD,539.9007896,1718.249249,138.4122012,103.1756837,688.8125509,12189.89217
C1orf200,1.995936376,1.068562966,0,0,0,10.49345094
RP11-558F24.2,0,0,0,0,0,0
RP11-558F24.4,0,2.137125932,0,6.878378911,1.86670068,0
CLSTN1,551.8764078,983.0779288,1325.911273,1000.804132,1218.955544,87.44542447
RP11-558F24.6,0,0,0,0,0,0
RP11-84A14.7,0,0,0,0,0,0
CTNNBIP1,65.86590039,69.45659279,2289.622393,487.2185062,110.1353401,125.9214112
RP11-84A14.5,0,0,0,0,0,0
LZIC,497.9861257,632.5892759,401.0073118,483.7793167,343.4729251,542.1616317
RP11-84A14.4,11.97561825,4.274251864,2.587143947,4.585585941,9.3335034,24.48471885
NMNAT1,204.5834785,148.5302523,239.3108151,447.0946292,233.337585,587.6332524
RN7SKP269,0.997968188,1.068562966,2.587143947,3.439189455,16.80030612,17.48908489
RP11-84A14.6,0,0,0,0,0,3.497816979
MIR5697,0.997968188,0,0,0,1.86670068,3.497816979
RP11-807G9.2,35.92685476,18.16557042,31.04572736,59.61261723,37.3340136,69.95633957
RBP7,0,0,195.329368,0,41.06741496,563.1485336
UBE4B,666.6427494,631.5207129,579.5202441,875.8469147,1024.818673,3784.637971
RP11-496H15.2,0,0,0,0,0,0
RP11-496H15.3,0,0,1.293571974,0,1.86670068,66.45852259
RNU6-828P,0,0,0,0,3.73340136,20.98690187
KIF1B,456.0714618,472.304831,1376.36058,1173.910001,3533.664387,4795.507078
MIR1273D,0,0,0,0,0,0
RNU6-37P,0,0,0,0,9.3335034,10.49345094
RN7SL731P,0,2.137125932,42.68787513,49.29504886,78.40142856,66.45852259
RP4-736L20.4,0,0,0,0,1.86670068,3.497816979
RP4-736L20.5,0,4.274251864,5.174287894,1.146396485,13.06690476,52.46725468
PGD,362.2624522,503.293157,4323.117536,4970.77516,11175.93697,6463.965776
RP4-736L20.3,1.995936376,1.068562966,1.293571974,0,1.86670068,0
APITD1-CORT,67.86183677,45.94820754,91.84361012,106.6148731,26.13380952,24.48471885
CENPS,99.79681878,55.56527424,77.61431841,111.2004591,28.0005102,27.98253583
CORT,0,4.274251864,23.28429552,13.75675782,1.86670068,0
DFFA,784.4029956,628.315024,1276.755538,1031.756837,421.8743537,111.9301433
RP5-1113E3.3,1.995936376,0,0,0,0,0
PEX14,69.85777314,92.96497805,192.7422241,185.7162306,149.3360544,31.48035281
RN7SL614P,0,0,0,0,1.86670068,0
CASZ1,85.82526415,33.12545195,78.90789039,2.29279297,89.60163264,129.4192282
RP4-734G22.3,0,1.068562966,0,0,0,0
RP11-340B24.3,0,0,0,0,0,0
C1orf127,0,0,0,0,0,0
CFLP6,0,0,0,0,0,0
TARDBP,2562.782306,2791.086467,1684.23071,1008.828907,1767.765544,1846.847365
RP4-635E18.9,1359.232672,1541.93636,962.4175483,597.2725688,909.0832312,1108.807982
MASP2,0,1.068562966,0,1.146396485,0,0
RP4-635E18.8,155.6830373,177.3814524,45.27501907,33.24549807,67.20122448,97.9388754
SRM,56.8841867,128.2275559,415.2366035,546.8311234,5.60010204,3.497816979
EXOSC10,1036.888947,1185.036329,1561.341372,1280.524874,1006.151667,178.3886659
RP4-635E18.7,13.97155463,28.85120008,2.587143947,2.29279297,5.60010204,0
RP4-635E18.6,0,0,6.467859868,17.19594728,0,0
MTOR,1406.137177,1435.080063,2290.915965,1522.414532,2094.438163,1504.061301
RP11-99P18.1,0,0,1.293571974,0,0,0
RNU6-537P,0,0,0,0,0,0
ANGPTL7,0,0,0,13.75675782,0,0
RNU6-291P,0,0,0,0,0,0
RP4-647M16.1,0,0,0,0,0,0
UBIAD1,260.469697,343.0087121,212.1458037,161.6419044,140.002551,41.97380374
RP4-796F18.2,0,2.137125932,0,0,0,0
RP4-796F18.3,0,0,0,0,0,0
RP11-149P14.1,0,0,0,0,0,0
DISP3,2.993904563,1.068562966,0,1.146396485,0,0
RP1-69M21.2,0,0,0,0,0,0
RP3-330O12.5,0,0,0,0,0,0
FBXO2,31.93498201,33.12545195,0,13.75675782,5.60010204,0
FBXO44,183.6261465,326.9802676,68.5593146,228.1329005,54.13431972,6.995633957
FBXO6,20.95733194,24.57694822,47.86216302,158.202715,128.8023469,31.48035281
MAD2L2,51.89434576,99.37635584,346.6772889,382.896426,177.3365646,45.47162072
DRAXIN,23.95123651,16.02844449,6.467859868,3.439189455,18.6670068,34.97816979
AGTRAP,26.94514107,103.6506077,446.2823309,472.3153519,1304.823775,2518.428225
C1orf167,0,0,0,10.31756837,0,0
RP11-56N19.5,0,0,0,0,0,0
MTHFR,533.9129804,571.6811868,908.0875254,1083.344678,756.0137754,363.7729658
CLCN6,390.2055614,239.3581044,305.2829858,366.8468752,483.4754761,94.44105842
NPPA-AS1,25.94717288,19.23413339,12.93571974,20.63513673,69.06792516,3.497816979
RF02156,0,1.068562966,0,0,3.73340136,3.497816979
RF02157,0,2.137125932,1.293571974,0,13.06690476,0
NPPA,0,0,0,0,0,0
RF02158,0.997968188,0,1.293571974,2.29279297,9.3335034,0
NPPB,0,0,0,0,0,0
RP5-934G17.6,0,0,0,0,0,0
RNU5E-1,503.9739348,97.23922991,336.3287131,41.27027347,112.0020408,41.97380374
RNU5E-4P,73.84964589,5.34281483,3.880715921,4.585585941,20.53370748,3.497816979
KIAA2013,326.3355974,353.6943418,1006.398995,875.8469147,653.345238,2756.279779
PLOD1,39.91872751,21.37125932,4051.467421,7405.721294,685.0791496,2647.847453
MFN2,761.4497273,863.3988766,1485.020626,1637.054181,998.6848638,5442.603219
RP5-1077B9.5,0,0,0,0,0,0
MIIP,81.8333914,145.3245634,276.8244023,299.2094826,130.6690476,178.3886659
MIR6729,0,0,0,0,0,0
RN7SL649P,0,0,0,0,0,0
TNFRSF8,1.995936376,3.205688898,34.92644329,0,283.7385034,640.1005071
RNU6-777P,0,0,0,0,0,0
RP11-426M1.2,0,0,0,0,0,0
MIR7846,0,1.068562966,18.11000763,2.29279297,0,0
TNFRSF1B,368.2502613,1109.168359,2592.318235,124.9572169,12758.89915,40399.7861
MIR4632,0,1.068562966,6.467859868,0,9.3335034,48.9694377
RP5-1118D24.2,0,0,0,0,0,0
RF00156,23.95123651,6.411377796,3.880715921,6.878378911,11.20020408,10.49345094
VPS13D,3944.968246,3962.231478,1857.569354,1196.83793,3832.336496,4431.734112
SNORA59A,0,5.34281483,5.174287894,6.878378911,3.73340136,17.48908489
RP5-888M10.2,0,2.137125932,0,0,0,0
DHRS3,0,641.1377796,768.3817523,48.14865238,1248.822755,31.48035281
RNU6ATAC18P,0,4.274251864,2.587143947,0,7.46680272,0
MIR6730,0,0,7.761431841,0,1.86670068,0
RP11-474O21.5,1.995936376,8.548503729,16.81643566,1.146396485,52.26761904,0
AADACL4,0,0,0,0,0,0
RP11-474O21.2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0
RP5-845O24.8,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0
RP5-845O24.3,0,0,0,0,0,0
HNRNPCL1,1.995936376,0,0,1.146396485,3.73340136,0
PRAMEF2,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0
RNU6-1072P,0,0,0,0,0,0
RP11-450I1.2,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0
CH17-409J4.2,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0
