gse,cell.types,n.cell.types,title
GSE36133,"B cells, Plasma cells, T cells",3,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 15.0.0, HGU133Plus2_Hs_ENTREZG]"
GSE36139,"B cells, Plasma cells, T cells",3,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 15.0.0, HGU133Plus2_Hs_ENTREZG]"
GSE40484,"Dendritic cells, Macrophage, Monocytes",3,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE42140,"Monocytes, PBMC, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray ENSG Version 13.0.0]
GSE42203,"Activated B cells, B cells, GC B cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE42204,"Activated B cells, B cells, GC B cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE42253,"CD4 T cells, CD8 T cells, NK cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE43677,"B cells, GC B cells, Naive B cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE46923,"CD4 T cells, Monocytes, Myeloid Dendritic cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE47855,"NK cells, NKT cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE47920,"CD4 T cells, CD8 T cells, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE48097,"Activated B cells, B cells, GC B cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE48184,"Activated B cells, B cells, GC B cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE49703,"Th1 cells, Th17 cells, Th2 cells",3,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE5099,"Activated Macrophages, Macrophage, Monocytes",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE56313,"B cells, GC B cells, Plasmablast",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE57611,"B cells, GC B cells, NK cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE57612,"B cells, GC B cells, NK cells",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE58920,"Granulocytes, Monocytes, Neutrophils",3,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE65135,"B cells, PBMC, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE7138,"Macrophage, Monocytes, PBMC",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE73927,"CD4 T cells, Follicular helper T cells, Tregs",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE73968,"Central Memory CD4 T cells, Effector Memory CD4 T cells, Naive CD4 T cells",3,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE74266,"B cells, GC B cells, Plasmablast",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE75534,"B cells, Memory B cells, Plasmablast",3,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]
GSE78896,"NK cells, Th1 cells, Th17 cells",3,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE78897,"NK cells, Th1 cells, Th17 cells",3,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE82159,"B cells, fibroblast, T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE9378,"B cells, endothelial, Monocytes",3,[HG-U133A] Affymetrix Human Genome U133A Array
GSE94510,"Central Memory CD4 T cells, Effector Memory CD4 T cells, Naive CD4 T cells",3,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE102693,"CD4 T cells, Tregs",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE10316,"Dendritic cells, Immature Dendritic cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE10325,"B cells, CD4 T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE10631,"CD8 T cells, PBMC",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE106382,"B cells, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE109178,"endothelial, Eosinophils",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE110085,"endothelial, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11083,"Neutrophils, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11292,"CD4 T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE114181,"Monocytes, Myeloid Dendritic cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11430,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE11540,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE116487,"Monocytes, NK cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE117668,"endothelial, fibroblast",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [HuGene20stv1_Hs_ENTREZG_21.0.0]
GSE11943,"Monocytes, Plasmacytoid Dendritic Cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE12079,"CD4 T cells, Eosinophils",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12507,"Plasmacytoid Dendritic Cells, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE12838,"Monocytes, Neutrophils",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13017,"Naive CD4 T cells, Tregs",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE13234,"T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13300,"B cells, Naive B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE13791,"endothelial, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14330,"CD4 T cells, Tregs",2,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE14596,"Activated T cells, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE1460,"CD4 T cells, Naive CD4 T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE14924,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE14926,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15460,"fibroblast, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE15791,"Macrophage, Monocytes",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE16385,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16387,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16461,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE16972,"Macrophage, Monocytes",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE17269,"B cells, Naive B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE17354,"CD4 T cells, CD8 T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE17549,"fibroblast, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE18893,"T cells, Tregs",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE19067,"gamma delta T cells, NK cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19246,"Activated B cells, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE19599,"B cells, Immature B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE21254,"B cells, Plasma cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE22045,"Naive CD4 T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22167,"fibroblast, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE22373,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE23371,"Immature Dendritic cells, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE25087,"Naive CD4 T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26050,"NK cells, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26156,"CD4 T cells, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26158,"CD4 T cells, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26294,"fibroblast, Macrophage",2,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE26347,"CD8 T cells, Naive CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26495,"Naive CD8 T cells, Naive T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE26789,"B cells, T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE26807,"B cells, T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE26975,"Granulocytes, Neutrophils",2,Affymetrix Human Genome U133 Plus 2.0 Array [Hs133P_Hs_ENTREZG.cdf]
GSE27928,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE28079,"B cells, Plasma cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE28331,"endothelial, Plasma cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE29301,"B cells, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE31773,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE32164,"Activated Macrophages, Macrophage",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE33536,"fibroblast, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE35340,"Myeloid Dendritic cells, Plasmacytoid Dendritic Cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE35683,"Monocytes, Neutrophils",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE36767,"CD4 T cells, Memory CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE36769,"CD4 T cells, Memory CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE36907,"B cells, Naive B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE3920,"endothelial, fibroblast",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE39262,"fibroblast, NK cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE39840,"Monocytes, Neutrophils",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE40889,"CD4 T cells, PBMC",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE41831,"Granulocytes, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE41889,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE41909,"CD8 T cells, Central Memory",2,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 13, HGU133Plus2_Hs_ENTREZG]"
GSE41999,"CD4 T cells, Tregs",2,"[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene10stv1_Hs_ENTREZ, Brainarray v12.1.0]"
GSE42495,"Macrophage, Monocytes",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE4251,"PBMC, White blood cells",2,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE42672,"endothelial, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE42733,"Monocytes, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE42926,"Immature Dendritic cells, Macrophage",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE43346,"Macrophage, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE43769,"Th1 cells, Th2 cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE44126,"CD8 T cells, Memory CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE44164,"B cells, GC B cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE44732,"Immature Dendritic cells, Myeloid Dendritic cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE4475,"GC B cells, NK cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE4527,"CD4 T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE45460,"B cells, Immature B cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE45461,"B cells, Immature B cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE4571,"CD4 T cells, Tregs",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE4588,"B cells, CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE46913,"Monocytes, Myeloid Dendritic cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE46917,"CD4 T cells, Monocytes",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE47796,"endothelial, fibroblast",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE49954,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE50175,"Th1 cells, Th1Th17 cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE51288,"CD4 T cells, CD8 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE51382,"B cells, Memory B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE51997,"CD4 T cells, Monocytes",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE52647,"Macrophage, Monocytes",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE53117,"B cells, Plasmablast",2,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array [HGU133A2_Hs_ENTREZG_17.1.0]
GSE53455,"Memory CD4 T cells, Naive CD4 T cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE53514,"CD4 T cells, Th1 cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE54017,"Activated B cells, Resting B cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE55673,"fibroblast, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE55679,"fibroblast, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE5580,"Monocytes, T cells",2,[HG-U133A] Affymetrix Human Genome U133A Array
GSE56035,"CD4 T cells, Monocytes",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE56481,"CD4 T cells, CD8 T cells",2,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version]
GSE56767,"Monocytes, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE56768,"Monocytes, T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE58684,"Memory CD4 T cells, Naive CD4 T cells",2,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE59051,"fibroblast, PBMC",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE59412,"B cells, endothelial",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE59786,"CD4 T cells, Tregs",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE59860,"Memory CD4 T cells, Naive CD4 T cells",2,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version]
GSE60234,"CD4 T cells, Th17 cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE60235,"CD4 T cells, Th17 cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE60236,"CD4 T cells, Th17 cells",2,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version]
GSE6053,"PBMC, T cells",2,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array
GSE60920,"CD4 T cells, Memory CD4 T cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE64028,"B cells, Naive B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
GSE64555,"Activated B cells, GC B cells",2,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
