Gene,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16
AARD,49.70290536,37.75012971,22.81831612,13.12534096,26.42624494,27.13285705,26.89383912,1.512990577,8.831610997,31.75677491,32.16950955,17.98653406,10.28590151,31.62500213,30.78028821,35.34413826,31.74712813
AARS,226.4733989,206.7137858,158.4267142,134.0944654,197.7363853,163.663827,208.4785337,28.20746959,83.580553,207.5550005,216.5334548,138.5568361,98.61263831,215.6976365,204.2774672,188.2331175,213.8102046
AARS2,8.886781747,11.50348022,8.322026933,6.672000595,11.09827482,9.572666916,11.747363,6.399835157,7.890902495,10.50859321,9.839238451,7.964293256,8.129901012,9.093732935,9.847883757,10.09732905,10.58598361
AARSD1,40.8074943,37.52597868,37.66255256,35.80525749,37.00501687,30.8071497,41.0482865,22.91795187,39.8766316,39.27066173,32.06384403,38.25133198,29.48885756,22.92315992,35.07757276,27.77354158,37.80486921
AASDH,2.776046317,7.728892274,7.733903508,9.761441043,10.47700344,4.996707085,5.274768573,6.728514562,6.282810377,6.462577557,6.566723228,10.59582173,8.167068596,4.34494533,5.421593932,3.912103734,6.02072566
AASDHPPT,15.09595273,13.10949735,10.57097314,14.17529637,12.54798401,10.35037801,9.641423488,15.49720559,13.74324752,13.33421431,16.2769494,15.9047939,18.59489168,11.54437577,15.57910201,16.17970508,16.33276511
AASS,0.746302494,0.72516606,1.050615635,1.423863057,1.446617452,1.537498551,0.416806601,1.817172207,1.640668239,0.781948982,1.180274044,2.724712891,1.06916916,0.942172758,0.998212091,0.778860176,0.858683904
AATBC,3.029911813,4.629012864,3.690078799,17.50843876,7.949374451,3.564583879,8.027725197,8.842251071,11.42089587,10.62723709,5.678627053,12.49361329,10.94665606,7.864340984,3.789740539,2.660274717,7.798181461
AATF,52.52135923,33.12214823,56.53539334,53.75243904,47.76048893,54.98641304,50.06798381,48.70219899,59.7872914,50.11314032,52.3612699,61.18689098,54.95728489,46.76829597,51.79297112,50.1734164,51.15378652
AATK,4.732790035,1.131580176,14.35576863,15.27202252,6.890012477,10.34596347,9.990416615,16.39838565,7.694827948,6.649209646,7.854931857,6.735128455,12.42795996,5.040554491,9.450994579,7.807620397,5.856307824
AATK-AS1,0,0,1.568319405,0,0,0,0,0,0,0.487824704,0.320913987,0,0,1.503361554,0.26624867,0,0.40507854
ABAT,58.64481794,62.26416212,35.92735764,25.01364354,52.15237658,39.90103526,40.01355284,10.0993995,17.10134015,49.06337485,49.79856632,30.67660633,28.45570874,39.78703489,47.15297746,39.24099781,51.31880486
ABCA1,2.968165048,5.236307217,14.88373085,10.64998406,5.156288504,9.342860419,5.365043183,24.72762907,15.72876208,6.031978424,9.462194801,4.751169132,18.2414146,3.534829765,7.495792568,7.962851451,6.680281082
ABCA10,0,0,0,3.031743433,1.832851719,1.041333976,0,0.934828636,1.799100517,0.442580801,0.592259394,0.855294511,1.763680993,0.776598103,1.03184692,1.644465059,1.679644451
ABCA11P,1.280765015,2.996950373,5.373519558,7.106457545,7.785640654,0,3.839196175,7.183708349,0,3.623134814,4.839770213,7.051586042,1.906537649,7.546579211,4.482581711,4.965999098,4.542743721
ABCA12,31.30336997,24.60833067,15.16544539,12.96700544,23.76031733,20.83982612,24.85267543,0.296430859,4.015178308,27.5100075,25.93782702,17.30436591,10.34558858,25.80820796,25.74047131,24.87718466,26.53723696
ABCA13,0.888981735,0.89789505,0,0.533033726,0.474597927,0.921830545,0,0,0.523569029,0.412333998,0.356881976,1.482596894,2.046024414,0,0.560312944,0.680578288,0.755144331
ABCA17P,0,0,0,0.556410112,0,0.491493483,1.285031672,0,0,0.107655253,0.336788763,0,0,0,0.493876817,0.495122054,0.541285001
ABCA2,35.80564144,49.97610653,36.98919902,30.99535789,42.0585876,44.8841234,36.45677403,48.91187988,46.5580389,39.25569959,41.01571812,39.09719428,46.93317593,36.58325195,40.96503664,36.82312393,36.86334907
ABCA3,25.63820947,29.20780732,15.38056979,16.23670133,19.51944651,13.38994002,17.08751612,4.021809582,7.95110092,19.22672613,20.99663558,18.38385933,9.888952233,24.17688463,20.3303374,22.05253156,20.97420486
ABCA4,0,0.660898151,0,0.757555741,0,0,0,0,0,0.121005255,0.045339584,0,0,0,0.087854755,0.13627649,0.182107679
ABCA5,10.23144233,14.14371798,14.88873662,8.018901382,18.65630214,9.37937373,11.57479152,10.83997844,8.912960311,13.48075582,12.24828852,17.2172623,11.27532707,12.51941583,12.65256769,11.24813304,14.25360387
ABCA6,1.491893245,3.898453012,2.386963885,6.531643455,10.35744909,9.216369484,0,28.81930235,2.655717695,4.465972813,14.46653475,0.828723829,27.51127493,0.37415564,1.989667225,9.661005176,3.626190958
ABCA7,20.71789845,37.93091714,56.5711406,97.33295501,40.24652895,47.25325613,46.31896033,94.78617578,84.74893938,41.37350806,38.53146549,100.0381626,55.56163137,44.66865761,45.51062277,44.70323692,50.90226354
ABCA8,0,1.620127868,1.718795372,1.959688429,2.105870968,1.737128665,0,0,3.438173649,0.796513051,1.699836549,0,0,7.091425584,1.697962068,1.536980882,1.889050985
ABCA9,0,4.486398089,7.024081649,4.439953733,0.765322324,0.416277637,0,3.766018563,1.684365173,3.022618919,1.478415287,3.614156512,0.763976262,0,1.794957058,2.955781693,2.182029961
ABCB1,0.936099599,0.474327016,0.498503409,1.42487371,3.849399022,2.933592587,2.898877174,5.485066229,2.767532421,1.055560646,1.193030369,3.164440176,3.278077758,0.816783327,2.143776122,1.197366558,1.305468824
ABCB10,5.213093686,8.980593918,9.431084305,13.95946596,9.108420679,14.48511425,10.22319194,12.08097255,12.92092513,10.14989874,10.40655234,8.67153428,10.16232014,5.753904399,9.576658413,11.73534171,9.68157072
ABCB11,0,0,0,0,0,0,0,0,0,0.070746756,0.035208792,0,0,0,0,0,0
ABCB4,0.502972933,1.025103564,1.118733312,0.611953315,1.080509317,2.268192492,0.542553578,3.205249709,2.481306954,0.354904316,0.583093747,1.165803945,4.218930496,0.527456501,0.566800764,1.132233623,0.824055814
ABCB5,3.369479226,4.943982631,8.145262847,4.435865083,2.868019718,4.645117889,3.498707342,3.265710173,1.649076248,6.011473703,4.618091026,2.758711314,4.725153886,2.905530746,4.039800925,3.201386868,4.895226779
ABCB6,28.15418264,30.04770781,15.49330596,9.60547494,23.85864149,21.99105462,21.98888843,2.58305071,6.472007993,26.7299394,26.59731871,13.31215841,7.084460284,38.82714625,24.61122965,21.50763255,25.45105826
ABCB7,11.86126814,19.81011364,17.65564579,20.43889447,7.487811983,18.96232831,12.48174446,14.25908382,14.33569482,14.84168288,14.76314923,22.32789246,16.96979156,13.23764014,14.69519117,16.6335889,15.27799936
ABCB8,28.76515841,32.24583365,19.99674977,27.73131098,23.37667746,25.00431334,21.86031631,14.93593632,24.47580996,30.54727493,32.82743426,42.20146945,18.01734361,42.38936223,29.75354785,31.46954781,32.88414407
ABCB9,16.15041148,17.89126885,8.698323475,11.96336036,9.859061819,14.53275376,13.71020163,4.24306352,10.67634841,15.83171928,13.82174356,14.23791566,13.04425951,18.87361104,14.3521609,14.51025091,14.34574377
ABCC1,24.33740603,19.21200305,27.52041569,29.54400462,25.20589322,26.26539824,21.6573116,24.05450732,27.99120594,28.31806935,26.52342751,34.1222749,23.31759055,22.79310634,22.82971825,19.54691431,25.72473455
ABCC10,15.30442054,16.99222795,14.3327713,15.64568312,11.25334929,10.54200304,14.47046967,10.13569577,13.04582931,14.40088154,14.57600116,18.06302164,9.725188491,17.75171513,14.43858918,14.53799216,13.97603067
ABCC11,0,0,0,0,0,0,1.088520197,0,0,0,0.353634246,0,0,0,0.228016901,0,0.242147721
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023221697,0.4427043,0
ABCC13,0,0.75977871,0.816956437,0,0,0.770211384,0,0,0.875102441,0.602364933,0.214979594,0,0,0,0.367705732,0.385303001,0.085575149
ABCC2,1.567794811,1.588948241,2.089715768,1.829729777,0,1.210578352,0.809312107,1.921524054,1.859254009,1.684131882,1.304598277,0.870681532,0,0.7864047,1.174918965,0.601649112,1.480503529
ABCC3,26.2458256,22.8648217,21.69368027,39.12282079,18.87839572,22.54172461,15.45220039,26.33635335,28.76426529,29.44760032,27.68098712,30.78243813,53.67857856,25.16432852,20.83950053,14.95738144,26.18609659
ABCC4,1.274817724,2.20419901,6.538998402,2.420321272,2.906537204,4.178534273,2.503014176,2.780400692,3.281931834,2.66108264,2.800283435,2.083661693,7.030375893,3.904547391,2.228690197,2.392112566,2.176914684
ABCC5,42.11204392,47.81906375,35.15466294,34.140788,34.08394518,30.32765924,35.84316481,20.98635293,28.03199903,40.35435855,42.77107781,34.28631929,24.55452751,45.69684076,38.49796162,33.60641379,41.46099164
ABCC6,1.059975138,0,9.233581091,6.719022876,0,0.398160551,8.421027848,10.03645921,4.108501472,2.413702089,1.197244152,7.658105013,0,1.064475367,1.329354829,1.131088004,2.664585177
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155627605,0,0
ABCC8,1.194199029,1.021923321,0.424425955,0,0.81873359,1.229454068,0.410965764,0,0,0.945021448,1.085237438,1.112237714,0,0.399342073,0.980337105,1.032011182,1.129028413
ABCC9,20.00022164,26.05306605,15.21494185,28.5609207,19.79302001,16.07261037,31.70425738,24.50233406,34.48946235,30.05757714,26.33129347,26.63072949,28.27385587,25.92297443,25.27516688,18.85739015,27.06261023
ABCD1,18.71708044,13.94582766,19.32382129,20.06802792,15.82139301,18.69359979,14.77210599,37.48893474,15.57700229,18.11240175,20.05282982,19.2458203,18.55001443,13.7215239,17.3932497,17.00339016,18.20815101
ABCD2,1.109058756,1.873418417,1.183021467,1.726530952,1.520935776,0.7612699,0.38168993,2.26737303,6.14281169,0.962229941,1.085648428,4.517990215,0.851454229,1.483427241,1.611172799,0.945810597,0.959523798
ABCD3,51.58350423,27.7299717,22.57150725,36.06052197,25.53001124,42.61511027,26.84144457,11.7015406,11.54872906,42.43972647,39.40548129,18.14959884,28.05843879,41.66339362,38.8034949,28.94805071,41.43520377
ABCD4,20.7346682,12.24269013,18.14173139,29.62498032,21.32279645,28.30800264,25.95918209,37.65684958,20.76087408,21.95376523,20.79916939,33.57301681,23.34619309,22.11399415,22.16527562,26.18102763,20.90180478
ABCE1,42.24712279,47.84774991,32.50435769,32.23138791,33.55934192,29.98172384,31.50676751,35.56049627,37.60933923,41.56140992,38.48870323,46.6320445,23.00904685,43.22598094,39.99021288,34.65922988,40.9267657
ABCF1,80.95806941,80.23738659,58.03050046,58.6228846,69.99602819,59.48518166,71.11741386,42.83247433,62.05784702,70.25869286,69.80366111,56.62370613,59.42331078,64.57134507,68.87377387,67.07889021,71.20098541
ABCF2,33.72708112,43.66983858,31.32059546,29.74562974,28.8285278,48.14196807,36.71250523,17.74946628,30.49506829,39.27178942,45.29167308,33.07679359,37.85840024,44.21098251,41.03343152,40.24884122,44.09743668
ABCF3,66.23662201,62.19083163,51.34859085,51.44790313,58.86244736,55.6439678,53.3257739,40.57657733,39.62453578,60.64144549,57.88692237,52.66471765,49.20743014,67.30244774,55.18359346,59.66754651,59.69070773
ABCG1,17.56828789,18.51177856,33.96220351,25.8115276,19.81546171,29.92458351,12.84264674,45.99118605,37.88254615,19.03354737,28.05871424,25.364265,31.60064087,11.78354907,21.01067792,21.63288092,21.15618667
ABCG2,23.88266174,41.52036021,18.36564394,22.69289398,38.28584069,34.90514984,22.96400596,0.669951311,5.834697754,23.01316869,20.60823294,8.490370542,16.01773565,21.05462639,20.53955524,24.22197158,23.08626052
ABCG4,0,0,0,0.65090273,0,0,0,0,0,0,0.031316194,0,0,0,0.054713986,0,0.031346677
ABCG5,0,0,0,0,0,0,0,0,0,0.246877603,0.181826774,0,0,0,0.237670566,0,0.243481163
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008379077,0,0
ABHD1,0.79270749,0.732291676,0,1.948818303,2.265150426,0.731472832,5.299386863,2.878816582,1.804031867,4.628475797,3.105378505,1.728317916,2.430766718,8.16348006,3.311499543,1.930004946,3.700201433
ABHD10,13.66996742,22.24656744,12.58781351,11.43069047,8.050271464,15.32185887,12.13532188,17.99824713,11.34455542,13.55151947,14.59673231,16.47128464,14.28386954,17.31967309,13.63509537,13.23827793,14.79199152
ABHD11,77.80817976,74.51964825,47.29172197,62.63975571,95.59260997,58.68258666,74.47535305,14.48916052,33.09857432,76.02983067,74.51194289,51.23580141,43.13325211,76.01770687,74.23613321,80.95875309,75.10403032
ABHD12,113.5556088,99.5460874,71.32753873,112.1888022,107.3473614,91.47586239,93.42952208,47.75244694,67.73766377,99.81185703,100.8006421,65.53610094,64.8625414,97.47992248,99.11132501,105.8205213,104.0816011
ABHD12B,0,1.636097367,0,6.954444215,0,0,4.99347008,0,3.667936398,1.360959531,0.814941078,0,3.596679361,3.249383515,1.155527526,3.304975085,1.656088981
ABHD13,5.216470373,5.664604898,13.91030051,16.96559497,7.281393603,9.590923572,6.924624269,19.19422338,16.36096348,7.715629911,8.941917706,7.037231166,12.44255309,5.606788489,9.020080466,8.198172371,7.588810438
ABHD14A,9.37200149,8.761520488,6.741002314,13.01909895,18.53818849,11.08256663,16.06889193,12.47898633,26.42472693,12.44152653,11.0016932,6.988580942,16.6444433,6.534734728,13.62910735,15.33340229,15.02694005
ABHD14B,24.89414447,23.67447194,44.51096382,37.40589104,27.76162859,23.98264973,34.80633169,43.61520214,53.98601225,24.48244249,24.68468787,35.43342904,34.00143575,20.21156191,30.76071524,26.19484108,26.55257532
ABHD15,12.06216398,8.40138503,11.19146344,8.738997836,17.02690945,13.17923435,14.77686206,11.85078465,10.58687978,11.86292195,12.83821708,18.33991098,23.18972104,12.10757948,13.0369914,13.11129934,12.41363883
ABHD16A,49.69230915,45.44155769,62.74799553,60.97925404,60.01648387,33.72483791,67.33988797,56.78325872,51.77700304,61.80972853,60.88472366,66.91486009,79.77843947,71.87270847,55.93588154,50.40557691,59.40341672
ABHD16B,17.15129799,12.40520727,3.868950693,5.630983845,12.5483152,6.289417876,15.15089246,2.911976983,7.047326999,10.08298184,9.975943738,10.77526561,6.888160212,7.383644751,11.04414582,5.011324497,10.91984725
ABHD17A,55.04458603,79.25711544,106.4850637,128.106463,96.47339035,100.7295781,96.73039984,180.4569698,161.7486959,67.43417126,87.99356832,100.9960078,180.4263819,81.21033428,91.46477046,57.52515102,72.74400497
ABHD17B,6.860109902,9.723634688,15.85189729,12.57852194,18.25640904,12.67275285,13.57822088,10.77005803,10.14087899,10.03558518,10.16898418,10.92633736,18.43991487,9.727865715,11.49483133,16.563925,10.21537596
ABHD17C,24.89755526,13.51083163,5.926286125,7.197113053,16.42086998,12.79586709,11.0046924,1.122004757,5.177423969,16.98566267,15.81608421,9.816332748,5.046170229,17.85472227,15.50912539,16.37247861,15.89838727
ABHD18,27.45200221,6.374233258,15.3857888,29.55819866,27.60394725,18.26710765,22.99284809,10.09455107,11.253859,22.32592168,18.43513999,40.66324885,16.7716505,16.51405773,14.58912849,14.56455757,17.56054691
ABHD2,34.71120927,31.65111814,39.90791668,50.02301989,26.93181809,36.78851184,33.03935228,52.35028796,40.02875085,38.63875142,36.99129611,32.08037037,37.23448774,24.67784308,36.87359849,35.61541583,39.16462678
ABHD3,18.38227677,21.37489796,37.09539549,46.97893527,33.7395103,27.85322957,30.60573133,62.10503944,54.41929713,29.92362379,34.52117428,39.49543953,51.5166061,22.20299187,30.91547695,25.89879763,32.84519708
ABHD4,16.66150779,17.24860132,26.1445679,18.32121654,11.2826121,15.41629373,16.32631952,20.31523844,13.6098346,17.31025139,19.77844626,17.11274512,16.96321342,13.46738684,19.111598,11.30906927,18.69233811
ABHD5,6.640045388,8.225301176,14.55947855,21.96619008,9.106040498,12.91382625,11.42610225,20.81554683,20.57856014,13.27568739,11.0672359,14.75447781,13.16951556,7.03110252,10.94093678,12.08039958,12.9052401
ABHD6,1.699917652,1.77388389,0,2.375482,3.593450205,2.116275056,2.123706807,1.232761832,3.060414213,2.885286982,3.802077898,2.816297364,7.953279217,0,2.528951964,1.738943209,2.850796379
ABHD8,8.145866048,6.187710859,5.376516282,7.047233322,4.175993882,1.046189661,6.299088711,12.19317525,10.62201706,6.528717488,6.193733847,8.97848162,14.97030801,3.067464533,5.355189724,3.124404547,6.900240702
ABI1,38.76741348,37.19859256,43.46581412,60.64900081,38.64006982,52.54158571,44.15634515,69.65798201,77.79038343,45.78016633,46.74682838,50.06584866,75.27434797,40.46955049,45.67031269,40.81968948,47.32634617
ABI2,16.74166148,17.82168989,12.93298854,11.28724523,14.47438048,16.73578583,16.81885066,10.67731877,13.72176975,17.58563563,18.28709945,10.64143783,15.13546858,15.4828816,16.48604738,14.3255139,17.55265323
ABI3,6.044179444,9.271560018,19.15209888,40.67830447,12.51454134,17.59594932,9.438461983,13.27461356,19.95344685,23.17237544,20.66778222,23.32004433,54.70156832,17.19653941,17.53821929,5.721903782,22.43113143
ABI3BP,0.57092166,0.57354986,0,0,1.201651471,0,0,0.69325589,0.666955633,0.430653263,0.229192698,0,0,0,0.280169714,0.742138727,0.356797121
ABL1,17.23014421,18.98273714,21.77361537,14.55376318,17.20236737,18.18057876,14.00466989,14.37762503,22.65545633,20.33931162,21.22418557,20.07359923,20.04737077,19.46855361,19.76445328,20.53611694,19.58531762
ABL2,12.3382673,6.442657567,9.694592558,12.05899671,8.542476272,5.417527948,5.712457404,20.35337788,18.7279298,12.2404481,10.0050407,5.785595368,13.72702004,12.66503263,10.9433118,15.56079222,11.41990381
ABLIM1,21.16825224,30.98552208,36.43426535,56.80736513,24.28000349,24.75618251,28.60719765,56.05692471,76.21361831,23.49369422,23.07837021,39.19825283,40.17145652,16.76712061,29.03243693,29.24100467,23.53151352
ABLIM2,2.868220786,3.677788343,1.272715106,0,0.827285241,1.862246411,0.831440257,2.114114595,0.941483589,1.423478236,1.672153905,0.890735304,0.853538801,1.503825143,1.225753084,3.823947521,1.470338697
ABLIM3,4.823872567,2.443405268,2.555543658,4.655499044,0.825179347,3.30650883,3.326809627,0,1.878300216,2.405264542,2.808525602,2.05522839,0.914672798,4.205578475,3.125448157,3.437098171,3.741142217
ABO,0,0,0,0,0,0,1.60686188,3.664057557,0,0.507640037,0.667496689,0,0,0,0.081470316,0,0.25153994
ABR,50.23083963,55.31251073,64.96148914,75.65985408,60.31220438,63.06660398,49.93870948,84.12516478,62.12868338,66.260287,72.6906018,62.5870748,103.4709528,69.33333929,63.50649345,74.94326295,67.18832936
ABRA,0.749692813,0,0,0,0,0,0,0,0.877468142,0.266183593,0.158608106,1.30368779,0.854202228,0,0.154564396,0,0.305218004
ABRACL,120.585258,65.62841099,69.63938402,116.8134346,94.20088403,66.29079465,63.57350486,61.99037918,96.7856767,85.70084614,87.08131342,89.7663486,69.49249306,90.50110371,83.84474426,91.5732753,81.37505081
ABT1,25.2702415,19.90826543,25.73075057,33.51906841,22.0800341,30.78036127,37.64129644,38.22142154,34.81814417,26.25400389,28.62466345,36.14233555,27.58348848,24.43293257,30.34237699,26.80598041,29.58383375
ABTB1,63.97151283,38.29210665,141.1209791,236.595941,72.02163571,112.7230303,129.4231257,279.0518975,250.7733365,137.8718674,101.9054186,165.5795855,204.2351249,86.31748728,123.3544792,91.51673665,138.7740846
ABTB2,22.6672362,21.99336756,7.189657964,8.990481808,13.38579895,8.438525648,12.44559838,1.767298163,1.140074361,14.07781068,14.22377586,6.420957225,2.768182374,13.54900106,14.22534986,14.8050971,14.49788345
ACAA1,62.38309408,66.42031231,69.72958879,82.4707183,45.44051499,66.78963357,61.45766608,78.04648543,60.41587573,70.0445114,68.76198749,84.7937383,83.47727076,53.44793043,66.81505107,56.47245458,68.47461702
ACAA2,34.83524853,47.02422694,28.13823135,46.9698394,39.15184963,36.45187802,45.46041164,35.53545126,39.09404085,45.46222356,44.9145159,54.57254515,35.19529964,41.17572043,42.80469446,39.11143241,45.32457387
ACACA,22.39272265,22.60555225,21.37327769,15.65839375,21.23413489,15.9364846,16.0478638,5.46406396,6.609391604,17.50732642,19.63343148,11.92518289,7.183018927,35.76927009,20.02592944,13.32873009,20.07968288
ACACB,29.58139864,25.16752385,22.58734293,21.55784718,24.53705812,20.75051088,27.68207081,5.003367224,14.21340112,28.14807026,27.80588496,21.31715988,10.9926863,27.70121279,27.12606338,28.35978269,27.19852752
ACAD10,16.85939076,24.09392916,20.2559474,14.74885276,18.52477359,15.97123078,14.67305531,12.50598614,12.65140828,16.81688524,17.79779998,26.92309536,15.5558518,23.06954088,15.34339336,13.19855556,16.81183829
ACAD11,6.824978711,8.725512609,9.621662504,16.50700589,11.84968668,7.302200784,8.846495075,21.89629202,24.08859222,10.790808,11.28736536,9.832300989,16.30738686,14.24406749,11.3747485,10.69175534,10.33205182
ACAD8,28.44132377,20.09451586,27.79993821,34.68494564,30.698967,29.02817255,26.74710324,18.48801359,37.20602999,33.86702224,29.94263367,38.27914995,35.89235742,34.83881369,29.59590471,27.83614709,31.6288905
ACAD9,72.06594409,57.9157659,48.14737192,31.43792204,25.19740273,70.27131962,29.23268984,21.19327739,13.27746516,42.94932116,40.21661673,35.09942622,25.49240497,23.12028307,37.36088296,53.01457657,38.73440159
ACADL,0,2.236455359,0,0,0,0,0,0,0,0,0,0,0,0,0.045037207,0,0
ACADM,22.17900359,34.49263643,21.46287638,27.48348678,24.93086777,32.6892173,39.57801069,16.34877849,33.29810464,20.64479621,23.83429947,17.64931345,23.13631018,26.13324163,21.42781384,28.31328047,21.14934134
ACADS,7.861292024,14.78499144,14.37332248,10.34337462,20.13539207,10.10419222,10.15027696,11.41326084,9.077605641,10.01873755,11.88507434,15.04660575,10.86942472,19.84118846,12.27225905,10.33711503,13.52233936
ACADSB,15.32402124,12.69809855,8.475555742,10.77632682,13.53072931,9.880621355,12.98235409,11.48817978,10.93870189,13.22009245,12.64873022,13.15606755,10.91974857,9.782116897,13.09781754,8.886859744,13.60783297
ACADVL,256.4980636,250.2686001,203.9575072,211.2696118,249.3329329,218.6708378,238.9609245,198.5113179,198.3115196,251.7096285,252.5160442,209.8143462,222.1662184,255.3810537,240.0872921,243.9663745,244.0193795
ACAN,0.477163445,0.966865382,0.510017789,0.265982569,0,0.987050253,0,0.28019329,0,0.328703436,0.2452405,0,1.668735833,0,0.348954698,0.502557444,0.433557148
ACAP1,22.4238191,38.70093265,71.24762608,89.40555586,52.84262912,51.22984163,59.964672,160.2263448,170.5798014,35.49336358,49.89987083,85.32778039,89.69533681,40.01934935,65.18991788,50.55075315,46.34747092
ACAP2,22.25202871,21.87496205,28.44357175,47.63954251,27.23651528,30.66701693,30.40132253,39.79188125,41.00097956,28.80793152,31.23261114,33.41298318,43.20924139,24.46168637,33.10417167,27.98210139,31.51099667
ACAP3,29.90395475,22.55947443,37.34394403,42.01358947,32.88095628,29.51212025,30.6662126,44.49498507,39.13367139,33.68358489,34.50505711,44.4872426,42.93416085,34.8283999,32.08320939,30.10377991,37.45366098
ACAT1,16.91754482,20.02970843,9.461691298,19.01805005,20.40892022,19.26652336,15.39271563,9.403731617,14.79548992,24.63899016,23.01614427,14.11272312,17.85057686,18.98621786,21.29371052,18.70318258,21.92366366
ACAT2,47.16445504,49.08743193,52.32078659,42.51072932,57.73118124,42.00347713,36.53619117,26.46938416,35.15996878,54.96681507,58.14042604,24.24897584,23.96027207,71.27427202,53.52539031,46.07602289,56.36523493
ACBD3,42.54068994,39.65808259,32.57203652,33.65000403,41.38126333,33.85078858,32.78139247,28.31633623,26.73320033,39.0662122,40.30677228,29.54645731,21.43618789,39.8426203,37.97910222,35.40251017,39.90418078
