Symbol,myeloid.dendritic.cells,macrophages,neutrophils,B.cells,NK.cells,memory.CD4.T.cells
ACTG1,5101.6,4759.9,8013.5,5028.2,5492.2,6563.0
ACTG1P4,29.1,25.9,80.5,172.1,107.6,123.5
ACTG2,22.3,32.1,23.9,6.2,24.7,52.1
ACTL6A,279.6,115.4,9.4,199.1,133.1,87.4
ACTL6B,0.5,1.3,1.5,0.7,1.0,4.3
ACTL7A,1.5,2.9,10.0,4.0,5.6,4.4
ACTL7B,3.8,2.6,2.8,1.9,3.5,13.9
ACTL8,10.6,11.0,5.7,7.4,6.3,18.2
ACTN1,221.4,471.9,484.5,0.9,3.1,59.9
ACTN2,1.5,0.9,3.3,1.3,2.4,3.8
ACTN3,14.6,21.7,38.9,21.6,35.9,62.7
ACTN4,148.8,169.3,277.8,52.9,184.0,78.0
ACTR10,1230.7,1212.0,856.0,963.6,970.5,490.5
ACTR1A,128.8,180.4,189.5,123.8,203.8,114.6
ACTR1B,145.9,165.1,201.8,150.9,155.9,307.3
ACTR2,351.0,739.8,714.4,156.2,154.6,665.5
ACTR3,2491.3,1686.3,3005.8,1393.6,1733.3,346.7
ACTR3B,57.0,26.8,9.9,65.2,34.4,56.6
ACTR3P2,6.8,4.6,7.8,7.1,7.5,23.1
ACTR5,21.4,24.9,12.9,61.2,70.0,100.0
ACTR6,411.4,285.4,38.1,455.7,350.5,177.6
ACTR8,98.7,71.1,73.2,79.2,118.5,165.3
ACVR1,423.2,384.1,49.7,130.0,89.3,188.9
ACVR1B,2.6,1.1,7.2,1.0,6.5,4.1
ACVR2A,126.2,81.6,70.8,81.1,251.2,236.3
ACVR2B,45.4,50.4,76.0,49.9,85.7,109.0
ACVR2B-AS1,27.1,25.6,47.3,43.0,18.7,17.2
ACVRL1,24.2,56.5,16.9,27.0,24.3,95.5
ACY1,65.3,68.4,12.7,66.5,72.6,59.5
ACYP1,78.5,60.7,2.0,232.7,159.7,111.3
ACYP2,76.8,151.4,39.8,101.3,108.4,14.7
ADA,26.8,34.9,38.4,66.2,317.9,182.4
ADAM10,108.4,317.0,124.3,142.1,101.5,160.3
ADAM11,4.2,4.7,7.8,4.0,4.5,10.7
ADAM12,6.6,31.2,2.7,3.4,3.8,31.6
ADAM15,44.3,23.3,4.2,5.1,7.8,8.1
ADAM17,54.3,65.9,29.3,20.9,29.2,40.8
ADAM18,14.5,18.7,20.0,11.0,22.9,48.9
ADAM19,27.9,20.8,37.0,8.1,35.6,56.0
ADAM2,0.4,1.9,10.8,0.6,7.7,12.3
ADAM20,11.1,1.7,21.6,7.0,4.4,24.5
ADAM21,35.1,41.2,83.8,29.1,89.7,67.9
ADAM22,0.8,1.2,6.5,2.3,2.7,6.5
ADAM23,0.9,5.1,14.6,23.7,11.8,106.5
ADAM28,0.6,9.1,5.6,47.3,7.5,6.7
ADAM29,7.2,4.7,22.0,6.2,10.4,15.6
ADAM30,10.1,22.6,12.5,21.6,21.3,47.3
ADAM3A,2.9,0.2,10.2,0.6,2.2,7.5
ADAM3B,1.9,2.6,1.6,1.6,0.4,8.3
ADAM5,9.3,18.1,41.0,14.5,40.7,50.5
ADAM7,0.9,0.6,4.6,1.2,6.1,12.0
ADAM8,10.0,12.4,134.5,8.5,1.8,67.6
ADAM9,2210.1,1442.9,169.4,56.5,64.8,35.1
ADAMDEC1,40.7,225.6,30.4,78.7,36.7,60.1
ADAMTS1,0.7,6.3,28.2,6.6,288.1,5.2
ADAMTS12,46.7,54.9,98.6,39.1,66.7,112.9
ADAMTS13,13.4,9.0,37.1,21.1,39.4,24.7
ADAMTS2,4.4,11.7,8.1,4.6,2.9,30.7
ADAMTS20,7.7,1.9,16.4,13.5,29.4,33.1
ADAMTS3,13.2,11.9,23.3,12.0,26.1,53.7
ADAMTS5,20.2,4.8,31.8,11.5,40.4,56.7
ADAMTS6,18.7,28.6,57.2,4.5,22.9,93.8
ADAMTS7,7.0,12.6,33.4,5.1,17.8,29.6
ADAMTS8,3.3,4.4,3.2,1.2,5.1,6.5
ADAMTS9,29.6,46.5,87.9,55.2,47.3,176.5
ADAMTSL2,1.2,0.8,5.1,0.6,2.4,4.1
ADAMTSL3,12.9,10.3,24.1,13.4,30.9,57.3
ADAMTSL4,13.4,6.2,57.8,19.7,38.5,59.8
ADAP1,20.1,22.8,114.6,12.0,25.7,71.0
ADAP2,420.6,380.9,100.5,82.9,102.1,104.9
ADAR,627.9,704.7,4884.3,1526.0,1523.5,1721.9
ADARB1,2.4,2.2,1.5,3.6,3.9,16.1
ADARB2,2.4,1.7,4.6,7.0,6.2,67.0
ADAT1,72.2,92.6,74.6,62.9,123.2,196.2
ADCK2,6.7,5.6,6.1,5.5,16.5,17.3
ADCK3,297.3,110.6,251.9,443.6,285.6,266.0
ADCK4,2.8,1.9,15.9,1.7,4.4,6.0
ADCY1,3.3,2.7,5.8,3.7,6.3,5.3
ADCY10,6.6,0.8,26.8,2.0,8.8,7.2
ADCY2,5.3,3.8,8.4,5.2,11.5,7.1
ADCY3,73.3,131.0,40.2,57.7,21.9,140.0
ADCY6,32.1,34.2,50.3,16.4,12.1,31.5
ADCY7,872.4,285.2,330.3,488.8,1184.1,251.6
ADCY8,8.5,3.9,12.3,13.2,14.6,44.8
ADCY9,8.6,3.7,1.1,3.3,6.8,54.2
ADCYAP1,41.3,28.7,97.8,38.0,52.9,136.5
ADCYAP1R1,2.9,8.7,30.3,4.1,42.1,30.6
ADD1,71.0,105.9,204.5,87.6,101.2,333.6
ADD2,21.7,9.4,7.5,40.3,23.9,10.7
ADD3,62.8,114.8,372.8,279.4,513.0,3122.6
ADD3-AS1,3.4,0.6,1.5,4.8,1.9,49.6
ADGB,2.8,7.7,2.8,7.2,14.7,13.9
ADH1A,1.5,6.9,5.8,1.4,17.8,31.5
ADH1B,1.4,0.5,1.0,0.3,4.7,11.8
ADH1C,4.6,2.0,3.8,0.8,4.4,13.1
ADH5,282.8,505.5,23.7,346.6,313.9,239.9
ADH6,1.8,1.1,19.8,13.8,11.6,5.0
ADH7,23.4,15.7,37.0,12.8,13.4,22.7
ADI1,832.3,445.6,264.5,437.8,381.2,409.5
ADIPOQ,13.0,3.9,30.2,10.9,18.7,39.1
ADIPOR1,354.5,374.3,1492.0,246.0,283.5,182.5
ADIPOR2,393.3,538.7,291.8,237.5,595.7,355.7
ADIRF,7.6,1.4,6.3,1.4,2.2,5.1
ADK,183.7,89.7,0.7,148.0,25.0,63.9
ADM,283.7,344.0,7717.0,21.4,60.7,29.1
ADM2,22.9,9.9,64.2,11.6,62.6,133.9
ADNP,796.8,494.6,321.0,917.5,1048.4,493.7
ADNP2,33.0,34.7,62.9,25.8,35.1,192.5
ADO,657.8,536.3,11.7,135.5,119.8,116.6
ADORA1,14.8,16.9,21.8,21.1,22.8,46.2
ADORA2A,15.4,40.7,381.4,98.6,64.1,145.3
ADORA2B,255.7,163.0,4.9,11.7,40.6,12.8
ADORA3,101.0,48.6,86.8,35.9,61.3,119.4
ADPGK,1264.3,902.6,685.7,1345.8,1139.6,816.3
ADPRH,5.7,16.2,27.4,6.2,11.8,20.3
ADPRM,12.4,34.9,10.9,93.8,22.8,154.8
ADRA1A,0.5,2.5,4.8,0.9,7.4,6.8
ADRA1B,4.2,11.8,3.8,1.6,7.4,15.6
ADRA1D,7.4,6.9,5.1,2.8,5.3,12.5
ADRA2A,10.6,6.6,54.5,17.9,28.4,92.1
ADRA2B,19.4,56.5,81.6,25.5,43.5,113.1
ADRA2C,14.0,5.1,4.5,6.1,3.0,14.3
ADRB1,1.3,6.0,3.3,3.1,2.6,1.6
ADRB2,67.5,30.2,315.5,105.8,721.8,82.6
ADRB3,0.9,1.7,4.4,2.8,2.1,14.7
ADRBK1,19.5,4.1,4.2,4.5,18.9,10.9
ADRBK2,205.2,123.2,54.8,54.5,19.3,10.0
ADRM1,168.3,351.2,174.6,176.2,199.7,204.4
ADSL,198.1,205.9,83.0,308.6,253.5,451.7
ADSS,395.0,405.4,138.8,296.0,513.8,235.8
ADTRP,41.8,118.1,79.2,51.6,89.5,194.1
AEBP1,8.7,7.6,14.7,38.5,8.3,43.1
AEN,41.5,45.8,15.3,76.7,51.9,137.1
AES,114.6,144.4,1.7,153.5,249.4,331.5
AF007147,3.4,7.0,519.7,54.1,271.1,382.3
AF070581,0.6,0.2,1.6,0.4,10.5,3.4
AF090939,2.1,3.8,7.2,4.8,28.8,98.4
AF198444,7.8,2.8,23.2,10.2,7.7,24.4
AFAP1,1.0,2.7,21.6,3.4,4.5,0.4
AFF1,27.1,25.2,75.9,16.5,31.0,100.8
AFF2,1.9,1.5,1.9,1.9,3.7,2.7
AFF3,0.8,1.0,3.1,1.4,1.8,4.1
AFF4,16.0,52.0,57.6,29.7,48.5,94.7
AFG3L2,161.5,163.3,38.1,175.0,204.8,192.9
AFM,14.6,16.3,31.6,15.6,33.4,58.3
AFP,3.5,22.8,4.6,6.7,15.1,16.9
AFTPH,525.3,475.4,1108.7,682.1,700.1,965.9
AGA,51.7,57.0,6.2,83.7,77.9,73.0
AGAP1,15.9,1.2,32.1,9.5,92.1,18.7
AGAP10,100.0,106.5,192.1,240.2,220.4,487.0
AGAP11,100.0,106.5,192.1,240.2,220.4,474.2
AGAP2,2.0,0.7,16.4,4.5,3.1,35.6
AGAP4,100.0,106.5,192.1,240.2,220.4,474.2
AGAP5,100.0,106.5,192.1,240.2,220.4,487.0
AGAP6,112.4,137.7,223.7,258.6,319.0,474.2
AGAP7P,112.4,137.7,223.7,258.6,319.0,474.2
AGAP9,100.0,106.5,192.1,240.2,220.4,487.0
AGBL2,8.3,12.1,4.4,74.8,47.4,77.3
AGBL3,5.2,2.2,0.8,2.3,0.5,3.3
AGBL5,19.7,18.9,6.3,14.4,7.6,42.9
AGER,2.9,2.8,5.3,0.9,2.7,8.4
AGFG1,16.6,24.4,34.7,2.2,12.5,45.1
AGFG2,1.7,2.5,8.7,3.3,4.8,10.7
AGGF1,27.1,33.6,44.4,17.0,15.0,9.1
AGK,113.8,112.0,3.8,169.6,378.9,234.7
AGL,317.4,233.7,43.3,475.9,302.5,260.1
AGMAT,15.7,12.3,33.3,12.9,38.0,65.6
AGO1,378.4,234.3,228.9,271.2,307.3,217.0
AGO2,121.5,107.3,67.6,66.5,94.4,94.7
AGO3,89.6,64.4,59.2,56.4,61.5,50.4
AGO4,67.5,47.2,382.5,98.1,125.8,173.6
AGPAT1,77.9,84.2,142.6,68.2,143.8,148.3
AGPAT2,29.7,71.7,40.7,1.6,33.1,56.6
AGPAT3,27.4,28.1,13.0,25.0,46.2,90.9
AGPAT4,58.9,83.4,13.5,11.1,110.9,37.1
AGPAT5,247.9,161.1,17.7,445.8,129.8,137.2
AGPS,158.7,334.7,30.6,52.7,58.2,117.9
AGR2,1.4,1.3,4.3,1.7,2.8,8.8
AGRN,4.6,13.1,33.9,10.5,16.6,29.2
AGRP,7.5,28.2,64.8,19.6,36.5,71.7
AGT,33.5,24.4,38.4,22.7,62.3,76.5
AGTPBP1,24.1,25.8,97.7,52.6,159.1,75.3
AGTR1,8.1,3.9,5.4,1.7,20.5,25.3
AGTR2,2.9,1.7,4.0,1.9,6.0,6.9
AGXT,1.1,1.1,2.2,0.8,1.6,2.3
AHCTF1,112.4,47.6,174.9,116.9,93.3,125.3
AHCY,372.5,354.8,29.2,169.5,110.7,117.0
AHCYL1,12.2,11.9,31.8,19.2,28.0,80.3
AHCYL2,33.9,42.6,15.6,7.5,42.2,149.9
AHDC1,13.1,7.2,10.7,12.8,34.4,68.3
AHI1,21.1,23.5,8.5,1.0,4.3,10.6
AHNAK,34.1,22.5,2.1,36.4,21.6,6.9
AHNAK2,56.3,110.2,14.6,29.5,6.1,3.4
AHR,342.8,87.6,1.5,69.2,43.6,123.9
AHSA1,329.7,274.1,95.6,509.1,531.4,304.9
AHSA2,175.8,15.7,75.1,556.8,393.3,294.3
AHSG,1.4,1.9,2.3,1.6,11.6,7.8
AHSP,32.5,30.5,27.1,24.1,9.6,97.2
AICDA,7.7,9.2,2.9,94.7,16.3,37.7
AIDA,176.1,209.8,34.0,464.7,124.3,185.9
AIF1,12.3,27.9,6.8,3.5,23.7,11.8
AIFM1,166.8,186.4,34.1,71.2,158.0,219.9
AIM1,1209.1,990.1,860.2,1371.4,798.2,1434.8
AIM1L,0.8,1.5,2.2,1.8,3.4,4.1
AIM2,55.4,15.0,1225.3,1150.1,68.1,213.3
AIMP1,152.0,66.9,3.0,179.1,153.0,144.3
AIMP2,58.9,57.5,29.5,149.4,128.0,51.1
AIP,61.1,113.7,55.2,53.3,76.5,370.7
AIPL1,30.3,18.1,57.0,24.7,34.0,111.8
AIRE,15.8,4.4,4.9,26.0,4.1,8.1
AJ011981,13.4,6.4,27.8,14.4,29.4,42.4
AJAP1,1.2,1.9,4.4,1.2,4.9,3.7
AK021537,43.7,38.6,112.1,56.2,94.6,117.1
AK021933,14.2,1.7,17.9,15.3,3.1,40.0
AK022030,207.4,125.0,126.8,318.9,416.2,198.0
AK055967,5.7,2.0,4.6,11.6,2.7,7.0
AK055981,40.4,56.8,11.5,59.7,135.7,88.1
AK096803,15.8,25.7,36.2,11.0,9.2,56.0
AK1,31.4,119.7,14.3,20.9,56.0,60.7
AK125860,16.1,16.2,10.6,13.4,23.8,38.0
AK2,15.4,13.0,9.4,17.1,39.2,65.5
AK291611,4.8,13.0,21.9,10.8,49.4,14.2
AK4,108.1,100.3,17.2,1.1,1.4,17.4
AK5,17.0,29.5,30.9,34.5,40.8,97.0
AK6,329.9,375.1,17.1,504.7,298.2,141.2
AKAP1,12.6,4.1,9.0,3.6,7.8,6.3
AKAP10,29.2,62.2,76.0,12.1,28.8,90.1
AKAP11,20.3,26.6,34.5,22.4,18.6,99.0
AKAP12,241.3,6.9,11.7,13.9,23.7,92.5
AKAP13,9.0,2.1,8.6,6.3,15.0,88.9
AKAP17A,19.4,24.9,79.3,81.4,78.3,96.6
AKAP2,38.3,48.4,10.5,306.1,52.4,48.2
AKAP3,5.7,6.8,9.3,5.6,5.3,14.5
AKAP4,2.8,1.9,4.3,3.7,10.0,16.2
AKAP5,31.2,10.6,12.1,8.4,23.8,9.8
AKAP6,0.4,0.4,2.3,0.7,1.0,1.9
AKAP7,22.1,46.0,9.9,40.9,22.0,143.6
AKAP8,88.9,75.8,150.4,328.8,250.2,144.0
AKAP8L,3.5,3.2,4.3,1.9,2.7,6.5
AKAP9,8.3,14.2,13.5,10.5,18.8,54.9
AKIP1,69.5,55.8,5.2,6.1,26.2,102.6
AKIRIN1,71.1,111.6,330.5,59.8,29.6,197.0
AKR1A1,1720.8,1947.0,88.8,867.7,391.3,309.1
AKR1B1,480.8,841.5,76.6,647.2,736.1,483.2
AKR1B10,20.4,14.7,16.3,21.5,27.4,57.3
AKR1C1,13.2,5.3,28.1,16.4,4.7,8.3
AKR1C2,11.4,58.6,40.2,17.1,34.5,51.1
AKR1C3,34.4,322.9,2.3,10.9,701.4,35.5
AKR1C4,4.6,7.0,36.2,1.7,14.7,6.9
AKR1D1,5.1,5.1,2.4,7.8,16.9,19.1
AKR7A2,199.7,372.5,33.3,126.9,134.5,159.8
AKR7A3,86.7,87.3,7.6,42.5,84.6,71.6
AKT1,82.6,141.1,109.0,50.0,114.3,133.2
AKT2,1.2,2.5,5.0,1.2,2.0,5.5
AKT3,15.1,23.4,18.3,19.1,34.3,116.2
AKTIP,50.4,26.6,187.3,114.0,284.1,186.2
AL109706,9.2,1.4,24.5,10.5,24.8,3.3
AL590762.11,2.7,16.6,35.6,3.6,23.8,39.3
AL928768.3,11.8,21.6,20.6,1774.3,32.1,15.9
ALAD,34.2,29.8,35.4,20.6,12.9,50.3
ALAS1,616.7,649.9,114.8,127.1,171.7,95.0
ALAS2,1.2,1.3,4.3,1.7,2.9,4.9
ALB,1.0,0.3,6.4,1.2,7.0,7.4
ALCAM,433.4,433.6,32.0,84.6,2.1,23.7
ALDH18A1,44.6,108.6,28.0,159.9,109.6,178.7
ALDH1A1,108.3,540.7,2.0,1.2,3.7,1.8
ALDH1A2,26.7,20.2,34.8,1.6,8.1,39.9
ALDH1A3,2.6,2.1,8.1,2.3,3.4,5.3
ALDH1B1,21.5,2.2,32.2,19.0,19.3,70.7
ALDH1L1,15.2,17.9,6.4,17.6,23.0,42.8
ALDH2,759.0,1342.8,309.3,168.4,150.6,51.0
ALDH3A1,12.4,2.0,4.0,18.7,5.4,4.2
ALDH3A2,56.8,172.0,4.2,39.1,46.6,119.2
ALDH3B1,55.6,85.8,95.5,5.3,36.3,12.2
ALDH3B2,0.9,2.1,3.2,0.5,2.5,1.8
ALDH4A1,8.9,11.2,8.9,3.1,7.6,8.4
ALDH5A1,2.2,3.0,0.9,2.8,3.7,13.2
ALDH6A1,1.7,0.9,1.8,2.3,5.0,29.8
ALDH7A1,1.6,5.1,0.9,0.9,1.6,4.4
ALDH8A1,10.6,12.2,23.6,31.1,35.4,70.9
ALDH9A1,924.8,931.5,460.7,674.1,824.5,368.5
ALDOA,2671.4,2917.8,3077.2,574.7,810.9,1228.5
ALDOAP2,1.1,1.4,9.0,2.0,7.6,61.8
ALDOB,0.7,0.1,4.5,0.5,0.7,1.5
ALDOC,35.7,58.4,165.9,100.0,197.1,179.7
ALG11,80.7,92.2,56.7,145.9,135.4,199.9
ALG12,19.7,3.4,7.9,1.7,4.1,7.4
ALG13,44.3,15.8,18.6,76.7,49.0,73.5
ALG3,127.0,167.4,23.8,94.5,132.0,101.5
ALG5,914.5,854.2,12.7,932.6,655.1,418.4
ALG6,250.9,183.5,192.8,621.6,701.0,265.6
