,endothelial.cells,CD4.T.cells,fibroblasts,CD8.T.cells,NK.cells,B.cells
CRNKL1,0.0,0.0,0.0,246.38999999999982,6.309999999999998,0.0
MIR618,0.0,0.0,0.0,0.0,0.0,0.0
XAB2,5.850000000000004,0.0,0.0,0.0,10.54000000000003,0.0
RTN1,44.29000000000013,0.0,0.0,0.0,0.0,0.0
KLHL14,0.0,0.0,0.0,0.0,0.0,0.0
ADAM21P1,0.0,0.0,0.0,0.0,0.0,0.0
TBX10,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB12,0.0,0.0,0.0,0.0,0.0,0.0
UTY,0.0,0.26999999999999913,0.0,0.0,6.429999999999996,0.0
MIR515-2,0.0,0.0,0.0,0.0,0.0,0.0
CENPQ,0.0,0.0,0.0,0.0,0.0,0.0
ZAR1L,0.0,0.0,0.0,0.0,0.0,0.0
DTNBP1,120.87999999999988,0.0,0.0,0.0,0.0,137.63000000000014
MIR3156-3,0.0,0.0,0.0,0.0,0.0,0.0
KBTBD8,0.0,0.0,0.0,0.0,0.0,0.0
ZEB1,0.0,0.0,0.0,0.0,0.0,0.0
ZG16,0.0,0.5099999999999993,0.0,7.939999999999998,0.0,46.46999999999991
PRKAG2-AS1,0.0,0.0,0.0,0.0,0.0,0.0
FAT4,0.0,0.0,0.0,0.0,0.0,0.0
LOC728040,0.0,0.0,0.0,0.0,0.0,0.0
LOC100216546,0.40000000000000036,0.40999999999999925,0.0,4.18,0.0,0.0
MIER1,0.0,5.82,0.0,0.0,62.049999999999855,49.32999999999979
CHD9,11.500000000000066,3.4299999999999975,3.8399999999999945,0.0,127.72000000000013,0.0
STK16,0.0,25.53000000000012,0.0,0.0,264.5699999999995,0.0
ARID3C,0.0,0.0,0.0,0.0,0.0,0.0
TOB2,13.380000000000013,29.20999999999993,0.0,0.0,346.9699999999991,0.0
MIR1246,0.0,0.0,0.0,0.0,0.0,0.0
INIP,6.33,7.4500000000000055,0.0,0.0,67.82000000000009,304.59
BANK1,0.0,0.0,0.0,0.0,0.0,58.33999999999997
OR2V2,0.0,0.0,0.0,0.0,0.0,0.0
MIR489,0.0,0.0,0.0,0.0,0.0,0.0
SFTA2,0.0,0.0,0.0,0.0,0.0,0.0
GRM2,0.0,0.0,0.0,0.0,0.0,0.0
PROSC,52.96000000000002,3.4399999999999986,0.0,0.0,10.900000000000025,138.57999999999993
MIR4511,0.0,0.0,0.0,0.0,0.0,0.0
SPIN2B,0.0,0.0,0.0,0.0,0.0,0.0
PIR,0.0,222.76999999999958,0.0,0.0,0.0,0.0
IPO9,23.070000000000054,28.660000000000032,7.26,102.0500000000001,7.719999999999995,55.72999999999993
FLJ26850,0.0,0.0,0.0,0.0,0.0,0.0
TTTY1B,0.0,0.0,0.0,0.0,0.0,0.0
EVC,0.5899999999999994,0.0,0.0,2.0500000000000007,0.0,0.0
CXCL13,0.0,621.5100000000001,0.0,7720.090000000018,0.0,0.0
KIAA1199,196.79999999999995,0.0,12.490000000000006,0.0,0.0,12.480000000000015
EHHADH-AS1,0.0,0.28000000000000025,0.0,0.0,0.0,0.0
SORL1,0.0,10.0,0.0,0.0,0.0,24.130000000000038
NAT10,0.0,8.149999999999999,11.690000000000044,0.0,160.09999999999994,0.0
CHD1,1.1700000000000021,5.369999999999997,6.859999999999998,0.0,0.0,13.68999999999993
SYN3,0.0,0.0,0.0,0.0,0.0,0.0
LINC00210,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A2,0.0,0.0,0.0,32.030000000000086,0.0,0.0
SERPINF1,0.0,936.1699999999995,91.01000000000033,0.0,0.0,0.0
WDR34,0.0,48.73999999999984,0.0,0.0,0.0,0.0
OR7A17,0.0,0.0,0.0,0.0,0.0,0.0
POTED,0.0,0.0,0.0,0.0,0.0,0.0
EPT1,0.0,6.570000000000002,0.0,29.089999999999904,0.0,0.0
LHB,0.0,0.0,0.0,0.0,0.0,0.0
TAOK3,57.529999999999795,44.540000000000155,30.51,9.060000000000002,456.55999999999983,60.6299999999998
STK25,0.0,53.51000000000006,0.0,274.5899999999994,0.0,0.0
OR10X1,0.0,0.0,0.0,0.0,0.0,0.0
CDC25B,38.95999999999983,2.0399999999999996,0.0,0.0,0.0,0.0
BMP3,0.0,0.06999999999999895,0.0,0.0,9.280000000000006,0.0
TMEM180,0.0,0.7400000000000029,0.0,0.0,484.0599999999996,0.0
MAP1LC3C,10.36999999999999,12.410000000000064,48.809999999999796,11.730000000000057,0.0,337.8199999999998
MIR564,0.0,0.0,0.0,0.0,0.0,0.0
CRYGC,0.0,0.0,0.0,0.0,0.0,0.0
POU3F1,0.0,0.0,0.0,0.0,0.0,0.0
HIGD1B,0.0,0.0,0.0,0.0,0.0,0.0
USP6NL,0.0,4.5299999999999985,0.0,0.0,0.0,0.0
LINC00460,0.0,0.0,0.0,0.0,0.0,0.0
ABCD4,2.5499999999999967,14.399999999999974,0.0,0.0,156.75999999999976,0.0
C11orf93,0.0,0.0,0.0,0.0,0.0,0.0
TEK,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A46,63.790000000000155,0.0,0.0,0.0,0.0,0.0
LARP7,0.0,5.189999999999994,0.0,0.0,171.4399999999998,0.0
CD160,0.0,0.0,0.0,0.0,0.0,0.0
MT1JP,0.0,0.0,0.0,0.0,0.0,0.0
PHF20,12.250000000000071,0.0,7.5699999999999985,71.73999999999987,0.0,52.159999999999876
CPNE4,0.0,0.14999999999999902,0.0,0.0,0.0,0.0
HNF1A-AS1,0.0,4.76,0.0,11.699999999999932,17.239999999999924,0.0
GTPBP1,0.0,22.32000000000005,22.97,92.60000000000005,0.0,35.14999999999988
RAB33B,0.0,17.509999999999938,0.0,27.779999999999934,8.100000000000003,0.0
GLUD1P7,2.2099999999999986,1.9900000000000029,15.31000000000005,75.15000000000012,0.0,65.68000000000012
ALDOC,0.0,0.0,84.10999999999986,0.0,0.0,0.0
ZNF212,0.0,0.0,0.0,0.0,0.0,0.0
NUDT1,40.03000000000015,0.0,0.0,0.0,0.0,0.0
FAM170B-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RFPL2,0.0,34.53999999999992,0.0,0.0,0.0,0.0
ZNF83,0.0,0.0,0.0,370.8000000000001,0.0,0.0
IPW,0.0,0.0,0.0,0.0,0.0,0.0
MIR630,0.0,0.0,0.0,0.0,0.0,0.0
GDPD5,0.0,7.58,0.0,0.0,0.0,0.0
PDCD4,0.0,74.99000000000015,0.0,436.32000000000056,425.7200000000014,51.11000000000011
CEP350,9.220000000000008,14.619999999999997,3.260000000000003,3.8900000000000046,0.0,0.0
ARL14EPL,0.0,0.0,0.0,0.0,0.0,0.0
OR10A2,0.0,0.0,0.0,0.0,0.0,0.0
CST7,0.0,52.47000000000014,0.0,1443.1599999999962,31.090000000000025,195.11999999999944
SELL,0.0,0.18000000000000016,0.0,895.8899999999982,0.0,583.4499999999999
CIAO1,116.79999999999978,54.230000000000075,63.26999999999998,3.2899999999999974,220.72000000000065,0.0
SNORD115-26,0.0,0.0,0.0,0.0,0.0,0.0
RNF223,0.0,0.0,0.0,0.0,0.0,0.0
OR8J3,0.0,0.0,0.0,0.0,0.0,0.0
LTBP4,0.0,30.27000000000008,8.970000000000006,0.0,0.0,0.0
DCAF4L1,0.0,0.0,0.0,0.0,0.0,0.0
OR6C1,0.0,0.0,0.0,0.0,0.0,0.0
SIRT6,53.54999999999981,1.0099999999999998,0.0,0.0,0.0,0.0
CCL19,0.0,0.0,0.0,0.0,0.0,0.0
MIR3121,0.0,0.0,0.0,0.0,0.0,0.0
PPIL1,0.0,0.0,26.580000000000013,0.0,0.0,0.0
GBP7,0.0,0.0,0.0,0.0,0.0,0.0
STK17A,0.0,0.970000000000002,0.0,0.0,0.0,0.0
OR9G1,0.0,0.0,0.0,0.0,0.0,0.0
ABR,31.600000000000072,10.81000000000003,24.949999999999957,0.0,0.0,37.089999999999975
PCDHA13,0.0,0.0,0.0,0.0,0.0,0.0
FOXE1,0.0,0.0,0.0,0.0,0.0,0.0
SIAH3,0.0,0.28999999999999915,11.189999999999959,6.639999999999999,0.0,0.0
RIMBP3B,0.0,0.0,0.0,0.0,0.0,0.0
GML,0.0,0.0,0.0,0.0,0.0,0.0
CNGA3,0.0,0.0,0.0,0.0,0.0,0.0
CD38,0.0,0.0,0.0,119.37000000000019,38.06000000000002,60.160000000000196
ZDHHC6,0.0,0.0,0.0,0.0,0.0,0.0
NEFH,0.0,0.0,0.0,0.0,0.0,0.0
PGBD5,0.0,0.0,0.0,0.0,0.0,0.0
CTDSP2,0.0,34.65000000000005,44.28000000000011,0.0,0.0,0.0
ZNF257,0.0,0.0,0.0,3.83,0.0,0.0
RMND5B,0.0,0.0,0.0,0.0,0.0,49.44999999999997
CCNY,23.250000000000064,2.0299999999999963,0.0,97.77000000000032,0.0,0.0
EXOSC7,47.99000000000021,43.480000000000146,46.360000000000014,0.0,0.0,0.0
C11orf88,0.0,0.0,0.0,0.0,0.0,0.0
ROR2,0.0,0.0,10.900000000000025,0.0,0.0,0.0
LOC338758,0.0,20.430000000000028,0.0,0.0,0.0,0.0
MAOA,0.0,0.0,8.330000000000005,0.0,0.0,0.0
TNNT3,0.0,0.0,0.0,0.0,0.0,0.0
GYPC,250.73000000000013,164.74000000000018,79.52999999999975,127.98999999999953,205.6900000000006,151.22000000000054
MIR3120,0.0,0.0,0.0,0.0,0.0,0.0
C7orf33,0.0,0.0,0.0,0.0,0.0,0.0
AP4B1-AS1,2.6900000000000013,3.0900000000000016,0.0,0.0,0.0,0.0
RNF4,0.0,85.72999999999992,16.119999999999933,0.0,613.3399999999982,0.0
EMC1,1.429999999999998,19.00999999999999,72.97999999999982,11.490000000000054,4.219999999999997,56.65000000000006
F8A1,23.34000000000001,0.0,0.0,0.0,0.0,0.0
HDAC7,1.829999999999996,7.719999999999995,0.0,0.0,106.5399999999996,63.64999999999977
PLEKHG4,0.0,0.0,0.0,0.0,0.0,0.0
GRB2,14.87000000000001,106.59999999999985,70.64000000000001,99.05000000000028,330.97000000000105,124.70999999999954
LINC00597,0.0,0.0,0.0,0.0,0.0,0.0
AGPHD1,0.0,0.0,0.0,0.0,0.0,0.0
HIST1H2AD,0.0,0.0,0.0,0.0,0.0,0.0
DUS3L,0.0,43.14999999999999,33.82000000000015,0.0,0.0,324.31000000000097
EIF1,3042.1099999999997,906.6000000000009,389.81999999999914,633.8900000000002,515.5500000000011,542.4699999999982
FPGT,0.0,0.0,0.0,0.0,0.0,0.0
CHST15,116.4299999999996,0.0,0.0,0.0,0.0,0.0
MIR4442,0.0,0.0,0.0,0.0,0.0,0.0
GPN2,0.0,0.0,30.829999999999895,0.0,0.0,0.0
GDF10,0.0,0.0,0.0,0.0,0.0,0.0
COQ9,0.0,0.0,27.370000000000058,0.0,0.0,0.0
TRAPPC9,0.0,0.0,0.0,0.0,0.0,164.9000000000002
MIR101-2,0.0,0.0,0.0,0.0,0.0,0.0
DKFZP434I0714,0.0,0.0,0.0,0.0,0.0,0.0
GCC2,0.0,21.790000000000024,0.0,90.5200000000001,0.0,25.64999999999991
RARRES3,0.0,0.0,65.08000000000015,263.33000000000106,840.6500000000017,358.15999999999923
PLXNA1,0.0,4.260000000000002,4.859999999999998,0.0,0.0,29.219999999999942
KIAA0100,0.0,0.049999999999998934,5.940000000000003,0.0,0.0,0.0
PMF1,300.10000000000065,108.45999999999988,0.0,320.8800000000005,0.0,0.0
FNDC1,0.0,0.0,0.0,0.0,0.0,0.0
HS2ST1,25.230000000000082,14.48999999999998,0.0,0.0,0.0,0.0
CRELD2,0.0,16.630000000000052,130.9100000000003,0.0,0.0,0.0
CD82,53.23000000000006,49.34999999999992,0.0,0.0,0.0,77.47000000000006
C8G,0.0,0.0,0.0,0.0,0.0,0.0
SPINK14,0.0,0.0,0.0,0.0,0.0,0.0
PIRT,0.0,0.0,0.0,0.0,0.0,0.0
LIM2,0.0,0.0,0.0,0.0,0.0,0.0
MIR193A,0.0,0.0,0.0,0.0,0.0,0.0
MMP16,0.0,0.0,6.990000000000007,0.0,0.0,0.0
MIMT1,0.0,0.0,0.0,0.0,0.0,0.0
LOC100133091,0.0,0.6499999999999995,0.0,0.0,0.0,0.0
DRD3,0.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,24.249999999999897,40.62999999999987,0.0,67.53000000000003,8.119999999999997,102.81000000000026
OR4M2,0.0,0.0,0.0,0.0,0.0,0.0
C11orf73,18.040000000000074,0.0,54.250000000000185,0.0,0.0,0.0
HPCA,0.0,0.0,0.0,0.0,0.0,0.0
SEC14L1,32.09000000000006,0.0,8.330000000000005,0.0,0.0,0.0
METTL25,0.0,15.930000000000039,0.0,489.64999999999895,0.0,0.0
NME8,0.0,0.0,0.0,0.0,0.0,0.0
EMILIN1,0.0,0.0,22.74000000000008,0.0,0.0,0.0
CHFR,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS4,527.2700000000015,110.40000000000022,75.02000000000012,0.0,0.0,0.0
TP53TG3C,0.0,0.0,0.0,0.0,0.0,0.0
COL18A1,0.0,0.0,0.0,0.0,0.0,0.0
PDZD3,0.0,0.0,0.0,0.0,0.0,0.0
PRAMEF7,0.0,0.0,0.0,0.0,0.0,0.0
MIR591,0.0,0.0,0.0,0.0,0.0,0.0
FAXC,0.0,1.1099999999999999,0.0,0.0,0.0,0.0
C9orf16,36.68999999999994,35.02000000000005,70.54000000000016,122.01,288.27000000000083,0.0
ERBB2IP,0.0,27.460000000000043,0.0,19.61000000000006,0.0,0.0
FUS,4.489999999999998,61.96000000000025,17.519999999999985,79.90999999999977,9.159999999999997,35.600000000000094
EMX2,0.0,0.0,0.0,4.9399999999999995,0.0,0.0
TF,595.5399999999996,0.0,32.36000000000003,0.0,0.0,0.0
CXorf56,49.899999999999956,27.86000000000005,0.0,151.12000000000035,143.1699999999999,58.81999999999981
CLCN4,13.950000000000076,0.0,0.0,0.0,0.0,0.0
NPR1,0.0,0.0,0.0,0.0,0.0,0.0
ELAC2,0.0,0.20999999999999908,0.0,0.0,0.0,0.0
CELA1,0.0,0.0,0.0,0.0,0.0,0.0
ASS1,0.0,2.839999999999998,0.0,0.0,47.41999999999982,0.0
USP42,0.0,0.0,0.0,0.0,0.0,17.289999999999935
RNU6-33,0.0,0.0,0.0,0.0,0.0,0.0
EMC8,0.0,12.879999999999963,0.0,0.0,258.2400000000006,47.839999999999954
SEC23IP,0.0,0.5299999999999994,0.0,4.03,0.0,0.0
POLR2J,166.95999999999998,9.01,49.61000000000004,0.0,0.0,183.14000000000036
UQCRC1,130.6300000000001,160.81999999999942,171.9800000000001,438.52999999999963,0.0,387.7600000000008
LOC729603,1.8199999999999972,2.679999999999998,0.0,0.0,0.0,0.0
ERVV-2,0.0,0.0,0.0,0.0,0.0,0.0
POLG,0.0,0.0,0.0,0.0,0.0,159.77000000000038
ADAM23,0.0,0.0,0.0,0.0,0.0,0.0
MIR4641,0.0,0.0,0.0,0.0,0.0,0.0
TFR2,0.0,0.0,0.0,0.0,0.0,0.0
RICTOR,0.7900000000000018,7.7500000000000036,0.0,99.08999999999976,0.0,9.259999999999998
GRXCR2,0.0,0.0,0.0,0.0,0.0,0.0
FLJ42709,0.0,0.0,13.28000000000005,0.0,8.250000000000002,32.27000000000012
SNORD105,0.0,0.0,0.0,0.0,0.0,0.0
IDO2,0.0,0.0,0.0,0.0,0.0,0.0
HLA-J,5.43,9.550000000000004,0.0,0.0,0.0,158.55000000000052
C19orf55,0.0,10.649999999999991,0.0,0.0,0.0,0.0
FONG,0.0,0.0,0.0,0.0,0.0,0.0
SNAPC1,0.0,1.4700000000000002,17.04000000000005,0.0,24.360000000000078,0.0
GNA11,0.0,0.0,0.0,0.0,0.0,0.0
LOC654342,55.93999999999998,0.0,0.0,0.0,0.0,0.0
FSIP1,0.0,0.0,0.0,0.0,0.0,0.0
CELA3A,0.0,0.0,0.0,0.0,0.0,0.0
UPF3A,56.37999999999987,42.41000000000005,0.0,0.0,73.63999999999989,38.97000000000004
IGSF11,0.0,29.230000000000047,0.0,0.0,0.0,0.0
RNU6-34,0.0,0.0,0.0,0.0,0.0,0.0
LAGE3,2.1799999999999975,61.47999999999983,0.0,0.0,93.22999999999996,0.0
CHST6,2.3999999999999955,4.189999999999996,31.72000000000004,17.670000000000048,13.190000000000058,0.0
UNC13B,10.720000000000045,0.0,6.949999999999998,0.0,0.0,0.0
MIR550B1,0.0,0.0,0.0,0.0,0.0,0.0
TTLL4,0.0,45.119999999999855,8.899999999999999,0.0,0.0,0.0
ZNF687,27.110000000000024,29.249999999999872,9.879999999999999,0.0,0.0,0.0
FLJ45974,0.0,0.0,0.0,0.0,0.0,0.0
SDC2,139.01999999999958,0.0,77.2100000000002,0.0,0.0,0.0
METTL21A,21.299999999999923,89.43000000000023,93.4400000000002,91.57999999999993,52.79000000000007,100.43999999999984
COX7A2,130.99000000000024,220.29999999999984,359.68999999999926,393.7299999999989,0.0,0.0
CETN4P,0.0,0.0,0.0,0.0,0.0,0.0
MIR4483,0.0,0.0,0.0,0.0,0.0,0.0
LOC100132707,0.0,0.0,0.0,0.0,0.0,71.50000000000027
LAMB4,0.0,0.0,0.0,0.0,0.0,0.0
FAM24A,0.0,0.0,0.0,0.0,0.0,0.0
PDP1,0.0,0.0,0.0,0.0,0.0,0.0
LRRTM3,0.0,0.0,0.0,0.0,0.0,0.0
GPHB5,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL2,0.0,0.0,18.079999999999927,0.0,165.92999999999975,18.699999999999935
OR4C13,0.0,0.0,0.0,0.0,0.0,0.0
IZUMO2,0.0,0.0,0.0,0.0,0.0,0.0
FLJ39739,4.1400000000000015,1.7500000000000004,0.0,0.0,57.12000000000019,0.0
TRIM64C,0.0,0.0,0.0,0.0,0.0,0.0
HABP4,0.0,0.0,0.0,0.0,0.0,0.0
TMEM125,0.0,0.0,0.0,0.0,0.0,0.0
MIR548AU,0.0,0.0,0.0,0.0,0.0,0.0
CNTN2,0.0,0.0,0.0,0.0,0.0,0.0
MIR885,0.0,0.0,0.0,0.0,0.0,0.0
ASNSD1,152.85999999999973,67.19000000000007,55.07999999999997,0.0,0.0,0.0
FUT4,0.0,0.18999999999999906,14.839999999999925,2.240000000000002,9.170000000000007,0.0
BAGE4,5.810000000000002,0.0,0.0,0.0,0.0,0.0
LINC00675,0.0,0.0,0.0,0.0,0.0,0.0
RP9,0.0,18.34999999999992,0.0,0.0,51.18999999999999,0.0
ARAP1,0.0,26.370000000000008,0.0,0.0,0.0,34.45999999999991
CDH8,0.0,0.0,0.0,0.0,0.0,0.0
AGPS,35.52999999999994,0.049999999999998934,0.0,0.0,7.220000000000002,0.0
PP14571,0.0,0.0,0.0,0.0,0.0,0.0
CLEC4GP1,0.0,3.1200000000000028,0.0,10.399999999999988,33.76999999999999,0.0
LINC00305,0.0,0.0,0.0,0.0,0.0,0.0
UNG,63.87000000000023,0.0,22.289999999999907,0.0,0.0,0.0
LOC284344,0.0,0.0,0.0,0.0,0.0,0.0
GSTP1,798.6500000000005,2854.1100000000056,101.0900000000001,661.9900000000019,843.869999999999,189.25
DCUN1D5,0.0,9.839999999999998,3.4499999999999953,0.0,0.0,0.0
SLC9A3R1,0.0,120.60999999999972,0.0,0.0,153.57000000000016,44.28000000000011
FAM218A,0.0,0.0,0.0,0.0,0.0,0.0
LILRA6,0.0,0.129999999999999,0.0,2.839999999999998,0.0,0.0
CHMP7,60.929999999999964,0.2200000000000002,13.160000000000007,0.0,0.0,234.2699999999998
REM2,0.0,0.0,0.0,0.0,0.0,0.0
MIR637,0.0,0.0,0.0,0.0,0.0,0.0
DNHD1,0.0,0.0,2.949999999999997,0.0,0.0,77.13999999999997
MIR122,0.0,0.0,0.0,0.0,0.0,0.0
FKBP4,140.51999999999958,135.4700000000001,23.930000000000007,0.0,0.0,0.0
ZNF350,0.0,0.0,0.0,0.0,0.0,0.0
BST1,0.0,0.0,0.0,0.0,0.0,0.0
KISS1R,0.0,0.0,0.0,0.0,0.0,0.0
NCR2,0.0,0.0,0.0,0.0,0.0,0.0
MIR3690,0.0,0.0,0.0,0.0,0.0,0.0
DEFB125,0.0,0.0,0.0,0.0,0.0,0.0
UBE2W,22.000000000000057,25.14999999999999,11.140000000000057,0.0,193.67999999999992,0.0
OR2T29,0.0,0.0,0.0,0.0,0.0,0.0
SNORA78,0.0,0.0,0.0,0.0,0.0,0.0
KRT15,0.0,0.0,0.0,0.0,0.0,0.0
C10orf99,0.0,0.0,0.0,0.0,0.0,0.0
SCN11A,0.8699999999999997,1.9399999999999995,0.0,0.0,0.0,18.23999999999994
GFI1,0.0,0.0,0.0,0.0,0.0,0.0
FHL1,0.0,0.0,0.0,0.0,0.0,0.0
SMC6,0.0,33.59999999999994,8.590000000000007,99.57999999999981,0.0,17.109999999999914
OSGEP,7.359999999999998,0.0,28.51000000000004,0.0,0.0,0.0
GATA1,0.0,0.0,0.0,0.0,0.0,0.0
TTTY14,0.0,0.0,0.0,0.0,0.0,0.0
LPIN3,1.7599999999999971,42.789999999999964,0.0,34.65000000000005,7.389999999999999,0.0
RPL4,2956.3600000000006,4925.639999999996,1166.8000000000047,1113.6300000000017,1754.3299999999997,3052.2900000000072
RBPMS,0.0,0.0,0.0,0.0,0.0,0.0
LOC100506172,0.0,0.0,0.0,0.0,0.0,0.0
PRPF3,20.559999999999967,38.010000000000076,0.0,10.900000000000025,0.0,144.61000000000007
EMR1,0.0,0.0,0.0,0.0,0.0,0.0
SPATA19,0.0,0.0,0.0,0.0,0.0,0.0
XCR1,0.0,0.0,0.0,0.0,0.0,0.0
IRX3,0.0,0.0,0.0,0.0,0.0,0.0
ELFN1,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,0.0,0.0,177.58000000000055,0.0,0.0
MIR4698,0.0,0.0,0.0,0.0,0.0,0.0
CYSTM1,115.58999999999997,98.00000000000028,107.02999999999989,155.53999999999974,0.0,0.0
KLF4,0.0,0.129999999999999,15.369999999999964,0.0,0.0,0.0
IFITM10,0.0,0.0,0.0,0.0,0.0,0.0
MIR5010,0.0,0.0,0.0,0.0,0.0,0.0
LOC729177,0.0,0.0,0.0,0.0,0.0,0.0
UNC5CL,0.0,0.0,0.0,0.0,0.0,0.0
C16orf71,0.0,0.0,0.0,0.0,0.0,0.0
LOC100527964,0.0,0.0,0.0,0.0,0.0,0.0
LOC100128252,0.0,0.0,0.0,0.0,0.0,0.0
SEBOX,0.0,0.0,0.0,0.0,0.0,0.0
BTK,0.0,0.0,0.0,0.0,0.0,0.0
KRCC1,0.0,0.0,26.31,0.0,0.0,204.11000000000007
SYTL5,0.0,0.0,0.0,0.0,0.0,0.0
PRND,0.0,1.15,0.0,6.850000000000005,14.200000000000003,7.719999999999995
PIGL,0.0,0.0,0.0,0.0,0.0,0.0
MOB1B,0.0,11.210000000000026,0.0,0.0,0.0,48.63000000000017
HUS1,76.37999999999971,10.789999999999957,18.859999999999985,0.0,0.0,118.23000000000029
DNAJC30,1.5300000000000025,15.039999999999978,0.0,0.0,0.0,0.0
HID1,0.0,0.0,13.430000000000026,0.0,0.0,0.0
UIMC1,10.49999999999998,0.14000000000000012,17.479999999999944,0.0,10.81000000000003,68.71999999999983
FXYD2,0.0,0.0,0.0,0.0,0.0,0.0
C17orf77,0.0,1.1099999999999999,0.0,0.0,11.54999999999995,31.85000000000003
ZNF667,1.4800000000000013,0.9200000000000053,0.0,0.0,0.0,0.0
PTGES3L-AARSD1,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC12,0.0,0.0,0.0,0.0,0.0,0.0
TFEC,0.0,0.0,0.0,0.0,0.0,0.0
ATP7B,3.009999999999997,16.54000000000007,0.0,0.0,0.0,0.0
C2orf78,0.0,0.0,0.0,0.0,0.0,0.0
POLD2,36.63000000000008,169.46999999999997,28.39999999999996,0.0,0.0,0.0
ABCC6P1,0.0,0.0,0.0,0.0,0.0,0.0
MIR3180-3,0.0,0.0,0.0,0.0,0.0,0.0
C1orf145,0.0,0.0,0.0,0.0,0.0,0.0
ACOT2,0.0,22.84999999999989,58.64000000000006,0.0,0.0,226.41999999999982
HIST1H4I,0.0,0.0,0.0,0.0,0.0,0.0
ECRP,0.0,0.0,0.0,0.0,0.0,0.0
PPARGC1A,0.0,0.0,0.0,0.0,0.0,0.0
ETFA,167.04999999999984,25.889999999999986,78.46000000000025,0.0,0.0,0.0
