gene,B.cells,monocytic.lineage,CD4.T.cells,CD8.T.cells
ADAM7,4.6434,4.5079,3.44,3.53215
ADAM8,244.2263,396.20099999999996,5.81,8.39526
ADAM9,229.0811,1361.8879,5.12,6.337269999999999
ADAMDEC1,46.9486,1314.2052,4.14,3.5433800000000004
ADAMTS1,17.8426,17.9388,5.11,4.21586
ADAMTS10,43.2132,51.2518,6.13,8.13233
ADAMTS12,23.4035,23.3272,5.02,4.8445800000000006
ADAMTS13,51.1055,52.0304,6.07,5.88318
ADAMTS14,31.099,105.3158,5.95,5.22417
ADAMTS15,36.9923,41.7049,5.46,4.65874
ADAMTS16,42.7879,50.4454,6.16,5.940980000000001
ADAMTS17,25.8006,25.5603,5.49,6.761839999999999
ADAMTS18,13.0456,15.4245,4.88,4.1075800000000005
ADAMTS19,17.014,19.4253,4.75,4.50557
ADAMTS2,61.5632,90.8663,6.12,5.76309
ADAMTS20,8.1883,7.2555,4.1,3.86585
ADAMTS3,22.5897,20.2903,4.97,5.04202
ADAMTS4,17.1715,26.8931,5.52,4.939830000000001
ADAMTS5,9.9841,9.6862,4.44,4.762580000000001
ADAMTS6,38.5548,15.1798,4.79,6.18035
ADAMTS7,172.794,176.6778,7.16,7.524189999999999
ADAMTS8,45.4629,53.8523,5.91,5.87026
ADAMTS9,21.436,25.1648,4.92,4.746519999999999
ADAMTSL1,16.8566,17.49955,5.135,4.84463
ADAMTSL2,42.8203,37.7138,6.46,5.855119999999999
ADAMTSL3,14.9052,12.6135,4.64,4.24592
ADAMTSL4,48.5089,572.2677,6.16,5.9770199999999996
ADAMTSL4-AS1,35.8477,61.8692,5.63,6.57722
ADAMTSL5,29.4791,63.9953,6.3,6.85981
ADAP1,248.6011,338.8197,5.27,6.80947
ADAP2,230.1534,1247.2281,5.78,5.52878
ADAR,1609.7929,1591.2874,8.55,10.0443
ADARB1,384.9354,267.5415,6.92,8.871360000000001
ADARB2,38.7237,46.2258,6.34,5.98834
ADAT1,490.17199999999997,426.61300000000006,6.84,8.97879
ADAT2,226.7376,152.0709,7.61,9.10965
ADAT3,195.92175,202.8701,6.5,7.346065
ADCK1,124.7261,106.354,4.8,6.626539999999999
ADCK2,132.3481,143.2034,5.71,6.82371
ADCK3,117.0026,106.8051,5.95,7.31838
ADCK4,172.2885,141.6077,6.12,7.63765
ADCK5,143.9975,118.3331,5.27,7.617389999999999
ADCY1,57.5607,50.8263,5.21,4.97805
ADCY10,6.3585,6.2194,4.16,4.20977
ADCY10P1,55.1356,46.9563,6.48,7.005510000000001
ADCY2,25.8428,28.3385,5.38,4.99907
ADCY3,495.4962,354.7515,6.28,7.60502
ADCY4,57.6361,80.8398,5.72,6.64717
ADCY5,30.9077,29.9149,5.5,5.56966
ADCY6,37.8729,39.5545,5.56,5.527419999999999
ADCY7,316.9321,506.9534,7.17,9.55
ADCY8,17.1394,21.6218,5.09,4.6352
ADCY9,50.728,200.3363,5.08,7.1325
ADCYAP1,29.6171,27.9236,5.1,6.68681
ADCYAP1R1,20.1808,21.3095,4.89,4.3415099999999995
ADD1,592.6054,489.2986,8.2,9.41544
ADD2,178.3039,56.5882,4.93,6.9946
ADD3,730.6191,330.7144,10.23,11.0163
ADGB,5.0481,6.8977,3.65,3.4237
ADH1A,20.5589,20.7852,5.7,4.832669999999999
ADH1B,9.125,10.1393,3.73,4.8080300000000005
ADH1C,11.3158,14.8968,4.0,4.10915
ADH4,6.2252,6.1896,3.16,3.5736800000000004
ADH5,358.2856,289.1357,8.46,8.27465
ADH6,5.7884,6.0849,3.48,3.7175599999999998
ADH7,10.2343,7.2736,4.26,4.1952300000000005
ADHFE1,74.9233,60.0726,6.4,8.26068
ADI1,539.0196,541.8361,6.47,8.24733
ADIG,31.6631,34.1959,6.68,5.46127
ADIPOQ,23.2128,21.1543,4.76,4.70367
ADIPOR1,1690.5021,2119.3667,8.5,10.3548
ADIPOR2,561.5294,492.7476,7.51,9.01411
ADIRF,28.3689,33.9647,6.05,5.22086
ADK,897.816,500.2337,7.15,9.23045
ADM,83.3777,222.4123,5.96,6.16418
ADM2,86.691,83.624,7.39,7.47273
ADNP,641.2543,461.4385,8.88,9.9879
ADNP2,329.9715,280.4609,5.92,8.09348
ADO,242.993,684.3753,7.33,7.888789999999999
ADORA1,60.4214,71.6404,6.01,5.40862
ADORA2A,231.1704,258.8535,6.71,8.09406
ADORA2A-AS1,55.9856,47.0495,6.75,6.0757699999999994
ADORA2B,43.3566,57.1461,6.11,6.7195100000000005
ADORA3,51.3827,60.3421,5.24,5.338509999999999
ADPGK,667.0993,1357.8544,8.22,8.53808
ADPRH,136.8638,190.595,4.06,4.746519999999999
ADPRHL1,21.245,24.921999999999997,5.58,4.72657
ADPRHL2,179.7188,210.7975,6.11,6.7504
ADPRM,187.6992,120.3724,7.22,8.0557
ADRA1A,10.8645,13.9266,4.13,3.89469
ADRA1B,45.2364,39.1954,6.22,6.1679
ADRA1D,49.2592,81.8881,6.13,6.37911
ADRA2A,40.1478,37.254,5.75,4.115530000000001
ADRA2B,49.1636,53.3246,7.18,6.57265
ADRA2C,51.544,59.1813,5.98,5.70885
ADRB1,67.6172,72.1134,6.72,6.52882
ADRB2,65.9388,69.1341,6.43,7.11976
ADRB3,22.0183,54.5341,5.19,5.7211300000000005
ADRBK1,867.0456,639.6282,5.98,10.0895
ADRBK2,780.0010000000001,497.36800000000005,4.79,7.626010000000001
ADRM1,1370.9937,1684.2825,6.22,9.58344
ADSL,843.9558,540.5393,8.3,9.77843
ADSS,356.9221,304.3557,8.97,8.41043
ADSSL1,76.1578,71.7276,5.82,5.70375
ADTRP,23.5989,58.9314,6.14,5.1239
AEBP1,108.4727,60.9269,6.85,6.51192
AEBP2,510.5771,374.5665,9.29,10.1318
AEN,316.1266,273.8832,5.86,9.345080000000001
AES,1614.2706,1332.0836,6.42,10.9451
AFAP1,36.4945,74.986,5.16,6.20337
AFAP1-AS1,31.9996,27.8045,5.5,5.50853
AFAP1L1,27.7699,25.4114,4.99,5.12309
AFAP1L2,29.226999999999997,13.2958,4.86,4.746519999999999
AFF1,703.6892,928.9702,8.78,9.69877
AFF2,73.018,57.328,5.37,5.6636
AFF3,955.9954,146.3543,5.12,4.10901
AFF4,495.7445,1008.9464,8.75,9.41544
AFG3L1P,94.6524,83.0552,6.35,6.47139
AFG3L2,246.0362,219.7528,6.49,7.97092
AFM,9.7623,10.7085,3.38,4.07046
AFMID,198.8426,89.9088,5.74,5.69181
AFP,9.4627,6.9187,3.73,3.569
AFTPH,608.0833,473.7335,9.07,8.84605
AGA,309.1662,345.4838,7.38,9.08793
AGAP1,34.5368,47.681000000000004,5.43,5.58664
AGAP2,307.3904,266.8193,6.57,9.86684
AGAP3,78.1369,203.5243,7.09,6.84773
AGAP5,396.14889999999997,269.4438,7.683333333333333,9.021733333333334
AGAP6,534.7071166666667,347.5624,7.991666666666667,9.468168333333333
AGAP7P,802.8395,532.3842,8.2,9.78023
AGBL1,11.6775,11.8301,4.34,4.6452599999999995
AGBL2,69.388,29.4457,4.95,6.5446599999999995
AGBL3,20.55,12.052,3.85,4.177919999999999
AGBL4,19.825,14.319,4.42,4.9421
AGBL5,131.6417,83.4552,6.14,6.47918
AGER,174.92126666666664,151.83626666666666,6.6866666666666665,7.459583333333334
AGFG1,1961.8769,2485.3691,8.11,10.8976
AGFG2,104.9142,85.7372,6.52,7.884810000000001
AGGF1,499.8102,441.6076,8.07,8.33938
AGK,565.1012,616.6127,6.73,9.15087
AGL,327.3458,203.9169,7.18,8.338460000000001
AGMAT,295.0807,210.3933,6.67,8.684389999999999
AGMO,5.3886,6.3486,3.01,3.6733800000000003
AGO1,560.1173,668.045,6.37,9.090760000000001
AGO2,501.3171,502.9349,6.98,8.277000000000001
AGO3,350.4544,409.5886,8.16,8.997810000000001
AGO4,132.5067,236.5461,5.51,7.821210000000001
AGPAT1,449.50960000000003,562.3173,6.28,8.940126666666666
AGPAT2,229.4626,381.8647,5.94,6.17157
AGPAT3,485.8072,707.2848,5.93,7.54835
AGPAT4,53.919,106.389,5.39,6.3859900000000005
AGPAT4-IT1,37.711999999999996,84.5805,6.77,6.081840000000001
AGPAT5,378.2895,219.1529,6.89,7.50807
AGPAT6,269.0626,369.7504,6.84,7.892289999999999
AGPAT9,18.3659,237.2482,4.56,4.55476
AGPS,472.4279,490.3438,8.36,8.52636
AGR2,9.0046,6.8927,3.76,3.85115
AGR3,3.7688,4.7778,3.02,3.41459
AGRN,59.3205,191.1248,6.02,6.557760000000001
AGRP,79.5084,92.0958,6.78,6.61079
AGT,25.7646,21.531999999999996,4.83,5.084569999999999
AGTPBP1,314.1363,334.5108,8.71,9.15643
AGTR1,14.3813,13.6868,4.13,3.7370099999999997
AGTR2,5.1349,6.0259,3.79,4.07415
AGTRAP,248.5621,856.2821,7.03,8.137139999999999
AGXT,47.751999999999995,47.751999999999995,5.72,6.26138
AGXT2,29.9404,29.5033,4.8,4.616280000000001
AHCTF1,425.66885,318.5963,8.395,8.908570000000001
AHCY,589.7717,497.4663,5.89,8.36496
AHCYL1,1114.5656,1553.217,7.0,9.611369999999999
AHCYL2,269.6877,355.2476,6.03,8.26915
AHDC1,66.2749,64.1566,6.21,7.01525
AHI1,225.1621,200.5754,6.15,6.30349
AHNAK,115.5886,1036.1008,8.71,10.5659
AHNAK2,14.8016,21.4151,4.67,4.11995
AHR,826.4444,1582.0691,8.42,9.78547
AHRR,103.6756,134.7372,7.01,7.075660000000001
AHSA1,670.2571,567.7754,9.49,9.1908
AHSA2,305.3724,167.6561,7.5,8.098339999999999
AHSG,11.1379,10.1153,3.81,3.7614199999999998
AHSP,15.9457,16.9833,4.03,3.0790900000000003
AICDA,994.7985,205.0097,4.48,4.21937
AIDA,653.3213000000001,465.1191,6.63,7.7290849999999995
AIF1,322.065,1020.5084,7.48,6.54601
AIF1L,28.8715,21.1663,5.61,3.98694
AIFM1,802.3217,572.6419,7.45,8.35677
AIFM2,83.2358,140.6557,5.22,5.5673699999999995
AIFM3,37.7151,46.7012,5.15,5.26423
AIG1,253.062,97.4324,6.22,6.560510000000001
AIM1,332.5334,556.5362,8.95,8.61547
AIM1L,42.2776,48.0927,6.18,5.668740000000001
AIM2,812.3005,607.4561,6.11,5.483569999999999
AIMP1,194.635,166.5149,8.16,7.983169999999999
AIMP2,408.9588,468.9152,8.16,8.18215
AIP,293.68,245.1115,5.8,9.41342
AIPL1,32.2916,39.6391,5.88,4.54446
AIRE,56.119,72.8216,6.12,6.63673
AJAP1,14.0176,14.6819,4.76,4.03632
AJUBA,29.4353,31.0134,4.82,4.50557
AK1,78.2665,102.4803,7.23,7.998889999999999
AK2,1629.69455,1445.6134,9.03,9.560445
AK3,618.5924,461.5554,6.06,9.58595
AK4,126.1236,362.68895,6.734999999999999,6.407745
AK5,7.165,8.8815,7.65,4.98201
AK6,268.26305,208.0238,8.41,7.664715
AK7,27.3208,9.7579,3.43,3.9503699999999995
AK8,41.53,28.7114,5.37,5.12915
AK9,34.47403333333333,34.9345,5.1866666666666665,4.898193333333333
AKAP1,322.6054,353.0788,6.32,7.9884
AKAP10,244.4341,270.048,7.52,7.99903
AKAP11,518.4351,264.1682,7.64,7.993539999999999
AKAP12,39.4122,25.4158,5.06,4.38281
AKAP13,447.5273,684.6767,9.92,10.0965
AKAP14,5.7323,5.7738,3.77,3.5218
AKAP2,91.3367,105.6035,5.44,5.63486
AKAP3,61.1861,47.3591,4.7,5.39319
AKAP4,13.5239,13.0041,3.92,3.72925
AKAP5,172.0376,47.7937,4.7,4.98843
AKAP6,41.8778,33.9432,3.99,4.14403
AKAP7,62.4043,57.8644,4.7,4.91889
AKAP8,473.2618,427.1536,7.66,8.98042
AKAP8L,732.6765,615.4351,7.88,9.24752
AKAP9,167.1801,128.6633,8.43,8.181610000000001
AKIP1,684.808,804.2524,5.83,7.2049199999999995
AKIRIN1,891.7734,896.5018,7.68,9.85571
AKIRIN2,970.681,1494.7067,7.79,8.13049
AKNA,687.8818,387.8189,7.46,9.82207
AKNAD1,8.8093,6.166,4.56,4.08933
AKR1A1,1288.5071,1547.7797,7.02,9.45928
AKR1B1,2422.8828,1400.8821,7.19,10.3108
AKR1B10,3.7939,4.3101,3.95,4.332730000000001
AKR1C1,55.8065,70.1444,5.82,5.88915
AKR1C2,35.9156,28.7382,5.05,5.68332
AKR1C3,10.9469,11.3799,4.22,6.23731
AKR1C4,7.517,9.676,3.31,3.5016300000000005
AKR1C6P,13.3527,20.6842,4.81,3.8633300000000004
AKR1CL1,24.8968,25.436999999999998,4.89,5.58063
AKR1D1,9.6211,10.8311,4.19,3.78591
AKR1E2,59.5779,82.8902,5.35,5.1876
AKR7A2,539.9143,497.767,7.12,9.14215
AKR7A2P1,23.7168,25.114,5.76,4.9457
AKR7A3,118.0097,108.9534,7.41,8.89851
AKR7L,24.432,23.178,4.47,5.75102
AKT1,1145.7155,1139.3238,6.5,10.3727
AKT1S1,153.6604,251.9369,6.22,7.38927
AKT2,1412.851,1011.5563,6.82,10.0039
AKT3,298.1583,267.7283,10.19,7.991289999999999
AKTIP,148.8122,132.1426,7.33,9.99624
ALAD,216.928,195.0766,5.84,7.43725
ALAS1,588.4917,2552.5158,7.42,8.670869999999999
ALAS2,17.3966,24.924,5.66,5.46499
ALB,10.7361,9.5775,3.94,3.93205
ALCAM,383.1329,864.4942,5.83,7.266
ALDH16A1,217.2692,172.375,6.43,8.137260000000001
ALDH18A1,534.3375,247.8424,6.73,8.253039999999999
ALDH1A1,12.4156,132.9934,3.73,4.25154
ALDH1A2,44.2148,481.8357,4.99,4.30152
ALDH1A3,30.388550000000002,29.29325,5.585,5.392754999999999
ALDH1B1,304.8281,248.9072,6.41,6.899310000000001
ALDH1L1,39.5788,28.029,5.84,5.3525599999999995
ALDH1L2,68.5996,58.2638,3.86,3.66756
ALDH2,230.4486,512.7492,5.6,5.71859
ALDH3A1,52.8219,52.1659,5.74,5.53921
ALDH3A2,148.2734,256.6123,7.44,7.1184899999999995
