,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
BOP1,25.9405,18.6134,22.0883,21.5166,19.3606,14.7709,17.9685,22.5176,18.3798
BPESC1,0,0.0518924,0.0732474,0.018568,0.00791518,0.0158305,0.00874998,0,0
BPGM,9.66581,7.29745,11.72192,13.48431,12.799813,21.34923,24.67828,12.52867,15.778596
BPHL,4.1854436,4.34953,8.0801217,4.960688,4.349926,3.83043,3.759803,2.486302,4.639633
BPIFB2,0,0,0,0,0,0,0,0,0
BPIFC,0,0,0.0863489,0,0,0,0,0,0
BPIFB6,0,0,0,0,0,0,0,0,0
BPI,10.6932,21.0764,2.8401,2.75926,18.1422,6.39405,11.6133,11.0066,2.35729
BPNT1,12.828853,10.20208,16.7471713,10.006022,12.29526721,11.72697851,10.521376,8.370041017,10.558345
BPTF,19.742891,13.2975,32.83874,35.518813,15.01967,21.197251,17.185594,13.349026,20.43451
BPY2,0,0,0,0,0,0,0,0,0
BRAF,4.92476,1.27037,2.91801,5.8394,4.52547,3.03646,2.51711,3.41615,4.01527
BRAP,10.863253,6.585360398,10.861672,10.607976,9.1394,9.93353,8.14862,8.236475103,9.518515
BRCA1,1.650850502,1.7625358,3.6144459,3.262357929,2.378001245,1.4211545,1.343899,1.6064387,1.464440043
BRCA2,0.18077685,0.0690242,0.648992,0.493026,0.0910581,0.32315,0.151585,0.127481,0.110482
BRCC3,14.1893811,6.93163,11.12488,12.292384,13.12716,11.56082,10.701228,9.14437,12.54242
BRD1,15.398092,10.46493,29.89087,30.234646,11.87895,12.331117,9.643573,11.18478,14.307403
BRD2,83.53211,55.49696,121.752189,145.387678,67.89102,88.8911044,69.62955,80.67552,96.27859
BRD3,19.472532,20.499965,18.937071,20.096554,21.707747,21.570032,15.8898111,19.102727,18.604409
BRD4,47.28707,54.09955,66.834448,68.23389,49.91677,49.75743,44.96583,55.17557,50.01544
BRD7,57.978,33.35614,46.5972,51.5319,43.3711,54.9581,42.2388,43.6121,60.4065
BRD8,11.21655883,8.1516843,23.23142206,19.68882397,7.982255982,10.8528642,8.929929506,8.869179462,10.25255604
BRD9,23.20834,26.224554,48.79967,40.34585276,22.565763,25.942378,20.803356,21.93466701,22.672997
BRDT,0.0452958,0.13019,2.1596218,0.533341,0.105194,0.196235,0.0742247,0.124658,0.134533
BRE,40.049741,46.327418,40.661502,41.613627,41.834508,56.1077813,43.057247,47.027032,42.556372
BRF1,10.18226675,9.197262,31.746933,27.074857,7.342386023,10.9215354,6.645725,9.7105197,8.354345626
BRF2,6.88223,6.48631,7.06238,8.63436,8.5017,8.51167,9.18371,8.93912,10.2201
BRI3BP,10.2877,7.84279,4.64905,6.33706,8.50631,6.08793,7.68779,7.40224,8.0348
BRI3,245.119,322.137,210.585,264.2144221,323.456,318.357531,356.353859,479.629032,270.668
BRIP1,0.4730455,1.058848,4.25428,1.678215,0.4661815,0.815703,0.600844,0.387367,0.574418
BRIX1,21.284179,18.321072,34.64748,32.42017,16.587669,19.63846,20.184068,19.088462,25.325005
BRMS1L,2.144174,1.03471,2.33784,2.760566,2.000247,2.080021,1.257131,1.773356,1.982329
BRMS1,65.40157,61.257128,67.85116,67.19646,65.327626,64.4876,61.909962,66.40953,59.953065
MPC1,44.29836,40.67473,45.22733,54.08071,51.58364,54.24199,52.75641,50.27676,45.30632
MPC2,54.2195,58.5453,33.020891,37.111331,45.5974,49.479844,52.728725,52.5979,53.186615
BRPF1,10.91163686,7.88532,17.7559,22.89453,11.65620034,10.67514064,12.69338016,10.3789101,12.90625423
BRPF3,13.38246585,9.32942565,16.75994,17.567665,12.073898,12.814682,10.878975,12.51222256,14.842593
BRS3,0,0,0.0973913,0,0,0,0,0,0
BRSK1,1.1131198,0.695456,2.7465534,0.897748,0.338064,0.417546,0.456734,0.507112,0.5589369
BRSK2,0.12642,0.2800317,0.61865,0.3598538,0.0217216,0.114988,0.1233556,0.0220264,0.0868587
BRWD1,14.98291,10.032399,18.5598833,22.331602,12.651662,13.717601,11.778707,13.006092,14.121229
BRWD3,3.441771005,1.91173701,4.835524871,7.892479925,2.882345788,3.455883634,4.030005,3.455014437,3.989319863
BSCL2,14.395381,26.208459,13.01695,9.617663,15.059483,12.953521,13.990729,15.408609,13.814893
BSDC1,17.343953,13.29032,25.1890656,26.57597542,14.95771385,15.42265308,13.742977,14.250181,13.492787
BSG,240.430999,199.19429,151.6479101,195.785306,246.465899,217.899674,263.716783,262.80197,245.987403
BSND,0,0,0.0402554,0.0463521,0,0,0,0,0.0668242
BSN,0.0193632,0.0077419,0.0350627,0.0217885,0.0116445,0.0575345,0.0102191,0.00490081,0.0465633
BSPH1,0,0,0,0,0,0,0,0,0
BSPRY,0.424548,0.559009,0.982513,1.05979,0.621962,2.19683,0.9040687,0.50333,0.882753
BST1,92.6386,61.6628,40.3459,78.0156,114.897,74.5725,92.6672,114.4298,71.3668
BST2,222.289,218.937,166.963,194.636,199.255,223.109,205.058,302.671,201.047
BSX,0,0,0,0,0,0,0,0,0
BTAF1,5.2456569,2.624317,46.2365907,65.01304,3.4773854,4.302635,3.1975159,3.59697,4.4932474
BTBD10,5.94215031,4.277875844,8.691950466,7.873334,4.060858001,5.769015545,5.213072773,4.8163,6.640846233
BTBD11,9.503598,8.214686,11.23557033,8.249765,5.9796,5.408001,6.066234,5.249363,7.537698
SLX4,1.775883,1.371373,9.09075,7.024,1.561871,2.048404,1.317305,1.597458,1.717488
BTBD16,0,0,0.1181196,0,0,0,0,0,0
BTBD17,0.0525384,0,0.619741,0.450695,0.0812446,0,0.0725957,0,0.0974627
BTBD18,0.100505,0.194507,0.339517,0.2728122,0.118851,0.0628634,0.0345118,0.088863,0.16451
BTBD19,0.5342251,0.835147,2.843668,1.272948,0.2115018,0.544574,0.467732,0.1745055,0.468154
BTBD1,34.17770003,19.44910001,30.0339,36.10600009,32.3747,29.4086,30.23295,26.3964,34.167
BTBD2,75.28642,62.7755,64.563,60.94689,76.9717,57.635578,52.829464,71.459081,67.3482342
BTBD3,2.540766,1.1343804,2.061392,2.810379091,2.372413014,1.515844,4.153734798,2.514750626,3.013888
BTBD6,23.4367,18.2893,39.1626,35.804,20.4259,24.164,22.9036,21.6443,26.2511
BTBD7,8.326020009,6.78911,13.34824,12.439768,6.254877035,8.979600456,7.813182528,7.228312788,8.40831151
BTBD8,0.184457,0,0.533426,0.377977,0.163527,0.348193,0,0.662938,0.122606
BTBD9,7.03106707,4.135966734,13.65713434,6.6460564,5.603194003,5.448132029,4.073621008,4.575014493,5.250968004
BTC,0,0,0,0,0,0,0,0,0
BTD,6.755727,4.062637,4.73196,6.440665,7.75006,6.494933,6.986603,7.52257,8.193316
BTF3L4,29.47174,18.277029,15.335003,24.1223,25.858145,25.1634,22.32729,26.75661,26.054407
BTF3,855.732297,783.387293,573.424216,696.236697,985.521401,897.3250675,874.66811,904.048681,967.3856423
BTG1,255.472676,188.0184961,227.265948,196.638141,177.420505,253.3883921,210.1883041,193.093614,194.091994
BTG2,120.781,82.3881,129.011,113.53,92.6459,93.9502,82.9799,108.7477171,97.082649
BTG3,5.368167,4.25599,14.54242,10.99454,3.78952,7.694267,4.622912,2.929221,5.258642
BTG4,0,0,0,0,0,0,0,0,0
BTK,41.40235101,36.99803747,63.80235561,69.382848,55.86283524,52.30661681,43.48355887,52.48046019,53.867183
BTLA,4.33319,1.80193,5.472262,4.499707,3.172838,2.425167422,1.88731,3.18113001,3.3538561
BTN1A1,0.0916904,0,0.0284626,0.17479,0.189052,0.129811,0.0844631,0.0742615,0.132294
BTN2A1,10.15987048,8.48442461,37.28555,36.260582,7.926525044,8.8885339,5.6115,9.096087449,10.38947
BTN2A2,5.251341,2.357707118,8.931926,11.27124,4.207767,4.953691,4.32888,6.716841,2.39606605
BTN2A3P,0.378407,0.534903,2.030008,3.16412,0.122606,0.509086,0.721586,0.154746,0.391282
BTN3A1,27.84216,20.32042,126.3711,105.3827667,26.42442,30.99548,25.47281,21.35821,29.08574
BTN3A2,102.00095,113.035195,158.760946,144.1294421,89.80069137,123.94877,55.4876378,115.6548128,123.279849
BTN3A3,40.98096,26.125949,67.6841,70.9692542,34.56706,36.1762,35.49021,40.91507,48.00926
BTNL2,0,0,0.2670086,0,0,0,0,0.273595,0
BTNL3,0,1.05097,0,0.7369755,0,0,0.145738,0,0
BTNL8,0.629064,0.29501,1.442362,1.049136971,1.5175415,1.0765848,0.255632,0.0544684,0.386713
BTNL9,0.35785,0.0510042,1.490875,0.7167118,0.458665,0.230212,0.167086,0.404932,0.240297
BTRC,4.073257,1.87706174,3.62804283,3.639784079,2.844565121,2.413588003,3.151251,2.770639003,3.760601
BUB1B,0.492174,0,0.2337798,0.200513,0.36038,0.116707,0.1393686,0.093944,0.148144
BUB1,1.227847,0.627889,0.454362,0.739661689,1.95905,0.452557,0.63993908,0.63472702,0.925898
BUB3,62.22557,46.39441001,65.75358,74.10524,54.077985,55.181075,52.201779,49.429719,62.38766
BUD13,6.94971,6.72602,8.993474,8.8681458,7.658863,6.75828,5.247499,6.40567,6.61965
BUD31,94.97426,110.753522,97.48702,98.9288,112.195797,102.350063,105.672581,97.50255,101.62495
BVES,0.150083004,0.531213018,2.197540134,0.834631031,0.198338003,0.344414005,0.160251002,0.130425001,0.185822005
BYSL,4.34311,1.88774,2.68542,3.06057,3.98599,3.54095,1.96684,3.76354,2.91122
BZRAP1,2.7279493,2.984543826,43.701224,26.4150363,1.42704614,7.335536659,5.13741781,2.0939682,5.82114684
BZW1,90.84779,47.9837,76.1716,102.98646,98.52917,88.978186,85.29288,70.24123,108.61441
BZW2,33.7874009,20.45645501,19.67174912,25.69085801,28.582534,24.73824034,22.81608292,21.9047084,26.65189793
C10orf105,1.39713,1.32399,4.2569,5.06991,0.777059,1.35345,1.73088,1.38403,1.077
C10orf107,0,0,0,0.0849101,0,0,0,0,0
C10orf10,0.110758,0.183948,0.185131,0.639507,0.0526998,0.0536087,0.213375,0.223183,0.158049
IDI2-AS1,1.3409,2.26981,17.313182,17.2228,0.779876,1.78841,2.50967,1.74117,1.65955
C10orf113,0,0,0.62476,0,0,0,0,0,0
CASC10,0,0,0.0137011,0.0420697,0.040952,0,0,0,0
ADIRF,0.391894,0.704605,0.458554,0.305024,0.710552,1.48737,0,0.0417372,0.60069
CCDC186,7.0135075,2.946856,10.12883704,12.111112,5.91884,5.877637,5.57559115,4.985779,8.077823
MCMBP,34.962308,24.099428,27.80241,30.09138,30.029113,27.468706,28.037922,29.161071,31.870969
C10orf11,11.2778,6.84394,8.1834,8.78004,16.0862,11.24,13.8533,15.658,9.02136
C10orf120,0,0,0.0262296,0,0,0,0,0,0
TEX36,0,0,0.12189,0,0,0,0,0,0
FUOM,22.46561,24.1301,28.27054,20.82451,23.79,30.75075,25.59239,29.2694,22.01363
C10orf128,4.78715,4.380039,14.39813,20.780923,11.958893,6.679001,7.939262,7.9076593,10.0004198
ACSM6,0,0,0.235292,0.0451545,0.078142,0,0,0,0
C10orf12,2.492059,0.528469,1.2563142,2.92262,1.867478,1.423395,1.4798195,1.400968,2.256988
C10orf131,0,0,0.141579,0.398497,0,0.107618,0.0131293,0,0
EDRF1,8.231849,6.543214,42.593499,26.059288,5.726263,8.060115,6.290728,7.042928,7.4456613
SKIDA1,0.152022,0.238608,1.37789,0.306354,0.0578951,0.146364,0.137001,0.115595,0.129259
FAM208B,4.93708,3.326311,11.18016,11.06828,3.98923,4.75082,3.66056,4.58417,5.49649
WBP1L,40.773849,34.683086,34.59161,40.96544,42.07299,41.31516,39.914528,41.15078,42.550335
TBATA,0,0,0.0548925,0.0961349,0,0,0,0,0
R3HCC1L,8.907981,6.101216,13.346145,10.61336,6.21782403,7.72836,6.018145,7.323353,7.954694
C10orf2,5.1107467,2.89576,3.037138507,3.95881,4.01326384,2.72055,2.500668,4.37424794,3.56719
BORCS7,23.7433,30.9411,30.7021259,28.0187,26.7076,28.3301,26.625528,28.07309,22.38695
C10orf35,4.14957,3.73082,2.99864,1.00081,2.72781,3.4091,2.01667,2.52571,1.83528
LINC01553,0,0,0,0,0,0,0,0,0
ZNF503-AS2,0.270811,0.396617,0.0536694,0.293768,0.423735,0.134686,0.367924,0.472856,0.203498
CACUL1,7.5939943,5.7208761,13.004938,14.604538,6.90546,7.519807,7.068201,5.807613,8.9296
PROSER2,0.865671,1.34038,1.12507,0.546765,1.82252,1.15256,1.22498,1.90459,1.31674
FRA10AC1,15.295911,12.7326,21.42427,14.7245884,11.234271,12.052083,11.652979,9.527202,11.033512
LINC00264,0.611021,1.87568,12.9484,8.81664,0.773595,1.86949,1.42952,2.87892,0.609634
C10orf53,0,0,0.0670003,0,0,0,0,0,0
C10orf54,245.070137,260.43071,230.13223,309.82834,271.742847,254.421575,308.81397,313.034201,254.94945
C10orf55,0.0932284,0.13866,0.648571,0.458897,0.1673,0,0.0471399,0.0581831,0.0255895
TMEM254,11.47695637,7.402774,6.4673972,9.216357,11.334684,8.81061295,9.40441279,9.292974193,9.75203
FAM213A,8.364282,8.213051,7.594432,8.201433003,5.853862,7.659605,4.843873,9.89596,5.59541
C10orf62,0,0,0,0,0,0,0,0,0
C10orf67,0.21897,0.493457,1.34626,0.303535,0.128208,0.121164,0.102262,0.155587,0.10374
CCDC7,0.249104,0.132064,2.237334,1.2730545,0.3008287,0.606469,0.260215,0.203467,0.454831
C10orf71,0,0,0.0374369,0,0.0091953,0,0,0,0
VSTM4,0.359702,2.18588,6.98496,1.793801,0.528869,0.855227,0.738568,0.437921,0.407179
C10orf76,17.58866,17.35134,24.42927,26.76184,15.526251,17.02448,14.5326,17.87345,16.97567
SFR1,7.929728,4.80239,7.807238,7.493962,7.89407,8.423215,6.7543969,5.24275,7.196271
CFAP43,0,0,0.0571809,0,0.0244159,0.0496739,0,0.0259751,0
PLEKHS1,0.0548025,0.02102098,2.01563,0.2498356,0,0.216804,0.0101426,0.253012,0.152218
C10orf82,0.240634,1.547253,11.000752,1.6515677,0.430402,0.935693,0.632643,0.221579,0.56353
FAM204A,25.6483,18.9216,18.60549,21.39297,24.3788,23.4107,22.87474,20.28376,26.8834
C10orf88,2.269061,1.75503,3.478435,3.44342,1.603,1.938599,1.231105,1.71964,2.0591
C10orf90,0,0,0,0.0513424,0,0,0,0,0
CCDC172,0,0,0.0805556,0.0618371,0.0321036,0.0653146,0,0,0.0106978
C10orf99,0,0,0,0,0,0,0,0.225574,0
TMEM258,248.208,202.989,128.586,151.961,235.534,183.989,212.468,217.808,177.316
C11orf16,0.103551,0,0,0,0,0,0,0,0
AKIP1,14.7510237,13.59544,21.085093,14.5211937,18.04622,15.3102358,12.82829,16.13405,11.9655954
C11orf1,14.3319,9.29152,5.95557,9.47651,9.572198,10.626808,9.67658,10.5511,13.501686
C11orf21,19.62177,15.90107,80.6318,94.1755,12.32556,28.17809,15.26644,18.04011,21.39901
C11orf24,9.05823,5.9202,8.278812,9.58904,8.411025,7.417140005,7.52417,7.41309,8.76074
VPS51,160.128178,164.4963,131.0614,129.9206,160.35083,149.858,135.01474,166.435119,155.69634
EMSY,9.118321091,6.995589159,11.06517193,14.54141959,8.880087751,9.066236605,6.967585456,7.367753009,8.908944023
C11orf31,85.4548,95.6135,65.2644,60.3322,75.3206,70.6815,71.9997,99.5897,75.0935
PLET1,0,0,0.748066,0.492216,0,0,0.217974,0,0
LMNTD2,2.38979,2.00266,8.70333,5.38689,1.6609,1.90772,1.50247,2.54388,2.25429
MRGPRG-AS1,0,0,0,0,0,0,0,0,0
C11orf40,0,0,0,0,0,0,0,0,0
KIAA1549L,0,0.00155494,0.10027518,0,0,0.00822148,0,0.00842987,0.0277896
C11orf42,0.0314683,0.0161766,0,0,0,0,0.163056,0,0
C11orf45,0.492522,0.0557009,0.3598739,0.558125022,0.106628,0.143408,0.308626,0.24869,0.228417
ARL14EP,28.96104,13.79629,19.35615,24.1486,28.05783,20.36714,17.2063,20.89048,24.92585
LBHD1,25.8149,19.80931,41.7418,27.2932,20.52745,22.1331,22.04942,25.48494,20.04403
C11orf49,7.051576171,6.226991,7.589631,7.064148155,7.0136591,7.056917406,5.454589,6.4892603,5.851272
ANAPC15,62.25076,61.03878,63.47875,62.23848,62.60348,53.00372,61.13054,71.333,54.32072
C11orf52,0,0,0,0,0,0,0,0,0
C11orf53,0,0,0,0,0,0,0,0,0
C11orf54,7.724861,5.271917,10.47239023,8.4412512,5.661566,5.891125,3.0892771,5.7051374,4.0456165
C11orf57,16.489623,16.26955068,24.3835205,19.68770401,15.07402,14.34831,13.87282201,15.10378008,16.040519
C11orf58,60.62135,45.2486,57.22845,55.46947,49.64189,50.84064,46.88868,47.072465,57.84602
LAMTOR1,171.278552,114.645371,91.228966,137.43648,182.585301,148.60133,164.977993,201.961197,155.387555
MSANTD2,2.1060511,1.753296,9.805854283,7.318813441,1.317918,2.054553,1.526889,1.426155,1.49870831
C11orf63,2.01967,1.948859,4.71642,3.33146,2.073001,1.277882,2.261051,1.878472,2.396485
LINC00301,0,0,0,0,0,0,0,0,0.025029
C11orf65,0.2079074,0.595167,1.761086,1.492125,0.4039626,0.168605,0.151235,0.191908,0.0931706
PPP1R32,1.01641,0.730191,4.32041,4.128407825,0.768024,0.908453,1.396806,1.207608,0.880823
AAMDC,11.56785,15.38244,15.011074,13.617502,13.23037,15.3665,13.756022,12.047879,10.77408
C11orf68,33.36572,26.96047,19.37937,18.66555,27.3466,23.09825,22.47694,27.6449,22.32044
C11orf70,0,0,0,0,0,0,0,0,0
C11orf71,8.46643,7.03591,7.88647,7.62636,7.95346,6.936551,6.35515,6.76626,5.9856
C11orf73,29.992491,21.342116,17.92502,18.972562,28.074321,27.97032,21.475685,24.910943,24.905266
C11orf74,6.594015821,7.316229,6.154105,7.653338,7.247432,4.729271,5.479013,8.001839,3.40588
SMCO4,28.26978,38.32198,18.8287,31.01605,35.72329,32.1775,38.25568,53.1743,24.78473
C11orf80,4.353767,4.3708,10.33755204,9.485089,5.2602513,3.160194,2.393552,4.701833337,3.482078
DDIAS,1.325622,1.027972,2.277330002,1.713184333,1.0683803,1.069628,1.6369771,1.64014,1.474755
UQCC3,30.1263,41.975,27.792,24.7545,24.8174,32.6483,25.7427,34.7158,25.7233
C11orf84,6.195286,4.942007,8.76416,8.34098,5.355868,4.869194,5.550023,6.59749,5.013369
C11orf85,0.624073,0,0.576203,0.0780551,0.0321686,0,0.0942955,0,0
C11orf86,0,0,0,0,0,0,0,0,0
C11orf87,0,0.115367,0,0,0,0,0,0,0
C11orf88,0.136662,0.444526,2.47094,0.447592,0.0494191,0.385393,0.188018,0.105202,0.241303
VSTM5,0,0,0,0,0,0,0,0,0
COLCA2,0,0,0.29196,0.164353,0,0.0986339,0.119129,0,0
C11orf94,0,0.443096,0.33446,0.4493,0,0,0,0.531764,0
C11orf95,2.001023,1.663212,3.37768,2.974755,1.2586867,1.810266,1.35444,1.454441,1.813731
MYRF,0.579813,0.2530283,1.016465,1.028766,0.251568,2.483607,1.149153,0.609698,0.386906
C12orf10,52.027919,49.282377,41.198387,43.104659,52.881687,58.699302,44.919589,55.907341,45.452063
ASUN,7.911733915,6.55161,16.815,12.725671,6.98148,8.10658,6.38331,5.312826,4.89605
CCER1,0,0,0,0,0,0,0,0,0
TMEM263,10.248564,7.367442,8.789203,8.38706,7.7996,7.219416023,6.28289,7.47601,9.51896
FAM216A,4.6762238,7.458279,20.630559,12.114524,4.123919,6.091212,4.360714,4.44476121,4.95288
METTL25,4.25685,2.82004,4.87928,5.3795,4.5308,4.48986,4.50684,4.4426,4.5982
HNF1A-AS1,0.420027,1.99134,9.18878,1.46496,0.401447,0.477932,0.757609,0.336715,0.420391
C12orf29,5.76173,3.042911,7.25551,6.43685,2.959088002,5.33697,3.48158,3.33181,5.66897
RHNO1,19.168987,15.854084,14.8791,17.709485,15.406508,16.324985,16.85919,16.435323,16.975389
FAM222A,0.5424414,0.577971,0.547171,0.81568,0.550857,0.431665,0.5897017,0.545183,0.619518
KIAA1551,60.8372,50.5249,77.5467,81.8856,52.0459,66.9589,48.6731,54.1201,55.5825
SPX,0.0576856,0,0.475936,1.99314,3.9026,0.499084,0.902141,0.532184,0
C12orf40,0.1296817,0.0977592,0.211841,0.149093,0.00872215,0.0540172,0.0502771,0,0.0645501
KANSL2,14.61399,10.983077,44.32735,39.380357,11.785237,17.693066,18.84438,15.99179,17.035623
C12orf42,1.342502012,0.8161214,1.683247,2.121956,0.932759,1.275688,0.929737,1.200641,0.763254
C12orf43,15.398009,12.73397,17.482588,13.81007,13.59714,12.34962,11.014613,13.5489,13.43935
ATG101,29.00324,31.6097,29.06,23.21313,25.4046,33.0103,24.78878,26.06217,17.20199
C12orf45,24.5775,22.8372,13.9856,14.3739,17.869,24.1577,16.9336,22.4803,15.3952
MAPKAPK5-AS1,42.21414,35.31029,57.31174,45.37615,41.98959,46.123,34.74363,43.81026,39.00677
PARPBP,1.2199206,1.643107,5.913789,3.0638908,2.0424116,2.3278007,1.084154516,1.3202892,1.8354878
C12orf49,17.4079,9.19221,11.75741,13.79457,16.269802,14.16263,14.6238,13.0521,17.9735
C12orf4,4.2834785,2.794817,4.203650056,5.363639236,3.033865,3.884488165,3.046531006,3.525337273,3.706003745
C12orf50,0.490712,0.549321,5.16045,2.555,0.439002,1.00502,0.859815,0.482726,0.726486
HECTD4,4.877029,2.427317686,11.2671361,11.405044,3.6580666,4.684001914,3.309797,3.70072,4.5709441
RITA1,19.837792,12.77781,11.64503,11.869092,12.87583563,13.55166,13.2172,12.92415,13.1051
PIANP,0.934088,0.837976,1.052121,0.394206,0.486687,0.361941,0.2711912,0.310297,0.282771
C12orf54,0,0,0,0,0,0,0,0,0
C12orf56,0.0652151,0,1.14384,0.225699,0.49388,0.190423,0.0369189,0.0677134,0
C12orf57,330.749488,335.98582,198.44052,158.02883,259.606102,238.027126,215.919612,234.383942,307.288637
TMEM52B,0.182445,0.233947,1.271830002,0.382111,0.0968791,0.202256,0.0978727,0.13139,0.106068
TIGAR,3.15493,2.37476,6.58523,4.8025,2.44387,3.17995,2.69006,2.15433,2.66272
C12orf60,0.175169,0,0.148298,0.379462,0.197003,0,0.137524,0.247873,0.131294
COX14,81.4931,78.8412,61.7261,58.508,58.9084,75.6374,69.9758,78.5068,73.1486
C12orf65,15.29015,13.2222,21.065391,11.035062,10.65939,9.5902,9.887039791,9.091960292,12.93455
C12orf66,2.59757,1.21454,1.18763,1.83132,1.560838,2.1328,1.31002,2.83617,1.90921
CCDC184,0.104411,0,0.115755,0.1866,0,0.09972,0.141696,0,0.0384307
SMCO3,0.0249873,0,0.0387828,0.0992364,0,0,0,0.0158106,0
SMCO2,0,0.0144022,0,0,0,0,0,0,0
C12orf71,0,0,0.580164,0.178141,0,0,0,0.0922413,0.0192615
METTL20,1.151757,0.762984252,3.318006553,2.102325,0.677825,0.542888,0.581403,0.429826,0.905465
C12orf73,1.943223,1.095253,2.3572277,2.018164,1.786076,1.297711,1.373855,1.854823,1.410787
C12orf74,0.219128,0,0.0759755,0.307152,0.139529,0,0,0,0
C12orf75,34.74562,24.852653,42.57097,48.15056,31.46255,61.1396,45.55728,18.68857,61.76301
C12orf76,10.2269102,7.4325316,11.842903,9.94389,7.26536,9.826063,5.9978367,8.51895262,8.3010331
RGCC,28.7739,23.6166,52.9899,13.0774,16.2984,14.9266,13.2762,18.27,18.2258
TEX29,0,0,1.12915,0.619121,0.0803564,0.245227,0.0448762,0.0986401,0.133885
KIAA0226L,3.799707055,5.339289,11.99807257,15.82243306,6.575000854,5.289125986,3.745368767,6.721453209,5.379610212
SPRYD7,3.510647,3.480798,11.63334,6.58337,3.514896,4.12549,3.42347,3.97652,4.24888
PROSER1,9.2543476,4.86548,12.70276,15.98023,7.68195,6.72928,6.74143,6.7771959,7.931795
TEX26,0,0,0.16835,0,0,0,0,0,0
TEX30,3.927614682,6.73767,3.969162,5.986239,4.18917,4.765798,4.397239,2.34201,4.021527
SPACA7,0,0,0,0,0,0,0,0,0
LINC00346,0.393799,0.600178,2.47067,1.4264,0.466585,0.542943,0.462314,0.295497,0.349253
FAM216B,0.01604548,0.005791195,0.1911994,0.05059989,0,0.04734219,0.009262195,0.010078766,0.06007224
LACC1,2.425467,1.0343,2.119914,2.151177,2.556837,1.841101,1.795172,1.629778,1.632789
MEDAG,0.00731451,0,0.0794699,0,0,0,0,0,0
BORA,3.358088004,1.899353,5.483862047,4.460472,3.432243,2.6367,2.516188,2.15581,2.764499649
SERTM1,0,0,0,0,0,0.00853355,0.00936979,0,0
MZT1,9.2497,6.59058,10.253,10.8306,11.4474,8.06134,9.39551,9.45418,11.272
CCDC169,0,0,0.1271115,0.0887133,0,0,0,0,0.0219823
METTL21C,0,0,0,0,0,0,0,0,0
TMEM260,5.8203342,3.4209817,8.958448089,11.0531811,5.10172499,4.397704,4.628793,4.8878435,6.335306
NRDE2,5.325764,7.2162905,8.1715183,9.41274,4.0549077,6.248489,4.836263,4.670553,4.886571
DNAAF2,4.90459,3.81435,5.18397,4.534631,5.08931,4.99035,3.483453,3.85929,4.81844
C14orf105,0.188045,0.532986,1.86979,0.477918,0.146285,0.252323,0.183474,0.0284973,0.141628
MIS18BP1,16.099034,7.72407,15.7744,27.64251,13.95829,12.9898088,11.995539,13.2005425,16.6458
TMEM251,17.07798,13.59822,10.79877,10.26833,13.66018,15.00007,12.63523,18.29777,12.42182
VRTN,0.096777,0.161588,0.3221,0.171585,0.125846,0.14868,0.123136,0.077244,0.047171
GPATCH2L,5.826204,1.961024,8.299335,11.557997,4.7096613,2.68265,3.607617,2.9251547,5.0974
C14orf119,9.57783,6.55219,8.72584,6.32148,7.68265,6.65581,7.59745,6.88368,7.25441
DTD2,8.28052,5.41875,11.7033,7.92822,6.63428,6.63575,5.65099,6.45554,6.32649
GSKIP,9.165862797,4.59829,5.08098,6.90914,8.246776,6.22632,9.44326,5.964020044,8.89452
PCNXL4,10.311064,6.976936,13.70624,13.92573,6.4039,8.6673216,6.081757,7.480602,8.076037
VCPKMT,7.867950461,7.105310022,24.27527,19.60126001,4.799527186,8.84050836,6.12999,5.621988,7.631784411
C14orf142,10.2014,6.85569,6.46831,6.81658,11.3216,9.80845,8.41885,5.94334,7.59584
EFCAB11,1.10121,2.396853,1.4921,2.7727639,1.955985,1.733995,1.9600219,1.928008,1.571947
CEP128,1.867091,0.8331841,2.46856734,1.713851,2.6616113,1.0529845,1.526079,0.8971176,1.704035
SPTSSA,18.5259,12.6299,14.4298,19.436,18.4406,18.8285,19.0703,17.1564,15.0577
NOXRED1,0.128772,0.325891,1.059949,0.271444,0.641171,0.191832,0.2738199,0.0150425,0
L3HYPDH,2.246105,2.099104,10.86632,14.63047,2.312921,2.038805,2.229222,3.002325,2.126662
APOPT1,28.18807,26.4124,25.900176,24.448354,29.0803,28.68455,21.3224,26.7903,26.8195
SLIRP,55.4494,41.1786,35.1936,34.684,43.1793,34.89,47.416,57.2519,41.3288
C14orf159,25.06456542,13.492595,35.313535,42.93620056,26.39021609,24.07819262,24.353924,24.41098937,23.2558226
CCDC177,0,0,0,0,0,0,0,0,0
LRRC74A,0,0,0,0,0,0,0,0,0.0447832
C14orf166,148.4888,135.325141,117.03075,131.24478,155.0633,171.5762,148.15828,134.42037,152.27725
DHRS4-AS1,10.236671,5.24729,9.485969,7.103316,9.75862,7.279003,7.276150887,9.28385,8.649979904
C14orf169,16.5834,13.2179,14.7976,12.1882,13.5248,11.4632,11.5073,13.314,14.3911
SAMD15,0.0866214,0,0.0134445,0.0825636,0.0803701,0,0,0.0394628,0
TMEM253,0,0,0.449998,0.0552693,0,0.602017,0,0,0
C14orf177,0,0,0,0,0,0,0,0,0
C14orf178,0.849468,0.97552,6.853547,1.92258,0.851274,0.754223,0.7240125,0.910023,0.3851952
