Gene Name,tumor-mcf7,cafs-hs,normal_breast,lymphocytes
RNU6-1265P,0,0,0,0
AL357873.1,0,0,0,0
AL359873.1,0,0,0,0
TBCAP2,0,0,0,0
TMEM51-AS1,19,0,17,12
TMEM51,441,205,386,314
C1orf195,0,0,0,0
AL035405.1,0,0,0,0
AL391094.1,1,0,0,1
FHAD1,8,0,30,13
AL031283.2,0,0,0,0
AL031283.3,0,0,0,0
AL031283.1,2,0,5,2
EFHD2,1553,1986,2041,1521
CTRC,2,1,1,1
CELA2A,1,1,0,1
CELA2B,0,0,0,0
CASP9,191,98,255,192
DNAJC16,623,406,704,500
SCARNA21B,0,0,0,0
AL121992.3,0,0,0,0
AGMAT,260,0,221,203
AL121992.1,14,0,8,4
CHCHD2P6,14,2,4,5
RNU7-179P,0,0,1,0
CD24P1,0,0,0,0
DDI2,1809,986,2201,1612
RSC1A1,0,0,0,0
AL121992.2,0,0,0,0
PLEKHM2,1617,1404,2024,1546
AL450998.3,4,5,14,5
SLC25A34,18,9,18,10
AL450998.2,0,0,0,0
TMEM82,1,0,2,3
FBLIM1,371,2259,646,565
RPL12P14,0,1,1,2
UQCRHL,94,67,104,80
AL450998.1,2,1,7,2
FLJ37453,194,27,212,161
SPEN,3881,2115,4786,3390
AL034555.1,1,0,0,0
ZBTB17,761,315,898,696
AL355994.4,0,0,0,0
AL355994.1,0,0,0,0
AL355994.5,0,0,0,0
TBC1D3P6,0,0,0,0
C1orf64,2,0,2,0
AL355994.3,0,0,0,0
HSPB7,2,0,42,19
CLCNKA,0,1,0,3
AL355994.2,5,2,8,4
CLCNKB,0,0,0,0
FAM131C,50,11,53,36
EPHA2,1190,1504,1391,1087
AL451042.2,6,3,4,7
AL451042.1,1,3,1,3
ARHGEF19-AS1,0,0,0,0
ARHGEF19,739,91,789,550
ANO7L1,36,3,24,18
RSG1,162,35,183,129
MT1XP1,1,4,1,1
FBXO42,973,407,1112,883
SZRD1,3681,1752,3975,2958
AL358794.1,0,0,1,1
SPATA21,0,0,1,1
NECAP2,967,954,1225,899
LINC01772,12,5,12,8
CROCCP3,70,18,69,51
RNU1-1,0,0,0,0
AL137802.2,4,0,5,4
AL137802.1,0,0,0,1
LINC01783,1,0,0,1
RNU1-6P,0,0,0,0
FAM231B,0,0,0,0
AL355149.1,0,0,0,0
NBPF1,2143,149,2237,1628
AL137798.1,5,1,7,3
CROCCP2,610,290,715,536
AL137798.3,0,0,0,0
MST1P2,34,7,46,46
AL137798.2,0,0,0,0
RNU1-3,0,0,0,0
FAM231A,0,0,0,0
AL021920.2,0,0,0,0
EIF1AXP1,7,14,14,9
ESPNP,4,0,2,2
AL021920.1,0,0,0,0
FAM231C,0,0,0,0
AL021920.3,0,0,0,0
CROCC,608,315,701,529
CROCCP4,0,0,0,0
RNU1-4,0,0,0,0
MST1L,6,0,6,8
BX284668.1,0,0,0,0
BX284668.3,0,0,0,0
MIR3675,0,0,0,0
BX284668.2,3,1,0,3
RNU1-5P,0,0,0,0
BX284668.5,0,0,0,0
BX284668.4,0,0,2,0
RNU1-2,0,0,0,0
BX284668.6,1,0,1,0
MFAP2,85,253,141,131
AL049569.1,0,1,0,0
ATP13A2,1807,943,1966,1483
SDHB,1931,1316,2133,1587
PADI2,236,4,215,161
AL590644.1,0,1,0,0
AL590644.3,0,0,0,0
PADI1,0,1,2,0
PADI3,12,9,15,9
MIR3972,0,0,0,0
PADI4,0,0,3,5
PADI6,0,0,1,0
AC004824.1,0,0,0,0
RCC2,1668,611,2025,1460
ARHGEF10L,1142,119,1201,854
AL136529.1,0,0,0,0
ACTL8,32,2,32,25
AL357509.1,0,0,0,0
LINC01654,0,0,0,0
IGSF21,0,0,1,0
AL365209.1,0,0,0,0
AL359738.1,0,0,0,0
AL591896.1,0,0,0,0
KLHDC7A,43,0,42,31
DYNLL1P3,0,0,0,0
AL031737.1,0,0,0,0
PAX7,0,0,0,0
TAS1R2,0,0,0,0
AL080251.1,0,0,1,0
ALDH4A1,1089,145,1055,836
MIR4695,0,0,0,0
MIR1290,0,0,0,1
IFFO2,245,1028,348,336
AL137127.1,3,2,5,7
UBR4,5122,3959,6488,4758
AL035413.1,6,0,1,6
EMC1,2336,2439,2904,2167
MRTO4,1976,1441,2171,1620
AKR7L,14,6,16,13
AKR7A3,21,6,25,15
AL035413.2,37,15,30,46
AKR7A2,2244,740,2488,1813
RNU6-1099P,1,0,2,2
PQLC2,501,142,514,375
CAPZB,6427,3284,7039,5103
RN7SL277P,0,0,0,0
RNU4-28P,0,0,0,0
AL031727.2,1,0,0,0
MINOS1,274,114,301,216
MINOS1-NBL1,0,0,0,0
AL031727.1,3,3,7,4
NBL1,132,205,234,165
HTR6,1,0,0,6
TMCO4,297,86,298,227
RNF186,0,0,0,0
AL391883.1,0,0,0,0
OTUD3,512,246,525,380
PLA2G2E,0,0,0,0
RN7SL304P,0,0,0,0
PLA2G2A,3,102,15,19
PLA2G5,0,3,0,1
PLA2G2D,0,0,1,0
PLA2G2F,0,0,1,1
Z98257.1,0,0,0,0
PLA2G2C,0,0,0,0
UBXN10-AS1,0,0,0,0
UBXN10,0,0,1,0
LINC01757,0,0,0,0
Z98257.2,0,0,2,0
VWA5B1,0,0,0,0
AL020998.1,0,0,0,0
LINC01141,0,0,0,0
AL139254.1,0,0,0,0
AL139254.2,1,0,0,0
AL139254.3,0,0,0,0
CAMK2N1,981,1159,1252,931
MUL1,642,854,734,589
RPS4XP4,0,0,0,0
FAM43B,0,33,1,6
CDA,0,27,4,3
PINK1,201,530,303,233
MIR6084,0,0,0,0
PINK1-AS,66,58,90,69
DDOST,6664,4015,7457,5577
KIF17,12,49,14,13
AL663074.2,0,0,0,0
SH2D5,103,312,113,89
AL663074.1,1,1,0,0
HP1BP3,5774,4806,6572,4912
EIF4G3,4336,1680,4898,3481
RNU7-200P,0,0,0,0
MIR1256,0,0,0,0
RPS15AP6,0,0,0,0
AL627311.1,1,0,0,0
HSPE1P27,0,0,0,0
ECE1,4350,1436,4786,3452
AL031005.1,0,0,1,1
AL031728.1,0,2,0,3
PPP1R11P1,0,0,0,0
AL592309.1,0,0,0,0
AL592309.2,0,0,0,0
NBPF2P,10,12,16,10
HS6ST1P1,0,1,2,0
CROCCP5,0,0,0,0
NBPF3,489,131,493,352
PFN1P10,0,0,0,0
ALPL,1,3,1,1
AL359815.1,0,0,0,0
RAP1GAP,554,3,572,422
USP48,2003,1240,2359,1669
AL590103.1,0,0,0,0
LDLRAD2,1,4,3,0
HSPG2,850,3955,2308,1657
AL590556.1,0,0,0,0
AL590556.2,0,0,0,0
CELA3B,0,0,0,1
RN7SL386P,0,0,0,0
RNU6-1022P,0,0,0,0
CELA3A,0,0,0,0
RN7SL186P,0,0,0,0
RNU6-776P,0,0,0,0
LINC01635,0,0,1,1
LINC00339,289,103,290,191
CDC42,4200,3672,4940,3686
CDC42-IT1,0,0,4,0
AL031281.1,0,0,0,0
AL031281.2,1,0,0,0
WNT4,78,4,82,70
MIR4418,0,0,0,0
AL591122.1,0,1,1,2
AL591122.2,0,0,0,0
ZBTB40,1456,503,1605,1178
ZBTB40-IT1,1,3,2,5
EPHA8,12,2,14,9
MIR6127,0,0,0,0
C1QA,0,0,0,0
C1QC,0,0,0,0
C1QB,0,0,0,0
EPHB2,226,17,247,176
MIR4684,0,0,0,0
AL512444.1,0,0,0,0
MIR4253,0,0,0,0
LACTBL1,0,0,0,0
TEX46,0,1,2,0
KDM1A,3725,2853,4288,3285
AL031428.1,0,0,1,0
MIR3115,0,0,0,0
MIR4419A,0,0,0,0
LUZP1,1106,2501,1553,1205
AL161672.1,0,0,0,0
RNU6-514P,0,0,0,0
RNU6-135P,0,0,0,0
HTR1D,24,26,35,25
AL109936.1,0,0,0,0
LINC01355,0,0,0,0
AL109936.8,0,0,0,0
HNRNPR,1717,1029,2028,1419
ZNF436,18,8,11,10
ZNF436-AS1,0,2,0,0
AL109936.2,0,0,0,0
TCEA3,7,3,16,6
AL357134.1,0,0,0,0
ASAP3,149,201,222,135
E2F2,50,3,81,35
AL021154.1,0,0,0,0
ID3,243,314,326,256
MDS2,0,0,7,3
AL451000.1,0,0,0,0
RPL11,13582,11682,15385,11510
ELOA,1660,1537,2075,1468
ELOA-AS1,24,11,9,9
PITHD1,788,635,990,717
LYPLA2,1431,719,1595,1146
GALE,854,875,863,761
HMGCL,760,407,788,593
FUCA1,691,369,705,521
CNR2,4,0,2,1
BTBD6P1,0,1,0,0
AL590609.3,0,0,0,0
MIR378F,0,0,0,0
AL590609.2,0,1,0,0
PNRC2,1658,1355,1956,1310
SRSF10,4432,2533,5526,3861
AL590609.1,0,0,0,0
AL591178.1,2,1,1,1
MYOM3,8,31,11,10
AL591178.2,0,0,0,0
IL22RA1,5,67,9,5
IFNLR1,22,272,64,66
AL590683.1,0,0,0,1
AL138902.1,2,0,0,1
GRHL3,141,78,149,118
STPG1,116,319,158,124
NIPAL3,461,1983,744,597
RCAN3,323,490,397,270
AL445686.2,0,0,0,0
NCMAP,6,0,6,3
AL445686.1,0,0,0,0
SRRM1,2892,1720,3356,2624
AL445648.1,0,0,0,0
CLIC4,5110,8543,7898,5543
RNU6-1208P,0,0,0,0
RUNX3,1,49,80,45
MIR6731,0,0,0,0
AL445471.1,0,0,1,0
AL445471.2,0,0,0,0
MIR4425,0,0,0,0
AL050344.1,0,0,0,0
AL121994.1,0,0,0,0
AL031432.1,0,0,0,0
SYF2,711,747,835,641
AL031432.4,15,6,20,12
AL031432.5,0,1,7,2
RSRP1,970,615,1127,827
AL031432.3,4,1,0,1
AL031432.2,2,0,6,1
RHD,1,3,5,3
SDHDP6,0,1,1,1
AL928711.1,1,0,0,0
TMEM50A,1924,1480,2173,1680
RHCE,9,8,8,8
AL031284.1,0,0,0,0
TMEM57,869,408,978,780
LDLRAP1,975,337,1037,764
AL606491.1,1,2,0,0
MAN1C1,182,2,176,139
AL031280.1,3,0,1,0
SELENON,1571,1557,1930,1447
AL020996.2,0,0,0,0
AL020996.1,11,2,14,9
MTFR1L,493,269,551,389
AL020996.3,0,0,0,0
AUNIP,409,128,449,325
AL033528.2,2,1,3,0
PAQR7,210,148,259,191
STMN1,8102,4426,8798,6247
SNRPFP2,2,0,0,0
AL033528.1,0,0,0,0
MIR3917,0,0,0,0
PAFAH2,498,142,566,428
RNU6-110P,0,0,0,0
SCARNA17,0,0,0,0
SCARNA18,0,1,0,1
EXTL1,11,2,16,9
SLC30A2,2,0,0,1
AL391650.2,0,0,0,0
TRIM63,0,0,2,0
PDIK1L,740,109,781,574
FAM110D,6,0,7,6
C1orf232,0,0,0,0
AL391650.1,3,3,6,3
ZNF593,0,0,1,0
CNKSR1,679,190,669,500
CATSPER4,0,0,1,0
AL355877.1,0,0,1,0
AL355877.3,0,0,0,0
CEP85,1217,441,1344,942
AL355877.2,0,0,2,0
SH3BGRL3,2134,3066,2673,2166
UBXN11,299,172,378,254
CD52,0,0,69,31
CRYBG2,35,11,47,26
AL451139.1,1,0,0,0
ZNF683,0,0,0,0
LIN28A,1,0,0,2
DHDDS,915,508,1050,781
AL513365.1,2,0,1,0
AL513365.2,3,1,7,0
HMGN2,9541,2950,9866,7321
DPPA2P2,0,0,0,0
RPS6KA1,477,902,663,481
MIR1976,0,0,0,0
RN7SL679P,0,0,0,0
RNU7-29P,0,0,0,0
AL627313.1,0,0,0,0
snoU13,7,1,10,6
AL627082.1,0,0,0,0
AL512408.1,14,7,11,10
ARID1A,4315,1643,5262,3679
PIGV,580,227,590,428
RN7SL165P,0,1,0,0
ZDHHC18,1178,567,1284,955
SFN,3304,6838,3855,3268
AL034380.1,0,0,0,0
GPN2,962,577,1001,804
GPATCH3,199,214,289,214
NUDC,2892,2234,3269,2446
NR0B2,1,2,3,2
KDF1,559,37,534,402
RPL12P13,2,3,2,2
AL356390.1,0,0,1,0
OSTCP2,1,0,0,0
TRNP1,95,1072,337,300
FAM46B,388,846,423,403
SLC9A1,2118,986,2398,1763
AL590640.2,0,0,0,0
CHCHD3P3,2,2,4,3
NPM1P39,14,14,21,12
SNRPEP7,0,0,0,0
AL590640.1,0,0,0,0
WDTC1,1627,673,1782,1290
FO393419.3,0,0,0,0
TMEM222,917,452,1009,727
RNU6-48P,1,0,0,1
ACTG1P20,10,12,14,11
SYTL1,1781,371,1942,1336
MAP3K6,1463,1063,1603,1236
FCN3,5,5,3,3
CD164L2,7,19,8,10
FO393419.1,0,0,0,0
GPR3,24,37,31,17
WASF2,3791,4801,5116,3854
FO393419.2,0,0,0,0
BX293535.1,0,1,1,0
AHDC1,1551,920,1717,1319
FGR,1,5,55,39
AL031729.1,11,5,8,4
AL445490.2,0,0,0,0
IFI6,404,117,409,316
AL445490.1,2,0,0,2
RNU6-949P,0,0,0,0
CHMP1AP1,0,0,0,0
RNU6-424P,0,0,0,0
FAM76A,263,178,249,231
AL020997.1,0,0,3,3
RPEP3,0,0,0,0
STX12,1133,837,1365,995
AL020997.2,3,1,0,0
AL020997.3,0,0,0,0
RNU6-1245P,0,0,0,0
PPP1R8,1360,893,1527,1162
SCARNA1,2,1,1,1
THEMIS2,46,119,110,60
RPA2,1606,660,1648,1287
SMPDL3B,134,2,165,103
AL512288.1,2,0,0,0
XKR8,100,161,151,110
EYA3,805,588,976,660
AL512288.2,0,0,0,0
RN7SL559P,0,0,1,1
SPCS2P4,8,3,11,10
AL137792.2,0,0,0,0
