GeneSymbol,mix1,mix2,mix3,mix4,mix5,mix6,mix7
CD163,602.8124529,268.8135857,21.11418926,443.4337426,194.8165662,431.4973537,98.41626661
RP11-1319K7.1,47.5214239,21.31162122,1.924077776,35.00336343,15.51261893,34.1112962,8.004694568
MCEMP1,28.24620828,12.37019064,0.617569874,19.99941453,8.123279785,20.6169844,4.864480729
RP11-597D13.9,38.73022532,16.81520125,0.426656595,27.99161721,11.5963289,27.63239705,5.724116621
LPAR1,11.39869582,5.145416884,0.510349862,8.549980184,3.909770237,8.091059568,1.842923557
LGALS12,17.53281494,8.173332923,1.538295213,12.08392633,5.141229573,13.62222154,4.570398563
FAM198B,63.59759143,27.87400418,1.202254843,46.45190285,19.77919935,45.25918958,9.536556482
AC011380.8,3.872159924,2.057042664,0.826363949,3.108252208,1.813543046,2.922192724,1.17110591
RP11-497H16.7,271.8538265,119.1177436,5.364757711,196.7789028,82.67578291,194.9154849,42.52953599
RP11-848G14.5,84.12310756,36.88188473,1.690376478,61.00066638,25.71532983,60.2485729,13.10117837
SLC46A2,100.70232,43.20917284,0.10237561,71.99645074,28.88588605,71.93174977,14.44237006
FOLR2,35.78053618,15.47025881,0.273679585,25.72535907,10.51709872,25.56849072,5.269894473
RP11-848G14.2,152.1434755,66.59825687,2.830760175,110.2748197,46.36286799,108.8886097,23.48784607
VCAN,1240.577992,532.8883988,2.813446302,885.4080151,354.7851994,888.0732012,180.9314717
RNASE4,61.08625114,29.05465618,5.625032891,48.21396265,24.7422465,43.00985838,11.02035628
LRP1,143.8687763,62.70985108,2.185307765,103.6756196,42.98291655,103.1719095,22.18114408
HOMER3,8.568333958,3.806039165,0.279958039,6.225770848,2.676164169,6.181068331,1.442299091
RPH3A,9.780468093,4.970943951,1.583239725,7.877473865,4.408283095,7.10909958,2.381061982
CCDC149,9.922158765,4.659631213,0.797747302,7.73113854,3.862271932,7.003218202,1.747673347
ARHGEF10L,117.1440743,50.21870502,0.030798956,83.67756817,33.4856074,83.68731628,16.76600167
RP11-356N1.2,26.89244919,11.66098342,0.289005565,19.28349956,7.881227147,19.2974396,4.096268386
TBC1D2,42.24739949,20.30596928,4.72197157,31.17743013,15.06026203,31.78716255,10.37890273
FBN2,5.865239073,2.570692231,0.110868999,4.284487051,1.824663819,4.173618053,0.87907121
CD93,167.06096,72.83679242,2.41935838,121.3362819,50.9071734,119.0336678,24.82117465
MGST1,137.6836548,67.13940205,16.56729797,107.3699657,55.89205401,99.86074322,30.22229804
RP11-67L14.1,15.16193164,6.503111517,0.009996026,10.8385192,4.345403704,10.82852317,2.169703044
SLC2A9,211.7856194,108.3819329,34.59366814,178.6023327,104.4072235,148.0771089,45.08026675
SIGLEC15,7.640784708,3.895804198,1.284432421,6.033537901,3.330272305,5.668043671,2.014956979
MYO7A,1.097057253,0.508782491,0.090101892,0.757868926,0.321167949,0.847970818,0.277716434
CTD-3014M21.1,39.5376024,20.26371044,6.734881316,32.08550598,18.2192079,28.72531418,9.788891171
FCGR1CP,9.689688484,4.152723636,0,6.92120606,2.768482424,6.92120606,1.384241212
CPM,128.5877244,57.79408951,5.515610321,94.5555764,41.92351598,92.57577833,22.13572469
OSCAR,203.9446693,88.03864303,1.250513209,146.6221477,59.81223305,145.5894825,29.70524102
CH17-373J23.1,215.5364823,100.6308262,16.40560363,165.628316,80.98514788,153.4021677,38.91445712
NAIP,363.4089645,164.4881046,18.20928153,266.8742169,119.1408689,263.2101838,65.74384872
SGMS2,41.74336498,17.97084131,0.168027473,29.88622771,12.07037898,29.84854917,6.089060399
CD14,596.0915143,255.7822666,0.667096571,425.9700699,170.7881584,425.9703887,85.72788252
ANO5,5.292943304,2.290632873,0.049491907,3.780103684,1.531439163,3.80584732,0.811060444
F13A1,586.2474819,265.5680157,27.9512644,441.9618802,204.214833,415.3135744,94.7644041
TCN2,35.05694328,17.06271798,3.963387784,28.4378633,15.3385331,24.47447552,6.480250217
TMEM176A,5.388550843,2.59873773,0.609597205,4.049498956,2.004012312,4.003362939,1.269895945
RP11-903H12.5,36.14709977,16.63870089,2.230446361,27.73116815,13.32291362,25.50072179,5.992322901
EREG,426.9579127,184.8603071,4.265265695,304.4229373,123.092381,307.5128207,66.15073002
LINC00968,8.258053746,3.596784155,0.112035514,5.994640259,2.509891618,5.882604745,1.221335155
RP11-162P23.2,100.6607486,51.11487277,15.52374947,85.08539711,49.4730623,69.77376267,20.24909834
RIN2,95.57691997,41.86927446,1.77598515,69.71648207,29.61006436,68.07178098,14.37726388
TMEM176B,26.25915913,11.35827418,0.23462508,18.74010955,7.578390973,18.88617929,4.023363817
CD36,1033.69545,596.2918986,298.0781304,993.6126144,695.3574029,695.9489171,258.5868088
SHROOM1,2.332280352,1.106645689,0.24745802,1.609125978,0.702881607,1.832234967,0.653657005
SMARCD3,39.4693605,19.14448489,4.505900558,30.87759271,16.03303196,28.43145637,8.312557182
ATP2B1-AS1,108.1521553,47.96419368,3.693761593,76.59923633,31.66058695,79.58764767,20.06790334
SIGLEC1,76.57852882,34.70029518,3.657355493,57.83382529,26.79088561,54.1764698,12.29823616
TMTC2,24.086813,10.56952024,0.538733372,17.26047129,7.158605267,17.43252947,3.986315864
AP003774.6,38.07655538,17.33444083,2.121219485,28.01578394,12.62757244,27.64446601,7.077341618
ZMAT4,1.389040012,0.693607426,0.208151772,1.053988326,0.548127862,1.049884656,0.374856881
RNF165,1.072933002,1.22139982,1.507041369,1.878417708,2.132609525,0.685873657,0.865790206
COL13A1,0,0,0,0,0,0,0
LINGO2,0,0,0,0,0,0,0
LGALS9B,5.048344107,2.800131651,1.338768531,4.060756958,2.478168012,3.934246681,1.80726005
KIR2DP1,0,0,0,0,0,0,0
KIR2DL1,0,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0,0
LDB2,0,0,0,0,0,0,0
SH2D1B,2.443675711,1.071330404,0.056095231,1.729455442,0.703001223,1.785550673,0.424424412
LGALS9C,1.480889411,1.120989135,1.126527667,0.782908748,0.571365984,1.827194037,1.684375057
BNC2,0.517606257,0.348640028,0.267006417,0.458463929,0.35230976,0.436663083,0.292217412
ERBB2,7.020389585,4.255793594,2.542562283,6.386592968,4.532082385,5.256823397,2.633506677
FAT4,0,0,0,0,0,0,0
NCAM1,5.484628489,3.061507022,1.383830668,5.093967172,3.414581912,3.727225567,1.305813005
ADAMTS1,3.336769541,1.545306683,0.238042032,2.491989214,1.168020178,2.420991032,0.646232559
NCR1,0.166904585,0.129015293,0.125746698,0.131200792,0.111167257,0.173103486,0.151979133
SPTSSB,0,0,0,0,0,0,0
GNAL,4.441905665,2.305889856,0.833139337,3.536833733,2.002820009,3.31632645,1.241573846
KIR2DL3,0,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0,0
ARVCF,2.035399085,0.872313893,0,1.453856489,0.581542596,1.453856489,0.290771298
LINC00298,2.94622808,1.539418426,0.63901516,1.960347661,0.938874451,2.532031934,1.246292224
KIR3DL1,0.116652545,0.061996926,0.023339125,0.10332821,0.064670409,0.079989086,0.025333467
NMUR1,1.371042321,0.759372718,0.365134013,1.078953893,0.647381727,1.087154488,0.512818345
RP11-20I20.4,1.098241308,3.294723924,5.49120654,5.49120654,7.687689156,0,2.196482616
KIR3DX1,3.807641544,2.404272031,1.618909537,3.305295466,2.379568055,3.0900351,1.827030503
KIR3DL2,0,0,0,0,0,0,0
LRRC43,2.809493731,1.452676385,0.483669263,2.419534226,1.450208488,1.939051127,0.582552396
KLRF1,13.84724391,7.877340323,3.810978073,12.92911629,8.822797192,9.517706712,3.587759969
CTB-61M7.1,0,0,0,0,0,0,0
RP11-121A8.1,10.09714867,4.578107381,0.491049663,7.609390391,3.518174958,7.159917882,1.645034303
ZNF876P,3.459711413,1.94017163,0.96163519,2.800586861,1.735443917,2.705016715,1.272083437
PRSS23,2.580377362,1.778798956,1.407663881,2.369449321,1.879271124,2.152216652,1.469681367
KLRC3,0,0,0,0,0,0,0
CARMIL3,0.131020824,0.056151782,0,0.093586303,0.037434521,0.093586303,0.018717261
CD160,2.058231207,1.354323647,1.022689532,1.630355396,1.173351145,1.861367228,1.282829803
KLRC2,0,0,0,0,0,0,0
EIF4A2P1,0.312546989,0.358560714,0.436745564,0.59760119,0.675786039,0.160855626,0.206869351
TRDJ1,0,0,0,0,0,0,0
RP11-605P22.1,0.295280486,0.153361833,0.062563792,0.193039264,0.089728464,0.255603056,0.126197161
RP11-705C15.5,20.9397629,8.9741841,0,14.9569735,5.9827894,14.9569735,2.9913947
DGKK,0,0,0,0,0,0,0
HMGB3P32,0.021875161,0.065625484,0.109375807,0.109375807,0.15312613,0,0.043750323
FASLG,2.195470853,1.267691686,0.66100874,1.959149112,1.321732093,1.605481102,0.708436008
PDGFRB,0,0,0,0,0,0,0
LINC00299,14.17365431,7.38904367,2.981913284,9.760830998,4.842852254,11.88740129,5.613639
SORBS2,0.331629847,0.281778564,0.306560953,0.259532563,0.242295276,0.373168364,0.365336756
CYP4F29P,0.063155842,0.189467526,0.31577921,0.31577921,0.442090894,0,0.126311684
CTD-2616J11.2,1.081473068,0.631007192,0.325730871,1.051678653,0.746402332,0.725947782,0.275481905
SLCO4C1,3.781985867,4.361395385,6.100469414,2.63919265,3.452306747,5.798322554,7.303692003
GALNT18,0,0,0,0,0,0,0
TTC38,79.08275475,45.80044724,25.37935499,62.98272623,39.89136347,64.30607627,33.69403926
GOLGA8N,24.9919212,12.48532352,3.690097657,19.37078832,10.28794561,18.55685909,6.337878255
SLFN13,32.89479324,19.66451406,12.41467856,23.23148321,14.07310634,29.90221842,18.58048061
SPON2,15.2833324,20.94854515,28.43427358,32.29163189,39.25283831,9.102578373,15.29231313
PDGFD,1.416378342,0.753951013,0.342840689,0.913744333,0.434065871,1.256585022,0.662725831
VIT,0,0,0,0,0,0,0
PODN,0.68990457,0.390408548,0.190317426,0.6140199,0.406596575,0.4970245,0.204860681
GFOD1,7.240654355,3.41527526,0.645272469,5.462096882,2.64608838,5.276881518,1.497508133
LINC01505,0.458747047,0.414764612,0.435374043,0.624215328,0.631412954,0.322959335,0.292388704
B3GNT7,15.08395895,7.37924993,1.788609868,12.23854513,6.635864113,10.57034477,2.877676706
TSPOAP1,54.28383486,25.0329677,3.594055786,40.78939358,19.16403782,39.05977628,9.995352966
FKBP10,0.04412288,0.066184319,0.110307199,0,0.02206144,0.110307199,0.154430079
FEZ1,3.946250788,2.715339656,2.314817019,2.584372704,1.795611388,4.151942466,3.309270013
GOLM1,22.4466692,11.53682431,3.972510702,17.75591386,9.897174923,16.72765646,6.112236895
AC092566.1,0,0,0,0,0,0,0
LGR6,0.596706204,1.065381206,1.574319398,1.775635344,2.284573535,0.201315946,0.669990948
PTGDR,0.101549219,0.152323829,0.253873049,0,0.05077461,0.253873049,0.355422268
XCL2,0,0,0,0,0,0,0
LINC00092,1.488907317,0.966482905,0.696063628,1.265520379,0.92604421,1.260025676,0.806658156
RGS17,1.157688673,0.661972885,0.347228675,0.954489715,0.60998582,0.904857893,0.43890179
SLC1A7,0,0,0,0,0,0,0
LEXM,0,0,0,0,0,0,0
COLGALT2,1.374635123,1.500307991,2.099687104,0.532808301,0.738646411,2.36853123,2.887745101
DTHD1,0.00346565,0.005198475,0.008664126,0,0.001732825,0.008664126,0.012129776
GNPTAB,110.3349812,69.19577049,45.4749264,98.08580891,70.91686977,87.091833,49.40071736
TOGARAM2,8.520822963,4.269557956,1.285264827,6.611735641,3.526603655,6.334859386,2.184433237
RHOBTB3,11.7322881,7.660873628,5.301061103,11.6771746,9.099172454,8.558009722,4.704784875
ZNF683,0.033745836,0.068247348,0.113745581,0.058761981,0.093263493,0.0549836,0.100481832
CD8A,0.85561477,0.456731858,0.189239919,0.676244737,0.391757793,0.656954869,0.275066962
KLRC4-KLRK1,1.049139203,1.732444256,2.49435894,2.887407094,3.649321777,0.393048154,1.076353207
TNIP3,2.333800401,1.364819988,0.780622353,1.84486372,1.174698832,1.923913888,1.040900727
STYK1,0.048911328,0.130449139,0.217415232,0.190273824,0.271811635,0.027141409,0.114107501
TRAV24,0,0,0,0,0,0,0
TRAV19,0,0,0,0,0,0,0
TRBV9,0.040747176,0.061120765,0.101867941,0,0.020373588,0.101867941,0.142615117
TRAV5,0,0,0,0,0,0,0
TRAV12-2,0,0,0,0,0,0,0
HEATR9,0.046845821,0.070268731,0.117114552,0,0.02342291,0.117114552,0.163960372
LL22NC03-24A12.9,0,0,0,0,0,0,0
KLRK1,4.820306478,3.419984476,2.707372616,5.254024928,4.452223227,3.43855071,2.127418547
TRBV7-9,0,0,0,0,0,0,0
TRGV10,0.025587495,0.076762484,0.127937473,0.127937473,0.179112462,0,0.051174989
PDCD1,0.557878871,0.239090945,0,0.398484908,0.159393963,0.398484908,0.079696982
CCL5,28.03426966,18.58493511,14.76801269,19.0197104,12.81175169,28.16206062,21.10376236
MVB12B,34.78939172,15.42796177,1.052256596,25.44565881,11.01643147,24.92862383,5.620716052
PTPRM,8.484256859,12.10632095,16.61009945,19.33573162,23.67121614,4.408572086,8.198930167
PATL2,37.08001569,26.85293063,23.23226058,33.24543311,27.32287281,33.03207507,25.10688026
TRBV28,0,0,0,0,0,0,0
MIAT,1.047313532,0.644558987,0.402378468,0.943281361,0.674904118,0.802870129,0.426312307
ZNF80,0.061934711,0.092902066,0.154836777,0,0.030967355,0.154836777,0.216771487
MSC,2.279409019,3.289578672,4.496895458,5.482631121,6.689947906,0.985735663,1.995905316
RP11-1094M14.8,0,0,0,0,0,0,0
LINC01934,0.474488049,0.478168735,0.636501245,0.184135419,0.219905434,0.77325912,0.8995023
RP11-1094M14.5,0.903083691,0.588955238,0.423265019,0.797727938,0.595264893,0.74219117,0.464835542
SH2D1A,0.52135891,0.397562961,0.399953487,0.294324009,0.223058349,0.630932375,0.58079261
ITGA1,2.555916613,2.211592328,2.5218639,1.577131245,1.465631623,3.272979283,3.350426191
TENM1,0.019796704,0.013468072,0.011628798,0.010817989,0.006652955,0.022446787,0.018443914
FYN,455.5377862,211.0056836,31.74749562,345.2352099,164.688836,326.3695731,83.12565641
SLAMF6,3.430792402,4.893339139,7.390002074,3.750547403,5.366206771,5.170580987,7.51413129
RGS1,1573.513951,788.9558121,229.265363,1276.248894,708.8229532,1124.33845,347.5158025
CCR12P,0,0,0,0,0,0,0
SORCS3,0,0,0,0,0,0,0
LEF1-AS1,1.245767348,0.642305201,0.232713943,0.938948944,0.503045741,0.969354449,0.392204246
GPRC5B,0,0,0,0,0,0,0
ADTRP,5.350327014,3.003279358,1.408111246,4.843422229,3.215845443,3.75939772,1.444758737
KRT73-AS1,0.20088313,0.170438858,0.176855532,0.206969263,0.197966837,0.184304731,0.169279558
NOG,0.638965486,0.367805306,0.195499066,0.536248916,0.348590691,0.494269703,0.238461508
PLLP,3.481374181,2.13684841,1.335348151,3.072352319,2.173039721,2.715127563,1.468414131
EDAR,0,0,0,0,0,0,0
ANKRD55,8.602283999,9.666090482,13.85112606,2.763030068,4.278641499,15.60614548,19.33937611
MMP28,0,0,0,0,0,0,0
CACHD1,1.107294827,0.474554926,0,0.790924877,0.316369951,0.790924877,0.158184975
FHIT,36.47364925,21.18922603,11.07527926,33.70309195,23.26668822,25.85238223,10.89041597
KRT73,0,0,0,0,0,0,0
RP11-161M6.2,3.582591134,2.146463315,1.276882758,3.045258646,2.069242046,2.832736313,1.503044536
EPHA1-AS1,16.76499139,8.078872265,1.828325594,12.92338635,6.564559521,12.17786228,3.600023305
MDS2,2.189117872,1.286082516,0.713086181,1.923660436,1.306702016,1.650195104,0.791121833
AK5,19.78000561,9.426482759,1.885776058,15.47175237,7.883235225,14.06408077,3.758368357
RP11-664D1.1,2.195893263,1.34879178,0.877455118,1.739693381,1.166698134,1.878824103,1.133381204
KRT72,0,0,0,0,0,0,0
TSHZ2,1.216440891,0.637795841,0.245082763,0.951243513,0.536180524,0.92965986,0.373364721
SSTR3,0.011901567,0.01785235,0.029753917,0,0.005950783,0.029753917,0.041655483
LINC01891,2.78497266,2.166920392,1.892645768,3.611533987,3.337259363,1.718888219,1.100835951
ZNF563,4.584698038,2.50117116,1.079381819,3.949167695,2.483488173,3.308687686,1.269050988
FAM153B,8.81216482,6.523185373,5.437459782,10.29022219,9.088145907,6.016269276,3.843640517
RP11-223C24.1,0.685931681,0.359767135,0.127937473,0.599611892,0.36778223,0.471674419,0.145509873
WNT7A,0.006087252,0.011985786,0.01997631,0.009516362,0.015414896,0.010459948,0.018450472
AC103563.9,0,0,0,0,0,0,0
TCEA3,30.07792617,13.64280749,1.462742746,22.73801248,10.55794774,21.27526973,4.840151044
MAN1C1,8.130440728,3.956355898,1.016275667,6.001554331,2.942999667,6.170022996,2.114412598
PDE9A,0.05294284,0.158828521,0.264714202,0.264714202,0.370599882,0,0.105885681
TIMD4,6.948316692,2.977850011,0,4.963083352,1.985233341,4.963083352,0.99261667
EPHX2,9.669388517,5.495936058,2.84644289,7.853547512,4.94278516,7.619796458,3.707613181
ALS2CL,19.21145181,8.336448732,0.208975716,13.84153642,5.70355444,13.73765031,2.87315619
TSPAN6,0.677440317,0.499680809,0.438697289,0.643025465,0.544086768,0.583879943,0.444075611
PLEKHH2,1.54072875,1.000150811,0.685038626,1.52146864,1.177266579,1.127328771,0.615840707
IL6ST,86.25547507,66.2823103,57.79677027,105.7061404,96.26772501,57.43812367,38.41783426
PIK3IP1-AS1,6.426165958,3.674583568,1.843273089,5.803979253,3.908603434,4.601359553,1.913842502
FAM134B,6.877620074,3.02531646,0.1637794,4.96677603,2.090155355,4.95383277,1.11661277
RP11-347I19.8,8.406189399,6.377748434,5.661225747,9.038344304,8.003574333,6.559591395,4.849397713
SARDH,1.62528454,0.913598708,0.443513971,1.393809581,0.897953857,1.208005475,0.522090629
RP11-730K11.1,0.901943961,0.984756386,1.280531089,0.937178804,1.092137139,1.064811393,1.288440185
AC069513.4,1.044263121,0.535920684,0.176928138,0.862724691,0.497636855,0.746749452,0.244502305
RP11-554I8.1,0,0,0,0,0,0,0
AC010468.2,0,0,0,0,0,0,0
TRABD2A,33.27189272,15.47202285,2.451689572,25.22403702,12.09117019,23.89768292,6.2103466
EPHB6,42.0204074,18.94111674,1.869773547,31.2275449,14.08800511,30.03973734,7.028643283
AC093642.4,3.847904389,2.012815516,0.707220957,3.354692527,2.049097968,2.64747157,0.812382697
PDK1,27.22610631,16.92219087,12.00313866,17.47984807,10.41603519,26.92431616,18.7651614
HSBP1L1,12.76981379,10.08060123,10.33100417,8.572922379,7.177709389,14.69807754,13.65448091
RFESD,2.108326994,2.556861742,3.220829934,4.224875321,4.881531329,1.077167219,1.53301415
RP11-15M15.1,0,0,0,0,0,0,0
GPA33,10.04598362,4.311619159,0.014461087,7.171570845,2.871520555,7.186031932,1.45455969
GIMAP3P,0,0,0,0,0,0,0
LINC01550,6.374508681,4.153379442,2.955487388,5.772924833,4.345157931,5.116185921,3.124931529
DBH-AS1,0,0,0,0,0,0,0
CTD-2666L21.1,0.230010401,0.30511618,0.42427701,0.372501668,0.464457438,0.220275255,0.322586094
RP1-187B23.1,0.763762487,0.52142919,0.435513751,0.520494254,0.364867936,0.782089294,0.609466876
ADPRM,44.68341622,25.48259221,13.3211527,36.42389888,23.05304174,35.19692247,17.20551608
LINC00243,5.797799639,3.605098345,2.50612563,4.042225958,2.549998986,5.468642896,3.669195858
AXIN2,1.314640558,1.974809329,3.291348881,0.009494971,0.669663741,3.281853911,4.598393463
FLJ27354,30.70928208,15.26557409,4.16245906,25.01982314,13.83214803,21.70296478,6.343816862
SATB1-AS1,5.55105273,4.587371154,4.489950919,6.469979556,6.137431514,4.331306705,3.602752936
PARK2,9.767887077,5.062200341,1.809153143,7.801650302,4.421533051,7.263197691,2.684581008
LGALS17A,0.273367408,0.264994992,0.300350801,0.364324717,0.384213804,0.218641124,0.225735428
TRBV12-5,0,0,0,0,0,0,0
FBLN5,0.765471097,0.781765117,0.969007118,0.782136699,0.865217668,0.854739906,0.975194958
LTBP3,20.59874856,12.51694563,7.277461677,20.23409558,14.86911553,14.21159485,6.255288023
TMIE,2.807132573,1.203056817,0,2.005094695,0.802037878,2.005094695,0.401018939
MCF2L-AS1,0.090532404,0.271597213,0.452662022,0.452662022,0.633726831,0,0.181064809
CHMP7,215.8053665,118.2105893,52.69776845,180.9277481,112.1969471,160.4097812,66.03298424
PXYLP1,19.87093397,11.20821587,5.287580092,18.36272786,12.3785657,13.71041161,5.111219897
MAML2,13.222255,6.14786784,0.93564163,10.2464464,5.03422019,9.31080477,2.236417606
PLXDC1,5.861385715,8.817689188,12.33161986,14.27254144,17.70175067,2.788135991,5.829160904
NOSIP,204.1738366,117.0973382,60.98528575,174.5169452,114.2758357,154.8222298,71.8747884
RGMB,0.722812546,0.345010957,0.06982303,0.567145184,0.290382642,0.513068309,0.136841336
LINC01259,5.033948015,2.526679486,0.783971603,3.815490124,1.99365377,3.822803227,1.394663168
RHPN1,13.41996961,9.17546918,6.694276134,15.07408423,12.5492183,8.816536904,4.615709358
CHRM3-AS2,24.3172122,36.10975326,59.90564228,0.443462042,12.29145906,60.01673986,83.75717293
REG4,0,0,0,0,0,0,0
RP3-477M7.5,0,0,0,0,0,0,0
SFRP5,0.004528096,0.013584287,0.022640479,0.022640479,0.031696671,0,0.009056192
MXRA8,0.386631092,0.328015671,0.315615674,0.546692786,0.534292788,0.231077112,0.172461692
NRCAM,0,0,0,0,0,0,0
CD248,0,0,0,0,0,0,0
CA6,2.127059854,1.341926154,0.909387003,1.800727438,1.281025056,1.76297274,1.065002271
DSC1,0.03998445,0.017136193,0,0.028560322,0.011424129,0.028560322,0.005712064
GLIS3,0,0,0,0,0,0,0
S100B,21.63775908,9.770199647,1.008427379,16.02996893,7.217457236,15.52893585,3.712115837
DSEL,0.464790167,0.281740231,0.173643298,0.390725786,0.2668606,0.374765019,0.207483335
SLC7A3,0,0,0,0,0,0,0
ASIC1,0.006178428,0.018535283,0.030892139,0.030892139,0.043248995,0,0.012356856
RP11-291B21.2,0,0,0,0,0,0,0
LRRN3,1.480310905,0.988558314,0.711674755,1.509174472,1.204606368,1.074345155,0.610277108
IQCA1,0,0,0,0,0,0,0
RNF157-AS1,0,0,0,0,0,0,0
RP5-1184F4.7,3.284894697,1.929083838,1.103779958,2.673964613,1.740425709,2.652534891,1.404959055
TMEM108,0.563320016,0.440911289,0.449475555,0.365363784,0.300030376,0.65486496,0.606353906
PCSK5,36.79936637,16.58737288,1.683615662,27.06644594,12.04685362,26.54118134,6.445022956
ARHGEF4,2.555085178,3.391779287,4.486316668,5.530397931,6.600421802,1.289216359,2.150423977
AGBL3,8.90684241,7.073717627,6.414139128,11.29718821,10.53914147,5.867731423,4.133074874
RP11-61O1.2,0,0,0,0,0,0,0
AC093609.1,1.003017922,0.429864824,0,0.716441373,0.286576549,0.716441373,0.143288275
COL6A3,0.521999054,0.320309826,0.205770376,0.426180154,0.290106793,0.43574889,0.255593573
PCSK6,1.498906555,1.084498421,0.903294834,1.545677166,1.312109539,1.166022736,0.803978642
ANKRD31,0.010868401,0.016302602,0.027171003,0,0.005434201,0.027171003,0.038039404
CEP41,61.48679006,33.71169154,15.55215728,48.74232656,29.0940271,48.0778213,21.79148798
CD8B,2.234296113,3.131103933,5.010353597,0.514450294,1.452888705,4.912209219,6.749828291
ANAPC1P1,0.903875677,0.772441405,0.810252766,0.91832375,0.882319392,0.846228168,0.788609614
FCGBP,5.790229616,2.482229282,0.001638709,4.135410095,1.65449178,4.137048804,0.829376212
SUCLG2-AS1,1.76247171,1.165277576,0.846108493,1.648024841,1.270034867,1.390125253,0.85175201
SLC16A10,1.877147274,1.091584661,0.625166862,1.417724603,0.870990171,1.595724071,0.890478091
CNN3,1.001288369,0.444235027,0.035260028,0.705131684,0.289104679,0.740391712,0.190390376
HAVCR1,39.11462517,17.09170375,0.678571991,28.24482551,11.78342427,28.04894833,6.074296386
NPAS2,0.548876784,0.496468173,0.516612008,0.775519667,0.785278044,0.362762235,0.320739081
SCML1,42.42003398,18.92194314,1.460517656,31.42929933,13.94641933,30.18332681,6.706690479
RP11-317F20.3,1.181947326,1.047323396,1.251096493,0.547996356,0.512260926,1.691985137,1.796869734
SREBF1,21.20118048,13.91429464,9.493627012,22.5562641,18.00875107,14.33109104,7.171050594
NT5E,3.006795245,1.453433945,0.322456698,2.41040285,1.277028192,2.111920268,0.560956379
XKRX,0,0,0,0,0,0,0
MTUS1,0.034937624,0.090460517,0.150767528,0.126846937,0.18236983,0.023920591,0.084227602
GAL3ST4,3.656849329,7.460698983,11.4831244,12.29299339,16.28711782,1.092878821,4.925029459
WHAMMP2,6.203353678,3.472043167,1.650883784,5.371837797,3.467698251,4.550755642,1.902425293
PLAG1,2.930611214,2.385107234,2.323470988,3.207547795,2.992385362,2.419338666,2.027360872
LMO7,17.20355519,11.53277138,8.524621916,16.6047777,13.07332664,13.31317167,8.165689457
RBM11,0.516090559,0.774135838,1.290226397,0,0.258045279,1.290226397,1.806316955
DFNB59,6.457657585,4.009087101,2.41406582,6.681811835,5.086790554,4.267746015,1.819175531
ROBO1,3.347933878,1.58794967,0.315692292,2.538839135,1.245033026,2.438634142,0.700198665
EPHA1,21.23373338,13.76286479,9.608258569,19.68664562,14.88174692,16.58131179,9.760735681
FOXP1-AS1,38.31625985,23.94285498,15.28414328,35.95190744,26.50262557,28.57346587,14.99063117
