GeneSymbol,Basophils LD,myeloid.dendritic.cells,pDCs
MYO7A,0.180203784,1.515737851,0
CTD-3014M21.1,3.374689522,54.07593884,10.09507311
FCGR1CP,0,13.84241212,0
CPM,3.535812251,181.6157444,7.49540839
OSCAR,0.217848071,290.961117,2.283178346
CH17-373J23.1,4.17945534,302.62488,28.63175192
NAIP,14.5452484,511.8751191,21.87331466
SGMS2,0.130348938,59.56674941,0.205706008
CD14,0.66741537,851.2733621,0.666777772
ANO5,0.075235543,7.536459097,0.02374827
F13A1,1.302958644,829.3241902,54.59957016
TCN2,0,48.94895104,7.926775567
TMEM176A,0.563461188,7.44326469,0.655733222
RP11-903H12.5,0,51.00144357,4.460892722
EREG,7.355149016,607.6704923,1.175382373
LINC00968,0,11.76520949,0.224071028
RP11-162P23.2,0.212115034,139.3354103,30.83538391
RIN2,0.131284053,136.0122779,3.420686246
TMEM176B,0.380694818,37.39166376,0.088555342
CD36,0.414433148,1391.483401,595.7418277
SHROOM1,0.470567009,3.193902925,0.02434903
SMARCD3,2.059764213,54.80314852,6.952036903
ATP2B1-AS1,6.682172935,152.4931224,0.70535025
SIGLEC1,0,108.3529396,7.314710986
TMTC2,0.710791552,34.15426739,0.366675191
AP003774.6,1.749901554,53.53903047,2.492537415
ZMAT4,0.204048102,1.89572121,0.212255442
RNF165,0.314497318,1.057249995,2.69958542
COL13A1,0,0,0
LINGO2,0,0,0
LGALS9B,1.212258254,6.656235107,1.465278808
KIR2DP1,0,0,0
KIR2DL1,0,0,0
KIR2DL4,0,0,0
LDB2,0,0,0
SH2D1B,0.112190462,3.458910883,0
LGALS9C,2.170812956,1.483575117,0.082242378
BNC2,0.245205571,0.628120595,0.288807262
ERBB2,1.412792712,9.100854081,3.672331854
FAT4,0,0,0
NCAM1,0.017089062,7.437362071,2.750572273
ADAMTS1,0.167043849,4.674938214,0.309040214
NCR1,0.167649392,0.17855758,0.083844003
SPTSSB,0,0,0
GNAL,0.612632053,6.020020846,1.05364662
KIR2DL3,0,0,0
KIR2DS4,0,0,0
ARVCF,0,2.907712978,0
LINC00298,1.210699433,3.853364435,0.067330886
KIR3DL1,0,0.159978171,0.046678249
NMUR1,0.373334607,1.800974368,0.356933418
RP11-20I20.4,0,0,10.98241308
KIR3DX1,1.403649171,4.776421028,1.834169903
KIR3DL2,0,0,0
LRRC43,0.003186164,3.874916089,0.964152362
KLRF1,0.399568493,18.63584493,7.222387653
CTB-61M7.1,0,0,0
RP11-121A8.1,0.041577153,14.27825861,0.940522172
ZNF876P,0.866065044,4.543968386,1.057205336
PRSS23,1.190431212,3.114002092,1.624896549
KLRC3,0,0,0
CARMIL3,0,0.187172606,0
CD160,1.253701363,2.469033092,0.7916777
KLRC2,0,0,0
EIF4A2P1,0,0.321711252,0.873491127
TRDJ1,0,0,0
RP11-605P22.1,0.125127583,0.386078528,0
RP11-705C15.5,0,29.913947,0
DGKK,0,0,0
HMGB3P32,0,0,0.218751614
FASLG,0.30734073,2.903621474,1.01467675
PDGFRB,0,0,0
LINC00299,5.108483573,18.666319,0.855342995
SORBS2,0.420196754,0.326139973,0.192925152
CYP4F29P,0,0,0.63155842
CTD-2616J11.2,0,1.451895563,0.651461742
SLCO4C1,9.259599317,2.33704579,2.94133951
GALNT18,0,0,0
TTC38,26.70270503,101.9094475,24.05600495
GOLGA8N,2.876168434,34.23754975,4.50402688
SLFN13,19.08541376,40.71902307,5.743943357
SPON2,5.245220065,12.95993668,51.62332709
PDGFD,0.685681378,1.827488666,0
VIT,0,0,0
PODN,0.073322026,0.920726974,0.307312825
GFOD1,0.460057105,10.09370593,0.830487833
LINC01505,0.134118049,0.51180062,0.736630036
B3GNT7,0.120409512,21.02028003,3.456810223
TSPOAP1,1.864438487,76.25511408,5.323673084
FKBP10,0.220614398,0,0
FEZ1,3.882386781,4.421498151,0.747247256
GOLM1,2.944253305,30.51105962,5.000768098
AC092566.1,0,0,0
LGR6,0,0.402631892,3.148638795
PTGDR,0.507746097,0,0
XCL2,0,0,0
LINC00092,0.690568925,1.829482427,0.701558331
RGS17,0.297596853,1.512118933,0.396860497
SLC1A7,0,0,0
LEXM,0,0,0
COLGALT2,3.935410033,0.801652427,0.263964175
DTHD1,0.017328251,0,0
GNPTAB,34.48095049,139.7027155,56.46890231
TOGARAM2,1.008388572,11.6613302,1.562141082
RHOBTB3,2.181896223,14.93412322,8.420225983
ZNF683,0.1099672,0,0.117523961
CD8A,0.169950051,1.143959687,0.208529787
KLRC4-KLRK1,0,0.786096307,4.98871788
TNIP3,0.859672521,2.988155255,0.701572184
STYK1,0.054282817,0,0.380547647
TRAV24,0,0,0
TRAV19,0,0,0
TRBV9,0.203735882,0,0
TRAV5,0,0,0
TRAV12-2,0,0,0
HEATR9,0.234229103,0,0
LL22NC03-24A12.9,0,0,0
KLRK1,0.891898398,5.985203022,4.522846833
TRBV7-9,0,0,0
TRGV10,0,0,0.255874946
PDCD1,0,0.796969816,0
CCL5,23.9103629,32.41375833,5.625662479
MVB12B,0.535221617,49.32202605,1.569291574
PTPRM,1.682939919,7.134204252,31.53725899
PATL2,23.01890254,43.0452476,23.44561862
TRBV28,0,0,0
MIAT,0.261967236,1.343773021,0.5427897
ZNF80,0.309673553,0,0
MSC,0,1.971471325,8.993790916
RP11-1094M14.8,0,0,0
LINC01934,1.225624945,0.320893294,0.047377544
RP11-1094M14.5,0.367728251,1.116654089,0.478801786
SH2D1A,0.736561852,0.525302897,0.063345121
ITGA1,4.217711937,2.328246628,0.826015862
TENM1,0.023257595,0.021635978,0
FYN,12.88185884,639.8572874,50.6131324
SLAMF6,8.810035658,1.531126316,5.969968489
RGS1,77.35491852,2171.321981,381.1758074
CCR12P,0,0,0
SORCS3,0,0,0
LEF1-AS1,0.263119448,1.67558945,0.202308437
GPRC5B,0,0,0
ADTRP,0.324086737,7.194708702,2.492135755
KRT73-AS1,0.154190999,0.214418462,0.199520064
NOG,0.153519853,0.835019553,0.237478279
PLLP,0.978123395,4.452131731,1.692572907
EDAR,0,0,0
ANKRD55,26.69424147,4.518049485,1.00801065
MMP28,0,0,0
CACHD1,0,1.581849753,0
FHIT,3.224569543,48.48019492,18.92598897
KRT73,0,0,0
RP11-161M6.2,1.064360425,4.6011122,1.489405091
EPHA1-AS1,1.082801528,23.27292303,2.57384966
MDS2,0.439620849,2.860769358,0.986551513
AK5,0.478104452,27.65005708,3.293447663
RP11-664D1.1,1.01658584,2.741062365,0.738324396
KRT72,0,0,0
TSHZ2,0.22349911,1.63582061,0.266666416
SSTR3,0.059507833,0,0
LINC01891,0,3.437776438,3.785291536
ZNF563,0.438901809,6.178473562,1.719861828
FAM153B,1.163506872,10.86903168,9.711412691
RP11-223C24.1,0,0.943348838,0.255874946
WNT7A,0.020919896,0,0.019032724
AC103563.9,0,0,0
TCEA3,0,42.55053946,2.925485491
MAN1C1,1.184744331,11.15530166,0.847807002
PDE9A,0,0,0.529428403
TIMD4,0,9.926166703,0
EPHX2,2.612691835,12.62690108,3.080193944
ALS2CL,0.105089606,27.37021101,0.312861825
TSPAN6,0.379551767,0.788208118,0.497842811
PLEKHH2,0.290898757,1.963758785,1.079178495
IL6ST,9.528753536,105.3474938,106.064787
PIK3IP1-AS1,0.640653389,8.562065716,3.045892789
FAM134B,0.15083614,9.7568294,0.176722659
RP11-347I19.8,3.182472838,9.936709951,8.139978656
SARDH,0.257709864,2.158301085,0.629318077
RP11-730K11.1,1.408163678,0.721459108,1.152898499
AC069513.4,0.060952899,1.432546005,0.292903377
RP11-554I8.1,0,0,0
AC010468.2,0,0,0
TRABD2A,1.125335468,46.67003037,3.778043676
EPHB6,0.681965988,59.3975087,3.057581106
AC093642.4,0,5.294943139,1.414441914
PDK1,21.44760675,32.40102557,2.558670579
HSBP1L1,16.45615933,12.93999575,4.205849008
RFESD,0.073121832,2.081212605,6.368538036
RP11-15M15.1,0,0,0
GPA33,0.028922173,14.34314169,0
GIMAP3P,0,0,0
LINC01550,2.298748475,7.933623366,3.6122263
DBH-AS1,0,0,0
CTD-2666L21.1,0.272050597,0.168499913,0.576503422
RP1-187B23.1,0.697108791,0.867069797,0.173918711
ADPRM,12.09417628,58.29966865,14.54812911
LINC00243,3.932542568,7.004743223,1.079708692
AXIN2,6.563707821,0,0.018989941
FLJ27354,0.845600704,42.56032886,7.479317416
SATB1-AS1,2.351278068,6.311335342,6.62862377
PARK2,1.270700532,13.25569485,2.347605754
LGALS17A,0.154667208,0.282615039,0.446034394
TRBV12-5,0,0,0
FBLN5,1.041610325,0.667869487,0.896403911
LTBP3,1.254960954,27.16822875,13.2999624
TMIE,0,4.01018939,0
MCF2L-AS1,0,0,0.905324044
CHMP7,32.17980154,288.6397609,73.21573536
PXYLP1,0.635263845,26.78555938,9.939896339
MAML2,0,18.62160954,1.87128326
PLXDC1,0.847214407,4.729057575,23.81602531
NOSIP,41.29057036,268.3538892,80.68000113
RGMB,0.015746155,1.010390463,0.123899905
LINC01259,0.791284705,6.854321748,0.7766585
RHPN1,0.436728808,17.196345,12.95182346
CHRM3-AS2,119.4789201,0.554559615,0.332364469
REG4,0,0,0
RP3-477M7.5,0,0,0
SFRP5,0,0,0.045280958
MXRA8,0,0.462154224,0.631231347
NRCAM,0,0,0
CD248,0,0,0
CA6,0.871632305,2.654313175,0.9471417
DSC1,0,0.057120643,0
GLIS3,0,0,0
S100B,0.507394291,30.5504774,1.509460467
DSEL,0.157682531,0.591847506,0.189604065
SLC7A3,0,0,0
ASIC1,0,0,0.061784278
RP11-291B21.2,0,0,0
LRRN3,0.276845438,1.871844872,1.146504071
IQCA1,0,0,0
RNF157-AS1,0,0,0
RP5-1184F4.7,1.082350235,4.222719546,1.12520968
TMEM108,0.738976731,0.570753188,0.159974379
PCSK5,1.158351058,51.92401162,2.208880265
ARHGEF4,0.245135095,2.333297622,8.72749824
AGBL3,0.984682345,10.7507805,11.84359591
RP11-61O1.2,0,0,0
AC093609.1,0,1.432882746,0
COL6A3,0.215339112,0.656158668,0.19620164
PCSK6,0.523640404,1.808405068,1.282949264
ANKRD31,0.054342006,0,0
CEP41,14.88765202,81.26799058,16.21666254
CD8B,9.408112522,0.416305916,0.612594671
ANAPC1P1,0.738157184,0.954299151,0.882348348
FCGBP,0.003277418,8.270820189,0
SUCLG2-AS1,0.588208905,2.192041601,1.104008081
SLC16A10,0.80316633,2.388281812,0.447167394
CNN3,0.070520056,1.410263368,0
HAVCR1,0.48269481,55.61520185,0.874449171
NPAS2,0.103854576,0.621669893,0.92936944
SCML1,0.214545137,60.15210848,2.706490175
RP11-317F20.3,2.395085274,0.988885,0.107107712
SREBF1,1.268453954,27.39372812,17.71880007
NT5E,0.023974115,4.19986642,0.62093928
XKRX,0,0,0
MTUS1,0.047841181,0,0.253693874
GAL3ST4,0.283009834,1.902747807,22.68323897
WHAMMP2,0.829801629,8.271709655,2.471965938
PLAG1,1.535261859,3.303415472,3.111680117
LMO7,5.233015892,21.39332745,11.81622794
RBM11,2.580452793,0,0
DFNB59,0,8.53549203,4.82813164
ROBO1,0.215487299,4.661780985,0.415897284
EPHA1,6.502924738,26.65969884,12.7135924
FOXP1-AS1,7.905701711,49.24123003,22.66258485
SOAT2,0,0,0
NAA16,17.33665811,50.08514514,21.25463121
PRKAR1B,0,18.4552018,6.824291032
NELL2,0,0.7160174,0
RP11-415F23.2,2.348240811,29.30048457,8.354758206
RNF157,0.574566874,3.815944913,1.324984293
P2RX6,1.628378597,0.930370349,0.634100545
CRTAM,0.494225198,63.32648604,0.759177947
DNAH6,0.458775165,2.455584187,0.402470923
SIRPG-AS1,0.152766699,0.242057232,0.595234873
CYP2J2,0,0,2.981558768
RP11-277P12.20,0.164249142,3.851650229,0.498850973
DIXDC1,0.743374564,0.881367605,0.126971175
FAM153A,0.26881704,5.242065006,3.857328388
ACER1,0.433293749,2.5444781,0.468461224
CLDN7,0,9.863868235,0.219288274
CD8BP,1.604916845,0,0
TRBV13,0,0,0
SEC14L2,0.925730805,18.5117936,6.621788843
RP11-415F23.4,1.626749122,5.839200822,3.153654018
ZNF391,0.218327722,0.857629982,2.054709698
PRKCA,1.811726619,32.14769596,10.69170687
FAM153C,1.876559107,10.53209621,12.0266959
MPP2,0,0,0
OXNAD1,6.800767024,70.15544461,20.5737667
DCHS1,0,0.747647452,1.93544893
RHOXF1-AS1,0.33519721,5.525132297,3.926967509
RP11-203J24.8,1.980398275,6.261866723,6.795016716
RP11-265P11.1,0,0,0
BMP3,0.037670995,0.236289788,0.056552142
KCNG1,0.137679916,0.770171245,0.111582107
TCL1B,0.03625866,0.227244178,13.29762314
LIX1,0.361480233,0.682287819,0.274342736
LINC01013,0.182637093,0.968264102,0.202402333
RP11-1070N10.6,0.043344948,0,1.966550069
RP11-164H13.1,1.792840714,6.5121309,7.601810773
TCL6,3.422307055,10.92741051,53.36103338
LIX1-AS1,0.052697401,0.637850476,0.095828964
COL19A1,0.599802117,0.878526694,0.748259666
TCL1A,0.413040671,1.168577479,1833.988361
ASH2LP1,0,0,0.719601716
LARGE1,0.529498322,3.421421513,0.45448116
SNX29P2,2.169013354,77.70588202,15.33962653
FAM111B,1.364474863,3.765151156,2.283557544
IGHD,0.206169794,0.496349407,34.07035057
CORO2B,0,0,0
CTGF,0,0.110956322,0.10747707
CD200,2.542678475,8.671144591,7.460534271
RP11-297B17.3,0.444637365,3.639614708,1.456039292
MYBPC2,0,0.345649799,0.748694991
AC002480.3,0,0,0
PCDH9,0.674749871,0.268691843,4.83499178
AP001056.1,0.26298968,48.32459955,3.736163285
SNX22,2.062486205,26.15955307,3.077930766
FCER2,0.104665944,19.21402186,0
ZNF318,1.232705267,56.05083328,3.187133018
CLCN4,0.035074849,5.945528561,0
DBNDD1,0,0.109820255,1.322469736
STEAP1B,0,0,0
SLC38A11,0.026029148,0.561427665,2.559653535
GLYATL1P3,0,0,1.282387943
ABCB4,0,26.53336995,1.422994095
VAV3-AS1,0.408065925,1.373236261,0
RP11-231C14.7,0.620881483,18.55121647,1.804086877
VPREB3,0,0,0
SNX29P1,1.174690547,22.61727721,46.28517889
ELL3,0.817043911,7.275931389,21.63216474
RP11-693J15.5,0.169986213,1.039189001,2.037734579
GLYATL1P4,0,0,0
FCRL1,3.492463624,5.608894169,1.161620093
RP11-142C4.6,0,1.854730525,0.180358505
MACROD2,1.40361302,7.618763156,1.36955703
FAM177B,0.260977113,0,27.58622766
LINC00926,2.854922767,16.58497158,5.265196666
SYN3,0.971559675,11.87286067,1.182107883
IGHV5-78,0,0,5.596203864
AC002480.5,0,0,0
RP11-693J15.4,0.001289709,1.566521564,10.6275047
TAPT1,10.69498927,116.3692422,35.70958823
SNX29,14.58609805,171.8915046,80.30922634
GLYATL1P1,0,1.333645074,0.264020095
MIR5195,0,0,7.21258084
PLPP5,38.32406142,105.4649933,53.13678263
NETO1,0,0,0
ICOSLG,0.330230465,13.1047457,2.348776756
CLEC17A,5.246302721,121.9831968,0.235928094
CD22,4.805870603,98.3026821,21.22062878
KCNH8,0,1.264276355,15.09727357
CD72,1.773199898,177.876137,31.4796203
Z84812.4,0,1.144060243,0.564466913
CHL1,0,0,0.057878288
CNTNAP2,0.802264471,3.480747236,1.178018771
PTPRK,1.717661496,6.661575365,2.337164364
TCTN1,4.1518063,63.58246676,31.65023155
HLA-DOB,1.808998603,326.1430807,13.44464331
PLEKHG1,0.05662759,1.808295633,0.101096157
CR2,0.714410809,1.281698655,1.451422112
APBB2,0.67081005,3.974090887,1.921384942
CRIP3,0.251291058,134.9632525,0
MMP17,0.029964443,9.863684701,0
AL122127.25,0.621769156,0,14.10941596
RP11-158I9.5,0,0.919484245,0
UGT8,0.286229415,1.397092362,0.91089975
CCDC191,3.145070811,19.73805934,11.12179324
MYO1B,0.207178866,0.636341211,1.150776062
RAPGEF5,0.585671685,0,0
Mar-03,5.109558528,21.06313068,12.23439407
FBLN7,0.205004868,0.479038007,0.237500425
TNFRSF4,1.144054027,0,0.518952958
RP11-399B17.1,0,0,0
RP11-342D11.3,0,0,0
NEFL,0,0,0
LINC00892,0.019236397,0,0
CCR4,0.678468905,2.511763752,0.886678866
CD40LG,0.271819494,0.620195333,0.28393908
TRAV8-4,0,0,0
TRAV9-2,0,0,0
ST6GALNAC1,0.469602689,0.923658781,0
TRAV26-1,0,0,0
TRBV10-3,0,0,0
MAL,0.064107509,0.766439038,1.200135165
LINC01727,0,0,0
FOXP3,0,0.649483421,0.073967669
HPCAL4,0,2.03519337,0.014839799
TRBV18,0,0,0
TRBV7-2,0,28.24035972,9.474821448
CTLA4,0,1.149796925,0
TRAV41,0,0,0
TRBV5-4,0,0,0
RNF214,4.290991759,51.34906714,12.36334778
TRAV23DV6,0,0,0
ICOS,0,0,0.030247628
LINC00544,0,0,0
TRBV12-3,0,0,0
ISM1,0,0,0
DUSP16,3.5833328,30.180077,2.842809182
TRAV12-3,0,1.166392372,0
TRBV5-1,0,0,0
TRAV13-2,0,0,0
TRBV6-6,0,0,0
CASP1P2,0,0,0
TRAV8-2,0,0,0
TRAV8-1,0,0,0
ADAM23,0,0,0
TRBV19,0,0,0
TRAV13-1,0,0,0
TRBV5-5,0,0,0
ZDHHC11B,0.120667481,0,0
FAAH2,0.023490875,0,8.689211936
HSD11B1,0.057098895,0.907167285,0
TRAV17,0,0,0
TRBV2,0,0,19.72389053
TRBV20-1,0,0,1.739265379
TRAV8-6,0,0,0
TRAV2,0,0,0
TRAV12-1,0,0,0.57330684
RPL5P13,0,0,0
TRBV5-6,0,0,0
TRAV16,0,0,0
LINC00402,0.075332044,0.172254497,0.067688951
TRAV6,0,0,0
AP3M2,3.409562666,38.245697,30.28296995
TRAV25,0,0,0
TRAV21,0,0,0
TRAV35,0,0,0
INPP4B,0.515767493,9.434306486,1.109462088
CD28,1.133941546,10.62892272,0.364123414
TRAV3,0,0,0
HAPLN3,0.051498003,23.29904069,2.272626245
TRAV20,0,0,0
TRAV36DV7,0,0,0
TRBV1,0,0,57.41865289
TRBV3-1,0,0,0
TRBV11-2,0,0,0
PI16,0,0,0.670903586
TRBV4-1,0,0,0.472873879
TRAV8-3,0,1.605189804,2.438050802
HKDC1,0,0,0
TRAV26-2,0,0,0
TRAV29DV5,0,0,0
FAM201A,0.022592865,0,0.04215001
TSPAN18,0.087678641,0,1.565335466
TRAV4,0,0,0
TRBV25-1,0,0,0
TRBV6-5,0.611308903,0,0
TRBV24-1,0,0,0
DAB2IP,0,0,0
RBM24,0,0,0
SLC4A10,1.020397629,2.539508885,0.53754858
PRSS35,0,0,0
SCART1,0.618642848,2.215035093,0.676360006
IL23R,0.141153457,0.774009488,0.175430761
ME1,0,0.085037583,0.178776316
DKK2,0,0,0
LINC01644,0,0,0
FLT4,0.159328982,1.035488136,0.657221022
ADAM12,0.023647509,0.276846926,0
TRBV6-4,0,0,0
RP11-21J7.1,0,0,0
LTK,0,2.604370139,37.3746239
COLQ,1.817892935,6.549114273,7.698935319
RORC,0.184311367,1.143811088,0.309157079
TSPAN15,0,13.36699797,0
PLEKHA7,0.044896435,16.64809497,5.350237165
RP11-98G13.1,0,0,0
USP13,0.333318023,15.70278533,5.277555226
TMEM171,0,0,0
ROR2,0,0,0
DKK3,0.236717679,0,0
CXCR6,0.123063517,0.953676484,1.477780303
CPNE7,0,0,0
FSD1,0.592580164,1.349960343,4.296770824
ELOVL4,0,0,0
B3GALT2,0.215105617,0.754403489,0.728420212
TRAV1-2,0,0,0
IL17RE,0.994281056,1.797135533,0.577983713
KIAA1217,0.896767408,0,0
RAB6B,0,1.171315883,1.012095879
IL4I1,0,59.77191847,0.444883366
KIF5C,0.050645885,0.290455141,0.486738974
IGFBP4,0,0.542451095,0.06328771
NTN4,0,0,0
CYP2E1,0.009802769,38.88369442,0.321212619
EEF1A1P14,0.084874631,1.721280192,0.641659589
ZBTB16,4.608375695,6.944815476,0.922342125
LINC00612,3.737706455,0.79442068,0.237790818
AL450992.2,0,0,9.790410909
TPT1P12,5.002741723,0,0
GTF3C1,6.915760161,93.36142661,36.49854629
AGAP1,0.096099334,0.123711322,0.032669625
A2M-AS1,2.991020226,11.85003574,4.563409723
GFPT2,0,0,0
CYTH3,4.823366192,20.45537817,11.51013759
ARSJ,0.134446153,1.426908309,0
BTG1P1,2.696622898,0,0
KLRB1,0.095485428,0.382600035,1.256322893
CFH,0.029757444,0.831641458,0.323368845
KRT17P8,0.814330024,0.356016363,0
NCR3LG1,0.06842913,1.576641397,0.13153841
PZP,11.50513137,0.628005317,0.117543617
AC007278.2,0.123616732,0,0.082085894
THEM5,0,0,5.188516323
TRBV6-2,0,0,0
TBC1D31,4.902075626,37.86870544,9.346888633
NCR3,0.488796341,1.287897955,0
SLC17A3,0.077482912,0,0
LINC00987,2.032311005,0.740300619,13.60745254
HNRNPA1P34,2.425796803,0.372380897,0
A2MP1,3.236867321,1.917747699,0.1998288
CCR5,12.62958429,177.9103354,46.03146801
WHRN,0.14208577,9.429528582,1.003677024
CERK,2.913967445,116.0124332,24.85880034
VDAC2P2,2.502796391,0,0
PHACTR2,6.352991889,107.1054319,21.7386639
LONRF3,0.067331671,7.977056796,0.180737681
GZMK,0.056503438,0.177502939,0
TMIGD2,0.357239245,0.392316773,102.2977135
FYCO1,3.439956327,14.86459899,23.68698929
MYBL1,0.197333233,2.716887449,0.030729447
WDR86-AS1,0.704776718,2.073518457,0.933394735
ABCB1,0.006686151,0,0.244504012
PHACTR2-AS1,4.620771557,19.05516856,0.248480209
TRBV6-1,0,0,0
DPP4,0.310105142,29.81438752,67.54701895
COL5A3,0,0,0
TRDV2,1.385719876,0,0.211087668
TRGJP,0,0,0
TRGV9,0,0,0
KLRC1,2.500080262,16.97000374,2.253060561
PLPP2,0.922561033,3.687751194,1.243973196
IL12RB2,0.088882789,0.89840423,0.076442349
EPHX4,0.455207092,2.624306553,0.77516657
TRGC1,0.097691712,0.197975131,0.100877625
TFCP2L1,0.008778052,0.206949921,0.024199564
LAG3,0,1.123633777,0.410263007
AF131217.1,0,1.391093164,0.422898589
SYNM,0.197562069,0.751632992,0
JAKMIP1,0.017872028,0,0.038819421
BOLA2B,0.833728866,23.58783842,12.15591675
COL6A2,0.143927283,0,0
RP11-445H22.3,0,0,0.510834472
KIF19,0.280654426,2.364724472,1.019972874
CACNA2D2,0.27190027,0.194929078,0.153979744
CYB561,0.330894735,40.87721051,1.04679247
UNC45B,0.031374962,0.192016478,0.027085035
LINC02218,0,0,0
PI3,0,0,0
TGM3,0,0,0
RP11-321E2.5,0,0,0
CSNK1A1L,0,0,0
CH17-296N19.1,0,0,0
CA4,0,0,0
BTNL8,0.082574868,1.839174437,0.086193844
RP11-676B18.1,0.021304752,0.064750477,0.041493344
SLPI,0,0.629461881,0
AP001434.2,0,0,0
SPATA20P1,0,0,0
CMTM2,0.249729511,1.288704523,0
MMP9,0.013625059,4.079089971,0
CHI3L1,0.431635818,1.157253144,0.196662384
RP11-7F17.3,0.021361247,0.134642986,0
KRT23,0.423916657,0.459735017,0
MANSC1,2.214789804,7.928047654,1.441677898
NECAB2,0,0,0
OTX1,0,0,0
CTD-2530H12.2,0.129942621,0,0
PGLYRP1,0.216819711,0,0
CXCL6,0,0,0
LRG1,1.235515348,40.35114127,0.740491192
KCNJ15,0.231218723,6.344367657,0.36087402
STEAP4,0.401037912,3.12119925,0.603682461
CXCL1,0,0.312736632,0
RP11-561P12.5,0,0,0
ANXA3,0.233929751,1.444238611,0.359154068
CYP4F3,3.978346945,9.966434866,4.935236778
ALPL,0.067572322,0,0
CTA-286B10.7,1.398818577,1.114828905,0
MGAM,3.449656273,0.424694697,0
RP11-455F5.3,0,0.376356915,0
CACNA1E,0,0,0
MGAM2,0.043765454,4.147222613,0
MTND4P22,0,0,0
NFE4,0.628183781,2.619881287,0.850855378
CD177,0.274416667,0,0
RP4-673D20.6,0.017335055,0,0
BMX,1.939743387,0,0
KY,4.540874153,0.260694219,0.254030025
LUCAT1,0.328490246,7.406096537,0.476405905
RP1-229K20.5,0,12.90764691,0
KCNH7,0.043086863,0.076685074,0.022462792
RP11-875O11.3,0.494082649,0,0
KREMEN1,1.01161922,2.639459408,2.179787399
MME,2.428265642,3.169791339,24.02822405
NRBF2,22.11625051,241.5049202,45.41279976
RP11-467L13.7,2.176166243,19.59573258,2.002602705
TNFRSF10C,8.645364065,26.5797859,0.326275659
RP11-206L10.2,1.649502299,15.34168006,4.472667427
AOC2,0.21937828,1.420974021,0
FAM157A,0.301100359,2.201987226,0.214973176
RP11-256L6.3,8.193682373,0,0
LINC01506,0.319894922,6.777250629,0.501651365
DSC2,0.253595287,1.61763379,0.086978964
IL1R2,0.422900453,383.0267158,2.21348855
CTB-50L17.14,0.768882008,2.233392055,0.625933179
RP11-44F14.1,12.12991932,11.4600467,0.830737589
NOV,1.374530939,4.902165054,0.357597057
PRRG4,1.058364225,5.429860417,0.642207743
CCNJL,0.503287437,1.709124874,0.195832139
TECPR2,2.970967237,13.54753969,2.481339352
LRRC4,0.412904151,2.656453675,0.496324481
HIST1H2BC,1.781373714,4.177679224,13.43586618
ANKRD34B,0.0548044,0,0
LINC01127,0.161355546,4.437568897,0.130366041
FRAT2,0.912924741,30.54076323,0.974529453
ZDHHC18,6.776561267,53.94662288,3.321010308
RP11-196G18.3,0,0.344101763,0
