,GSM480959,GSM480960,GSM480961,GSM480962,GSM480963,GSM480964,GSM480965,GSM480966,GSM480967,GSM480968
1367509_at,10.59624399,10.20691902,10.68301552,10.40039888,10.63791138,10.54722317,10.5025398,10.33671575,10.52979147,10.37975198
1367510_at,10.50395291,9.853587567,10.24080735,9.718972343,9.853891688,9.670576448,9.935919424,9.576449665,9.835268466,9.524164867
1367511_at,8.841934405,8.92951446,8.576538686,8.527300745,8.159820279,8.281978737,8.480353415,8.560475021,8.384164792,8.435622517
1367512_at,11.30928849,11.27501481,11.1315057,11.15818503,11.1052158,11.06208858,11.30966539,11.26045538,11.22688792,11.23315477
1367513_at,8.208900902,7.905497605,8.184586021,8.186655916,8.296847187,8.287218224,8.175542311,8.012788268,8.147767583,8.159217348
1367514_at,8.457095906,8.224020844,8.125210899,7.847579826,8.02850816,7.734061024,7.971017129,7.877892383,7.992503121,7.872901235
1367515_at,8.558952956,8.776917341,8.827879542,9.000414794,9.177211363,9.028291406,8.949691486,9.183714382,9.103579745,9.141849315
1367516_at,8.399406341,8.478615521,8.622027586,8.639648731,8.666425998,8.78633981,8.479094136,8.482829627,8.52818056,8.443553726
1367517_at,6.89325514,6.912558779,6.621631562,6.506628697,6.353324285,6.533142035,6.820107047,6.750791533,6.94795081,6.479550643
1367518_at,9.274640688,9.102706362,9.374962683,9.302089922,9.489384115,9.552751093,9.290437989,9.182190387,9.44194074,9.2964296
1367519_at,8.649809243,8.588224578,8.867198015,8.766866093,8.925494805,8.887412108,8.663162236,8.696515475,8.81385286,8.762846939
1367520_at,10.10227156,9.314498836,9.887424294,9.288707356,9.692600167,9.326667585,9.545229019,9.294356445,9.525600337,9.253191393
1367521_at,6.754628058,6.491361578,6.898219564,7.066058912,7.21372886,7.289248548,7.014873508,7.001833739,7.07139216,7.231729356
1367522_at,8.870899228,8.837734029,9.064609372,9.146040373,9.28739856,9.308657351,9.169619391,9.186326927,9.053646663,9.15459718
1367523_at,9.323732756,9.496319145,9.553059995,9.511444513,9.720558207,9.658967401,9.766969105,9.763329081,9.825979733,9.739151187
1367524_at,6.5031015,6.460971637,6.507451208,6.592461477,6.294751362,6.552548397,6.411986392,6.269322117,6.569702002,6.559340305
1367525_at,9.076405354,8.870516853,8.977801188,8.831513675,8.585156094,8.945845665,8.885516511,8.875139807,9.062313156,8.932432633
1367526_at,8.956077649,8.922257172,8.979718601,8.978658932,8.999781953,9.08827398,8.953715323,8.964802899,9.113424418,8.947702948
1367527_at,8.124376455,7.593164223,7.910084091,7.780610035,7.618336911,7.995116314,8.04149875,7.827314396,8.025450679,7.864726471
1367528_at,9.036338377,9.108452654,8.913123746,8.937126111,8.754163949,8.899892233,8.876024307,8.681691795,8.854795596,8.884562784
1367529_at,8.345282553,8.823346163,8.374524526,8.623882081,8.481151731,8.470770399,8.380661337,8.719695567,8.375011293,8.621088365
1367530_at,8.339676871,8.547120148,8.222017312,8.428740604,8.342656987,8.5165452,8.257900551,8.323972554,8.41268229,8.333772565
1367531_at,10.82269184,10.83458946,11.0459612,11.01318179,11.12304402,11.01217669,11.03490984,11.00593854,11.03028342,11.03223495
1367532_at,11.16751234,10.63114407,10.91707736,10.32582505,10.3950026,9.956607772,10.81499418,10.62258743,10.67421003,10.52231754
1367533_at,9.159736956,9.002254117,9.206452941,9.020791461,9.2411958,9.183583126,9.100803192,9.008677897,9.277610719,9.113496295
1367534_at,8.067613767,7.899535299,8.247256086,8.144036155,8.12310482,8.282504362,8.051689527,7.949763266,8.115114187,8.072664024
1367535_at,8.019908788,7.932181355,8.032342925,8.067748687,8.0632145,8.22930059,8.129585851,7.991667191,7.971505513,8.039375854
1367536_at,6.68654754,6.673130932,6.856820677,6.862657651,6.810176862,6.721492161,6.776406098,6.830325285,6.868690274,7.031070004
1367537_at,7.656340443,7.844383835,7.977419156,8.007313669,8.040330642,8.148233534,7.939766331,7.89223493,8.104175088,7.940864153
1367538_at,8.135889301,8.060620591,7.800461567,7.950087159,7.594826703,8.118588887,8.131721116,8.314123427,8.209927513,8.167786075
1367539_at,8.698384407,8.506782001,8.64895835,8.547516358,8.300771679,8.485640497,8.407128714,8.505804121,8.615889539,8.38565008
1367540_at,7.068293232,6.658217465,6.936011431,6.938133433,6.634356675,6.700919931,6.931979393,6.689966712,7.397338682,7.068460541
1367541_at,8.281333863,7.899084592,8.19327069,8.002455728,8.172641284,8.081710355,7.964328309,7.892209034,8.01429783,8.006785387
1367542_at,6.990600164,6.789733793,6.297031154,6.341456212,6.202957728,6.111694208,6.878677965,6.586688283,6.473511935,6.582408387
1367543_at,8.364516131,8.095311001,8.170216695,7.974215821,7.883156814,8.10080529,8.091537416,8.077146819,7.957138982,7.860952327
1367544_at,7.680350801,7.765592867,7.849931981,7.751563297,8.011190247,7.867630272,7.892612525,8.187864185,8.212857785,8.104805668
1367545_at,8.37213791,8.35726911,8.278544099,8.432247847,8.403840445,8.576874506,8.34996675,8.31930781,8.404430694,8.317114974
1367546_at,9.444364381,9.306064607,9.393650874,9.342249919,9.368076923,9.416368822,9.41166338,9.331444771,9.39629956,9.4033864
1367547_at,8.84872259,8.869035041,8.90185374,9.001536367,9.010554395,9.024162272,8.977210821,8.963338148,8.957282065,8.923793292
1367548_at,7.894928519,7.77784,7.953232961,7.913396478,8.078404847,7.884654322,8.004798104,7.871853249,7.977662555,7.915297305
1367549_a_at,11.27032991,11.24194818,11.54054549,11.56654725,11.62957389,11.76234116,11.44289726,11.36478043,11.62908442,11.50962115
1367550_a_at,8.669465112,8.881758199,8.727543732,8.952762771,8.897013853,8.737852723,8.679040815,8.8960277,8.755441121,8.753298575
1367551_a_at,8.977858846,8.939107648,8.803545155,8.800576072,8.645634592,8.8062352,8.736357118,8.866416723,8.912047304,8.851320266
1367552_at,4.30345007,4.183388359,4.169207703,4.191971146,4.326827563,4.292839523,4.29770211,4.179799266,4.29011191,4.197157633
1367553_x_at,5.837359514,6.074858429,6.088099948,6.145478958,6.120393162,6.248048024,5.834818919,6.114991241,6.160322259,6.237724689
1367554_at,3.545465345,3.43437771,3.153893834,3.358775573,3.569639018,3.309211699,3.172439373,3.389803922,3.330364926,3.447376918
1367555_at,3.583461558,3.553081711,3.335258919,3.664666123,3.58916568,3.809862154,3.717620589,3.451615345,3.421602661,3.767240294
1367556_s_at,4.025597833,4.017057957,3.947010718,4.017184603,3.949966862,3.974369296,4.001974346,3.738054563,3.790555238,4.077516188
1367557_s_at,12.7958982,12.86662601,12.82344665,12.83186298,12.94028457,12.82452109,12.82003082,12.96402899,12.76937016,12.94259773
1367558_x_at,2.896884474,3.139452751,2.806194142,2.89199665,2.901492704,2.97775664,2.979435987,2.754239952,2.901018567,2.890907492
1367559_at,12.00947196,12.32191834,11.95719547,12.09592226,11.74988887,11.70633915,12.21160554,12.34160996,12.45975301,12.45261161
1367560_at,12.29899974,12.69958263,12.34090745,12.62017424,12.29125983,12.44869143,12.38164296,12.62067187,12.48212062,12.61748708
1367561_at,12.30297645,12.57771276,12.23406602,12.39560658,12.02519441,12.23410579,12.34276334,12.49008679,12.46793933,12.49416403
1367562_at,12.55092288,12.73450297,12.32861034,12.51548973,11.26041797,11.93034374,11.29811186,11.80319173,10.97351342,11.52609621
1367563_at,12.14032092,12.69473237,11.62381279,12.16320455,10.61487704,11.46567948,10.78784086,11.59461348,10.38748645,11.1833713
1367564_at,5.235322461,4.558909199,5.27284017,4.659937056,4.87278391,4.987907425,4.879662023,4.617504225,4.557670918,4.715140693
1367565_a_at,14.08437124,13.81280369,14.12377945,13.71633888,13.86763822,13.72161651,13.95905357,13.72119872,13.86754781,13.7396222
1367566_at,3.379356659,3.58857438,3.420827608,3.571011171,3.432021271,3.482264214,3.486202713,3.414930985,3.315607897,3.510265057
1367567_at,12.06537558,12.45537356,12.13521719,12.28813726,11.94405902,12.08943556,12.17077252,12.33268714,12.25768427,12.31014114
1367568_a_at,5.157929423,6.068860207,5.506955738,6.528560479,5.440994768,6.65293768,5.726745372,6.364763157,5.741970875,6.099372754
1367569_at,11.90836313,12.26401591,12.01650963,12.19746765,12.01195776,12.13225019,12.13528799,12.29741641,12.216976,12.25847282
1367570_at,12.80336508,13.49280702,12.42426046,13.21361463,11.42994704,12.56545067,11.5476329,12.61057057,11.09255242,12.33253774
1367571_a_at,4.523402698,4.797491682,4.639832774,4.755791108,4.55797424,4.631849437,5.393460922,4.764343756,5.17886632,4.672633316
1367572_at,4.085555272,4.549686062,4.200689543,4.473752261,4.514592948,4.481730527,4.359762579,4.478898233,4.355604281,4.624841855
1367573_at,12.49916556,12.77467009,12.45687284,12.66445436,12.15857863,12.420418,12.47640714,12.65727268,12.55645536,12.65192635
1367574_at,14.19978177,13.66941663,14.09366503,13.36840084,13.82559346,12.86985754,13.82239956,12.90454276,13.61195632,12.64368788
1367575_at,12.09303741,12.24126462,12.00444091,11.98901263,11.94851254,11.824054,12.02437179,12.10451491,11.92639476,12.03529137
1367576_at,12.68182961,12.14753375,12.30271378,11.67005641,11.36653397,10.78257984,11.966777,11.5652374,11.85546432,11.64227958
1367577_at,12.50584813,11.88731185,12.078683,11.39397155,11.01714123,10.46304129,11.12560811,10.35400892,10.66242195,10.00881057
1367578_at,12.17589152,11.83167561,12.14585658,11.88299598,12.11834238,11.90682277,12.03961543,11.92661108,11.93735607,11.84207759
1367579_a_at,13.69124041,13.42998857,13.83332801,13.68644419,13.86675112,13.88424887,13.84222829,13.87902453,13.7909646,13.81373256
1367580_at,11.65363451,12.18474738,11.46426461,11.8666945,11.25808074,11.38875495,11.60605916,11.89014784,11.68407265,11.83463106
1367581_a_at,8.069161759,7.474219957,7.666120028,6.88114302,7.301922708,6.740866233,10.18947071,7.529566883,11.80397568,10.7149312
1367582_at,11.91131053,12.26674053,11.88724966,12.09223431,11.8082462,11.93795487,12.00865903,12.1569725,12.18027647,12.19614317
1367583_at,12.64242582,12.8135101,12.41389584,12.68993171,12.37095219,12.49739603,12.73572758,12.8437257,12.49095855,12.6753056
1367584_at,12.29095011,11.75569802,11.87181734,11.19043029,10.82393666,10.1447621,10.92512154,10.60290365,10.86124057,10.61435775
1367585_a_at,11.3069698,11.05315542,11.21558732,10.96885584,10.82526471,10.88000442,10.83364368,10.67892451,10.7166459,10.55033964
1367586_at,11.68486184,11.9067725,11.69173575,11.75593423,11.62774169,11.55287635,11.62125097,12.08700839,11.64439706,11.98504589
1367587_at,3.424709286,3.174713804,3.33554605,3.036957646,3.191008652,3.212914753,3.222825032,3.182367063,3.194855069,3.179827323
1367588_a_at,11.98778458,12.29041693,11.76022139,12.11153482,11.59929156,11.94863185,11.91741234,12.13100604,12.15407425,12.12530586
1367589_at,10.33993675,10.10578243,10.45169964,10.22295399,10.5337279,10.31146889,10.57849391,10.36653717,10.47135797,10.3264549
1367590_at,11.74345807,11.89439239,11.7803191,11.88339616,11.80162926,11.8016202,11.99342699,12.04539314,11.9760074,12.01651137
1367591_at,9.215405848,9.35877349,9.429190926,9.327134631,9.529728949,9.26759863,9.377446476,9.324112553,9.425460768,9.39805179
1367592_at,3.110327702,3.108406908,3.067468079,3.168348124,3.09226808,3.278932422,3.00376101,3.259372089,3.146676608,3.303969904
1367593_at,10.57764679,10.63273452,10.59647032,10.69150289,11.12947001,11.0130826,11.04352605,11.10039267,10.64752166,10.90002083
1367594_at,9.515054912,12.81392832,9.037964505,12.38531791,8.118231186,11.89731506,8.376071733,11.71411257,7.933745263,11.67019277
1367595_s_at,12.32738293,12.27107476,11.90223972,11.74973095,11.16726042,11.16213983,12.09799169,12.11517409,12.25772302,12.30728318
1367596_at,12.26882269,12.60455587,12.34544606,12.45341176,12.11777082,12.40623796,12.43930943,12.51297661,12.57630124,12.53874908
1367597_at,12.31156698,12.54428658,12.17659355,12.39084208,12.00985363,12.27505848,12.36957417,12.48269774,12.3791721,12.44689295
1367598_at,5.526029287,5.479766914,5.456596871,5.592183854,5.354734163,5.760167057,5.195455808,5.338464664,5.028797626,5.739776722
1367599_at,11.04783788,11.02326389,11.32249864,11.17227328,11.5257993,11.3784882,11.35867275,11.28737301,11.31287334,11.30602561
1367600_at,4.103797497,4.387587217,4.099566813,4.370304601,4.312607992,4.264895603,4.213401153,4.230150113,4.268339665,4.157988568
1367601_at,9.308029755,8.809437687,9.164314567,8.688563421,8.655162894,8.905314174,8.745390478,8.703351373,8.616476487,8.491969715
1367602_at,9.959546585,9.668405711,9.782625194,9.543982265,9.712028605,9.406395864,9.564755076,9.547314664,9.520875959,9.455030735
1367603_at,11.42440424,11.79320698,11.37866393,11.47219087,11.39217122,11.36137788,11.42344243,11.63923977,11.26866144,11.46095137
1367604_at,12.13910601,11.49148192,11.95050352,11.35108953,11.48819009,11.06941876,11.2722372,10.87710216,11.08820905,10.85314091
1367605_at,10.432336,10.74644429,9.883674704,10.20468239,9.709291396,9.666535157,10.7533003,10.7082399,9.933867774,10.072814
1367606_at,12.38448681,12.58834821,12.3412197,12.56106931,12.14384711,12.43081526,12.36337203,12.53984952,12.56732946,12.64824709
1367607_at,12.33001793,12.23619802,12.57291172,12.35116216,12.58818512,12.51774346,12.48697985,12.40341075,12.63578947,12.4854874
1367608_at,3.872781491,4.201954205,3.765962192,3.855715297,4.012395579,4.098453141,3.825746457,4.018134503,3.91460255,4.088013261
1367609_at,10.9715347,10.78716605,11.11470157,10.8706081,11.32065911,11.0637158,11.23541189,11.13639536,11.06327328,10.97002485
1367610_at,12.86645136,13.11111873,12.8244859,12.97721115,12.67506055,12.92876881,12.85010016,12.9666749,12.89378465,12.96287859
1367611_at,6.290432137,6.142292294,6.367549453,6.31088895,6.487057271,6.364867069,6.486365651,6.527295332,6.611917001,6.564646026
1367612_at,9.32430997,9.048442567,8.817119635,8.62052776,8.038214427,8.054939109,7.960073254,8.183499827,8.060179294,8.345591991
1367613_at,12.21760457,11.64502615,11.89328833,11.29269139,11.22991781,10.9723334,11.57668041,11.55895099,11.42143428,11.4394726
1367614_at,12.99090099,12.59021257,12.64722272,12.12091916,11.88178214,11.2009476,11.89096675,11.44257821,11.61927839,11.24990942
1367615_at,4.198744036,4.29825792,4.008395727,4.130066896,4.209407492,4.111306714,4.172062574,4.156188219,4.15089714,4.225074295
1367616_at,3.982530952,3.902683583,3.867182693,3.921760545,3.901302855,3.822830799,3.871396248,3.926852096,3.915052321,3.840088189
1367617_at,12.18414433,12.4006796,12.05267379,12.28889052,12.12572283,12.27648602,12.26293424,12.39854201,12.16636328,12.32490753
1367618_a_at,11.52161483,12.05634889,11.46926665,11.8699309,11.3161656,11.67955547,11.58148515,11.80799252,11.59946012,11.76120238
1367619_at,10.7642828,10.74740884,10.66932214,10.68764901,10.8507762,10.77244442,10.75888373,10.80691661,10.76457814,10.67538209
1367620_at,12.30360939,11.96739183,12.41267907,12.1148634,12.40577652,12.32164946,12.40782943,12.18408608,12.38732938,12.17938931
1367621_at,8.588333971,8.832502537,8.536648228,8.601866837,8.45531326,8.723703986,8.768594136,8.727453608,8.726719619,8.64188063
1367622_at,11.56343791,11.54191403,11.66193667,11.54237652,11.59190579,11.46191717,11.62090663,11.62297413,11.70335676,11.64991507
1367623_at,11.92123449,12.28358623,11.86664206,12.06657861,11.51338751,11.8340166,11.99391414,12.23346825,12.13015297,12.16616371
1367624_at,10.89134517,11.56451766,11.25231127,11.5459108,11.44857207,11.56501508,11.35771389,11.56664935,11.35925633,11.48347862
1367625_at,12.40527253,12.82688122,12.22625966,12.56144884,12.24330745,12.38681578,12.41058841,12.64602198,12.4943078,12.72215164
1367626_at,3.992089992,3.94595967,3.840632587,4.15752456,3.853531755,4.105718237,3.888423488,4.021852885,4.137371056,4.128795848
1367627_at,8.748170645,6.691583382,8.185564051,7.352407786,7.829535672,7.349197881,10.07078293,9.719162732,9.738541357,9.469145619
1367628_at,11.33016992,12.17370122,10.69942207,11.47670391,9.977791226,10.57056485,10.12148838,10.84280029,9.781092562,10.5088486
1367629_at,11.87262794,11.89855529,12.11251789,12.10336455,12.33056201,12.24349726,12.27080205,12.21966309,12.30648708,12.2138038
1367630_at,12.57128715,12.83105809,12.665506,12.78085092,12.51191253,12.73767659,12.70435533,12.79237077,12.8359953,12.86052887
1367631_at,10.94387947,13.77864555,10.49171867,13.59197163,9.73563437,13.34314332,9.800841239,13.2682289,9.622990409,13.20623265
1367632_at,11.23717694,10.59579896,10.690553,10.32896082,9.919887923,9.922664942,10.64932239,10.1035514,10.64810405,10.32393115
1367633_at,9.125634096,9.488221498,8.352872822,8.480059626,8.586362931,7.235102703,9.165461405,8.97153835,8.585261316,8.783949446
1367634_at,12.71383821,12.91344311,12.73040355,12.86247962,12.60086481,12.86007485,12.8058773,12.90643536,12.85454105,12.93590677
1367635_at,10.99599719,11.98341972,10.75322099,11.65781035,10.20922112,10.98952076,10.48091348,11.30102734,10.61729735,11.16478588
1367636_at,6.886483422,8.163794161,6.955051667,7.894141599,6.92853874,7.718421678,6.730175463,7.309628393,6.751462876,7.142292775
1367637_a_at,11.4294073,11.31781101,11.51123227,11.36686223,11.61694897,11.35878352,11.5911321,11.41479546,11.7180407,11.53974879
1367638_at,7.705930429,7.151632719,7.473399628,7.146942077,7.145764449,7.248895227,7.441328722,7.043481802,7.315116012,7.106246355
1367639_a_at,12.41045362,12.78780705,12.49954574,12.68927325,12.63741833,12.49341209,12.60717584,12.85438285,12.61997041,12.71422006
1367640_at,12.6735827,12.89604584,12.47509836,12.75427877,12.19949336,12.51913734,12.59913288,12.79225711,12.79829988,12.87005229
1367641_at,11.72800059,11.61267443,11.69975088,11.53230704,11.55146537,11.60804599,11.52613858,11.45735221,11.54791978,11.51662488
1367642_at,9.296011783,9.16227986,9.34335559,9.242183336,9.44438925,9.220752245,9.358220752,9.302092856,9.443339159,9.362182449
1367643_at,11.35262808,11.85789245,10.90354174,11.44338263,11.09350026,11.0621832,11.09303148,11.36178961,10.77316488,11.09587443
1367644_at,8.10644256,8.035955547,7.846108757,7.775016296,7.528321384,7.656518356,7.580953723,7.376976592,7.596434555,7.272319626
1367645_at,12.90168437,13.03032522,12.87869995,12.93452369,12.57255292,12.81097635,12.8185695,12.89851512,12.95895752,12.94842242
1367646_at,11.64509677,10.97311149,11.40099111,10.695691,10.95670642,10.62084818,11.56589963,11.47210052,12.32118366,12.11959673
1367647_at,3.800699375,4.226554361,3.938701141,3.81849056,3.899288181,3.816737447,3.653709642,3.776992661,3.684334745,3.88777457
1367648_at,11.95828567,12.97294373,11.42898511,12.59506273,10.61361476,12.00095956,10.75860436,12.07658602,10.18729993,11.59451458
1367649_at,8.80583083,8.805722536,9.211068637,9.176844129,9.523726672,9.631201685,9.1858884,9.084966986,9.122108808,9.071091211
1367650_at,5.101663683,5.430594715,4.819054157,4.551886581,4.280447332,4.476274885,4.059782265,4.049680116,3.835479872,4.203028343
1367651_at,11.19566191,11.53039373,10.75269065,10.9448222,10.52287962,10.56794867,10.97502711,11.22137038,11.75248064,11.90846953
1367652_at,6.600318874,11.03899346,6.631231502,10.27524636,6.955067921,9.285595015,6.651219186,9.217572048,6.746600118,9.020965497
1367653_a_at,11.87407526,11.62648662,12.13901276,11.84868159,12.24600774,12.01920094,12.05451587,11.89303643,12.07450456,11.97940282
1367654_at,9.940558801,11.56069594,9.350074557,10.97333028,8.721954108,10.00364921,8.770070193,10.15561955,8.683771366,9.946668725
1367655_at,11.01253721,11.54862459,11.18739827,11.35910998,11.33402366,11.32480941,11.16228246,11.42404622,11.19885487,11.25071653
1367656_at,10.3950406,10.51708966,10.72973306,10.64110516,10.81278755,10.67179035,10.72576448,10.77499286,10.78960286,10.79095133
1367657_at,10.55909495,10.81620204,10.48500249,10.66379229,10.36546658,10.2624217,10.76706651,10.65818256,10.77311698,10.59431723
1367658_at,8.019672123,7.623581105,8.766400015,8.538912972,8.953879361,9.132486547,8.782278936,8.425168317,8.593260515,8.500585014
1367659_s_at,9.281782207,8.399131213,8.951265426,7.873105831,7.841279052,7.212912334,7.754435193,7.119439483,7.951906687,7.114618014
1367660_at,8.776889305,8.730292443,9.400794283,9.415491934,9.797009898,9.921236566,9.41183273,9.271982868,9.468620298,9.457138857
