	Neuronal	Astrocytic	Oligodendrocytic	Microglial
1367541_at	8.157955836	8.403286864	7.597249251	7.696137277
1367542_at	5.751462747	7.300791663	7.066812768	7.372711559
1367543_at	8.047507334	8.461823496	8.404273436	8.545351511
1367544_at	8.142167106	7.937071483	8.440504445	8.702968667
1367545_at	8.659975262	8.070676659	7.901290502	7.473543566
1367546_at	9.461051584	9.402335123	9.527606692	9.52930929
1367547_at	9.189998227	8.502031524	8.589419777	8.443029907
1367548_at	8.340916979	8.002645263	7.471155829	7.429670811
1367549_a_at	11.97383295	11.01063106	10.86027407	11.38983194
1367550_a_at	8.885093981	8.533182932	9.191844409	8.519172549
1367551_a_at	8.731703674	9.258523528	9.305530915	9.791026116
1367552_at	4.300141606	4.277104031	4.111320423	4.377584913
1367553_x_at	6.204060981	6.2422221	6.341592159	6.279892336
1367554_at	3.445160043	3.297098948	3.343463586	3.482920253
1367555_at	3.722769577	3.702110384	3.692908834	3.792868317
1367556_s_at	4.120266306	4.012385961	4.102593789	4.242263503
1367557_s_at	12.74390434	12.83999839	12.46877306	12.40001744
1367558_x_at	2.847823874	2.831553728	2.911792385	3.00281348
1367559_at	11.47781781	12.2191152	12.67518339	13.25621338
1367560_at	12.12899561	12.4395433	12.62870862	12.73705591
1367561_at	11.76957715	12.32947219	12.65280795	12.75218223
1367562_at	8.481307004	12.94769192	9.20343199	7.975479379
1367563_at	7.994812664	12.4337315	9.40015021	7.941973758
1367564_at	4.736407063	5.567565114	4.709613176	4.871196718
1367565_a_at	13.29554224	14.226548	13.58904404	13.92772457
1367566_at	3.370160921	3.42494674	3.382097779	3.455802999
1367567_at	11.78247579	12.28753606	12.4868117	12.58172316
1367568_a_at	6.162606048	5.008718787	7.077550102	5.802086096
1367569_at	11.93328823	11.91210544	12.33157022	12.28922597
1367570_at	7.95420113	13.03437997	9.759566022	5.829963227
1367571_a_at	4.709471833	4.6841591	5.357320812	4.798666808
1367572_at	4.5085638	4.398464689	4.456685513	4.587620512
1367573_at	11.84023062	12.66653961	12.89281883	12.88683145
1367574_at	9.441526189	14.26466145	11.80435363	11.8868328
1367575_at	11.67228799	12.29068403	11.70162781	11.77884563
1367576_at	8.585515533	13.02397728	12.22167751	12.68358374
1367577_at	6.271855066	12.74717366	8.311496087	5.149722072
1367578_at	11.9537513	12.21472574	11.80974426	11.47364559
1367579_a_at	13.92427543	13.40706714	13.65213827	13.18478919
1367580_at	10.76064994	11.81958973	12.11135926	12.17654691
1367581_a_at	6.617093025	8.655803366	11.10523692	13.05838879
1367582_at	11.7637963	11.98122556	12.35999148	12.46680357
1367583_at	11.72549902	12.57055472	12.81323136	13.04606302
1367584_at	6.285041798	12.66959894	9.629950191	11.02538272
1367585_a_at	10.67368206	11.55009907	9.626327865	10.08839024
1367586_at	11.51755258	11.81460563	11.30668687	11.63389541
1367587_at	3.31420642	3.161058047	3.37856954	3.445930682
1367588_a_at	11.30246005	12.02656798	12.22908081	12.75060898
1367589_at	10.71183121	10.13265239	10.38938182	10.10989608
1367590_at	11.68081902	11.77261321	12.42244305	12.26488401
1367591_at	9.505450984	9.312770685	9.268589155	9.59170558
1367592_at	3.412348148	3.193170095	4.085564403	3.293606141
1367593_at	10.71931818	9.853972661	9.981173592	8.943925923
1367594_at	6.826455528	10.14499946	7.489866179	6.61710535
1367595_s_at	8.954630267	12.5605869	12.42483828	12.90824782
1367596_at	11.9686921	12.38838964	12.73117689	12.92435361
1367597_at	11.75312856	12.34686274	12.68340827	12.86778765
1367598_at	4.881130229	5.728791139	5.293327228	5.319854722
1367599_at	11.6180477	10.59876989	10.73715335	10.9618503
1367600_at	4.08112918	4.538120949	4.306824942	4.427599446
1367601_at	8.87861711	9.530139786	8.258971239	9.521209543
1367602_at	9.363147263	10.28031069	9.197515907	9.791280085
1367603_at	11.12543434	11.25771889	10.54574937	11.3688866
1367604_at	10.94773043	12.41258867	8.150533312	6.638684304
1367605_at	8.575924575	10.48603999	10.87118388	11.26804322
1367606_at	12.05873987	12.49665854	12.69436473	12.94419698
1367607_at	12.72127996	12.28121497	12.28884485	12.34102224
1367608_at	3.910938704	3.91535178	4.22247603	4.251384911
1367609_at	11.23484675	10.53094793	10.60596512	11.10443122
1367610_at	12.57232517	12.9229636	13.01819117	13.19437703
1367611_at	7.030289228	5.813000919	7.105883366	6.037489237
1367612_at	6.36646309	9.851348313	8.470169411	8.458142821
1367613_at	9.897135497	12.44199978	11.53816706	12.00115468
1367614_at	6.906074833	13.33018515	9.448100307	9.616347664
1367615_at	4.052933441	4.134636702	3.86761208	4.153954733
1367616_at	3.838473532	4.06475869	4.003795386	4.296631438
1367617_at	11.89354998	11.81915329	11.83401223	12.42567704
1367618_a_at	11.12095172	11.71962106	11.92928029	12.25207582
1367619_at	10.83913434	10.5943816	10.13514322	10.1265048
1367620_at	12.56818782	12.12529956	12.13065937	12.09305332
1367621_at	8.571333975	8.670781789	9.015007434	9.161875276
1367622_at	11.58263959	11.43192562	11.6360617	11.60400093
1367623_at	11.26414608	12.13348436	12.51650102	12.801788
1367624_at	11.5222833	10.40890688	10.93200511	10.93362904
1367625_at	11.68463644	12.51554408	12.65303738	12.86868992
1367626_at	4.217884212	4.300897574	3.974731566	4.263313604
1367627_at	7.231242313	9.17337843	11.54779271	9.796378591
1367628_at	6.961001499	11.6701775	9.634120481	9.164155575
1367629_at	12.39671287	11.45642655	12.25554481	12.01595991
1367630_at	12.40715299	12.61916086	12.90440277	13.30927627
1367631_at	9.095704839	11.11338613	7.487584674	4.517392548
1367632_at	8.637286431	11.36977127	11.65428881	11.31028752
1367633_at	6.076025807	9.971545679	10.42553124	9.688390823
1367634_at	12.50470668	12.66704645	13.04650538	13.09667768
1367635_at	9.614055585	11.39951911	11.04619922	11.52033211
1367636_at	7.236335222	6.796570453	6.326445692	6.198081521
1367637_a_at	11.72761097	11.35213713	11.91066908	12.15474464
1367638_at	7.238493085	8.089564116	7.560604997	7.242118053
1367639_a_at	12.38071726	12.43294223	12.73562553	12.73895094
1367640_at	11.91381446	12.69219591	13.08193236	13.33746704
1367641_at	11.37286146	11.68878331	11.23536178	11.32324997
1367642_at	9.466266916	9.505162737	9.424267689	9.453077955
1367643_at	10.40195295	11.38904264	10.345014	10.38749359
1367644_at	7.51361182	8.328889727	7.150513346	7.016644336
1367645_at	12.28603516	13.04320584	13.16861748	13.25821521
1367646_at	10.44187179	11.87081889	11.44157396	13.56365384
1367647_at	3.615681267	3.956943365	4.071464318	3.952234014
1367648_at	8.59624561	12.17639919	9.135889592	5.453607444
1367649_at	9.817511259	8.417147076	7.096598392	7.36941996
1367650_at	3.828734795	5.270459572	3.567476251	3.706002008
1367651_at	9.865008734	11.33430633	11.19632188	13.26403227
1367652_at	7.042580719	6.913052248	8.792751834	6.830672893
1367653_a_at	12.38237053	11.6640831	11.20280082	11.32697519
1367654_at	7.526032027	10.43124361	8.417758437	8.176960331
1367655_at	11.22494092	10.70536537	10.44799031	10.55450871
1367656_at	10.74826815	10.466432	10.87986471	10.50358683
1367657_at	10.25706267	10.75054041	11.39222718	11.45150269
1367658_at	9.435338324	6.55072452	5.373698291	5.27404288
1367659_s_at	4.955809054	9.950151028	7.59436583	8.458424804
1367660_at	10.02249054	6.436742478	6.159034561	9.27090875
1367661_at	4.353823647	11.34302753	8.15741004	4.643293571
1367662_at	8.090859785	9.457177332	9.618394694	9.24844707
1367663_at	8.126028806	10.90253564	9.699410122	10.74460981
1367664_at	3.307390183	4.224877645	3.723093819	3.521572809
1367665_at	3.743639642	3.887442695	3.64713825	3.960909724
1367666_at	10.8766194	9.796775798	10.92687131	10.64656646
1367667_at	11.94674812	9.049915891	11.93431524	9.826055778
1367668_a_at	12.14827451	12.26836872	12.80264706	10.59528718
1367669_a_at	9.114261021	9.90161934	9.514453335	9.351076669
1367670_at	9.725077571	9.080070658	9.759947706	10.26066626
1367671_at	9.564644274	11.225508	11.60413668	11.90361894
1367672_at	7.922109932	10.28985945	8.971418823	9.453206058
1367673_at	4.321257392	6.990296325	4.534126893	4.771914746
1367674_at	9.191897584	8.912646924	9.270031057	9.102550971
1367675_at	5.210669989	9.68187422	8.810333107	9.410761238
1367676_at	4.603446975	9.436829695	10.11816919	10.68033826
1367677_at	10.22641339	10.73742443	9.786616209	10.50826107
1367678_at	9.868694876	10.72648406	9.832650707	9.939185079
1367679_at	3.843132631	3.975643613	4.305734981	4.206317773
1367680_at	9.269201135	9.815398903	9.632341044	9.353823976
1367681_at	8.743789597	11.51474089	9.947174787	9.724888133
1367682_at	6.24135253	8.432272043	6.598096032	5.564328075
1367683_at	8.540107025	9.61098096	9.736004354	9.91368429
1367684_at	3.561309708	3.538310939	3.601007451	3.587199711
1367685_at	11.97751295	12.24835899	12.50971737	12.64638523
1367686_at	10.11722955	10.94773043	11.35492014	10.74453173
1367687_a_at	9.315788089	10.29706537	8.599645653	7.321718883
1367688_at	7.575217175	7.859822577	8.324223263	8.4599276
1367689_a_at	3.130434146	3.118262034	3.135940097	3.428809497
1367690_at	9.138105333	10.05469969	10.36315267	10.43215351
1367691_at	5.442622752	12.09991987	8.499618977	6.526340327
1367692_at	3.382765559	3.432989104	3.41647297	3.507131011
1367693_at	12.77346678	10.85524788	10.88672875	11.34402571
1367694_at	9.545758859	11.15457929	10.36491047	10.20220303
1367695_at	8.88439384	8.084977587	9.550910494	8.173751812
1367696_at	4.327805008	9.377034582	8.367397773	9.11024142
1367697_at	8.658987378	8.993632572	8.935119421	9.439737236
1367698_a_at	7.667746938	8.886001164	8.208121327	10.24668592
1367699_at	6.817708554	7.833237003	7.594589126	8.365350168
1367700_at	4.910864586	11.65227475	5.226947355	5.279088163
1367701_at	7.23515727	6.462806859	6.238526965	5.547202681
1367702_at	6.421225137	9.16498696	8.54929565	8.856175958
1367703_at	4.22472342	3.983734636	6.169167625	4.360244987
1367704_at	10.91839428	10.00612322	9.454201619	9.455452801
1367705_at	9.326519057	9.378665	7.637396709	7.366809939
1367706_at	11.10057311	10.79505784	10.49988877	10.45000892
1367707_at	9.06156715	6.955486077	8.669320522	7.323255033
1367708_a_at	10.60950251	8.513321426	10.455399	9.523581922
1367709_at	8.644991229	12.42983807	12.53792609	12.86668017
1367710_at	7.816088781	9.477101475	9.343341871	9.534583294
1367711_at	11.10909109	10.92927005	11.17518495	11.07530763
1367712_at	5.437216983	11.60048075	8.569336309	8.701966369
1367713_at	9.495401584	9.764223062	10.08674602	10.13718333
1367714_at	7.979229012	8.514453697	8.325086202	7.914653971
1367715_at	5.105186033	10.33193951	9.016097638	9.373468162
1367716_at	10.6607995	9.308065247	9.317096075	8.368590555
1367717_at	11.72826584	12.54240205	12.60237269	12.87299522
1367718_at	8.516382567	8.308269664	8.308876397	8.630484317
1367719_at	9.548260416	9.854446956	9.579374777	9.969241463
1367720_at	7.180292762	7.864976323	7.750588264	7.386380317
1367721_at	6.477990878	11.80703992	8.20157254	7.804007584
1367722_at	8.177454436	9.472793922	10.23903977	11.82461116
1367723_a_at	6.202268648	6.927554839	8.354067686	9.906599334
1367724_a_at	6.623376228	10.14286108	9.829168899	10.6518569
1367725_at	7.456656679	7.33430332	10.26270848	8.810998728
1367726_at	10.05093843	8.061248172	9.7075039	7.575906474
1367727_at	9.541103371	9.547596495	9.654452061	9.72480544
1367728_at	7.984350481	9.141500775	8.891907621	8.754737106
1367729_at	9.485695768	9.763772978	8.641504519	8.902200671
1367730_at	8.881482148	8.932440352	9.40722354	9.031789489
1367731_at	9.722449339	8.213157493	8.871396134	9.949003293
1367732_at	8.786785088	10.15076712	10.08771673	10.14081074
1367733_at	5.971964224	5.389081944	6.192080493	6.775831774
1367734_at	9.630568486	10.62710786	10.53747334	10.36061864
1367735_at	5.835556448	10.12149654	9.096666437	10.56814198
1367736_at	10.57329677	10.41118731	10.59927107	9.686892927
1367737_at	7.801910189	11.34536572	10.13989261	11.69763731
1367738_at	7.896714865	8.101730541	7.712878636	8.415314118
1367739_at	3.901982331	4.029849304	3.86225533	3.75464029
1367740_at	10.49464649	11.84727702	12.50356545	11.70176363
1367741_at	8.571873375	8.64052996	8.087575326	9.282646562
1367742_at	5.768754918	4.77950093	5.07215051	5.006855346
1367743_at	7.546680879	8.766486462	6.306482425	8.134631278
1367744_at	8.962099606	9.005114239	8.403583915	8.092612123
1367745_at	9.612021999	6.612507786	9.17889045	9.745462291
1367746_a_at	8.939656455	9.307250065	7.29799658	8.040980604
1367747_at	10.02471166	10.02140634	8.826891293	8.772254496
1367748_at	9.302131339	8.480537506	8.388244743	8.288899189
1367749_at	3.153615673	3.219613853	3.173686319	3.292458963
1367750_at	8.479643886	8.894345933	9.203382678	8.884441272
1367751_at	8.908707096	8.517311189	8.330531032	8.593702266
1367752_at	7.70108551	7.60111538	9.014371934	8.175823864
1367753_at	6.872243416	7.323601474	7.64525522	7.971380241
1367754_s_at	6.547383035	7.885329464	7.64553728	7.478171585
1367755_at	10.32481778	9.569112745	6.807020564	6.42154961
1367756_at	7.539158264	8.230851575	7.978143243	8.101720729
1367757_at	12.26957434	11.65212669	12.1382064	11.84195733
1367758_at	3.575983884	3.479866496	3.600296833	3.390757194
1367759_at	8.928607159	8.815407843	9.66176631	9.227719064
1367760_at	9.672396736	8.530589359	9.520095338	9.705820299
1367761_at	8.161010904	7.298902806	7.720203954	8.798805796
1367762_at	9.808990223	4.417086392	4.158145657	4.032690689
1367763_at	9.007637236	8.416325867	8.969172553	8.178942907
1367764_at	10.68817442	11.22660374	11.51537761	11.04549326
1367765_at	6.380470441	10.02166609	9.554840479	11.17741948
1367766_at	10.70528727	10.81787161	10.83550923	10.7215401
1367767_at	7.352540812	8.053333531	7.887622857	8.431068231
1367768_at	7.778694491	12.23187335	9.16763141	8.050062563
1367769_at	10.07023005	10.13730847	10.45277999	10.18557659
1367770_at	9.570243837	10.73344977	10.69785686	10.77610146
1367771_at	7.854957663	7.319243466	6.053413546	7.316385594
1367772_at	9.07221898	9.253517706	9.158174737	9.021515884
1367773_at	8.827443895	8.952480423	9.681830577	8.44841861
1367774_at	7.035430068	10.32182823	8.898728533	3.995136084
1367775_at	7.592647926	7.974799088	8.571615115	7.950945268
1367776_at	3.891662599	9.074466673	8.686374856	9.119465845
1367777_at	5.118313035	11.00940744	8.844890762	9.156380481
1367778_at	6.403168285	6.317265617	5.975878874	7.807312296
1367779_at	9.277359905	7.550695862	10.4445161	9.189364946
1367780_at	5.757981148	9.328602373	8.823197428	9.463731029
1367781_at	3.325818332	3.387107914	3.414699453	3.535217091
1367782_at	5.947104942	4.37642371	4.201880864	4.272067919
1367783_at	11.09122845	11.50706157	11.09379163	10.3301314
1367784_a_at	8.988159103	13.43391052	9.74334469	5.227495972
1367785_at	4.4990559	9.401926563	5.07406626	4.358540104
1367786_at	4.062277558	7.227312238	6.880215105	8.075370662
1367787_at	8.45983684	6.342813399	6.047086081	6.067152506
1367788_at	7.628247903	7.770780405	7.386896279	7.587365854
1367789_at	7.532399642	10.08344575	7.625310033	8.955387272
1367790_at	8.370197322	8.606733234	9.609996166	9.218516523
1367791_at	5.434726699	4.798378017	5.202408126	5.409445984
1367792_at	3.671199146	3.830068514	3.931319687	4.179663336
1367793_at	8.457360508	9.852489171	9.288130612	8.911443929
1367794_at	4.074041603	13.38639972	7.690223294	4.660602747
1367795_at	8.805846528	8.560678352	9.040241502	9.088907709
1367796_at	7.202821293	7.705879165	7.373914974	8.096554195
1367797_at	6.681799941	6.949033092	6.378209713	5.884689485
1367798_at	7.461907529	8.597522993	8.839044796	9.167355592
1367799_at	10.88994181	5.631844011	6.02747479	4.940479392
1367800_at	5.10405991	10.80976281	7.183283538	5.109500962
1367801_at	6.759993767	8.031482028	7.734859764	7.971844794
1367802_at	8.852037806	7.607985601	11.62934984	11.70130327
1367803_at	6.79933621	7.115122952	7.260217253	7.868324227
1367804_at	4.346037817	4.166896093	4.372915811	4.267179329
1367805_at	10.39776983	7.630784599	7.05041469	7.197535477
1367806_at	7.809024416	6.348476196	5.819790246	5.490600432
1367807_at	5.683452674	9.514168617	7.805040589	9.816603886
1367808_at	11.15419691	9.92768296	11.07893908	10.50309136
1367809_at	4.179876396	3.923633932	4.1139117	4.087985199
1367810_at	7.428802284	8.480659879	9.934180333	8.283729007
1367811_at	6.012748375	10.26970654	10.28400748	8.542926099
1367812_at	10.64119613	4.135351258	4.690675045	4.351397495
1367813_at	3.740925903	5.847296007	8.301927539	3.675974993
1367814_at	12.84356498	10.40050707	10.14799355	12.33198975
1367815_at	8.697568569	8.340836797	7.7560483	7.837607212
1367816_at	4.751781296	9.06697999	7.130020465	7.210200753
1367817_at	7.249289374	8.636552472	7.404944901	7.863393034
1367818_at	8.018420644	8.020226916	7.492978182	7.361046196
1367819_at	11.0913206	9.586838666	10.21395629	10.47517575
1367820_at	9.345675218	8.987872108	9.599570432	9.585400996
1367821_a_at	4.222395931	3.526851302	3.83292506	3.911449312
1367822_at	4.097952663	3.963753038	4.155045617	4.031122361
1367823_at	7.94089585	9.291930549	6.395123913	7.068523381
1367824_at	8.26362442	10.09249071	11.75962941	10.49195762
1367825_at	8.847858657	7.664878702	8.965931755	9.48735608
1367826_at	5.165173212	10.45942484	8.711354889	10.83626404
1367827_at	11.61371687	11.36154102	11.16756697	10.74979136
1367828_at	6.09831498	8.092001759	7.652121297	8.616506557
1367829_at	5.888366655	8.378641794	8.458177327	7.864712515
1367830_a_at	7.171178331	7.582547321	6.848799717	7.791217697
1367831_at	6.883472467	9.124332426	8.811168156	9.229079431
1367832_at	8.372612431	9.489272514	9.251323294	9.229725058
1367833_at	9.834126284	9.100456562	9.680727063	9.763360465
1367834_at	8.537743358	7.268694809	9.202110861	8.434862506
1367835_at	10.98851613	9.938357546	9.676482881	8.324900233
1367836_at	5.49482552	7.860807153	5.543393493	7.323255033
1367837_at	9.646627057	9.538181851	9.603038525	9.6828745
1367838_at	3.83050836	6.133686084	3.945861002	3.518417217
1367839_at	10.12434938	7.816087905	9.569989061	6.777019603
1367840_at	9.795601712	9.625486025	9.443319272	9.514757697
1367841_a_at	3.046066517	3.151404211	3.194415463	3.470057471
1367842_at	10.22730328	8.830161069	10.29495751	8.567548094
1367843_at	6.901082833	8.657003949	7.523364592	8.194496955
1367844_at	8.808967068	10.79654505	9.73789975	10.72562623
1367845_at	10.919581	3.914875782	6.899141067	5.785867676
1367846_at	5.177207195	12.49019621	10.75434503	9.882632935
1367847_at	5.002244256	11.09016725	6.737304465	4.843096413
1367848_at	11.30161477	9.34343739	10.11379839	9.822992713
1367849_at	5.816857417	6.999241146	6.124824973	7.097549908
1367850_at	3.927535649	3.808834415	10.75530669	12.91495429
1367851_at	3.667709176	3.719817292	5.064356253	4.231633989
1367852_s_at	9.598235519	5.730683832	9.106092578	6.963100793
1367853_at	8.163928266	9.022023933	11.93654164	9.181364973
1367854_at	11.38809327	9.881424534	10.79048661	9.545898376
1367855_at	7.164840584	6.978086961	8.310757468	7.238486491
1367856_at	9.329429096	10.69062609	10.39654056	10.99807088
1367857_at	9.645577236	10.77555741	9.940651788	8.498703537
1367858_at	4.463431776	6.920219547	4.424754536	5.615502885
1367859_at	5.541722996	8.564305484	4.901354326	4.802840751
1367860_a_at	6.835503713	11.1373549	7.775943077	5.605742532
1367861_at	10.96702746	8.131177418	9.418213256	8.998234873
1367862_at	4.341388439	4.311543809	6.53884613	4.059690165
1367863_at	7.372620067	6.837818127	7.186893754	6.966208572
1367864_at	10.08182279	9.859756584	7.737530814	7.127356346
1367865_at	7.620876208	7.552563103	7.22000657	7.024385616
1367866_at	4.118503845	7.112501588	4.534126893	3.671421153
1367867_at	6.915386587	7.664816839	7.079389547	7.336361661
1367868_at	7.825772892	7.166096568	7.758387522	8.055711133
1367869_at	10.04308423	9.281065781	9.502126171	10.11531733
1367870_at	10.97788408	10.71855363	10.8949564	10.75092578
1367871_at	4.496299034	4.802262055	4.637954077	4.761888967
1367872_at	8.939898765	8.228310351	8.448075861	9.559913923
1367873_at	10.48045597	9.680207788	9.955574446	10.81487787
1367874_at	7.211099285	8.592478864	9.371742202	8.169443868
1367875_at	8.726091606	8.823569356	8.830406323	9.169188103
1367876_at	8.276303724	8.129430346	8.883779398	8.191325949
1367877_at	9.093466038	8.329368694	9.387493587	9.016360554
1367878_at	8.294125772	8.908761599	8.772490112	8.898465032
1367879_at	6.493827819	7.717207446	7.568266137	7.591804878
1367880_at	4.40240914	10.18645331	5.621692254	4.958470651
1367881_at	9.316423722	9.25458135	8.381426542	10.77777227
1367882_at	9.479362225	8.062483783	8.888245024	7.685616688
1367883_at	8.012958703	8.190413683	8.415307534	8.473678891
1367884_at	10.34126422	10.05826932	10.27176803	10.79803636
1367885_at	5.982880643	8.411517157	6.642710542	6.288455539
1367886_at	7.151950439	7.700992143	7.516211721	7.51487383
1367887_at	4.788668015	10.7679828	8.329707879	6.302638079
1367888_at	5.384246347	4.943426905	6.670951912	4.283975195
1367889_at	9.023217754	8.255277404	6.562920892	8.693073274
1367890_at	7.255551057	7.325411786	7.424952697	7.24857602
1367891_a_at	3.976442129	4.525167955	4.596920615	3.975394979
1367892_at	7.31110538	9.531435629	7.762384423	7.201957138
1367893_a_at	6.466664568	8.403057029	7.403550292	6.803103892
1367894_at	11.19771507	8.432514265	11.70664646	8.859982261
1367895_at	10.04409792	10.70328238	11.03609403	10.62280488
1367896_at	4.450684151	5.261602764	4.081505077	4.056413711
1367897_at	6.397820578	9.048434411	8.390667765	8.144251129
1367898_at	10.03786742	10.30906115	9.79025535	9.95121902
1367899_at	8.713694219	11.57917292	9.042112902	7.926382999
1367900_at	8.999486017	10.62701393	9.727805042	9.824283948
1367901_at	5.382783414	7.777954788	8.817960513	10.88534207
1367902_at	4.071027191	4.159082793	3.49963195	4.019577031
1367903_at	8.38826863	8.077024633	8.42044059	7.56392569
1367904_at	7.504386212	9.078921748	8.155788393	6.919823264
1367905_at	4.553193357	5.175471465	5.272202386	5.049813694
1367906_at	7.934593076	8.282500519	8.115618146	8.753496401
1367907_a_at	10.11908218	8.607700027	8.472100839	8.615616603
1367908_at	8.199387801	9.76139908	10.2829333	9.628223144
1367909_at	5.186697752	7.229959612	6.687599497	8.465053777
1367910_at	6.01141922	8.055962757	7.469938245	6.944514265
1367911_at	9.791324327	8.89782662	9.356183353	8.467470415
1367912_at	3.745315184	5.01317715	3.932288092	3.75807561
1367913_at	7.872125134	4.740818657	5.084851253	4.7746451
