"","Gene","BaseGeneMean","OutlierFactor","GeneMean","DEFacGroup1","DEFacGroup2","DEFacGroup3","Length"
"Gene211","Gene211",3.92173610144038,1,3.92173610144038,1,1,1,1104
"Gene212","Gene212",0.0671598894245599,1,0.0671598894245599,1,1,1,2570
"Gene213","Gene213",2.93627238970146,1,2.93627238970146,1,1,1,7709
"Gene214","Gene214",0.257333468169446,1,0.257333468169446,1,0.852972360771159,1,2929
"Gene215","Gene215",1.48394022057998,1,1.48394022057998,1,1,1,909
"Gene216","Gene216",3.38038914350089,70.9403824468002,72.0669445929198,1,0.747425289982671,1,2115
"Gene217","Gene217",3.09123982558545,1,3.09123982558545,1,1.06746349459878,1,838
"Gene218","Gene218",0.111956861335249,1,0.111956861335249,1,1,1,6161
"Gene219","Gene219",4.49777933262562,1,4.49777933262562,1,1,1,1540
"Gene220","Gene220",0.249457358499586,1,0.249457358499586,1,1,1,1557
"Gene221","Gene221",0.558726323053947,1,0.558726323053947,1,1,1,2422
"Gene222","Gene222",0.0883651033861119,1,0.0883651033861119,1,1,1,9977
"Gene223","Gene223",0.157702096258119,1,0.157702096258119,1,1,1,3593
"Gene224","Gene224",0.442972648408429,1,0.442972648408429,1,1,1,2080
"Gene225","Gene225",0.395894875664722,1,0.395894875664722,1,1,1,3319
"Gene226","Gene226",3.68908399992035,53.5712964074519,54.422030398017,1,1,1,5109
"Gene227","Gene227",3.55958530296195,1,3.55958530296195,1,1,1,2230
"Gene228","Gene228",6.47139755421132,1,6.47139755421132,1,1,1,3294
"Gene229","Gene229",2.00919243055142,1,2.00919243055142,1,1,1,4764
"Gene230","Gene230",0.385104953030021,1,0.385104953030021,1,1,1,3522
"Gene231","Gene231",9.98931037969904,1,9.98931037969904,1,1,1,12127
"Gene232","Gene232",0.128143976256798,1,0.128143976256798,1,1,1,2937
"Gene233","Gene233",2.2430297575739,1,2.2430297575739,1,1,1,7067
"Gene234","Gene234",0.197277249531633,1,0.197277249531633,1,1,1,5474
"Gene235","Gene235",0.154709132824874,1,0.154709132824874,1,0.581422173200057,1,3646
"Gene236","Gene236",0.513747681381337,1,0.513747681381337,0.996026001404136,1,1.47305894211213,2198
"Gene237","Gene237",1.61291578886296,1,1.61291578886296,1,1,1,4807
"Gene238","Gene238",1.81950645706197,1,1.81950645706197,1,1,1,1724
"Gene239","Gene239",3.49177472471585,1,3.49177472471585,1,1,1,2813
"Gene240","Gene240",1.31765209485648,1,1.31765209485648,1,1,1,1712
"Gene241","Gene241",0.612276093339567,1,0.612276093339567,1,1,0.653443955499894,2490
"Gene242","Gene242",0.441338897337853,1,0.441338897337853,1,1,1,1684
"Gene243","Gene243",0.397691526535912,1,0.397691526535912,1,1,1.83769612810712,2374
"Gene244","Gene244",0.127814697305776,1,0.127814697305776,1,1,1,361
"Gene245","Gene245",0.451897457547201,1,0.451897457547201,1.12213817229574,0.976202699239189,1,1511
"Gene246","Gene246",0.51617886111748,1,0.51617886111748,1,1.12027150880565,1,1700
"Gene247","Gene247",1.39542896405281,1,1.39542896405281,1,1,1,9900
"Gene248","Gene248",0.964008900876882,162.446459676018,165.026175571677,1,1,1,7059
"Gene249","Gene249",2.46859666549379,1,2.46859666549379,1,1,1,1440
"Gene250","Gene250",0.736409699010776,1,0.736409699010776,1,1,1,5693
"Gene251","Gene251",1.04806490528509,1,1.04806490528509,1,1,1,2208
"Gene252","Gene252",4.68527782368212,1,4.68527782368212,1,1,1,1270
"Gene253","Gene253",1.01199468031864,1,1.01199468031864,1,1,1,1523
"Gene254","Gene254",0.305573470163376,1,0.305573470163376,1,1,1,682
"Gene255","Gene255",2.7070558534212,1,2.7070558534212,1,1,1,2412
"Gene256","Gene256",0.315219395379911,1,0.315219395379911,1,1.46630432478829,1,4972
"Gene257","Gene257",1.9909215697508,1,1.9909215697508,1,1,1,2876
"Gene258","Gene258",0.129232325556128,1,0.129232325556128,1,1,1,6716
"Gene259","Gene259",0.115489393663894,1,0.115489393663894,1,1,1,2550
"Gene260","Gene260",2.63196725703746,1,2.63196725703746,1,1,1,1319
"Gene261","Gene261",0.932727299791826,1,0.932727299791826,1,1,1,3903
"Gene262","Gene262",1.14460237260938,1,1.14460237260938,1,1,1,3789
"Gene263","Gene263",6.46950678384026,1,6.46950678384026,1,1,1.06275304547287,3395
"Gene264","Gene264",0.218477556956433,1,0.218477556956433,1,1,1,1828
"Gene265","Gene265",15.2842746052813,1,15.2842746052813,1,1,1,6544
"Gene266","Gene266",3.69664274126002,1,3.69664274126002,1,1,1,2954
"Gene267","Gene267",1.81439339212733,1,1.81439339212733,1,0.696688572891155,1,1045
"Gene268","Gene268",1.15473976273614,1,1.15473976273614,1,1,1,2150
"Gene269","Gene269",0.0011357672593981,1,0.0011357672593981,1,1,1.01496881587697,3094
"Gene270","Gene270",0.307231932229443,1,0.307231932229443,1,1,1,1421
"Gene271","Gene271",1.43201532755936,1,1.43201532755936,1,0.801792180092917,1,1759
"Gene272","Gene272",5.3808680927103,1,5.3808680927103,1,1,1,5104
"Gene273","Gene273",7.05267582886182,1,7.05267582886182,1,1,1,2485
"Gene274","Gene274",3.86439797032107,52.9155024610632,53.7558221768504,1,1,1,1819
"Gene275","Gene275",0.442606566953234,1,0.442606566953234,1,1,1,9498
"Gene276","Gene276",2.73061747241386e-06,1,2.73061747241386e-06,1,1,1,5981
"Gene277","Gene277",0.188157114457967,1,0.188157114457967,1,1,1,12371
"Gene278","Gene278",0.465385157218889,1,0.465385157218889,1.2678302409402,1,1,13158
"Gene279","Gene279",0.104020733540064,1,0.104020733540064,1,1,1,2479
"Gene280","Gene280",1.95302889274498,1,1.95302889274498,1,1,1,4360
"Gene281","Gene281",9.04117904922011,1,9.04117904922011,1,1,0.436865119266772,1445
"Gene282","Gene282",6.55807304498717,1,6.55807304498717,1,1,1,3511
"Gene283","Gene283",0.700071595979025,1,0.700071595979025,1,1,1,5239
"Gene284","Gene284",3.88046659578806,1,3.88046659578806,1,1,1,3207
"Gene285","Gene285",12.5407513859309,1,12.5407513859309,1,1,1,4202
"Gene286","Gene286",1.16747792275684,1,1.16747792275684,1,1.6251281086044,1,2414
"Gene287","Gene287",0.939686681282564,94.9227855074377,96.4301979750417,1,1,1,2638
"Gene288","Gene288",0.00832571148853235,1,0.00832571148853235,1,1,1,3006
"Gene289","Gene289",0.0426355278335657,175.210525811028,177.992940271909,1,1,1,2601
"Gene290","Gene290",0.736270447385185,1,0.736270447385185,1,1,1,5986
"Gene291","Gene291",4.72559632066046,1,4.72559632066046,1,1.2638594413636,1,2453
"Gene292","Gene292",0.0313886265248605,1,0.0313886265248605,1,1,0.799711118918527,2893
"Gene293","Gene293",7.27703317610985,1,7.27703317610985,1,1,1,2904
"Gene294","Gene294",1.99089989674087,1,1.99089989674087,1,1,1,1368
"Gene295","Gene295",9.11193914470308,1,9.11193914470308,1,1,1,1190
"Gene296","Gene296",8.39248452879891,1,8.39248452879891,1,1,2.89737163212777,832
"Gene297","Gene297",0.0193936478128249,1,0.0193936478128249,1,0.614429771205033,1,6108
"Gene298","Gene298",4.45718800707926,1,4.45718800707926,1,1,1,1511
"Gene299","Gene299",1.52722474705274,1,1.52722474705274,1,1,1,2364
"Gene300","Gene300",0.316988330553088,1,0.316988330553088,1,1,1,4172
"Gene301","Gene301",0.610587188176788,1,0.610587188176788,1,1,1,3045
"Gene302","Gene302",0.328933297086213,1,0.328933297086213,1,1,1,2986
"Gene303","Gene303",0.0285084099217815,1,0.0285084099217815,1,1,1,1663
"Gene304","Gene304",4.44208459542341,1,4.44208459542341,1,1,1,2607
"Gene305","Gene305",1.2655116498534,1,1.2655116498534,1,1,1,7283
"Gene306","Gene306",0.939159114074361,1,0.939159114074361,1,1,1.63234098411719,3244
"Gene307","Gene307",5.33077985778179,38.6158290247362,39.2290641063615,1,1,1,735
"Gene308","Gene308",0.55680423962253,1,0.55680423962253,1,1,1,4051
"Gene309","Gene309",1.20090009348363,1,1.20090009348363,1,1,1,962
"Gene310","Gene310",1.26832108985114,1,1.26832108985114,1,1,1,2480
"Gene311","Gene311",8.84217784591006,1,8.84217784591006,1,1,1,6351
"Gene312","Gene312",0.207066601929596,1,0.207066601929596,1,1,1,4441
"Gene313","Gene313",0.292047129660441,1,0.292047129660441,1,1,1,1666
"Gene314","Gene314",2.2127971504632,1,2.2127971504632,1,1,1,3016
"Gene315","Gene315",0.499643702949128,1,0.499643702949128,1,1,1,1337
"Gene316","Gene316",1.25546750755333,1,1.25546750755333,1,1,1,863
"Gene317","Gene317",0.616494337649488,1,0.616494337649488,1,1,1,6338
"Gene318","Gene318",3.21423130467065,1,3.21423130467065,1,1,1,4122
"Gene319","Gene319",1.12829311943899,1,1.12829311943899,1,1,1,6689
"Gene320","Gene320",1.12458476125552,1,1.12458476125552,1,1,1,9992
"Gene321","Gene321",0.0895301657584864,1,0.0895301657584864,1,1,1,1427
"Gene322","Gene322",1.13067390106421,1,1.13067390106421,1,1,1,4954
"Gene323","Gene323",0.134802064936248,1,0.134802064936248,1,1,1,8954
"Gene324","Gene324",3.55482287118495,1,3.55482287118495,1,1,1.8043384227175,3728
"Gene325","Gene325",1.76543624656221,1,1.76543624656221,1,1,1,3931
"Gene326","Gene326",2.35482387536807,1,2.35482387536807,1,1.20931129091563,1,1046
"Gene327","Gene327",0.664554975557518,1,0.664554975557518,1,1,1,4209
"Gene328","Gene328",6.16370449559072,1,6.16370449559072,1,1,1,2280
"Gene329","Gene329",3.44406901639578,1,3.44406901639578,1,2.06290417115681,0.993271322688623,4313
"Gene330","Gene330",2.24759701221531,1,2.24759701221531,1,1,1,1946
"Gene331","Gene331",0.00584854618891013,1,0.00584854618891013,1,1,1,1801
"Gene332","Gene332",3.90245619709129,1,3.90245619709129,1,1,1,8968
"Gene333","Gene333",1.29122964562584,1,1.29122964562584,1,1,1,925
"Gene334","Gene334",0.410129978962649,44.3164112642701,45.0201739120066,1,1,1,2380
"Gene335","Gene335",3.62487300437473,1,3.62487300437473,1,1,1,6654
"Gene336","Gene336",6.9933605853959,1,6.9933605853959,1,1,1,2613
"Gene337","Gene337",4.1828958091262,1,4.1828958091262,1,1,1,1225
"Gene338","Gene338",4.15162512823152,1,4.15162512823152,1,1,1,8571
"Gene339","Gene339",0.880932256199323,1,0.880932256199323,0.80263634354912,1,1,6471
"Gene340","Gene340",5.9261943211503,1,5.9261943211503,1,1,1,1099
"Gene341","Gene341",0.125340771655264,1,0.125340771655264,1,1,0.959049382792551,2937
"Gene342","Gene342",3.73954994651724,1,3.73954994651724,1,1,1,4936
"Gene343","Gene343",0.496179454870652,1,0.496179454870652,1.01190327593822,1,1,4731
"Gene344","Gene344",2.02334285591549,1,2.02334285591549,1,1,1,2603
