"","Cell","Batch","Group","ExpLibSize","sizeFactor"
"Cell168","Cell168","Batch1","Group2",139375.065554847,0.716720031773201
"Cell169","Cell169","Batch1","Group2",305939.91196181,1.57735196043313
"Cell170","Cell170","Batch1","Group2",157640.652379531,0.812304650136472
"Cell171","Cell171","Batch1","Group1",244488.57900377,1.27337106374938
"Cell172","Cell172","Batch1","Group2",247401.351349543,1.2863234945447
"Cell173","Cell173","Batch1","Group3",93865.7822513838,0.483519694161594
"Cell174","Cell174","Batch1","Group1",175480.906901512,0.905152694558872
"Cell175","Cell175","Batch1","Group2",138125.271131718,0.711061702196213
"Cell176","Cell176","Batch1","Group3",143553.369392604,0.74043872057274
"Cell177","Cell177","Batch1","Group3",311568.213912858,1.59745960617536
"Cell178","Cell178","Batch1","Group3",268878.022437168,1.3804523790259
"Cell179","Cell179","Batch1","Group3",436071.748318638,2.2338622215712
"Cell180","Cell180","Batch1","Group2",235590.694654261,1.21018295418236
"Cell181","Cell181","Batch1","Group1",216336.435565423,1.11669706169855
"Cell182","Cell182","Batch1","Group1",548774.339898255,2.82384595869182
"Cell183","Cell183","Batch1","Group2",68480.9494520666,0.355749468377217
"Cell184","Cell184","Batch1","Group3",353470.867876513,1.80471393070848
"Cell185","Cell185","Batch1","Group3",289587.72375277,1.49200891860421
"Cell186","Cell186","Batch1","Group3",498003.499172514,2.52667563324437
"Cell187","Cell187","Batch1","Group2",50524.5460176878,0.25857537379641
"Cell188","Cell188","Batch1","Group2",76475.6109863381,0.396468865587617
"Cell189","Cell189","Batch1","Group2",181607.944549136,0.944550100222648
"Cell190","Cell190","Batch1","Group2",153281.184145958,0.783375154190124
"Cell191","Cell191","Batch1","Group3",172439.68778769,0.887159206504049
"Cell192","Cell192","Batch1","Group2",226723.038712297,1.16390296217857
"Cell193","Cell193","Batch1","Group1",150698.676765138,0.772372275130871
"Cell194","Cell194","Batch1","Group1",209298.115278522,1.07537068004262
"Cell195","Cell195","Batch1","Group1",146661.551016538,0.752768735114596
"Cell196","Cell196","Batch1","Group2",288153.423276965,1.49456031084983
"Cell197","Cell197","Batch1","Group3",120111.195150952,0.621243436065491
"Cell198","Cell198","Batch1","Group1",68923.742864002,0.354684673629548
"Cell199","Cell199","Batch1","Group1",162540.461816435,0.837196156339242
"Cell200","Cell200","Batch1","Group2",196702.562180842,1.01180191921314
"Cell201","Cell201","Batch1","Group1",172149.170439716,0.897056139327799
"Cell202","Cell202","Batch1","Group2",230592.022262628,1.2006306650692
"Cell203","Cell203","Batch1","Group2",128410.214822902,0.656355943058693
"Cell204","Cell204","Batch1","Group3",207262.498056807,1.06822575296768
"Cell205","Cell205","Batch1","Group2",78963.1269844675,0.408783448321536
"Cell206","Cell206","Batch1","Group1",141990.30892475,0.728849432811872
"Cell207","Cell207","Batch1","Group1",304747.268193824,1.5589675332439
"Cell208","Cell208","Batch1","Group1",131127.17862514,0.675424513733144
"Cell209","Cell209","Batch1","Group3",513393.17614155,2.6438339191039
"Cell210","Cell210","Batch1","Group1",125378.456706482,0.644699784130097
"Cell211","Cell211","Batch1","Group2",375436.269597636,1.92897084821915
"Cell212","Cell212","Batch1","Group2",147608.178808231,0.757105073144961
"Cell213","Cell213","Batch1","Group2",266478.380780679,1.37121387000747
"Cell214","Cell214","Batch1","Group2",55468.7189049319,0.288014119404687
"Cell215","Cell215","Batch1","Group1",285263.719852144,1.45977187182331
"Cell216","Cell216","Batch1","Group3",156553.850973885,0.798153682258022
"Cell217","Cell217","Batch1","Group3",310309.363714246,1.5891624374411
"Cell218","Cell218","Batch1","Group1",215513.721538344,1.11026199778872
"Cell219","Cell219","Batch1","Group1",432816.019160835,2.22885202792757
"Cell220","Cell220","Batch1","Group3",139510.312565922,0.715151131299581
"Cell221","Cell221","Batch1","Group1",52330.5205739502,0.265303642057048
"Cell222","Cell222","Batch1","Group1",108262.948273323,0.556522433576702
"Cell223","Cell223","Batch1","Group1",316461.286609933,1.61825653933878
"Cell224","Cell224","Batch1","Group1",144038.095361486,0.750289357972679
"Cell225","Cell225","Batch1","Group2",313926.907545508,1.61894582675998
"Cell226","Cell226","Batch1","Group3",196202.004591786,1.01512490185563
"Cell227","Cell227","Batch1","Group2",687509.267119764,3.53768538631673
"Cell228","Cell228","Batch1","Group2",65529.9518240747,0.333255036340699
"Cell229","Cell229","Batch1","Group2",282844.878714225,1.44845521266934
"Cell230","Cell230","Batch1","Group3",105886.298322973,0.545272645590453
"Cell231","Cell231","Batch1","Group3",234057.235529603,1.22161277992787
"Cell232","Cell232","Batch1","Group3",295227.85120128,1.51163817830038
"Cell233","Cell233","Batch1","Group1",426337.941508789,2.1940533010291
"Cell234","Cell234","Batch1","Group3",299968.003939625,1.53551118517929
"Cell235","Cell235","Batch1","Group2",260310.386820441,1.33585959802325
"Cell236","Cell236","Batch1","Group3",222023.040407324,1.14345581666173
"Cell237","Cell237","Batch1","Group1",119869.519753074,0.61872805137172
"Cell238","Cell238","Batch1","Group3",115045.11362165,0.595245983627219
"Cell239","Cell239","Batch1","Group3",196613.65515186,1.00649337728273
"Cell240","Cell240","Batch1","Group2",90704.0508873557,0.461020118189096
"Cell241","Cell241","Batch1","Group2",281387.488562223,1.44794081907143
"Cell242","Cell242","Batch1","Group3",269118.014957723,1.37425908010708
"Cell243","Cell243","Batch1","Group2",237951.306399839,1.22373208155125
"Cell244","Cell244","Batch1","Group3",86898.6085254959,0.446632529255609
"Cell245","Cell245","Batch1","Group1",153204.556924061,0.787433719677618
"Cell246","Cell246","Batch1","Group3",128994.344955418,0.660316773762585
"Cell247","Cell247","Batch1","Group2",295186.021882152,1.52848971256785
"Cell248","Cell248","Batch1","Group1",93184.6969007977,0.477233804395158
"Cell249","Cell249","Batch1","Group1",99120.0895013628,0.510906009314217
"Cell250","Cell250","Batch1","Group3",127931.693607145,0.658171752459308
"Cell251","Cell251","Batch1","Group3",312823.879625344,1.61720203246307
"Cell252","Cell252","Batch1","Group1",177124.250922461,0.903702104612771
"Cell253","Cell253","Batch1","Group3",224515.460375803,1.15273547716799
"Cell254","Cell254","Batch1","Group2",669243.286136111,3.40343894513469
"Cell255","Cell255","Batch1","Group2",156673.434908844,0.811322158364468
"Cell256","Cell256","Batch1","Group2",48718.5836715289,0.249470607113438
"Cell257","Cell257","Batch1","Group3",167348.092884707,0.858075392478329
"Cell258","Cell258","Batch1","Group2",221480.030184657,1.14513273979091
"Cell259","Cell259","Batch1","Group3",125999.191853049,0.650224371371629
"Cell260","Cell260","Batch1","Group2",275647.910421376,1.4145566745672
"Cell261","Cell261","Batch1","Group2",179918.032070691,0.93139705592414
"Cell262","Cell262","Batch1","Group1",422193.464716321,2.17495386673877
"Cell263","Cell263","Batch1","Group3",201214.717401873,1.03524797940579
"Cell264","Cell264","Batch1","Group1",196983.044423455,1.01599937097207
"Cell265","Cell265","Batch1","Group1",123651.296393058,0.630379066364337
"Cell266","Cell266","Batch1","Group1",146867.362976786,0.750834615186462
"Cell267","Cell267","Batch1","Group3",137160.702916139,0.706262409927731
"Cell268","Cell268","Batch1","Group2",199767.064653654,1.02103528429559
"Cell269","Cell269","Batch1","Group3",247360.192633667,1.27351509395679
"Cell270","Cell270","Batch1","Group1",189929.975558388,0.987872329038463
"Cell271","Cell271","Batch1","Group2",149328.53580153,0.764404318299276
"Cell272","Cell272","Batch1","Group3",204351.830288158,1.04731050927674
"Cell273","Cell273","Batch1","Group3",215981.187197253,1.10553472062395
"Cell274","Cell274","Batch1","Group2",235980.77734913,1.22744085939217
"Cell275","Cell275","Batch1","Group1",283327.909214924,1.45737994159304
"Cell276","Cell276","Batch1","Group3",391763.976342502,2.01636117656774
"Cell277","Cell277","Batch1","Group3",235809.638416306,1.21466846635612
"Cell278","Cell278","Batch1","Group3",108317.953793008,0.562926633870657
"Cell279","Cell279","Batch1","Group3",174140.631550872,0.889072750688267
"Cell280","Cell280","Batch1","Group1",123024.309850506,0.631423285368091
"Cell281","Cell281","Batch1","Group2",60358.2909756978,0.308430401305657
"Cell282","Cell282","Batch1","Group2",280355.245539057,1.44269914830875
"Cell283","Cell283","Batch1","Group2",142028.754746243,0.731879211103551
"Cell284","Cell284","Batch1","Group2",257044.953837052,1.31692476968425
"Cell285","Cell285","Batch1","Group2",312912.757045745,1.59717668969651
"Cell286","Cell286","Batch1","Group3",160033.54476677,0.827237496283742
"Cell287","Cell287","Batch1","Group2",306992.111639094,1.58874063469082
"Cell288","Cell288","Batch1","Group3",262039.069777409,1.34518041001734
"Cell289","Cell289","Batch1","Group1",49517.7786427462,0.253734930040096
"Cell290","Cell290","Batch1","Group3",501956.122248368,2.59311471035017
"Cell291","Cell291","Batch1","Group3",200154.106378201,1.03845265152076
"Cell292","Cell292","Batch1","Group2",84082.8618028083,0.43599486965087
"Cell293","Cell293","Batch1","Group1",311604.834655313,1.61461977660157
"Cell294","Cell294","Batch1","Group1",106015.286492224,0.545390956117972
"Cell295","Cell295","Batch1","Group3",191432.287593923,0.981133772905868
"Cell296","Cell296","Batch1","Group2",283254.422573238,1.45271439166002
"Cell297","Cell297","Batch1","Group3",249441.457531831,1.28010961988198
"Cell298","Cell298","Batch1","Group3",289071.249166072,1.46789929067026
"Cell299","Cell299","Batch1","Group3",177521.277594387,0.914643256440275
"Cell300","Cell300","Batch1","Group3",120401.831532297,0.620286663973382
"Cell301","Cell301","Batch1","Group2",119939.604111171,0.611089306442786
"Cell302","Cell302","Batch1","Group3",288328.479888532,1.49438541702655
"Cell303","Cell303","Batch1","Group2",151837.120993611,0.780448254618027
"Cell304","Cell304","Batch1","Group3",131678.26514675,0.670239426266231
"Cell305","Cell305","Batch1","Group1",123155.617312293,0.633017905521606
"Cell306","Cell306","Batch1","Group1",245822.244782155,1.26268710872083
"Cell307","Cell307","Batch1","Group3",237202.753369958,1.23495614985761
"Cell308","Cell308","Batch1","Group2",400022.171196879,2.05569685499977
"Cell309","Cell309","Batch1","Group1",160964.789061748,0.827520412762591
"Cell310","Cell310","Batch1","Group2",67809.0239179859,0.34745744357894
"Cell311","Cell311","Batch1","Group1",64859.2416479147,0.332359991480339
"Cell312","Cell312","Batch1","Group3",67076.9662213223,0.343676650634316
"Cell313","Cell313","Batch1","Group3",159184.522822453,0.812206915352869
"Cell314","Cell314","Batch1","Group3",55346.7858225297,0.279922708109594
"Cell315","Cell315","Batch1","Group3",62085.2651909775,0.318857159535253
"Cell316","Cell316","Batch1","Group1",269942.317141131,1.37740716892628
"Cell317","Cell317","Batch1","Group1",312447.407618684,1.6066209561541
"Cell318","Cell318","Batch1","Group2",72241.1450692453,0.374010441102952
"Cell319","Cell319","Batch1","Group3",53564.3403274113,0.275987597085597
"Cell320","Cell320","Batch1","Group3",167701.294742875,0.862226548813447
"Cell321","Cell321","Batch1","Group1",111262.43439841,0.567293835516896
"Cell322","Cell322","Batch1","Group1",278757.591922599,1.43232382943894
"Cell323","Cell323","Batch1","Group2",120023.622021858,0.619880293031034
"Cell324","Cell324","Batch1","Group3",160447.002057215,0.829156184403939
"Cell325","Cell325","Batch1","Group2",457113.850979916,2.35100507562279
"Cell326","Cell326","Batch1","Group3",231467.134420279,1.19199399656033
"Cell327","Cell327","Batch1","Group3",270925.641137576,1.39344596130905
"Cell328","Cell328","Batch1","Group2",383492.392235684,1.97824975489874
"Cell329","Cell329","Batch1","Group2",218234.95816983,1.1316350517818
"Cell330","Cell330","Batch1","Group2",82534.6095280495,0.419503410901939
"Cell331","Cell331","Batch1","Group2",176309.827569417,0.906469542169516
"Cell332","Cell332","Batch1","Group1",100337.651006012,0.511430690784084
"Cell333","Cell333","Batch1","Group3",527999.559642697,2.72975308176248
"Cell334","Cell334","Batch1","Group3",132518.579815077,0.677564391100441
"Cell335","Cell335","Batch1","Group3",175805.061715473,0.904926361375792
"Cell336","Cell336","Batch1","Group3",160539.283349538,0.817319987716075
"Cell337","Cell337","Batch1","Group2",178040.213711495,0.904746323616525
"Cell338","Cell338","Batch1","Group2",116687.55206507,0.606192279390702
"Cell339","Cell339","Batch1","Group1",124983.594897118,0.644607193282474
"Cell340","Cell340","Batch1","Group2",267938.196963883,1.36457304865847
"Cell341","Cell341","Batch1","Group1",569897.643360035,2.95176535861959
"Cell342","Cell342","Batch1","Group3",367754.216863534,1.88726895923674
"Cell343","Cell343","Batch1","Group1",302447.846047347,1.55710028448349
"Cell344","Cell344","Batch1","Group2",183787.152388303,0.945028486268703
"Cell345","Cell345","Batch1","Group2",173207.017250367,0.89431442145095
"Cell346","Cell346","Batch1","Group3",167191.128515538,0.86500427424215
"Cell347","Cell347","Batch1","Group1",105530.818593866,0.54070483044103
"Cell348","Cell348","Batch1","Group3",118615.957989231,0.620389542692963
"Cell349","Cell349","Batch1","Group3",146283.735024782,0.756456937211597
"Cell350","Cell350","Batch1","Group3",147658.944986316,0.767434096590954
"Cell351","Cell351","Batch1","Group2",252360.650336373,1.28529985128487
"Cell352","Cell352","Batch1","Group1",196270.161063102,1.00655510451448
"Cell353","Cell353","Batch1","Group2",1136861.25027226,5.83792495776198
"Cell354","Cell354","Batch1","Group1",125353.814462926,0.648228524211746
"Cell355","Cell355","Batch1","Group1",212388.384876962,1.09825090727757
"Cell356","Cell356","Batch1","Group3",314831.436768569,1.62618848861852
"Cell357","Cell357","Batch1","Group1",191920.536192086,0.991828015806376
"Cell358","Cell358","Batch1","Group1",96998.1129565469,0.498668585619985
"Cell359","Cell359","Batch1","Group2",99340.7141578501,0.51654376314729
"Cell360","Cell360","Batch1","Group2",185015.531839653,0.956761804236985
"Cell361","Cell361","Batch1","Group2",116811.604293006,0.595899263496562
"Cell362","Cell362","Batch1","Group1",79309.8136127536,0.39913856836076
"Cell363","Cell363","Batch1","Group3",173250.56764819,0.892159112275715
"Cell364","Cell364","Batch1","Group2",198874.545579752,1.01696643093614
"Cell365","Cell365","Batch1","Group2",284494.837998116,1.45287899761135
"Cell366","Cell366","Batch1","Group3",298864.38800307,1.52446715463221
"Cell367","Cell367","Batch1","Group1",305414.338467027,1.57946611812053
"Cell368","Cell368","Batch1","Group1",288386.307185693,1.49340292525454
"Cell369","Cell369","Batch1","Group1",93593.5474746648,0.48331908065841
"Cell370","Cell370","Batch1","Group3",387473.512233227,2.01452479142321
"Cell371","Cell371","Batch1","Group3",203700.424451448,1.04714590332541
"Cell372","Cell372","Batch1","Group1",355698.925150913,1.82454894784382
"Cell373","Cell373","Batch1","Group3",94485.5503631391,0.485896192583929
"Cell374","Cell374","Batch1","Group3",129763.799464353,0.666525504489335
"Cell375","Cell375","Batch1","Group1",93991.4471850305,0.478879863908463
"Cell376","Cell376","Batch1","Group1",251147.646471026,1.29944053129136
"Cell377","Cell377","Batch1","Group1",391525.909357224,1.99595003860275
"Cell378","Cell378","Batch1","Group3",71772.7628809251,0.375548477960697
"Cell379","Cell379","Batch1","Group1",198202.321280078,1.03230050408978
"Cell380","Cell380","Batch1","Group2",241001.053627125,1.23098503128176
"Cell381","Cell381","Batch1","Group3",121545.496136803,0.624247494677274
"Cell382","Cell382","Batch1","Group1",121428.615625054,0.62611474343768
"Cell383","Cell383","Batch1","Group3",159304.139387514,0.816049435529242
"Cell384","Cell384","Batch1","Group1",57142.504953369,0.292273298395366
"Cell385","Cell385","Batch1","Group2",77586.7992689986,0.401458483487325
"Cell386","Cell386","Batch1","Group3",186332.056077902,0.955769024593022
"Cell387","Cell387","Batch1","Group2",95552.6855221422,0.492624460844566
"Cell388","Cell388","Batch1","Group1",354205.276628696,1.81010477561456
"Cell389","Cell389","Batch1","Group3",208817.740437875,1.08144566843391
"Cell390","Cell390","Batch1","Group2",237502.565622459,1.24259489478654
"Cell391","Cell391","Batch1","Group1",182561.398755074,0.93916954318853
"Cell392","Cell392","Batch1","Group2",29188.8155042558,0.153114398353305
"Cell393","Cell393","Batch1","Group3",108115.152668346,0.556208653481978
"Cell394","Cell394","Batch1","Group2",138805.04985747,0.710861088693028
"Cell395","Cell395","Batch1","Group3",230676.602835305,1.18295095710911
"Cell396","Cell396","Batch1","Group1",216904.661064649,1.10561187966363
